time,Fy_lower,Fy_upper,external_work,kinetic_energy,potenial_energy,strain_energy
0,0,0,0,0,0,0
1,-139.347093348,139.347093348,0.14920052484187,0.019971075507203,-0.083943139416009,0.065257385425862
2,-390.81163406233,390.81163406234,1.3135857268875,0.27614316506658,-0.70652840082315,0.6070573260643
3,-639.94979915614,639.94979915614,4.48286202288,1.2451447628647,-2.3509618423075,2.1319001805725
4,-886.72779511532,886.72779511531,10.626244001769,3.4394057329136,-5.4983258752511,5.1279181265183
5,-1135.4702156667,1135.4702156667,20.734463938479,7.3529312391353,-10.652792303856,10.081671634623
6,-1382.9592143736,1382.9592143736,35.778958937762,13.469918565726,-18.281680382143,17.497278555619
7,-1630.7841465856,1630.7841465856,56.76730767377,22.267109009895,-28.862291009229,27.905016664541
8,-1879.034051221,1879.034051221,84.697083718364,34.21417293697,-42.864861943872,41.832221774492
9,-2128.0921232629,2128.0921232629,120.49859491856,49.776135740276,-60.766780118166,59.731814800391
10,-2375.8050681029,2375.8050681029,165.05708035825,69.417643590205,-83.01127684199,82.045803516262
11,-2623.0373903222,2623.0373903222,219.3799906132,93.600431230379,-110.0469274138,109.3330631994
12,-2871.6700801991,2871.6700801991,284.49084400718,122.77872266326,-142.35204278338,142.1388012238
13,-3120.1962139414,3120.1962139414,361.27322309445,157.40060911237,-180.37128661107,180.90193648338
14,-3367.7492998761,3367.7492998761,450.63488662816,197.9110219991,-224.52418887195,226.11069775621
15,-3615.8128086028,3615.8128086028,553.57590039698,244.75033369267,-275.26097663578,278.31492376119
16,-3864.2618013075,3864.2618013075,671.02425543689,298.35314411505,-333.02477070045,337.99948473644
17,-4112.1603377351,4112.1603377351,803.87054032834,359.14936989875,-398.2269813433,405.64355898504
18,-4360.1507447333,4360.1507447333,953.06853871443,427.56430099866,-471.29287265474,481.77566605969
19,-4608.455975707,4608.455975707,1119.5441858624,504.01802829499,-552.65063917434,566.89354668809
20,-4856.4848557336,4856.4848557336,1304.1835798298,588.92584682137,-642.70358796194,661.47999186791
21,-5104.4750998944,5104.4750998944,1507.9123235459,682.69832659617,-741.85819378004,766.0541297659
22,-5352.6896335543,5352.6896335543,1731.6477563343,785.74091349603,-850.5261232881,881.12163304621
23,-5600.786353324,5600.786353324,1976.2695323812,898.4541315033,-969.10065591493,1007.1688764662
24,-5848.8084199741,5848.8084199741,2242.6768971345,1021.2337479527,-1097.9718103986,1144.7050867359
25,-6096.9541963574,6096.9541963574,2531.7723865008,1154.4705181023,-1237.5333804268,1294.239006074
26,-6205.7211734706,6205.7211734706,2830.9208486943,1295.033655435,-1381.3596789555,1449.5611697388
27,-6202.3183718692,6202.3183718692,3129.5626500079,1437.7235980043,-1524.0461075846,1605.5165424234
28,-6201.2930405542,6201.2930405542,3427.3781883142,1579.8701237762,-1665.6904301855,1761.6877581287
29,-6202.6260324801,6202.6260324801,3724.4203634375,1721.0208352773,-1806.3974657641,1918.0228976734
30,-6201.9683459754,6201.9683459754,4020.5640604083,1861.1696959539,-1946.06627104,2074.4977893683
31,-6202.5797335217,6202.5797335217,4315.8187566783,2000.3054199802,-2084.7422959285,2231.0764607497
32,-6202.8617240444,6202.8617240444,4610.0325113788,2138.4143448661,-2222.3974042715,2387.6351071073
33,-6202.707925165,6202.707925165,4903.1301450929,2275.4815199077,-2358.9943758262,2544.1357692668
34,-6201.746322828,6201.746322828,5195.2480846999,2411.4897763752,-2494.4776663312,2700.7704183688
35,-6202.13645541,6202.13645541,5486.5814455731,2546.4199175415,-2628.8914936379,2857.6899519353
36,-6203.0052117926,6203.0052117926,5776.9689337342,2680.2506658971,-2762.2356659171,3014.733267817
37,-6202.4697972413,6202.4697972413,6066.2497185466,2812.9588180091,-2894.4194934442,3171.8302251025
38,-6202.0441708878,6202.0441708878,6354.5683282844,2944.5193816077,-3025.4223221815,3329.1460061029
39,-6202.5929324215,6202.5929324215,6641.9811880904,3074.906039809,-3155.2631085993,3486.7180794911
