time,Fy_lower,Fy_upper,external_work,kinetic_energy,potenial_energy,strain_energy
0,0,0,0,0,0,0
1,-11.237668818387,11.237668818387,0.00097034680568335,0.00012988472624352,-0.00054593613043711,0.00042441067524624
2,-31.517067263092,31.517067263092,0.0085430913559278,0.0017959362972593,-0.0045950078097239,0.0039480835462039
3,-51.608854770657,51.608854770657,0.029154929909469,0.0080979758250829,-0.015289814270991,0.013865115638479
4,-71.510306057687,71.510306057687,0.06910928721234,0.02236866371562,-0.035759143309386,0.033350143902955
5,-91.570178682796,91.570178682796,0.13484953133766,0.047820832720705,-0.069281947865868,0.065567583471794
6,-111.52896890109,111.52896890109,0.23269354147869,0.087603528653271,-0.11889750508678,0.1137960363919
7,-131.51485053109,131.51485053109,0.36919424865876,0.14481730625582,-0.18771000916512,0.18148423949364
8,-151.53500413072,151.53500413072,0.55083951429737,0.22251673346104,-0.27877771815733,0.27206179614004
9,-171.62033252121,171.62033252121,0.78367972761809,0.32372616896642,-0.39520538578412,0.38847434183397
10,-191.59718291152,191.59718291152,1.073472166742,0.45146750513922,-0.53987562982564,0.53359653691638
11,-211.53527341308,211.53527341308,1.4267689295864,0.60874369946917,-0.71570582345085,0.71106310613554
12,-231.58629679025,231.58629679025,1.8502266129499,0.79850886227405,-0.92580672986071,0.92441988308923
13,-251.62872693076,251.62872693076,2.349591721478,1.0236772184728,-1.1730702823301,1.1765214391479
14,-271.59268547388,271.59268547388,2.9307679931592,1.2871424427621,-1.4602249536417,1.4705430395175
15,-291.59780714539,291.59780714539,3.6002594978992,1.5917685593957,-1.7901988594939,1.8100606384053
16,-311.63401623447,311.63401623447,4.3641015572118,1.9403820506963,-2.1658738989363,2.1982276582755
17,-331.62583368831,331.62583368831,5.2280862404289,2.3357789405486,-2.5899257371443,2.6381605032846
18,-351.62506005914,351.62506005914,6.1984166149482,2.7807251625824,-3.065120139534,3.1332964754143
19,-371.64967546024,371.64967546024,7.2811146322999,3.2779528375066,-3.5942419301141,3.6868727021859
20,-391.65200449465,391.65200449465,8.4819431570621,3.8301628955606,-4.1799140736339,4.3020290834282
21,-411.65121773342,411.65121773342,9.8069219793571,4.440025537176,-4.8247801364467,4.9821418429104
22,-431.66851883502,431.66851883502,11.262017145775,5.1101776372011,-5.5315174511453,5.7304996946294
23,-451.67631881645,451.67631881645,12.85294961226,5.8432240602452,-6.3026837663563,6.5502658459042
24,-471.67809838501,471.67809838501,14.585567749314,6.6417387353842,-7.1408156243404,7.4447521249735
25,-491.68985454495,491.68985454495,16.465741327399,7.5082629949424,-8.0484741182805,8.4172672091184
26,-500.46138495731,500.46138495731,18.411295842185,8.4224353241091,-8.9838688797836,9.4274269624014
27,-500.18696547332,500.18696547332,20.353555215973,9.3504396332226,-9.9118503354876,10.441704880485
28,-500.10427746405,500.10427746405,22.29044087093,10.274909754008,-10.833054306618,11.457386564312
29,-500.21177681291,500.21177681291,24.222296848579,11.192903455238,-11.748162498466,12.474134350113
30,-500.15873757866,500.15873757866,26.148309445944,12.104381477328,-12.656518412071,13.491791033873
31,-500.20804302594,500.20804302594,28.068540300977,13.009270421307,-13.558417637413,14.510122663565
32,-500.23078419713,500.23078419713,29.98200124466,13.907481431231,-14.45367718699,15.52832405767
33,-500.21838106169,500.21838106169,31.888203336973,14.798917273073,-15.342054993667,16.546148343306
34,-500.14083248613,500.14083248613,33.788033849506,15.68346628756,-16.22318981745,17.564844032055
35,-500.17229479113,500.17229479113,35.682761742802,16.561003626051,-17.097369235418,18.585392507384
36,-500.24235578973,500.24235578973,37.571338018563,17.43139090724,-17.964591999981,19.606746018581
37,-500.19917719688,500.19917719688,39.452716691901,18.294477224305,-18.824268297634,20.628448394267
38,-500.16485249096,500.16485249095,41.327837722974,19.15010003647,-19.676263801909,21.651573921065
39,-500.20910745334,500.20910745334,43.197068080713,19.998088188144,-20.520701798903,22.67636628181
40,-500.21197715137,500.21197715137,45.059632959866,20.838266807827,-21.357251347056,23.702381612809
41,-500.18383254464,500.18383254464,46.91561007868,21.670465800941,-22.185627768544,24.729982310135
42,-500.20018916789,500.20018916789,48.76536575604,22.494530428435,-23.00585020956,25.75951554648
43,-500.20902727254,500.20902727254,50.608582870166,23.31033071921,-23.817774692477,26.790808177689
44,-500.19249907606,500.19249907606,52.445202282011,24.117767579158,-24.621223574889,27.823978707123
45,-500.19833765787,500.19833765787,54.275452587536,24.916777509193,-25.416232450536,28.859220137
46,-500.20724397018,500.20724397018,56.099181082851,25.707339535212,-26.202813032256,29.896368050596
47,-500.19807999441,500.19807999441,57.916287469607,26.489483408281,-26.98095507979,30.935332389817
48,-500.19851744391,500.19851744391,59.726912363422,27.263294515809,-27.750805133116,31.976107230306
49,-500.20503855498,500.20503855498,61.531006514359,28.028911560085,-28.512545205855,33.018461308504
50,-500.20169755711,500.20169755711,63.328473488682,28.78651607287,-29.2663352805,34.062138208182
51,-500.20114698557,500.20114698558,65.119359067369,29.536317566527,-30.012403237686,35.106955829684
52,-500.20512854434,500.20512854434,66.903641385062,30.278540870578,-30.750994852961,36.152646532101
