time,Fy_lower,Fy_upper,external_work,kinetic_energy,potenial_energy,strain_energy
0,0,0,0,0,0,0
1,-139.03049819792,139.03049819792,0.14896243571433,0.01991542876027,-0.083750927625774,0.065211508088555
2,-389.92141182463,389.92141182463,1.3106731645912,0.27512643194139,-0.70410308606537,0.60657007852581
3,-638.4874840308,638.4874840308,4.4700157504345,1.2392457146815,-2.3399893884779,2.1300263619566
4,-884.69879675084,884.69879675084,10.588982505137,3.4191895595225,-5.4658583846935,5.1231241204438
5,-1132.8709151908,1132.8709151908,20.648502527834,7.3012995075934,-10.577273587137,10.071228940697
6,-1379.7893392479,1379.7893392479,35.607833599134,13.360753743064,-18.132190247321,17.475643351812
7,-1627.0359782551,1627.0359782551,56.460135679283,22.06473030249,-28.598157142515,27.861978536768
8,-1874.6946489141,1874.6946489141,84.187113843612,33.873103705419,-42.435474929268,41.751638914344
9,-2123.1475487247,2123.1475487247,119.7027786151,49.240988160571,-60.111402267029,59.591376348072
10,-2370.2550193507,2370.2550193507,163.87640995494,68.623000977224,-82.059127769793,81.817282185144
11,-2616.8853401243,2616.8853401243,217.69900380117,92.470700491511,-108.71704955977,108.98195424139
12,-2864.9118435616,2864.9118435616,282.17653487656,121.22801044577,-140.55292858254,141.62360629403
13,-3112.8283481083,3112.8283481083,358.17482725915,155.33263397615,-178.00099885158,180.17382840758
14,-3359.7719485384,3359.7719485384,446.58386607483,195.21904438175,-221.4704349523,225.11343112253
15,-3607.2235784808,3607.2235784808,548.38549243686,241.31708867965,-271.40072569832,276.98476673854
16,-3855.0595768569,3855.0595768569,664.48945131599,294.05077248224,-328.22428050361,336.26517081238
17,-4102.3469845524,4102.3469845524,795.76798174695,353.83935394516,-392.34202440182,403.42595734513
18,-4349.7244955227,4349.7244955227,943.15581034631,421.09741388851,-464.16840018153,478.98741016478
19,-4597.4141442993,4597.4141442993,1107.5597817167,496.23429145525,-544.1206486896,563.43913302713
20,-4844.8289559872,4844.8289559872,1289.8472376437,579.65448604454,-632.59139981764,657.25583782602
21,-5092.205573228,5092.205573228,1490.9245066848,671.75772864945,-729.97630588171,760.94820080307
22,-5339.8040427313,5339.8040427314,1711.6892880141,772.93859055264,-836.67598561825,875.01330239584
23,-5587.2846837632,5587.2846837632,1953.0019100745,883.58668735566,-953.07282995485,999.92908011968
24,-5834.69185137,5834.69185137,2215.7421103841,1004.0868424403,-1079.5459504676,1136.1961599165
25,-6082.2215768815,6082.2215768815,2500.7925000403,1134.8188293362,-1216.4780547113,1284.314445329
26,-6190.6881888584,6190.6881888584,2795.6072683731,1272.6920719392,-1357.532128751,1438.0751396222
27,-6187.2427176629,6187.2427176629,3089.7213107025,1412.5841108679,-1497.3896047282,1592.3317059742
28,-6186.1730683116,6186.1730683116,3382.8333907584,1551.8724439717,-1636.1567774142,1746.6766133441
29,-6187.4555786834,6187.4555786834,3675.0137540117,1690.1199246538,-1773.9438283112,1901.0699257005
30,-6186.7510839404,6186.7510839404,3966.158243626,1827.3263824231,-1910.6558884775,2055.5023551485
31,-6187.3160366331,6187.3160366331,4256.2946329858,1963.4842163765,-2046.340297749,2209.9543352368
32,-6187.5588845032,6187.5588845032,4545.2894046122,2098.5821960591,-2180.9711536403,2364.3182509719
33,-6187.3787666648,6187.3787666648,4833.0829346509,2232.6070078252,-2314.5129103307,2518.5700243202
34,-6186.404910617,6186.404910617,5119.8227903325,2365.5425816569,-2446.9116499499,2672.9111403826
35,-6186.7828252614,6186.7828252614,5405.7095747927,2497.3704349705,-2578.2110947056,2827.4984800871
36,-6187.6356486952,6187.6356486952,5690.5872630366,2628.0697363958,-2708.4109880538,2982.1762749828
37,-6187.0886016329,6187.0886016329,5974.3019187435,2757.6175686139,-2837.4219841563,3136.8799345872
38,-6186.6547509718,6186.6547509718,6257.0028985038,2885.9891527915,-2965.2234964894,3291.7794020144
39,-6187.1948808459,6187.1948808459,6538.7498312991,3013.1584242212,-3091.8340139907,3446.9158173084
40,-6187.224152244,6187.224152244,6819.4273569116,3139.0989668667,-3217.2037914085,3602.2235655031
41,-6186.8700204665,6186.8700204665,7099.0503850036,3263.785565262,-3341.2905628046,3757.759822199
42,-6187.0657602337,6187.0657602337,7377.677338225,3387.1960664905,-3464.0987478952,3913.5785903298
43,-6187.1699043754,6187.1699043755,7655.2622845889,3509.3129154182,-3585.6091554539,4069.6531291351
44,-6186.9621486076,6186.9621486076,7931.7985577471,3630.1240031411,-3705.7982457244,4226.0003120227
45,-6187.0302291708,6187.0302291708,8207.3226923474,3749.6233149778,-3824.6752888062,4382.6474035411
46,-6187.1359107039,6187.135910704,8481.8129981321,3867.8121326112,-3942.2470127725,4539.5659853597
47,-6187.0199898834,6187.0199898834,8755.2559454067,3984.7005267009,-4058.5180902799,4696.7378551267
48,-6187.0232413674,6187.0232413674,9027.6741883886,4100.3080476685,-4173.5176451593,4854.1565432293
49,-6187.1009816178,6187.1009816178,9299.0611301655,4214.6627439059,-4287.2800994993,5011.7810306662
50,-6187.0580185768,6187.0580185768,9569.40313093,4327.7984986087,-4399.8354409638,5169.5676899661
51,-6187.0512099409,6187.0512099409,9838.7079015364,4439.7518044638,-4511.2220174049,5327.4858841315
52,-6187.1007510979,6187.1007510978,10106.972348118,4550.5595441094,-4621.4790837901,5485.4932643283
53,-6187.1051736396,6187.1051736396,10374.184447757,4660.2580440742,-4730.6406005549,5643.5438472017
54,-6187.1192174569,6187.1192174569,10640.339293358,4768.8821107429,-4838.7405932502,5801.598700108
55,-6187.1667307757,6187.1667307756,10905.427272358,4876.4632643589,-4945.8099539605,5959.6173183974
56,-6187.2047972597,6187.2047972597,11169.431928112,4983.0279325017,-5051.8720707276,6117.5598573844
57,-6187.2410099278,6187.2410099278,11432.337942815,5088.596050089,-5156.9434143624,6275.3945284529
58,-6187.2897417446,6187.2897417446,11694.129204422,5193.1789880051,-5261.0310002048,6433.0982042175
59,-6187.3371361456,6187.3371361456,11954.787114782,5296.7762495036,-5364.1277297768,6590.6593850048
60,-6187.3759758592,6187.3759758592,12214.294267011,5399.3725503458,-5466.2108129125,6748.0834540983
61,-6187.4148717715,6187.4148717716,12472.635507641,5500.9375045871,-5567.2437755603,6905.3917320804
62,-6187.4563662159,6187.4563662159,12729.795653296,5601.4287870693,-5667.1807724964,7062.6148807991
63,-6187.4948960677,6187.4948960676,12985.75908475,5700.7976274833,-5765.9720001297,7219.7870846203
