time,DJ,DJint_1,DJint_2,Fy_top,J,external_work,fracture_energy,kinetic_energy,max_disp_y,strain_energy
0,0,0,0,0,0,0,0,0,0,0
0.25,0.011225773495736,0.015038151838858,-0.0038123783431217,188.23976484847,0.015038151838857,-5.5127396138332e-15,0.00857598857936,0.00010410132399688,0.0030515388086388,0.80454728782375
0.5,0.0043549383380374,0.015038151854087,-0.010683213516049,268.91394794179,0.015038151854081,-3.2759787451802e-14,0.0092499142342714,0.00062465118258258,0.0030515388098283,0.78901338302619
0.75,0.0033741163315813,0.015038151868547,-0.011664035536966,268.913943653,0.015038151868541,-8.3843535944553e-14,0.010564869717004,0.0024419607242028,0.0030515388121435,0.78509311462247
1,0.0033100686944615,0.015038151879303,-0.011728083184842,268.91393702315,0.0150381518793,-1.5716298181329e-13,0.012523125108559,0.0052278204773193,0.0030515388156991,0.78025123733822
1.25,0.0033452619337729,0.015038151896222,-0.011692889962449,268.91392820302,0.01503815189622,-2.4932578485288e-13,0.014831366093599,0.0081660459196772,0.0030515388207267,0.77495763753126
1.5,0.0036706911932091,0.015038151927301,-0.011367460734092,268.91391745015,0.015038151927299,-3.5648188974498e-13,0.01737481421702,0.011084502901104,0.0030515388280202,0.76932873799473
1.75,0.0039179131259857,0.015038151970577,-0.011120238844591,268.91390512498,0.015038151970575,-4.7467391739474e-13,0.020050587487522,0.013946997919511,0.0030515388398754,0.76375854832747
2,0.0038552553644672,0.015038152022606,-0.011182896658139,268.9138916749,0.015038152022605,-6.001175698138e-13,0.02289184131473,0.01674792601137,0.0030515388610058,0.75804848799695
2.25,0.0037354799031095,0.015038152086939,-0.01130267218383,268.91387680377,0.015038152086939,-7.2948558762654e-13,0.02587368156333,0.019484052929796,0.0030515388978685,0.75220834411564
2.375,0.0044894763040642,0.01503815212528,-0.010548675821216,268.91386580189,0.01503815212528,-7.9544002393401e-13,0.027440311125471,0.0217370465365,0.0030515389239327,0.74920319085999
2.625,0.0036637197839742,0.015038152169824,-0.01137443238585,268.91382431437,0.015038152169824,-9.2859779890548e-13,0.03060912683332,0.023683106183832,0.0030515389935736,0.74299233838066
2.875,0.003377167190283,0.015038151880616,-0.011660984690333,268.91354457568,0.015038151880615,-1.0946035273539e-12,0.033854500794408,0.026695841385497,0.0030515390855615,0.73648430538767
3.125,0.0033970369282934,0.015038149429417,-0.011641112501123,268.91173573932,0.015038149429416,-1.585931745632e-12,0.037116513056352,0.029881219315402,0.0030515391978289,0.72981089291236
