time,Load,avg_p,avg_s1,max_d
2.08e-06,-24480.827268418,-194.7703763328,-100.46635522128,0
2.1e-06,-24259.839869943,-193.01182404125,-98.92030642465,0
2.12e-06,-24838.623693722,-197.61624278274,-101.77947465792,0
2.14e-06,-26069.444286106,-207.40821760356,-108.22995392912,0
2.16e-06,-27656.326197859,-220.03294426054,-116.64138854995,0
2.18e-06,-29224.326856909,-232.50738444155,-124.94856547122,0
2.2e-06,-30406.289542521,-241.91047507569,-131.12925714937,0
2.22e-06,-30927.031502936,-246.0529188084,-133.66790964449,0
2.24e-06,-30665.67587593,-243.9730767213,-131.89892496974,0
2.26e-06,-29682.011309102,-236.14666374362,-126.15179899485,0
2.28e-06,-28201.14452668,-224.36463002691,-117.66654267749,0
2.3e-06,-26560.34322107,-211.31024089898,-108.30086473046,0
2.32e-06,-25130.615407768,-199.93517180472,-100.09822482713,0
2.34e-06,-24231.251819294,-192.77962424973,-94.817148310215,0
2.36e-06,-24056.996670517,-191.39291500393,-93.530114281293,0
2.38e-06,-24634.430418384,-195.98647440867,-96.383352974764,0
2.4e-06,-25817.304520812,-205.39674307528,-102.5711922484,0
2.42e-06,-27321.564431853,-217.36382186012,-110.5289989405,0
2.44e-06,-28791.703413589,-229.05937990615,-118.29867299353,0
2.46e-06,-29882.97731956,-237.74074000807,-123.98148011398,0
2.48e-06,-30340.489239908,-241.38004937695,-126.17362011315,0
2.5e-06,-30057.010040194,-239.12426880211,-124.28465694479,0
2.52e-06,-29096.418953744,-231.48164097731,-118.66658169684,0
2.54e-06,-27677.650461857,-220.19396213598,-110.5253556165,0
2.56e-06,-26123.154209487,-207.82653836883,-101.6370114959,0
2.58e-06,-24783.998425881,-197.17233338732,-93.935130342292,0
2.6e-06,-23959.008754759,-190.60866982037,-89.065484265096,0
2.62e-06,-23826.552050034,-189.55453304898,-88.010339961759,0
2.64e-06,-24404.513832284,-194.15217645208,-90.86805679725,0
2.66e-06,-25547.425787147,-203.24428092557,-96.837302729978,0
2.68e-06,-26981.115825004,-214.64962973696,-104.40793150992,0
2.7e-06,-28366.651328582,-225.67182419679,-111.71318668447,0
2.72e-06,-29378.687377661,-233.72259041095,-116.96122494231,0
2.74e-06,-29780.126030533,-236.91572728571,-118.84630065022,0
2.76e-06,-29475.959002102,-234.49543838276,-116.84528234886,0
2.78e-06,-28534.065038306,-227.00176840439,-111.33215937585,0
2.8e-06,-27168.4178947,-216.13700094977,-103.48552257773,0
2.82e-06,-25688.840742326,-204.36592448236,-95.0118064932,0
2.84e-06,-24429.105364864,-194.34382860124,-87.749278313146,0
2.86e-06,-23670.059474041,-188.30495221716,-83.244659286101,0
2.88e-06,-23575.474557119,-187.55213269202,-82.399819239877,0
2.9e-06,-24155.247800774,-192.16407116774,-85.2691361519,0
2.92e-06,-25264.206062669,-200.98582924969,-91.052941729849,0
2.94e-06,-26636.536647565,-211.90275139134,-98.287181861554,0
2.96e-06,-27947.699148424,-222.3330057446,-105.18442022683,0
2.98e-06,-28889.419062967,-229.8241868472,-110.04687337315,0
3e-06,-29240.447603324,-232.61622644639,-111.65610889181,0
3.02e-06,-28916.848557303,-230.0414271532,-109.54997325423,0
3.04e-06,-27990.380104027,-222.67067914698,-104.12379569988,0
3.06e-06,-26670.953253408,-212.17389958195,-96.533747277418,0
3.08e-06,-25257.442819073,-200.92871480893,-88.425912323916,0
3.1e-06,-24068.378704458,-191.46909240497,-81.554565142795,0
3.12e-06,-23368.588577928,-185.90177069843,-77.378163049387,0
3.14e-06,-23308.675402262,-185.42479597168,-76.726038842375,0
3.16e-06,-23891.143661793,-190.05805863922,-79.611868429367,0
3.18e-06,-24970.77586901,-198.64629958379,-85.235773926885,0
3.2e-06,-26288.952520147,-209.13214312018,-92.173365551036,0
3.22e-06,-27533.821852748,-219.03476565276,-98.707139438318,0
3.24e-06,-28412.338395373,-226.02297426368,-103.22322612537,0
3.26e-06,-28717.540214781,-228.45039862526,-104.58189944408,0
3.28e-06,-28375.620482429,-225.72993679564,-102.37679162091,0
3.3e-06,-27462.084163831,-218.4622679484,-97.023843203208,0
3.32e-06,-26183.459549082,-208.29035453537,-89.660554400739,0
3.34e-06,-24828.986278415,-197.51511217213,-81.879896329671,0
3.36e-06,-23703.583403977,-188.56216794938,-75.361137809423,0
3.38e-06,-23057.631513773,-183.42327941542,-71.48313875312,0
3.4e-06,-23029.729572173,-183.20097108666,-71.009110192793,0
3.42e-06,-23615.498035909,-187.86037205883,-73.914826993381,0
3.44e-06,-24669.435231221,-196.24399423034,-79.398878269469,0
3.46e-06,-25939.204185064,-206.34449406334,-86.071519228572,0
3.48e-06,-27124.285566405,-215.77126191149,-92.277704770193,0
3.5e-06,-27945.379083285,-222.30250686498,-96.479303276137,0
3.52e-06,-28208.534803029,-224.39540918074,-97.608271081147,0
3.54e-06,-27849.288844606,-221.53720230244,-95.309694238917,0
3.56e-06,-26946.756244691,-214.35726559915,-90.019372929072,0
3.58e-06,-25704.606171179,-204.4757737416,-82.859023089431,0
3.6e-06,-24403.489142057,-194.12525714137,-75.374267505013,0
3.62e-06,-23336.031106624,-185.63349080576,-69.176630853788,0
3.64e-06,-22739.451134369,-180.88748408206,-65.572458968041,0
3.66e-06,-22741.310292255,-180.90192986506,-65.264163583748,0
3.68e-06,-23330.784737505,-185.59069657252,-68.192040221347,0
3.7e-06,-24361.919182167,-193.79271915268,-73.552210038713,0
3.72e-06,-25587.936677123,-203.5449358283,-79.985590915973,0
3.74e-06,-26718.553025116,-212.53821709169,-85.89354948805,0
3.76e-06,-27486.998109571,-218.65050306183,-89.806996979163,0
3.78e-06,-27711.277367406,-220.43411393975,-90.723750501518,0
3.8e-06,-27335.604255951,-217.44532011031,-88.336683280937,0
3.82e-06,-26442.567518004,-210.34111518714,-83.100704930455,0
3.84e-06,-25233.385497419,-200.7221354635,-76.123998063443,0
3.86e-06,-23980.965217928,-190.75925671085,-68.909497568321,0
3.88e-06,-22966.720067273,-182.69100252091,-63.006938397396,0
3.9e-06,-22415.773769185,-178.3081206449,-59.656027049088,0
3.92e-06,-22445.462421732,-178.54394346084,-59.502854820862,0
3.94e-06,-23038.902296514,-183.26413907515,-62.454355196414,0
3.96e-06,-24049.566114405,-191.30312373176,-67.703528041735,0
3.98e-06,-25235.656259819,-200.73749559431,-73.918753195677,0
4e-06,-26316.22367084,-209.33244162328,-79.55284914366,0
4.02e-06,-27036.019848267,-215.05760494693,-83.20021231926,0
4.04e-06,-27224.117941649,-216.55337983963,-83.919629654366,0
4.06e-06,-26832.838179286,-213.44053159888,-81.448618233772,0
4.08e-06,-25948.109244808,-206.40260288118,-76.26046091528,0
4.1e-06,-24769.020036239,-197.02324933356,-69.451578786977,0
4.12e-06,-23561.426163017,-187.41720071892,-62.486033143942,0
4.14e-06,-22596.425781348,-179.74087185069,-56.856714198515,0
4.16e-06,-22087.942777283,-175.6958772713,-53.74162368505,0
4.18e-06,-22143.780888713,-176.13970235722,-53.734348617058,0
4.2e-06,-22741.336039894,-180.89251807136,-56.71033075843,0
4.22e-06,-23733.428424263,-188.78358128426,-61.859004079199,0
4.24e-06,-24882.768112329,-197.92539603183,-67.87361062453,0
