time,Fx
0,0
0.1,-1.7763568394003e-15
0.2,0
0.3,-3.0908609005564e-13
0.4,-4.1922021409846e-13
0.5,-3.8369307731045e-13
0.6,-6.2527760746889e-13
0.7,-6.2527760746889e-13
0.8,-6.5369931689929e-13
0.9,-6.5369931689929e-13
1,-4.8316906031687e-13
