time,Load,max_d
0,0,0
1e-06,64319.784496329,0
2e-06,36855.411872916,0
3e-06,44953.290705752,0
4e-06,40141.476913526,0
5e-06,39544.472502281,0
6e-06,37890.842999417,0
7e-06,36308.322914116,0
8e-06,34936.607142387,0
9e-06,33384.786710403,0
1e-05,31999.738410008,0
1.1e-05,30546.450960079,0
1.2e-05,29170.666743145,0
1.3e-05,27793.299675552,0
1.4e-05,26458.088056248,0
1.5e-05,25144.700645426,0
1.6e-05,23864.137447545,0
1.7e-05,22609.842006803,0
1.8e-05,21379.821576965,0
1.9e-05,20158.815917331,0
2e-05,18917.351737767,0
2.1e-05,17594.073534384,0
2.2e-05,16084.506068408,0
2.3e-05,14231.487218586,0
2.4e-05,11839.724663565,0
2.5e-05,8722.6810206792,0
2.55e-05,7639.6724307938,0.014380317436248
2.65e-05,6771.7739855109,0.064937602725619
2.75e-05,-2419.7843002541,0.00018538231004395
2.8e-05,-5155.1977408865,0
2.825e-05,-6280.6923480399,0
2.8375e-05,-7080.6753954267,0
2.85e-05,-7672.5404705485,0.11740692485517
