time,Load,avg_p,avg_p_over_p0,avg_s1,int_p,max_d,p_base
0,0,0,0,0,0,0,0
1,-23776.145693157,395.99317277141,0.99993242580489,-123.4048705548,49761.968849168,0,396.01993349967
2,-35415.417745708,392.05297486814,0.99993242580489,-171.8409849928,49266.82898615,0,392.0794693227
3,-24605.509297981,388.15198258907,0.99993242580489,-95.732085087369,48776.615847086,0,388.1782134194
4,-24175.300851545,384.28980583172,0.99993242580489,-77.98780928255,48291.280410255,0,384.31577566093
5,-25292.563796018,380.4660583752,0.99993242580489,-68.978552527656,47810.774141707,0,380.49176980029
6,-21207.712341454,376.68035784156,0.99993242580489,-31.622004953484,47335.048990416,0,376.7058134337
7,-20758.031619072,372.93232565762,0.99993242580489,-14.742408841428,46864.05738347,0,372.95752796238
8,-19792.436299863,369.22158701701,0.99993242580489,4.6185517042266,46397.752221316,0,369.24653855465
9,-17443.047830054,365.5477708428,0.99993242580489,31.228896635127,45936.086873049,0,365.57247410849
10,-16488.154259841,361.91050975029,0.99993242580489,49.899566917877,45479.01517175,0,361.93496721438
11,-14636.324288283,358.30944001035,0.99993242580489,73.647668640432,45026.491409867,0,358.33365411861
12,-11855.948574235,354.74420151301,0.99993242580489,103.53796487069,44578.470334647,0,354.76817468686
13,-8776.9261627563,351.21443773144,0.99993242580489,137.8283429826,44134.907143609,0,351.23817236822
14,-4678.6352696517,347.71979568631,0.99993242580489,182.98863525076,43695.757480066,0,347.74329415952
15,-979.60439024562,344.25992591053,0.99993242580489,233.60376455679,43260.977428683,0,344.28319057002
16,671.3085094641,340.83448241422,0.99993242580489,281.19203811227,42830.523511094,0,340.85751558648
17,355.04859459955,337.44312265018,0.99993242580489,323.5098743627,42404.352681548,0,337.46592663855
18,-164.26212064316,334.08550747961,0.99993242580489,364.8467339062,41982.422322608,0,334.10808456451
19,2135.9725129104,330.7613011382,0.99993242580489,416.85095719658,41564.690240886,0,330.78365357735
20,8020.6523655934,327.47017120253,0.99993242580489,482.59369751335,41151.114662824,0,327.49230123119
21,14120.813878805,324.21178855688,0.99993242580489,546.37751262135,40741.654230522,0,324.23369838808
22,16944.323431102,320.98582736026,0.99993242580489,592.23688145611,40336.267997595,0,321.00751918499
23,17301.132018754,317.79196501386,0.99993242580489,625.04416288477,39934.91542508,0,317.81344100133
24,18996.13215572,314.6298821288,0.99993242580489,664.10053664734,39537.556377388,0,314.65114442662
25,23473.428990815,311.49926249414,0.99993242580489,716.87498928215,39144.151118281,0,311.52031322856
26,28295.183425307,308.39979304531,0.99993242580489,771.81102688214,38754.660306907,0,308.42063432143
27,31607.385936813,305.33116383278,0.99993242580489,821.13789966332,38369.044993859,0,305.35179773474
28,34616.707683028,302.29306799109,0.99993242580489,872.88734290299,37987.266617284,0,302.31349658229
29,37480.506472978,277.15152711483,0.92598229796123,898.77325442263,34827.887466506,0.21200027695757,299.30542703143
30,33115.561596599,265.26689908962,0.89518215023626,870.03614332663,33334.421088196,0.42536194941738,296.32728827269
31,24609.901423691,260.32910273149,0.88734809150901,708.52796705471,32713.919308235,1,293.37878248972
32,3376.9314857341,271.32563213255,0.93412515296436,356.32316620266,34095.783923918,1,290.45961482948
33,-16976.85408734,270.94534074699,0.94219083383704,46.051363312854,34047.995099809,1,287.56949337277
34,-24186.949972035,267.66462752148,0.94013693378851,-72.099209023679,33635.72852413,1,284.70812910504
35,-23799.096854224,265.27811655618,0.94111891639202,-86.566751520446,33335.830716593,1,281.87523588749
36,-20926.717757753,262.3018109622,0.93991225286143,-23.454902198034,32961.817131418,1,279.07053042841
37,-20970.204276375,259.83069162076,0.9404147155282,-7.6528794457354,32651.287121946,1,276.29373225494
38,-23652.961990083,257.40151687157,0.94098567854573,-38.987784330654,32346.0280253,1,273.54456368494
39,-23833.301690398,254.73962576638,0.94061383674448,-56.411253320258,32011.524929377,1,270.82274979927
40,-20873.198410778,252.29217602938,0.94093924805572,-48.992361470319,31703.969330072,1,268.12801841426
41,-16349.159740933,249.74273776976,0.94079199743562,-22.046702508706,31383.597475249,1,265.46010005453
42,-11490.585429547,247.12088723602,0.94027122490898,25.8707274913,31054.126025845,1,262.81872792602
43,-8442.9353537362,244.72002705361,0.94049425687775,76.280840911413,30752.425042537,1,260.20363788933
44,-7035.1543138329,242.37352822753,0.94083781713737,102.3244605819,30457.55530862,1,257.61456843326
45,-5666.294887009,239.92935289663,0.94071031951137,111.00343950458,30150.411183313,1,255.05126064871
46,-5171.3783548516,237.45435637663,0.94036317139958,120.41343749025,29839.393953224,1,252.51345820277
47,-6926.8761830667,235.08428338392,0.94033372082735,94.158246917888,29541.561802209,1,250.00090731308
48,-10817.469811008,232.76492584767,0.94041359597685,48.566541355087,29250.102743303,1,247.51335672246
49,-15916.460880591,230.44102861268,0.94038157186919,-10.641715982748,28958.073209039,1,245.05055767377
50,-20339.443282832,228.15628953385,0.94041531899618,-55.305299428433,28670.96443372,1,242.61226388505
