time,Load,avg_p,avg_psie_active,max_d
0,0,0,0,0
1e-06,-42293.395625715,-336.56121663943,0.00053753991975219,0
2e-06,-23394.547930339,-186.16848795601,0.0028681796551248,0
3e-06,-28249.69621046,-224.8046529635,0.0067634331384223,0
4e-06,-24512.472080554,-195.06467390987,0.0122293716013,0
5e-06,-23616.805785852,-187.93716538548,0.01911485438919,0
6e-06,-22037.776048901,-175.37160611753,0.027307399444351,0
7e-06,-20532.785445361,-163.39523342234,0.036683751762158,0
8e-06,-19190.815503528,-152.7161420504,0.04712694466084,0
9e-06,-17753.003278893,-141.2743596051,0.058502819775731,0
1e-05,-16448.87222666,-130.89638150467,0.070696408158349,0
1.1e-05,-15121.772574607,-120.33562451439,0.083579733479116,0
1.2e-05,-13868.161046794,-110.35966929131,0.097035485912259,0
1.3e-05,-12634.743946195,-100.54441672387,0.11094693115834,0
1.4e-05,-11450.16036545,-91.117770193163,0.12520129786725,0
1.5e-05,-10300.244953446,-81.96700505902,0.1396934025075,0
1.6e-05,-9191.747545737,-73.145834976533,0.1543264576495,0
1.7e-05,-8119.7369140957,-64.615018353802,0.16902589836302,0
1.8e-05,-7082.3283810817,-56.359557356694,0.18376572172878,0
1.9e-05,-6068.9455945964,-48.295287782331,0.19863398317105,0
2e-05,-5059.8261146216,-40.264944630873,0.21396127930704,0
2.1e-05,-4014.6436018417,-31.947620072104,0.23053984268488,0
2.2e-05,-2865.6591734969,-22.80426349403,0.24993048445517,0
2.3e-05,-1512.2049606353,-12.033782906998,0.27478675504159,0
2.4e-05,168.86466374658,1.3437865614035,0.30903558142226,0
2.5e-05,2291.9992904075,18.239208706318,0.35824570664354,0
2.6e-05,4910.0352747633,39.072943218873,0.42819049597562,0
2.7e-05,7959.7274880369,63.341699758512,0.52196801479278,0
2.8e-05,11240.987315601,89.45321866913,0.6367900450539,0
2.9e-05,14463.176154637,115.09466409728,0.7620953640335,0
3e-05,17357.068158582,138.12359803037,0.88278090732413,0
3.1e-05,19797.926686284,157.54739466752,0.98763657233732,0
3.2e-05,21856.092304457,173.92580822948,1.0767487731069,0
3.3e-05,23726.890961351,188.81319815731,1.1604707901422,0
3.4e-05,25581.332127275,203.57041889487,1.2499672778158,0
3.5e-05,27450.32474482,218.44343677259,1.3473510851196,0
3.6e-05,29233.28335147,232.6318155725,1.4439979897644,0
3.7e-05,30812.732501812,245.20071243676,1.5288172289362,0
3.8e-05,32161.166015035,255.93123943876,1.5985964317165,0
3.9e-05,33344.485945911,265.3478301314,1.6595008395843,0
4e-05,34438.992570153,274.05766474328,1.7186644172097,0
4.1e-05,35462.32518213,282.20111276438,1.7763189673721,0
4.2e-05,36386.06451575,289.55202014321,1.8273185936802,0
4.3e-05,37198.42042656,296.01656359359,1.8690864160736,0
4.4e-05,37939.910665581,301.91717415651,1.9057673987525,0
4.5e-05,38684.35036435,307.84125584883,1.944470978179,0
4.6e-05,39504.153235694,314.36506051626,1.9900836993871,0
4.7e-05,40461.123050847,321.98040850405,2.0454847976267,0
4.8e-05,41615.993237328,331.1706026058,2.1151652187414,0
4.9e-05,43023.495389636,342.37118439392,2.2056138437549,0
5e-05,44701.914115983,355.72765861909,2.3209255901858,0
5.1e-05,46471.531302008,369.8098694301,2.4589726707457,0.0066185514513214
5.2e-05,39133.535787291,311.41577121241,2.9470873658759,0.4202163217945
5.3e-05,23669.626849028,188.35750338444,10.645315799748,0.84523414649357
5.4e-05,3871.6836785336,30.809977539331,74.278063009584,0.98104750582419
5.5e-05,-15282.823702935,-121.61723273925,353.55789385566,1
