time,Load,avg_p,avg_psie_active,max_d
54,31966.886816381,254.39731805003,2.208942253432,0
55,33022.298416713,262.79644312297,2.3193496750662,0.0051984707281039
56,33490.203167957,266.52009987138,2.4573879337604,0.022629978705928
57,32981.094599708,262.46853691804,2.6189333899752,0.056610323109994
58,31118.218106323,247.64348415335,2.8462018894461,0.15926128095164
59,22290.423328145,177.39055871947,5.7068131893531,0.78047693737809
60,7336.378208075,58.384006896117,44.81296142258,0.99630975665988
61,-10293.317283013,-81.91577508557,249.94938892093,1
62,-24463.0764204,-194.6808604901,536.73151117248,1
63,-30399.63888067,-241.92492204054,596.51344352637,1
64,-27788.320147193,-221.14365277944,587.15355243748,1
65,-19491.977825666,-155.12010634076,507.14100416379,1
66,-8844.0265714396,-70.382100498586,344.23538702388,1
67,-707.88715887781,-5.633473028981,252.76005047335,1
68,2391.7255936082,19.033713855856,178.5905033823,1
69,359.24409101796,2.8589187869699,218.90459995012,1
70,-5293.4146739965,-42.125794235969,343.68228328601,1
71,-10280.629571193,-81.814804356776,369.46062393067,1
71.5,-12285.935935677,-97.773335568262,349.81610637224,1
72.5,-14515.399220684,-115.5157414414,336.95226983347,1
72.75,-14636.092624464,-116.47623779515,343.51291677737,1
73.25,-15099.134094137,-120.16119181359,352.58328021336,1
73.75,-15880.232906798,-126.37729425154,371.0696860709,1
74.75,-16278.783500244,-129.5490201272,352.41464244421,1
74.875,-16318.402382033,-129.86431317807,344.59101574036,1
75,-16148.982682911,-128.51604559953,340.78378703832,1
75.25,-15800.570505638,-125.74332881971,340.32200744311,1
75.5,-15348.425649047,-122.14509169554,348.61895963904,1
75.75,-14958.866873825,-119.04492406869,356.30002537423,1
76,-14328.93974851,-114.03186877283,352.64815670963,1
76.5,-12834.166629627,-102.13623831243,335.23804693854,1
77.5,-9123.983237571,-72.610037971608,326.85269016621,1
77.5625,-8895.8639315601,-70.794630047216,327.31558572704,1
77.6875,-8506.3639706738,-67.69493047374,327.71287445594,1
77.8125,-7994.0654673661,-63.617981534948,325.66306515595,1
78.0625,-7032.4662759712,-55.965429794921,314.70989669655,1
78.1875,-6601.9397971378,-52.539234989219,306.40596527412,1
78.4375,-5831.1291144155,-46.405007044683,293.34599544083,1
78.9375,-4865.468538617,-38.720134193571,291.28354276765,1
78.96875,-4889.419350127,-38.910738372459,292.89026650221,1
79,-4946.9736230821,-39.368763977712,294.53390470926,1
79.0625,-4978.934710244,-39.623115141235,295.66950226397,1
79.1875,-4947.4637845708,-39.372664756942,297.09455687125,1
79.4375,-4864.6229388545,-38.713404782823,303.93286999068,1
79.6875,-4879.8650290887,-38.834703641211,278.65154912841,1
80.1875,-5280.5052638977,-42.023059198754,191.40595844391,1
81.1875,-7416.6333932962,-59.022689793114,186.18046615346,1
81.6875,-9152.8384116268,-72.839671809079,213.40771156347,1
81.8125,-9589.0101750932,-76.310792643346,222.76292597902,1
82.0625,-10419.43834786,-82.919465586652,247.22085569208,1
82.1875,-10906.121258312,-86.792561764924,255.22720673825,1
82.25,-11039.639559359,-87.855120590001,254.98788138842,1
82.3125,-11206.633288612,-89.184081933566,254.52395601936,1
82.34375,-11321.830243501,-90.100836716087,254.37593005339,1
82.375,-11483.775513061,-91.389621654185,253.92676056766,1
82.40625,-11502.398406411,-91.537825454881,254.06084481542,1
82.4375,-11583.687454755,-92.184735990909,253.42982919187,1
82.5,-11645.472897095,-92.676433881797,253.48071257524,1
82.53125,-11724.853638331,-93.308157821366,253.72038275359,1
82.5625,-11755.009887911,-93.548145814554,254.58586953191,1
82.59375,-11815.919943011,-94.032877241441,255.0240628307,1
82.625,-11900.066622936,-94.702529241613,255.20768203447,1
82.6875,-12006.488225899,-95.549448446846,256.21580630082,1
82.71875,-12046.754662826,-95.869894839409,256.88659546183,1
82.75,-12070.071261549,-96.055451857058,257.75222389267,1
82.78125,-12124.951567859,-96.492197631491,258.64150755729,1
82.8125,-12219.784754265,-97.246894465826,259.31900052429,1
82.84375,-12232.291578113,-97.346425660798,259.33147720984,1
82.875,-12330.301872721,-98.126406402518,259.46250893895,1
82.90625,-12411.400053902,-98.771797988809,259.85991613114,1
82.9375,-12466.516405147,-99.210422244526,260.48723845538,1
82.96875,-12494.140926573,-99.430262362318,262.06348493881,1
83,-12550.99528163,-99.882717915123,264.159025111,1
83.03125,-12592.577392999,-100.2136346438,266.86719288745,1
83.0625,-12640.520459058,-100.59517281155,270.12333436423,1
83.09375,-12654.703793576,-100.70804593188,273.80039290908,1
83.125,-12702.865322586,-101.09132266082,278.01382224862,1
