time,Load,avg_p,avg_p_over_p0,avg_s1,int_p,max_d,p_base
0,0,0,0,0,0,0,0
1,-42162.876142832,396.01868364611,0.99999684396301,-219.43940827708,49765.174640174,0,396.01993349967
2,-23319.97343433,392.07823190539,0.99999684396301,-98.331754955326,49270.002879003,0,392.0794693227
3,-28157.685312439,388.1769883146,0.99999684396301,-108.79330952436,48779.758159178,0,388.1782134194
4,-24430.279422463,384.31456274612,0.999996843963,-72.209991244165,48294.391455818,0,384.31577566093
5,-23535.349967794,380.49056895418,0.99999684396301,-51.631728661714,47813.85423185,0,380.49176980029
6,-21959.767019406,376.70462453622,0.999996843963,-27.683696998546,47338.09843315,0,376.7058134337
7,-20457.839316214,372.95635089462,0.999996843963,-4.5458846110243,46867.076483742,0,372.95752796238
8,-19118.878025474,369.24537319892,0.99999684396301,17.283347145046,46400.741281038,0,369.24653855465
9,-17684.373295094,365.57132034824,0.999996843963,39.202419059587,45939.04619113,0,365.57247410849
10,-16383.394187196,361.93382493424,0.999996843963,59.947884082445,45481.945044124,0,361.93496721438
11,-15059.65710685,358.33252320434,0.99999684396301,80.36528944821,45029.392129524,0,358.33365411861
12,-13809.330017289,354.76705502538,0.99999684396301,99.919065827331,44581.342191661,0,354.76817468686
13,-12579.300923372,351.23706384756,0.999996843963,118.89556777347,44137.750425169,0,351.23817236822
14,-11398.085754331,347.74219666882,0.99999684396301,137.13248717911,43698.572470501,0,347.74329415952
15,-10251.571200013,344.28210399954,0.99999684396301,154.70640652802,43263.764409495,0,344.28319057002
16,-9146.4785994203,340.85643982756,0.999996843963,171.58229414823,42833.282760984,0,340.85751558648
17,-8077.8838228218,337.4648615836,0.999996843963,187.80134850732,42407.084476443,0,337.46592663855
18,-7043.9185007315,334.10703010703,0.999996843963,203.41482110819,41985.126935689,0,334.10808456451
19,-6034.0508183268,330.7826096119,0.999996843963,218.58519065331,41567.367942617,0,330.78365357735
20,-5028.6122736161,327.49126765337,0.999996843963,233.65638455529,41153.765720978,0,327.49230123119
21,-3987.4384106192,324.23267509453,0.99999684396301,249.3231583299,40744.278910207,0,324.23369838808
22,-2842.999873995,321.00650607339,0.999996843963,266.79785081577,40338.86656128,0,321.00751918499
23,-1494.8309948153,317.81243797036,0.999996843963,287.92673880803,39937.488132625,0,317.81344100133
24,180.1187991203,314.65015137597,0.999996843963,315.05335233079,39540.103486065,0,314.65114442662
25,2296.356646056,311.51933005893,0.999996843963,350.46443729733,39146.672882804,0,311.52031322856
26,4906.8638440421,308.4196609345,0.99999684396301,395.37831782746,38757.156979453,0,308.42063432143
27,7948.5185625702,305.35083403317,0.99999684396301,448.80467731227,38371.516824098,0,305.35179773474
28,11221.34585854,302.31254246971,0.999996843963,506.98108489319,37989.713852401,0,302.31349658229
29,14434.928611807,299.30448241243,0.99999684396301,564.14030440137,37611.709883748,0,299.30542703143
30,17320.344831708,296.3263530528,0.99999684396301,614.73466185477,37237.467117427,0,296.32728827269
31,19753.034644313,293.37785657543,0.99999684396301,656.10491103298,36866.948128849,0,293.37878248972
32,21803.277601578,290.45869812819,0.99999684396301,689.77887953148,36500.115865806,0,290.45961482948
33,23666.18275613,287.56858579281,0.999996843963,720.12405906716,36136.933644766,0,287.56949337277
34,25512.527751409,284.70723055566,0.999996843963,751.01659211061,35777.365147206,0,284.70812910504
35,27373.151615525,281.87434627881,0.99999684396301,783.05120918552,35421.374415974,0,281.87523588749
36,29147.623838318,279.06964967149,0.999996843963,813.64165622917,35068.925851702,0,279.07053042841
37,30718.673810606,276.2928602617,0.999996843963,839.8412140667,34719.98420924,0,276.29373225494
38,32058.927316837,273.54370036818,0.99999684396301,861.10894576142,34374.514594132,0,273.54456368494
39,33187.226083169,270.32557330195,0.99816419965573,877.82650698797,33970.112827046,0.0049858899938629,270.82274979927
40,34132.030347366,266.4582079451,0.99377233875434,891.11766203147,33484.125371584,0.018761439516164,268.12801841426
41,34727.245505951,260.50388218097,0.98132970690309,895.84181913401,32735.882741241,0.060270485281503,265.46010005453
42,34642.774626839,251.3734151374,0.95645168485921,884.35909331236,31588.514433295,0.16328342617971,262.81872792602
43,32840.509799205,237.13547659947,0.91134573875684,835.03143011162,29799.322339294,0.47391904031549,260.20363788933
44,24978.10854212,224.88987728309,0.87297033956896,680.87524823609,28260.494971499,1,257.61456843326
44.5,19131.675875753,224.49403073837,0.87580183497544,579.24487673571,28210.751428473,1,256.32971041293
45.5,8145.4812378771,216.59232438414,0.85346764165937,372.90835169112,27217.793740081,1,253.77918717929
45.75,5234.0794267052,216.20982199754,0.85409298209507,322.7847115923,27169.727073391,1,253.14553161083
46.25,109.1777772668,219.11404192822,0.86990417817253,231.82200180304,27534.682107111,1,251.88296300464
46.5,-2394.5444029194,220.26655257229,0.87666869258082,187.01272947474,27679.510863544,1,251.25404207586
47,-7578.1394908768,220.03329645078,0.88012999158931,96.628483816439,27650.199035335,1,250.00090731308
47.25,-10001.882848992,219.57250285415,0.88048528788679,54.933605185313,27592.294005203,1,249.376685647
47.375,-11201.601220549,219.37727173055,0.88080272704829,34.920429371688,27567.760539075,1,249.06515953432
47.625,-13599.967178851,218.89732283004,0.88107566378192,-3.6114467054695,27507.448382507,1,248.44327431591
48.125,-18426.388021453,217.75723818257,0.88088015859496,-67.23174009699,27364.181122832,1,247.20415831582
49.125,-26832.130274208,215.41735575153,0.88017263808194,-137.50937131205,27070.142829622,1,244.74443584268
49.234375,-27685.213506181,215.16845991931,0.88011777848783,-141.913649751,27038.865657436,1,244.47689295516
49.453125,-29122.616622115,214.6747314746,0.880021190755,-147.86510237156,26976.821912303,1,243.94268425561
49.5625,-29800.991311715,214.43178247175,0.87998722403524,-150.51727977842,26946.292040723,1,243.67601780451
49.78125,-31026.622212642,213.95229575675,0.87994227173717,-155.10000797921,26886.037964097,1,243.14355910459
50,-32076.286104027,213.47545652521,0.87990381486382,-158.65526136948,26826.116580048,1,242.61226388505
