time,Load,avg_p,avg_psie_active,max_d
0,0,0,0,0
1e-06,-42293.395625246,-336.5612166357,0.00053753991958647,0
2e-06,-23394.547932998,-186.16848797716,0.0028681796550289,0
3e-06,-28249.696208515,-224.80465294802,0.0067634331385169,0
4e-06,-24512.47208154,-195.06467391772,0.01222937160218,0
5e-06,-23616.805784787,-187.93716537701,0.019114854391046,0
6e-06,-22037.776048439,-175.37160611385,0.027307399446721,0
7e-06,-20532.785442033,-163.39523339586,0.036683751766864,0
8e-06,-19190.815503361,-152.71614204906,0.047126944668647,0
9e-06,-17753.003277309,-141.2743595925,0.058502819784445,0
1e-05,-16448.872229746,-130.89638152922,0.07069640816505,0
1.1e-05,-15121.772576247,-120.33562452744,0.083579733478406,0
1.2e-05,-13868.161045806,-110.35966928345,0.097035485904477,0
1.3e-05,-12634.743947175,-100.54441673166,0.11094693114615,0
1.4e-05,-11450.160364647,-91.117770186777,0.12520129785117,0
1.5e-05,-10300.244954791,-81.967005069719,0.13969340249565,0
1.6e-05,-9191.7475458605,-73.145834977516,0.15432645764727,0
1.7e-05,-8119.7369134806,-64.615018348907,0.16902589837549,0
1.8e-05,-7082.3283801162,-56.359557349011,0.18376572176024,0
1.9e-05,-6068.9455924186,-48.295287765001,0.1986339832189,0
2e-05,-5059.8261124484,-40.264944613579,0.2139612793678,0
2.1e-05,-4014.6435993109,-31.947620051965,0.23053984275823,0
2.2e-05,-2865.6591704909,-22.804263470109,0.24993048453885,0
2.3e-05,-1512.2049612442,-12.033782911843,0.27478675512288,0
2.4e-05,168.86466982612,1.3437866097831,0.30903558149213,0
2.5e-05,2291.9992935986,18.239208731711,0.35824570670822,0
2.6e-05,4910.0352783638,39.072943247524,0.42819049603682,0
2.7e-05,7959.7274880406,63.341699758542,0.5219680148305,0
2.8e-05,11240.987315622,89.453218669297,0.63679004509192,0
2.9e-05,14463.1761607,115.09466414553,0.76209536410279,0
3e-05,17357.068160293,138.12359804399,0.88278090738348,0
3.1e-05,19797.926689725,157.5473946949,0.98763657240573,0
3.2e-05,21856.092307183,173.92580825118,1.0767487731673,0
3.3e-05,23726.890963402,188.81319817363,1.1604707901894,0
3.4e-05,25581.33212837,203.57041890358,1.2499672778328,0
3.5e-05,27450.324744566,218.44343677057,1.3473510850927,0
3.6e-05,29233.283350602,232.63181556559,1.4439979897004,0
3.7e-05,30812.732501371,245.20071243325,1.5288172288494,0
3.8e-05,32161.166010393,255.93123940181,1.5985964315929,0
3.9e-05,33344.485945318,265.34783012668,1.6595008395447,0
4e-05,34438.992571446,274.05766475357,1.7186644173027,0
4.1e-05,35462.325185191,282.20111278874,1.7763189675674,0
4.2e-05,36386.064520759,289.55202018307,1.8273185939508,0
4.3e-05,37198.420430787,296.01656362723,1.8690864163948,0
4.4e-05,37939.910670924,301.91717419903,1.905767399125,0
4.5e-05,38684.350369841,307.84125589253,1.9444709785734,0
4.6e-05,39504.153241531,314.3650605627,1.9900836997866,0
4.7e-05,40461.123055969,321.9804085448,2.0454847979906,0
4.8e-05,41615.993241687,331.17060264049,2.1151652190369,0
4.9e-05,43023.49539354,342.37118442499,2.2056138439758,0
5e-05,44701.914118091,355.72765863587,2.3209255903233,0
5.1e-05,44611.600096948,355.0089602106,2.4806678408973,0.19506839460746
5.2e-05,37310.383854655,296.90754307209,3.8842401965396,0.68258101592098
5.3e-05,24534.303908532,195.23840662811,21.417033822447,0.94181714945114
5.4e-05,8697.6787691579,69.21414809992,126.80929018501,0.99285519731241
5.5e-05,-6371.0946299459,-50.699721038143,444.6499642091,1
5.6e-05,-17562.956577646,-139.76201121019,945.77534377773,1
5.7e-05,-24827.821508342,-197.57415288437,1225.7000044365,1
5.8e-05,-28766.889921342,-228.92036280418,1121.8498814293,1
5.9e-05,-30353.805654367,-241.54867703408,1030.8654737747,1
6e-05,-30305.462647821,-241.1639743906,887.46538294261,1
6.1e-05,-28658.373807592,-228.05681626864,894.97908480937,1
6.2e-05,-26129.030437979,-207.92887739825,1036.4858046631,1
6.3e-05,-23140.004086671,-184.14288598091,988.22894329814,1
6.4e-05,-20716.071119777,-164.85377910451,895.60061620479,1
6.425e-05,-20280.968029247,-161.3913277372,853.8037652014,1
6.475e-05,-19682.944053221,-156.63238904303,797.58041817263,1
6.575e-05,-19112.097703286,-152.08972371182,818.14969179525,1
6.675e-05,-18943.174440179,-150.74547083004,734.3271498144,1
6.725e-05,-18903.115026758,-150.42668713534,743.81733573859,1
6.825e-05,-18042.213364568,-143.57582764424,642.76553910865,1
6.925e-05,-15707.218809249,-124.99447240525,555.68065141392,1
7.025e-05,-12723.812624863,-101.25320499715,394.81455621645,1
7.125e-05,-10384.094512758,-82.63426076831,336.26533027901,1
7.225e-05,-9053.0175117191,-72.04185294003,383.39698318928,1
7.325e-05,-7524.9214146247,-59.881611985829,325.33860712422,1
7.425e-05,-5775.4167702631,-45.959452203872,352.78043863712,1
7.525e-05,-4342.676991023,-34.55803512457,381.37233332689,1
7.625e-05,-3898.8681211075,-31.0263051463,448.94609527053,1
7.725e-05,-3198.6545385953,-25.454164821524,339.67677859,1
7.825e-05,-2204.264660537,-17.541036489739,288.19319479745,1
7.925e-05,-2271.76808166,-18.078213351619,439.48651092924,1
8.025e-05,-3873.9192731088,-30.82776789215,484.89127237174,1
8.125e-05,-6280.964199798,-49.982483588228,455.60080826814,1
8.175e-05,-7904.839071787,-62.904910234305,455.77870644972,1
8.275e-05,-11574.67975422,-92.10866714905,482.12293054426,1
8.375e-05,-14746.14261285,-117.34644677009,528.64307412717,1
8.475e-05,-16810.615003005,-133.7750481881,588.60422558349,1
8.575e-05,-17934.177674516,-142.71610421115,657.76929748476,1
8.675e-05,-17396.025373654,-138.43361068146,638.32078092547,1
8.775e-05,-15051.331407846,-119.77506974134,666.63651552894,1
8.875e-05,-11943.833691799,-95.046310166845,649.19737914087,1
8.975e-05,-8791.7368039209,-69.96264053346,647.21974306569,1
9.075e-05,-6684.9325862821,-53.197172066831,694.0786161084,1
9.175e-05,-6092.7942628396,-48.485070056381,642.52804344455,1
9.275e-05,-7125.7113167223,-56.704788884798,575.05599839501,1
9.375e-05,-9090.4219698324,-72.339509104642,535.56459013732,1
9.475e-05,-10656.658761262,-84.803265023747,542.82201291367,1
9.575e-05,-11080.817566937,-88.178624263035,598.28327502874,1
9.675e-05,-10277.038103925,-81.78233023228,612.82877176033,1
9.775e-05,-8444.6803036103,-67.200843892186,605.02994303523,1
9.875e-05,-6118.145695532,-48.686810987897,569.57439955491,1
9.975e-05,-4225.8836718466,-33.628620472096,583.90741143685,1
0.0001,-3902.6656999009,-31.05652541403,603.28649372656,1
