time,Load,max_d
0,0,0
1e-06,40044.192378033,0
2e-06,31015.77295619,0
3e-06,26108.265096319,0
4e-06,28848.400788862,0
5e-06,25527.409059978,0
6e-06,25695.113142424,0
7e-06,24180.403296888,0
8e-06,23380.239029453,0
9e-06,22369.062574952,0
1e-05,21389.377235198,0
1.1e-05,20479.515803043,0
1.2e-05,19518.790096241,0
1.3e-05,18632.726205518,0
1.4e-05,17723.36379119,0
1.5e-05,16859.901339758,0
1.6e-05,15998.716245066,0
1.7e-05,15162.33357772,0
1.8e-05,14330.684154828,0
1.9e-05,13492.489649344,0
2e-05,12611.564292208,0
2.1e-05,11628.232424236,0
2.2e-05,10455.695808166,0
2.3e-05,8989.5169362915,0
2.4e-05,7143.4048917035,0
2.5e-05,4893.0028328042,0
2.6e-05,2311.4909809295,0
2.7e-05,-448.96167638032,0
2.8e-05,-3236.5613594612,0
2.9e-05,-5997.3698637514,0
3e-05,-8797.7316315831,0
3.1e-05,-11720.339483474,0
3.2e-05,-14705.960842174,0
3.3e-05,-17512.410245256,0
3.4e-05,-19891.995705091,0
3.5e-05,-21852.463847746,0
3.6e-05,-23704.238384375,0
3.7e-05,-25770.487908955,0
3.8e-05,-28038.212210305,0
3.9e-05,-30168.256374938,0
4e-05,-31893.268097323,0
4.1e-05,-33335.826718679,0
4.2e-05,-34844.15253629,0
4.3e-05,-36562.596894638,0
4.4e-05,-38312.536977789,0
4.5e-05,-39924.040355692,0
4.6e-05,-41526.757438298,0
4.7e-05,-43395.820776423,0
4.8e-05,-45612.376222751,0
4.9e-05,-48030.719091561,0
5e-05,-50530.112571991,0
5.1e-05,-53119.397390546,0
5.2e-05,-55773.003888001,0
5.3e-05,-58328.085253564,0
5.4e-05,-60626.028728159,0
5.5e-05,-62656.188296899,0
5.6e-05,-64485.165381776,0
5.7e-05,-66117.417684686,0
5.8e-05,-67493.664914833,0
5.9e-05,-68572.422303943,0
6e-05,-69355.696719136,0
6.1e-05,-69879.565871087,0
6.2e-05,-70230.572041111,0
6.3e-05,-70530.207555437,0
6.4e-05,-70842.401940015,0
6.5e-05,-71105.191097037,0
6.6e-05,-71192.803078415,0
6.7e-05,-71053.834705398,0
6.8e-05,-70784.749352677,0
6.9e-05,-70574.761462625,0
7e-05,-70574.469208388,0
7.1e-05,-70797.564086334,0
7.2e-05,-71141.156584706,0
7.3e-05,-71505.206426838,0
7.4e-05,-71883.245592069,0
7.5e-05,-72320.808157614,0
7.6e-05,-72792.856064528,0
7.7e-05,-73151.76998269,0
7.8e-05,-73214.628249785,0
7.9e-05,-72895.643099341,0
8e-05,-72242.166535814,0
8.1e-05,-71348.190191477,0
8.2e-05,-70254.347461353,0
8.3e-05,-68941.298709456,0
8.4e-05,-67399.595079828,0
8.5e-05,-65675.033035579,0
8.6e-05,-63841.06353643,0
8.7e-05,-61951.439622966,0
8.8e-05,-60036.72321766,0
8.9e-05,-58129.851931116,0
9e-05,-56265.015911011,0
9.1e-05,-54447.73154566,0
9.2e-05,-52652.667528249,0
9.3e-05,-50874.736723732,0
9.4e-05,-49178.962159371,0
9.5e-05,-47680.454365184,0
9.6e-05,-46461.893881503,0
9.7e-05,-45505.598964275,0
9.8e-05,-44699.101553407,0
9.9e-05,-43900.250542227,0
0.0001,-43004.044843003,0
