time,DJ,DJ1,DJ1_br,DJ2,DJ2_br,DJ_br,EW,EW_br,FE,FE_br,Fy_top,J,KE,KE_br,PEW,SE,SE_br,max_disp_y,preset_ext_power,preset_ext_work_p
3.5,4.6260989017364e-14,4.0959857033895e-14,-2.1851139103325e-22,5.3011319834685e-15,4.3193423660663e-25,-2.1807945679664e-22,0.074581114010975,-1.4057877565007e-09,0,0,99.280658349448,6.3694546598853e-14,0.035780068982121,1.1754035087797e-10,0.07610678784312,0.037260436017548,2.3457332351833e-10,0.00040043038790528,0.022283341364504,0.076502048943583
3.75,1.6994145280998e-12,1.4732992386843e-12,-3.8075123595816e-21,2.2611528941547e-13,1.5037130578426e-22,-3.6571410537973e-21,0.080174479588435,-2.5609229474718e-08,0,0,99.832703797764,2.3348400578389e-12,0.038562188785229,2.5654742461528e-09,0.081680919866215,0.040051389318248,5.0409929591055e-09,0.00042965368959906,0.022579111794609,0.082109855588472
4,4.6073528489848e-11,3.8918993462006e-11,-4.710628152367e-20,7.1545350278424e-12,1.0445725606786e-20,-3.6660555916884e-20,0.085778599933819,-3.245721297843e-07,0,0,100.53524896039,6.3106568202412e-11,0.041346399582983,3.9806907807211e-08,0.087226777130589,0.042812863067826,7.675155062402e-08,0.00045872857635352,0.022057500872838,0.087689432171903
4.25,9.2226965449946e-10,7.5418704766593e-10,-5.3056026233641e-19,1.6808260683353e-10,4.0571868592422e-19,-1.248415764122e-19,0.091296768019222,-2.8515094433349e-06,0,0,99.792423791996,1.2577491233842e-09,0.044133325925591,4.3928698447248e-07,0.092728144392439,0.045529133472493,8.2813059396416e-07,0.00048763571128131,0.022141429977685,0.093214298528219
4.5,1.3618427871387e-08,1.0686130726611e-08,-8.0847177233055e-18,2.9322971447759e-09,1.0933069885455e-17,2.8483521621493e-18,0.096856612862851,-1.7279792739328e-05,0,0,99.695800402314,1.8454925833507e-08,0.046922568164202,3.4485833034849e-06,0.098276468791021,0.048290580879289,6.3396481312073e-06,0.00051673112369489,0.022474803451929,0.09879132770692
4.75,1.4810471046093e-07,1.1011931180761e-07,-1.4180517383163e-16,3.798539865332e-08,2.1809891552138e-16,7.6293741689749e-17,0.10245854135077,-7.1775776462569e-05,0,0,100.25900822903,1.9877722537344e-07,0.049714216753593,1.9262712395374e-05,0.10383544730211,0.051061775858612,3.4577947064128e-05,0.00054583217477469,0.022261462826704,0.10438336099175
5,1.1843006810101e-06,8.1900424969694e-07,-2.0783579664143e-15,3.6529643131319e-07,3.2883375084577e-15,1.2099795420434e-15,0.1080139639124,-0.000202778139953,0,0,100.03189681732,1.5654613622276e-06,0.052508263828293,7.6527963242699e-05,0.10936076108408,0.053797742118072,0.00013583158878037,0.00057479798324729,0.022158745733607,0.10993588706179
5.25,6.9573706265171e-06,4.3500902751732e-06,-2.3557205990586e-14,2.6072803513439e-06,3.7661164636321e-14,1.4103958645735e-14,0.11356888306199,-0.00038608743098555,0,0,99.759151590264,8.9717682788717e-06,0.055303610164684,0.00021567781208001,0.11490067527779,0.056548875566204,0.00039344717491494,0.00060383517068235,0.0223783485861,0.11550302385175
5.5,3.0079780858348e-05,1.6265636562307e-05,-2.0600659849865e-13,1.3814144296041e-05,3.2734892334468e-13,1.2134232484603e-13,0.11916087838036,-0.00049034940913776,0,0,100.06024150766,3.7237426723987e-05,0.05809659351921,0.00042734956917202,0.12046082528229,0.059326895143513,0.00087665557422806,0.00063292968313547,0.022353120691796,0.12109445751149
5.75,9.6440764662437e-05,4.203200244239e-05,-1.3827038743575e-12,5.4408762220047e-05,2.148469308533e-12,7.657654341755e-13,0.12473823371878,-0.00040897528306918,0,0,100.09298075654,0.0001116435211479,0.060877707349898,0.00058115094462503,0.12600460209901,0.062107746388132,0.0015882225112598,0.00066194091134215,0.022230406898206,0.12666739846024
