"Time","Points:0","Points:1","Points:2"
53.875,91.875,8.6259,0
54.125,92.25,8.5008,0
54.375,92.5,8.6258,0
54.625,92.75,8.7508,0
54.875,93,8.8758,0
55.125,93.25,9.0008,0
55.25,93.375,9.1258,0
55.5,93.625,9.2508,0
55.75,93.875,9.3758,0
56,94.25,9.1257,0
56.25,94.5,9.2507,0
56.5,94.75,9.3757,0
56.75,95,9.5007,0
57,95.25,9.5007,0
57.25,95.5,9.6257,0
57.5,95.625,9.8757,0
57.75,95.875,9.8757,0
58,96.125,10.001,0
58.125,96.25,10.001,0
58.188,96.25,10.126,0
58.312,96.375,10.126,0
58.562,96.625,10.126,0
58.688,96.75,10.126,0
58.938,97,10.251,0
59.188,97.25,10.251,0
59.438,97.375,10.501,0
59.688,97.625,10.501,0
59.938,97.75,10.626,0
60.062,97.875,10.625,0
60.312,98.125,10.625,0
60.438,98.25,10.625,0
60.688,98.375,10.875,0
60.938,98.5,11,0
61.188,98.625,11,0
61.438,98.75,11.125,0
61.688,98.875,11.125,0
61.938,99,11.25,0
62.188,99.125,11.25,0
62.438,99.25,11.25,0
62.688,99.375,11.25,0
62.938,99.5,11.25,0
63.188,99.5,11.376,0
63.438,99.75,11.126,0
63.688,100,11.126,0
63.938,100,11.251,0
64.188,100,11.376,0
64.438,100,11.376,0
64.688,100,11.376,0
64.938,100,11.376,0
65.188,100,11.376,0
65.438,99.999,11.376,0
65.688,99.999,11.377,0
65.938,100,11.377,0
66.188,100,11.377,0
66.438,100,11.377,0
66.688,100,11.378,0
66.938,100,11.378,0
67.188,99.999,11.378,0
67.438,99.999,11.378,0
67.688,99.999,11.378,0
67.938,99.999,11.378,0
68.188,99.999,11.378,0
68.438,99.999,11.379,0
68.688,99.999,11.379,0
68.938,99.999,11.379,0
69.188,99.999,11.379,0
69.438,99.999,11.38,0
69.688,99.999,11.38,0
69.938,99.999,11.38,0
70,99.999,11.38,0
