time,DJ1,DJ2,DJint,EW,FE,Fy,J,KE,PEW,SE,max_disp_y
5.5,2.7500094876181e-05,4.1114640391187e-05,6.8614735267368e-05,0.11660931739814,0,99.977657487153,7.8312455513519e-05,0.056474423244857,0.11695735795568,0.05743192437642,0.00062400142442982
5.75,5.5870019533225e-05,0.00010686069853512,0.00016273071806835,0.12203563111897,4.0299176921965e-07,99.984877232739,0.000179485964956,0.059186040036317,0.12235864552147,0.060136774130704,0.00065259324073322
6,8.194842796258e-05,0.00023857582332761,0.00032052425129019,0.12746543554123,1.4945572480012e-05,99.990853524379,0.00032333857593257,0.06186984845006,0.12776301008292,0.062888047147334,0.00068125411252016
6.25,8.938599301605e-05,0.00043615566044606,0.00052554165346211,0.13289764309399,0.00014903510531473,99.986882042959,0.00047129809435417,0.064493445656244,0.13316993993737,0.06570981886411,0.00070993985386504
6.5,8.4338458511757e-05,0.00065970669095823,0.00074404514946999,0.13833304801877,0.00047168429667505,99.989496642887,0.00059486238237053,0.067048599103594,0.13858003756985,0.068576684925564,0.0007385718600546
6.75,8.6744302235067e-05,0.00085853691246634,0.00094528121470141,0.14377156129357,0.00078671818709492,99.988975912604,0.0007069504550753,0.069575748444565,0.14399303685762,0.071445890379161,0.00076719183374871
7,9.4821702142777e-05,0.00099929000696573,0.0010941117091085,0.14921261365079,0.00099033991158106,99.98068285767,0.00082389643989622,0.072099359752286,0.14940888349151,0.074341642417661,0.00079580045913626
7.25,9.4421052322355e-05,0.0010776754868383,0.0011720965391607,0.15465688726662,0.0011751267939806,99.979619044864,0.0009358231059881,0.074571389066825,0.15482830342125,0.077325577840496,0.00082439595553208
7.5,8.9660758734711e-05,0.0011279258117061,0.0012175865704408,0.16010496078841,0.0015127410800575,99.98410018168,0.0010388576603893,0.076975733298116,0.16025148520607,0.080341675036543,0.00085296387956877
7.75,8.9109797492719e-05,0.0012001027231704,0.0012892125206631,0.1655566452776,0.0021125258207424,99.985596275201,0.0011445417880807,0.079371178106931,0.16567803450896,0.083325794329523,0.00088158780222298
8,9.0395999644149e-05,0.0013241569300343,0.0014145529296785,0.17101139647093,0.0029159570106424,99.985626517766,0.0012551332312801,0.08174033215317,0.17110744169941,0.08635253503888,0.00091021953887292
8.25,9.1935314396814e-05,0.0014839121199421,0.001575847434339,0.17646829437976,0.0037164822510271,99.981734926325,0.0013663522380311,0.08404648305953,0.17653920389706,0.089421506949146,0.00093884831998942
8.5,9.463803501683e-05,0.001636361902475,0.0017309999374919,0.18192667347283,0.0044028439235175,99.96831998906,0.0014777902825349,0.086332545230652,0.18197329314079,0.09250376909088,0.0009675237921167
8.75,9.8185531580494e-05,0.0017464085168111,0.0018445940483916,0.18738630742784,0.0050651255070526,99.943079057323,0.0015893276112435,0.088585854422111,0.18741006612862,0.095646297368426,0.00099628429507598
9,0.0001037537869422,0.0018206080342517,0.0019243618211939,0.19284596700998,0.0058407410689059,99.895039196654,0.0017015214053132,0.090792830049209,0.1928494179892,0.098803849501721,0.0010251456557374
9.25,0.000111351563172,0.0018933540125597,0.0020047055757317,0.19830202261712,0.0067601585949984,99.798661298627,0.0018143935687187,0.092978880394775,0.1982904605797,0.10196043651552,0.001054215313675
9.5,0.0001199995094188,0.0019884046520186,0.0021084041614374,0.20374759720373,0.0077588453645612,99.618242288666,0.0019265114329142,0.095131737470083,0.20373182399138,0.10513040948969,0.0010837973648218
9.75,0.0001291806498573,0.0020923955659645,0.0022215762158218,0.20917076731562,0.008778262078828,99.30856856379,0.0020380574779774,0.097272258665681,0.20917202289494,0.10827199335736,0.0011144483016041
10,0.00013674578211406,0.0021787222420155,0.0023154680241296,0.21455073548013,0.0098389550753304,98.82459420455,0.00214864290528,0.099446409859589,0.21460991921715,0.11133282307104,0.0011470705620338
10.25,0.00014081864335087,0.0022372276826875,0.0023780463260383,0.21985135724135,0.010985480945666,98.148248421928,0.0022574362797103,0.1017551150498,0.22004505083981,0.11414561292243,0.0011830396842837
10.5,0.00014051211560531,0.002280468222019,0.0024209803376243,0.22501411369176,0.012230490873686,97.320752979358,0.002364636538121,0.10442298341378,0.22547734939775,0.11641350689938,0.0012242559204151
10.75,0.00013610510305329,0.0023164855423269,0.0024525906453802,0.22996169576102,0.013572468261658,96.47464036225,0.0024710107215985,0.10779813964556,0.23090633637407,0.11771945248224,0.0012730195164875
11,0.00013014206917529,0.0023355633146797,0.002465705383855,0.23463269407353,0.015042814622372,95.85102908795,0.0025779464878364,0.1122838832127,0.23632993952086,0.11767621493103,0.0013316573357487
11.25,0.00012701303950343,0.0023285827460533,0.0024555957855567,0.23905677468564,0.016682520286773,95.762542031549,0.0026884539522011,0.11808286643562,0.24174260795801,0.11627129858413,0.0014018801573199
11.5,0.00013037814034075,0.0023054634178466,0.0024358415581874,0.24342897106501,0.018488805339738,96.474131729316,0.0028065506745943,0.12489535896524,0.24713305481228,0.11411243173238,0.0014839760787974
11.75,0.00014092171134082,0.0022827152097076,0.0024236369210484,0.2480828091316,0.020428417165234,98.029243334956,0.0029336243506507,0.13190762104934,0.25248369013186,0.11216245404547,0.0015761280756623
12,0.00015582735486745,0.0021518170755845,0.002307644430452,0.2532981612343,0.022535133929408,100.10942693198,0.0030651176273158,0.13836420076851,0.25777438931412,0.11085590025573,0.0016743078249568
12.25,0.00016943966583968,0.0013694363297661,0.0015388759956057,0.25906106469068,0.024735703061867,102.04477669398,0.0031917841590446,0.14425613136435,0.26299117568749,0.10976648170937,0.0017731340088959
12.5,0.00017366398645927,0.0011836045250849,0.0013572685115441,0.26503133207002,0.026845219862254,103.05255303468,0.0033047112383314,0.15029331259073,0.26813662033684,0.10806380570605,0.0018676199692321
12.75,0.00015844704709099,0.0015338911185187,0.0016923381656097,0.27079499710416,0.029015289088456,102.65257108522,0.0033975183654187,0.15701461728971,0.27323543290745,0.10561182848231,0.0019550973121708
13,0.00011951863569616,0.0013215385580959,0.001441057193792,0.2761324925393,0.03130627669853,101.03894525755,0.0034682787109096,0.16406844535843,0.27832829018843,0.10316300405579,0.0020362697482675
13.25,7.1431291605452e-05,0.00096133854311675,0.0010327698347222,0.2810526668737,0.033659981708614,99.109524192453,0.0035293093728638,0.17087966625144,0.28345205920001,0.10109595067108,0.0021146231805068
