time,DJ,DJ1,DJ1_br,DJ2,DJ2_br,DJ_br,EW,EW_br,FE,FE_br,Fy_top,J,KE,KE_br,PEW,SE,SE_br,max_disp_y
3.75,-2.9609002162669e-06,-1.3182246200018e-06,-3.1594779728442e-15,-1.6426755962651e-06,-1.1665190062003e-15,-4.3259969790445e-15,0.078230983363265,-8.3618906915186e-10,0,0,99.982952031833,-1.1610344690315e-06,0.037447318910676,9.2355277726769e-10,0.079230965883244,0.038763160664141,2.9641276084698e-09,0.00042364227416388
4,-2.9359071211389e-06,-1.3840745809721e-06,-2.6778276559036e-14,-1.5518325401667e-06,-1.4883962749256e-14,-4.1662239308292e-14,0.083659404743876,-7.0619503320197e-09,0,0,100.2640291692,-1.1186955758426e-06,0.040161963981118,8.2488055021034e-09,0.084610364818277,0.04142729387757,2.9582723834359e-08,0.00045226689670718
4.25,-3.4433773335187e-06,-1.7265836631938e-06,-1.5777858500268e-13,-1.7167936703249e-06,-1.5233148184877e-13,-3.1011006685145e-13,0.089026309979737,-4.8723327097017e-08,0,0,99.83189039445,-1.5085848296265e-06,0.042880926189255,6.0115382562773e-08,0.089964109027648,0.044063490148626,2.460865817651e-07,0.00048089169549811
4.5,-3.294583992759e-06,-1.4165429498406e-06,-5.0334312806883e-13,-1.8780410429183e-06,-1.2439991745008e-12,-1.7473423025696e-12,0.094439325007905,-2.7131511990289e-07,0,0,99.866454589527,-1.3174430440127e-06,0.045602476344458,3.5688716704456e-07,0.095361075415105,0.046742851814535,1.6896542283165e-06,0.00050951636955336
4.75,-2.5648308752983e-06,-9.2027753912358e-07,8.61372782641e-13,-1.6445533361747e-06,-8.024843409018e-12,-7.163470626377e-12,0.099877794227968,-1.1916530320379e-06,0,0,100.14993469635,-4.1972964064579e-07,0.048319686661275,1.7074065185181e-06,0.10075989331934,0.04943496645805,9.4420444595731e-06,0.0005381410961377
5,7.205485694153e-07,6.6756052615911e-07,2.0616802235314e-11,5.2988043256185e-08,-4.0205116427421e-11,-1.9588314192107e-11,0.10527727331159,-3.9989209899486e-06,0,0,99.974089491988,3.9000958309794e-06,0.051022725778471,6.4474152060951e-06,0.10613447031534,0.05212108223553,4.2323516149673e-05,0.00056676578297744
5.25,1.5648709726379e-05,8.0413539696035e-06,1.2510672126764e-10,7.6073557567752e-06,-1.5195985727199e-10,-2.6853136004357e-11,0.11068677846406,-9.83897350645e-06,0,0,99.869024504012,2.2120616331605e-05,0.05371620677611,1.863464339414e-05,0.1115277536934,0.054824354283688,0.00015024457542068,0.00059539047637069
5.5,6.1073386233638e-05,2.7050011714757e-05,4.2898816428685e-10,3.4023374518882e-05,-4.0954168296715e-10,1.9446481319698e-11,0.11612543134524,-1.6727900869159e-05,0,0,100.04908886906,7.3901403352069e-05,0.056441076036123,3.9481516897451e-05,0.11693513503027,0.057480425583766,0.00041803793905668,0.00062401515945988
5.75,0.00016232653758847,5.7118744224932e-05,8.073835016352e-10,0.00010520779336354,-6.8099262614379e-10,1.2639087549141e-10,0.12154842730075,-1.7614092265492e-05,2.5849758297119e-08,0,100.0266828006,0.00017774062160156,0.059239433035792,5.7390831983189e-05,0.12232880493662,0.060053179516779,0.00090438056857302,0.00065263983726281
6,0.00033396926576984,8.3852529700685e-05,3.0959302837834e-10,0.00025011673606916,-2.7792921403597e-10,3.1663814342374e-11,0.12696624836135,-8.2328231450332e-06,3.4439270747342e-06,0,99.911340855612,0.00032447990974975,0.062011472167498,5.0500189233108e-05,0.12772691019276,0.062771316740021,0.0015134684310976,0.00068126451216634
6.25,0.000516729319208,9.091929911239e-05,-2.1169856309579e-09,0.00042581002009561,1.594663013123e-09,-5.2232261783485e-10,0.13240499144105,2.3474128110167e-06,2.6141335744705e-05,0,99.989137653066,0.00047154588149367,0.064550711740378,1.9051354623442e-05,0.13313941630047,0.065767166664204,0.0019612827978643,0.00070988918117592
6.5,0.00071007016209688,8.613577303647e-05,-4.0075304875813e-09,0.00062393438906041,3.6031817797867e-09,-4.0434870779454e-10,0.13784325132318,3.1946267339726e-06,7.0111290165093e-05,0,100.02918159001,0.00059219664595716,0.066972285718929,1.6256700158121e-07,0.13854811106769,0.068660097733595,0.0020038819428328,0.00073851384742665
6.75,0.00087274666233601,8.9271341632285e-05,6.5324110004724e-10,0.00078347532070372,1.6002577197993e-09,2.2534988198465e-09,0.14327396072626,5.736551113877e-07,0.00011552918824952,0,99.95225277489,0.00070506926473901,0.069592085913164,1.0329484627271e-05,0.14395570460074,0.071308094775979,0.0017129409955732,0.00076713850623461
