time,DJ_over_J,DJint,Fy,Jint,external_work,fracture_energy,kinetic_energy,max_disp_y,preset_ext_work,strain_energy
4.35e-06,-0.1220984855833,9.4525934888441e-07,104.72437684447,-7.7417778309749e-06,0.091559786074841,0,0.046533530706653,0.00049714223322325,0.093110890480554,0.046520755718846
4.4e-06,-1.193592592303,3.3445524546089e-06,103.50142269513,-2.8020888167173e-06,0.092629075562434,0,0.047097482592395,0.00050269315911459,0.094138684174861,0.046988259784123
4.45e-06,1.4514174981976,4.6574463986591e-06,100.96234589125,3.2088950315418e-06,0.093640517984678,0,0.047650920557246,0.00050818812417993,0.095135232621259,0.047447118386962
4.5e-06,0.60549855866102,4.7562513462772e-06,98.089455732593,7.8550993693445e-06,0.09462286923353,0,0.048182614598957,0.00051371622157562,0.096131423598977,0.047923274861296
4.55e-06,0.40552999782211,4.2220543880252e-06,95.975001228879,1.0411201170566e-05,0.095613173085062,0,0.048711250290375,0.00051935214638556,0.097157817299826,0.04841818919358
4.6e-06,0.31169322252285,3.5639223607265e-06,95.406433197399,1.1434070756752e-05,0.096644419134635,0,0.049259623504693,0.0005251280593033,0.098233096133945,0.048937354275658
4.65e-06,0.24211225286064,2.7283364721844e-06,96.573688723244,1.1268890524739e-05,0.097735538125377,0,0.049823620362898,0.00053102231284998,0.099357194004118,0.049500984552585
4.7e-06,0.1484836492324,1.3734255623818e-06,99.007103505016,9.2496754321563e-06,0.098884195795675,0,0.050378561466625,0.00053696891473176,0.10051162534579,0.050115743477818
4.75e-06,-0.10423201981238,-4.6385533442766e-07,101.76566395342,4.4502191866051e-06,0.100065522861,0,0.050913548562635,0.00054288360787604,0.10166677294143,0.050747281430635
4.8e-06,0.7191085058329,-2.1008432828568e-06,103.80041447877,-2.9214551987861e-06,0.10124062290158,0,0.051446260675528,0.00054869623350495,0.1027932678874,0.051338468309605
4.85e-06,0.24177558983029,-2.6846355268707e-06,104.35286473945,-1.1103831982191e-05,0.10237315341454,0,0.05199823826704,0.00055437683599594,0.10387309451689,0.051858927807537
4.9e-06,0.10776404870267,-1.9254562895221e-06,103.23725216812,-1.78673343541e-05,0.10344525505992,0,0.052565135867323,0.00055994597124359,0.10490622639417,0.052328581676502
