time,DJ1,DJ2,DJint,EW,FE,Fy,J,KE,PEW,SE,max_disp_y
7.5,8.880424969344e-05,0.0011274722415362,0.0012162764912296,0.16011489458495,0.00152882936737,99.98416070462,0.0010383708148809,0.076976657157833,0.16031707331801,0.08034049114504,0.00085296652653501
7.75,8.875743876671e-05,0.0011996636309285,0.0012884210696952,0.16556598695087,0.0021318765956255,99.987919308053,0.0011441386586275,0.079372529172009,0.16574525422126,0.083323395899302,0.00088158285732391
8,9.0312272452283e-05,0.0013235049585306,0.0014138172309829,0.17102025482184,0.0029399189999413,99.986443415118,0.0012546111225715,0.081741920219375,0.17117652746553,0.086349661049429,0.00091021547883293
8.25,9.1828424192384e-05,0.0014828188179242,0.0015746472421165,0.17647702011974,0.0037449524749277,99.980394169203,0.0013657649729979,0.08404791482277,0.17661049278785,0.089418348999127,0.00093884642851083
8.5,9.4325443015338e-05,0.001634859037344,0.0017291844803593,0.1819356719089,0.0044341881120141,99.965536828304,0.0014773894710072,0.086334418364204,0.18204706904216,0.092499702703148,0.0009675183420772
8.75,9.7515035557149e-05,0.0017459547979373,0.0018434698334945,0.18739571440949,0.0051004005392569,99.940106297281,0.0015889697914088,0.088588468103454,0.18748642234984,0.095642028786214,0.00099627418611049
9,0.0001029181197192,0.0018203369475568,0.0019232550672761,0.19285550271334,0.0058784899856627,99.892316728379,0.0017009015386265,0.090795516421334,0.19292821392303,0.098800194471744,0.001025135840418
9.25,0.0001106296287476,0.0018930634358341,0.0020036930645817,0.19831101287114,0.0067993497256967,99.791353216053,0.0018136179065495,0.092981417320729,0.19837140652916,0.10195677817858,0.0010542101910106
9.5,0.00011936496980888,0.0019884683665061,0.0021078333363149,0.20375510869177,0.0077993273582833,99.598903765704,0.0019259634632494,0.095134750680671,0.20381466907218,0.10512595423999,0.0010837989834668
9.75,0.00012871491776315,0.0020923553882578,0.0022210703060209,0.20917556397249,0.0088214834416816,99.270680672333,0.002037932772386,0.097275667023189,0.20925658017763,0.1082671922928,0.0011144562652409
10,0.00013699567120107,0.0021778556585693,0.0023148513297704,0.21455097978825,0.0098860828515965,98.758101817466,0.0021489994524435,0.099449639449967,0.21469593088298,0.11132773600506,0.0011470789519989
10.25,0.00014203803310515,0.0022359334213513,0.0023779714544564,0.21984455051874,0.011035602923935,98.036758809883,0.0022582762372927,0.10175831526876,0.22013216770338,0.11413991523022,0.0011830383348283
10.5,0.00014216097595586,0.0022794070362282,0.002421568012184,0.22499758689667,0.012283186131688,97.148461708494,0.0023657252803091,0.10442629138289,0.22556518726382,0.11640731937137,0.0012242400706953
10.75,0.00013757264033793,0.0023159153954386,0.0024534880357765,0.22993365705295,0.013626889725966,96.237779666175,0.0024719650126026,0.10780162098667,0.23099445781336,0.11771281378841,0.0012729976912086
11,0.00013115620164718,0.0023351867015357,0.0024663429031829,0.23459355848407,0.01509849908535,95.56571881894,0.0025784265696399,0.1122881669455,0.23641778641124,0.11766907376262,0.0013316455305976
11.25,0.00012725322665077,0.0023274744740323,0.0024547277006831,0.23900981220623,0.016738681212208,95.46556083888,0.0026880714876109,0.11808831715028,0.24182947111649,0.11626406534182,0.001401886313586
11.5,0.00012969675377123,0.0023006489872885,0.0024303457410597,0.24337935399078,0.018546525267603,96.217201639464,0.0028051951915898,0.12490192216715,0.2472182176381,0.11410436078792,0.0014839931934015
11.75,0.00014002383121615,0.0022522899294828,0.002392313760699,0.24803542897838,0.02050291295096,97.865349892441,0.0029322230655872,0.13191984587226,0.25256669574337,0.11214098068668,0.0015761442761444
12,0.00015609055064414,0.0018889137726842,0.0020450043233283,0.25325577800692,0.02267681669366,100.06876547548,0.0030653616585464,0.1383920101876,0.2578550524671,0.11079561923853,0.0016743184000586
12.25,0.00017165890473091,0.0012185965871298,0.0013902554918607,0.25902388770225,0.024855654671697,102.11031337741,0.0031945211467142,0.14428787173249,0.26306926020607,0.10971755399301,0.0017731400848114
12.5,0.00017677272255433,0.001459769840478,0.0016365425630323,0.26499760368868,0.026985015673074,103.15839134157,0.003308547445935,0.15031811964918,0.26821168086033,0.10802555612188,0.0018676208020608
12.75,0.00015991951073656,0.00177027816787,0.0019301976786065,0.27076200456975,0.029166227395722,102.71792394426,0.0033995703920377,0.15701909451332,0.27330711724618,0.10559819060217,0.0019550894133741
13,0.00011752170858392,0.0015039204631123,0.0016214421716962,0.27609787633516,0.031441883643801,101.01971421452,0.0034668137932297,0.16406218769334,0.27839673383693,0.10315383622898,0.0020362504220268
13.25,6.6741361508454e-05,0.001182963066448,0.0012497044279564,0.2810150286789,0.033899119180476,99.028246064648,0.0035254199399624,0.17090422759524,0.28351789390757,0.10104468844291,0.0021145910062666
13.5,4.0471438474391e-05,0.0011212308321409,0.0011617022706153,0.28567399575731,0.036432773754431,97.92935986132,0.0036069574670034,0.17756442054646,0.28867909117392,0.098953248876954,0.0021942349569136
