time,DJ1,DJ2,DJint,EW,FE,Fy,J,KE,PEW,SE,max_disp_y
4.5,-6.198180751269e-06,3.5815984152163e-06,-2.6165823360527e-06,0.094095819585014,0,99.795339437203,-2.9029657731424e-06,0.045617823880778,0.095016988477413,0.046776469514803,0.00050937170096748
4.75,-9.293980188696e-06,5.7540919255292e-06,-3.5398882631668e-06,0.099511770874832,0,100.03030448125,-1.3427348890664e-06,0.048333936926894,0.10038820184996,0.049459029823433,0.00053829904617501
5,-5.3496719227836e-06,2.7997671310427e-06,-2.5499047917408e-06,0.10493077538429,0,100.11675649428,3.585230384767e-06,0.051038625910934,0.1057586600491,0.052158063868923,0.00056696681260805
5.25,7.083735847569e-06,5.318795237042e-06,1.2402531084611e-05,0.11034469027386,0,99.943286449695,2.1458860383778e-05,0.05373273945148,0.11112858217682,0.054859350753066,0.00059539957036636
5.5,2.8432407113687e-05,3.1780742290702e-05,6.0213149404389e-05,0.11576480366027,0,99.83860124481,7.3418391196729e-05,0.056449140240653,0.11650669557184,0.057518768459352,0.00062358310240488
5.75,5.5499611796061e-05,0.00010484977204335,0.00016034938383941,0.12119444280153,4.258022586658e-07,99.951731488772,0.00017827699611746,0.059231391662463,0.12189080664698,0.060115469107292,0.00065229380385721
6,7.5828108787533e-05,0.00024463396563902,0.00032046207442655,0.12662476301469,1.697847059495e-05,100.07047180362,0.00032386625897001,0.062009956764997,0.12727358973282,0.062804614423717,0.0006816857195488
6.25,8.0318661944173e-05,0.00044446060007552,0.0005247792620197,0.13205280064422,0.00016169518081781,100.02320457759,0.00046804967654799,0.064598537235492,0.13265646304358,0.065748764528967,0.00071091073493292
6.5,8.0595199091145e-05,0.00066368739568967,0.00074428259478081,0.13748451767216,0.00047831063652499,99.916899245236,0.00058951566330924,0.067020100887015,0.13804482213656,0.068720785647263,0.00073911959096598
6.75,8.8995721980152e-05,0.00085492590422068,0.00094392162620083,0.14292291766675,0.00075982516670704,99.915059672564,0.00070558935248894,0.069559184135082,0.14343881997607,0.07147201618588,0.00076696837885729
7,9.4033073168871e-05,0.00098676701635115,0.00108080008952,0.14836513839589,0.00093940866279856,99.996892023758,0.00082316167322536,0.072186290310264,0.14883497215847,0.074319017754467,0.00079574410865989
7.25,8.8425135797412e-05,0.0010596173163985,0.0011480424521959,0.15380778368206,0.0011378126054513,100.02738276746,0.00093172658263903,0.07461046074062,0.15423165958579,0.077416622819542,0.00082450851907698
7.5,8.3476232761647e-05,0.0011128551784808,0.0011963314112424,0.15925110922627,0.0015249809031306,99.967948117779,0.0010354818716544,0.0769690497218,0.15963103741087,0.080387823363361,0.00085310199926755
7.75,8.377429925474e-05,0.0011986308237729,0.0012824051230276,0.16469934568504,0.0021700040967935,99.919399661966,0.0011428510217476,0.079423000197632,0.16503616755602,0.083318686706138,0.00088173503245219
8,8.5813922170744e-05,0.0013369625288112,0.0014227764509819,0.17015438540223,0.0029615537189405,99.953766799637,0.0012535528056313,0.081773214442557,0.17044623283471,0.086410103875345,0.00091031178210405
