time,DJ,DJint_1,DJint_2,Fy_top,J,external_work,fracture_energy,kinetic_energy,max_disp_y,preset_ext_power,preset_ext_work,preset_ext_work_p,strain_energy
32.5,0.0017683374040955,-0.01242794330516,0.014196280709256,97.908144786538,0.022082290973881,1.1047286360326,0.067585913824107,0.91723730641822,0.012052284460071,0.06904487496337,1.1217498390001,1.2763494353229,0.12029044489364
33,0.0015949099424289,-0.013130966591439,0.014725876533867,96.648381225773,0.022643240659817,1.1368560386171,0.070005317276268,0.95012239040738,0.012477646258476,0.072991602571492,1.1565392999809,1.3118585547066,0.11875496994775
33.5,0.0018262563174389,-0.013676918731491,0.01550317504893,96.481420471168,0.023607958228007,1.170253566218,0.072540550480052,0.98516063580852,0.012917203742745,0.078236441361062,1.1926896159967,1.3496655656898,0.1164952050151
34,0.0023526571734503,-0.014075994357112,0.016428651530562,97.518226241688,0.024949606036547,1.2055614397038,0.075099093067079,1.0217678593286,0.013374241219495,0.082469641901692,1.2301061481995,1.3898420865054,0.11432228683402
34.5,0.0028973410556246,-0.01449871992794,0.017396060983565,98.828166595869,0.026422151654437,1.2427682717377,0.077597651644218,1.0591576333454,0.013849181464631,0.084916358849612,1.2683536716111,1.4316885866933,0.1126079481284
35,0.0032675551603612,-0.01506203456058,0.018329589720941,99.601973457629,0.027816859542908,1.2814103471286,0.080015341196732,1.0968291637746,0.014339507712579,0.085463808343287,1.3069886574671,1.4742836284915,0.11118945024078
35.5,0.0034948345657393,-0.015731572928517,0.019226407494256,99.869248450762,0.029075980150965,1.3209672412762,0.082378211725234,1.1348301364787,0.014840363288556,0.084566050981135,1.3457592183344,1.5167910933226,0.10943474024822
36,0.0035750465691556,-0.016450839315048,0.020025885884204,100.06579571083,0.030184012446767,1.3609627898546,0.084734732610197,1.1736563484745,0.015345672983678,0.08294909391039,1.3845511030218,1.5586698795455,0.1066443018633
36.5,0.0033994616811451,-0.017295320805698,0.020694782486843,100.24352339786,0.031045524510837,1.4008622215602,0.087072955422489,1.2134592842109,0.01585032339181,0.081429745900186,1.423282638866,1.5997645894981,0.10299510311108
37,0.0028636835317069,-0.018387102846419,0.021250786378126,100.02521045162,0.031579416676916,1.4401442052373,0.089326101356577,1.2536624910388,0.016352966138832,0.080914287317657,1.4619427936379,1.6403505978026,0.099477315416305
37.5,0.0021849555726687,-0.019659449477526,0.021844405050195,99.271686300205,0.031938663575362,1.4786257492037,0.091435974015309,1.2935900801556,0.016857395484719,0.08205785484749,1.5006965070635,1.6810936333439,0.09656649281712
38,0.0017328804831871,-0.020825398229792,0.022558278712979,98.461769732224,0.032515377211125,1.5167088853387,0.093356366914544,1.3335206416567,0.017370676990829,0.084745039246169,1.5398491324514,1.7227943568673,0.093803191322505
38.5,0.0018328448821366,-0.021630316452322,0.023463161334459,98.239704728328,0.033637652686159,1.5552201218353,0.095042808964634,1.37422093662,0.017898695878925,0.087997383674003,1.5796402396839,1.7659799625973,0.090981415388354
39,0.0022788337163829,-0.022087185135926,0.024366018852309,98.718532513364,0.035277262555533,1.5948872083129,0.09651824611142,1.4158905525384,0.018442097964313,0.090543830418771,1.6200688848712,1.8106152661205,0.087982590830765
39.5,0.0027519270527451,-0.02245406619105,0.025205993243795,99.374561867208,0.037065765430915,1.6358471741988,0.097880016283376,1.4581826691213,0.018995362325149,0.091629316331528,1.6609338099206,1.8561585528081,0.0851726318969
40,0.0029076230897532,-0.02302211927821,0.025929742367963,99.545789378541,0.03856501284128,1.6776048332433,0.099241283236407,1.5008026724063,0.019549437215046,0.091563381518821,1.7020506523989,1.9019567272707,0.082352857982205
