time,DJint,DJint_over_Jint,Jint,dt,tip,tip_adv,tip_cum
0,0,0,0,0,50,0,0
0.2,-6.3211527754747e-17,-1.1886876602794,5.3177575461572e-17,0.2,50,0,0
0.4,-3.7730235602496e-16,-0.76298011702317,4.9451138713422e-16,0.2,50,0,0
0.6,-5.6440176967806e-16,-0.66165144756859,8.5301977612549e-16,0.2,50,0,0
0.8,7.7557047156035e-16,0.74419360711592,1.0421622332474e-15,0.2,50,0,0
1,2.0533840469975e-15,1.7508768077841,1.172774713714e-15,0.2,50,0,0
1.2,1.8140599699484e-15,1.6404078531337,1.1058591108809e-15,0.2,50,0,0
1.4,9.5859735080306e-16,0.9406976898831,1.019028069392e-15,0.2,50,0,0
1.6,1.06688204278e-15,0.86468733867159,1.2338356248157e-15,0.2,50,0,0
1.8,2.3343956975785e-15,1.4230549978933,1.6404114394977e-15,0.2,50,0,0
2,3.8909305465074e-15,2.122892635315,1.8328437725867e-15,0.2,50,0,0
2.2,5.2408435664147e-15,2.851393599764,1.8379937329061e-15,0.2,50,0,0
2.4,6.0397108321564e-15,3.1485273026571,1.9182653512514e-15,0.2,50,0,0
2.6,6.5434311614931e-15,3.2459796697682,2.0158570993023e-15,0.2,50,0,0
2.8,7.9108269414319e-15,3.5574651698541,2.2237257608221e-15,0.2,50,0,0
3,9.8201069671788e-15,4.0492891630901,2.4251434194156e-15,0.2,50,0,0
3.2,1.0926210023549e-14,4.5485483452377,2.4021312283046e-15,0.2,50,0,0
3.4,1.1568708230963e-14,4.905241865971,2.3584378807534e-15,0.2,50,0,0
3.6,1.2667221872126e-14,5.081473105068,2.492824740033e-15,0.2,50,0,0
3.8,1.4605179045335e-14,4.332175590931,3.3713266553437e-15,0.2,50,0,0
4,9.2673264895371e-14,0.79400658606708,1.1671599017132e-13,0.2,50,0,0
4.2,5.7045872474577e-12,0.66209164047421,8.6160085684996e-12,0.2,50,0,0
4.4,2.2373826999e-10,0.63836196440684,3.5048809682433e-10,0.2,50,0,0
4.6,4.9457912089769e-09,0.61138994159904,8.0894219424703e-09,0.2,50,0,0
4.8,6.4963192418434e-08,0.57875768585784,1.122459260686e-07,0.2,50,0,0
5,5.3108728028859e-07,0.53935979069645,9.8466235238414e-07,0.2,50,0,0
5.2,2.7896820559827e-06,0.4916678198968,5.6739162969182e-06,0.2,50,0,0
5.4,9.5924625990704e-06,0.43382883025266,2.211116903753e-05,0.2,50,0,0
5.6,2.1812497422487e-05,0.36454450670359,5.9834936534162e-05,0.2,50,0,0
5.8,3.3356503269467e-05,0.286203082988,0.0001165483716011,0.2,50,0,0
6,3.6959055553316e-05,0.21170538784347,0.00017457777494375,0.2,50,0,0
6.2,3.6893848470398e-05,0.16456059408119,0.00022419613077111,0.2,50,0,0
6.4,4.0350325865222e-05,0.14762596534427,0.00027332810844708,0.2,50,0,0
6.6,4.3164504229507e-05,0.13320628858868,0.00032404254098537,0.2,50,0,0
6.8,4.2511935451952e-05,0.11469073104679,0.00037066583379445,0.2,50,0,0
7,4.2107971759693e-05,0.10162326282712,0.000414353668523,0.2,50,0,0
7.2,4.1900238394833e-05,0.091674439209849,0.00045705475545829,0.2,50,0,0
7.4,4.128979220244e-05,0.082665703518526,0.00049947911219538,0.2,50,0,0
7.6,4.0282324051807e-05,0.074238892982959,0.0005426040506969,0.2,50,0,0
