time,DJ_over_J,DJint,Fy,Jint,external_work,fracture_energy,kinetic_energy,max_disp_y,preset_ext_work,strain_energy
0,0,0,0,0,0,0,0,0,0,0
5e-08,17.6,2.3293406049493e-21,4.3368089205703,1.3234889800848e-22,1.2192041167433e-05,0,5.6003437547727e-05,1.406030760689e-06,0.00027973284711091,1.1453073879323e-05
1e-07,16.235294117647,5.8445273360547e-20,18.342275045206,3.5998900258308e-21,0.0001605410200344,0,0.0004666209950969,5.4533305988524e-06,0.0010845223179898,0.00016349561537896
1.5e-07,9.9130434782609,1.9312351197398e-19,41.547834995955,1.9481757786849e-20,0.00068645238753786,0,0.0011734447164719,1.1797710666696e-05,0.0023441318890961,0.00070367739222995
2e-07,10.2,3.4558944247975e-19,68.580986250816,3.3881317890172e-20,0.001718366083841,0,0.0018001152428696,1.9368915794624e-05,0.0038415198941795,0.0016823444124126
2.5e-07,92,3.1170812458958e-19,92.984211824122,3.3881317890172e-21,0.0031305849498928,0,0.0022467123604745,2.7077367912421e-05,0.0053529934611153,0.0028115495946379
3e-07,-9.2,3.1170812458958e-19,109.61251549823,-3.3881317890172e-20,0.0046207264080553,0,0.0026678013315138,3.4099001376431e-05,0.0067058771404296,0.0037005083296036
3.5e-07,-2.8,3.7947076036993e-19,116.01830184301,-1.3552527156069e-19,0.0059170748297075,0,0.0032166353981437,4.0058288368224e-05,0.0078176738167519,0.0041943696914077
4e-07,-4.1666666666667,3.3881317890172e-19,112.93537226845,-8.1315162936413e-20,0.0069247908388248,0,0.0038554857637419,4.5055833613133e-05,0.0087052877172366,0.0044454031664691
4.5e-07,-0.90909090909091,6.7762635780344e-20,103.74728000347,-7.4538899358378e-20,0.0077157645579829,0,0.0044367171774129,4.9544618021792e-05,0.0094635014058273,0.0046868557863555
5e-07,-6,-1.6263032587283e-19,93.166479051294,2.7105054312138e-20,0.0084261809040825,0,0.0049079289755981,5.4109387000279e-05,0.010221786596221,0.0050125287169151
5.5e-07,12,-3.2526065174565e-19,85.59894971867,-2.7105054312138e-20,0.0091777647202162,0,0.0053668505535376,5.9232268997671e-05,0.011094988934455,0.0053958915187974
6e-07,22,-5.9631119486703e-19,83.748547052384,-2.7105054312138e-20,0.010061437826671,0,0.005916565214534,6.5125548030757e-05,0.012144424907455,0.0058473920124211
6.5e-07,21,-1.1384122811098e-18,87.905186462796,-5.4210108624275e-20,0.011136837763933,0,0.0065303356302657,7.168222090282e-05,0.013361362784346,0.0064552580330023
7e-07,-10.444444444444,-1.2739375526705e-18,96.10599219097,1.2197274440462e-19,0.01240715726162,0,0.0070995877179656,7.8549150747223e-05,0.01467652791837,0.0072534911734997
7.5e-07,-5.3333333333333,-1.0842021724855e-18,105.05183828243,2.0328790734103e-19,0.013793858482437,0,0.0075844142061156,8.5283733269206e-05,0.015990191405321,0.0081149710040331
8e-07,2.1904761904762,-1.2468324983583e-18,111.41089908011,-5.6920614055489e-19,0.015160169197034,0,0.0080603970099395,9.1528658155022e-05,0.017210716609347,0.0088366342932762
8.5e-07,0.61176470588235,-7.0473141211558e-19,113.02999574685,-1.1519648082658e-18,0.016383072176001,0,0.0086091819044613,9.7138783648466e-05,0.018287332438964,0.0093261464141861
9e-07,0.92307692307692,2.6020852139652e-18,109.63573366135,2.8189256484623e-18,0.01741738803089,0,0.0092095986336837,0.00010221758232714,0.019225870863281,0.0096675566746015
9.5e-07,0.39845261121857,2.7918205941502e-18,102.81131173241,7.0066565396876e-18,0.018303316856178,0,0.0097732119864772,0.00010705762940837,0.020082950988543,0.010003079707888
1e-06,0.76348547717842,-9.9746599868666e-18,95.303232868885,-1.306463617845e-17,0.019126533129791,0,0.010266802271312,0.00011201553989395,0.020942048910894,0.010394814595034
1.05e-06,0.27226890756303,-1.0977546996416e-17,89.947300058673,-4.0318768289305e-17,0.01997587742079,0,0.010753130642334,0.00011737347172064,0.021881186604885,0.010828139249416
1.1e-06,1.2230303030303,5.4697999601894e-17,88.623467726961,4.4723339615027e-17,0.020923286881009,0,0.011301049866347,0.00012323992755642,0.022944449554559,0.011311758802071
1.15e-06,0.46557534906115,1.0484235007935e-16,91.616885317465,2.2518879122524e-16,0.022012853448376,0,0.011892961614261,0.00012952359139428,0.024127503769921,0.011907360636557
1.2e-06,5.315875613748,-1.3205582460873e-16,97.596336919251,-2.4841782277074e-17,0.023242988157063,0,0.012453371025461,0.00013598396874875,0.025381676192642,0.012639380657385
1.25e-06,0.48758365134672,-4.7791631763161e-16,104.18693434334,-9.8017297403552e-16,0.024554194817383,0,0.012953391698165,0.00014233368296367,0.026634174915501,0.013416485322732
1.3e-06,-0.41468200530953,2.9213827537622e-16,108.8988272741,-7.0448746662677e-16,0.02584763249065,0,0.013447053077058,0.00014835007619113,0.027816246504423,0.014089170322815
1.35e-06,0.71629300301942,2.4498632289482e-15,110.05479493325,3.4201970682685e-15,0.027033610939841,0,0.013994377627993,0.00015395371505014,0.028888540100666,0.01458664483202
1.4e-06,0.27203040314396,1.7073473711215e-15,107.37594080941,6.276310851247e-15,0.028076176988802,0,0.014580314979927,0.00015922712915897,0.02985445198081,0.014969975043637
1.45e-06,1.0185959153285,-6.5266802379282e-15,102.02479723662,-6.4075264191721e-15,0.029002007480953,0,0.015138645786475,0.00016437148515072,0.03075704298423,0.015347152127548
1.5e-06,0.37088372785957,-1.1066288944234e-14,96.112891531348,-2.9837623257561e-14,0.029875921976328,0,0.015643624060341,0.00016962216434099,0.031661357884263,0.015767762759644
1.55e-06,-1.6276569426132,1.5158013733085e-14,91.876630070154,-9.3127816656186e-15,0.030770102311555,0,0.016142844136699,0.00017515783378861,0.032629288545569,0.01622256226718
1.6e-06,0.65353195687662,6.2697460070926e-14,90.839547485164,9.5936333963792e-14,0.031744883612846,0,0.016689760727617,0.00018103732544827,0.033696596342395,0.016719115781096
1.65e-06,0.231348279914,3.4383086655598e-14,93.271734957113,1.4862045513535e-13,0.032836154052424,0,0.017271274876163,0.00018718570259503,0.034860540957424,0.017305712981705
1.7e-06,1.0455046035844,-1.424283867929e-13,98.135717340586,-1.3622932534645e-13,0.034041073304664,0,0.017828250640985,0.00019343109163853,0.036082316965994,0.018001479810606
1.75e-06,0.36939882934951,-2.4065580257748e-13,103.52104717125,-6.5147960268651e-13,0.035310639904645,0,0.018337335808231,0.00019957502023144,0.037302853727956,0.018733434251495
1.8e-06,-0.59508531028594,2.313158887525e-13,107.38867504949,-3.8871046680912e-13,0.036565352828659,0,0.018841081340574,0.00020546795117052,0.038465623065694,0.01938078727632
1.85e-06,0.76677635646204,1.1892421726209e-12,108.33745112379,1.5509635405402e-12,0.037732650501045,0,0.019387769722973,0.00021106185053669,0.039537714398971,0.019884770129842
1.9e-06,0.33802073535291,1.1164120843066e-12,106.10666974397,3.3027917152508e-12,0.038781838939388,0,0.019965853775555,0.00021642203888724,0.04052137698226,0.020293642881105
1.95e-06,18.913050357697,-1.5810696935709e-12,101.63619564965,-8.3596757988191e-14,0.039732815473252,0,0.020521862940805,0.00022169666826478,0.041452036207225,0.020695774389727
2e-06,0.47417046949755,-4.5972413701377e-12,96.67611606119,-9.6953346230295e-12,0.04063867795697,0,0.021034380327782,0.00022705769065126,0.042383960485257,0.021133496802329
2.05e-06,0.037913125883754,-5.0176068812011e-13,93.105860650674,-1.3234484797127e-11,0.041561114697829,0,0.021541886406122,0.00023263659044965,0.04336932352681,0.021600865614633
2.1e-06,1.6680481230933,1.4351922536689e-11,92.226017229257,8.6040218732261e-12,0.042552626348073,0,0.022088461851034,0.00023847852727748,0.044438693636019,0.022104692967613
2.15e-06,0.5182310986603,2.5503148095955e-11,94.288222978094,4.9211921403182e-11,0.043643935478645,0,0.02266383689649,0.00024453039961711,0.045590204973385,0.022684767891191
2.2e-06,0.093596986183498,4.6267234835029e-12,98.431738421046,4.943239811624e-11,0.044831904967457,0,0.023219206716073,0.00025066519102384,0.046791205960015,0.023356711546143
2.25e-06,0.89187134838675,-4.9515209098704e-11,103.038522712,-5.5518331414355e-11,0.046074518193318,0,0.023734746970252,0.00025673180356189,0.047991404799857,0.024059290917248
2.3e-06,0.3246218145881,-6.7692805896281e-11,106.36194203719,-2.0852820991767e-10,0.047304549706227,0,0.024245533060174,0.00026261107005868,0.049142259858271,0.024690480876269
2.35e-06,-0.29306061413813,5.0159595877883e-11,107.18605208939,-1.7115775187123e-10,0.048460362531918,0,0.024792112574424,0.00026825747892493,0.050215173312079,0.025199527949665
2.4e-06,1.0896377437336,2.8167481975344e-10,105.26770163233,2.5850317811891e-10,0.049514877546012,0,0.025365276403678,0.00027371231246323,0.051211699970994,0.025626177057144
2.45e-06,0.45188640406959,3.667890236328e-10,101.4017172236,8.1168413196232e-10,0.050483842653976,0,0.025920164106407,0.00027908481265354,0.052162158219617,0.026045529708382
2.5e-06,-0.0096467340007316,-6.1771256512633e-12,97.094807127401,6.4033336575828e-10,0.051412548815895,0,0.026438337252171,0.00028450956509844,0.053113472530856,0.02649494302684
2.55e-06,0.79102812152674,-6.9549900083912e-10,93.980741308799,-8.7923422936818e-10,0.052355207809451,0,0.026952021514557,0.00029009643529096,0.054111092136555,0.02697075781318
