time,Jint,external_work,fracture_energy,kinetic_energy,max_disp_y,preset_ext_work,strain_energy
0,0,0,0,0,0,0,0
5e-07,3.0493186101155e-20,0.0051525294498296,0,0.00094034744049099,4.2387469890174e-05,0.0082524186528279,0.0027151930777295
1e-06,3.8489177123235e-18,0.018646484824013,0,0.0051396113255951,0.00010583164914785,0.020319576973623,0.0091937525517467
1.5e-06,1.2442033080901e-15,0.029140028963392,0,0.010639554174547,0.00016175922593252,0.030850018676353,0.01406841906184
2e-06,1.6012739094753e-13,0.040107819550825,0,0.016148840161498,0.00022038354777807,0.042099509816112,0.019650974363949
2.5e-06,1.0775879185276e-11,0.051551031239488,0,0.021670742891445,0.00027891661137985,0.053292114672058,0.025196864116193
3e-06,4.2226815815706e-10,0.062358743715447,0,0.02720498820392,0.00033635292020939,0.064234930200532,0.030500920435775
3.5e-06,1.0290103606714e-08,0.073611970484177,0,0.032750030637331,0.00039495157980754,0.075470974982255,0.036095123793568
4e-06,1.6261849342781e-07,0.084734876628615,0,0.038305174856859,0.00045283209897609,0.086554644140708,0.041534062284764
4.5e-06,1.7117140923453e-06,0.095792968683899,0,0.043869919956986,0.00051086883472393,0.097668415614639,0.047001814416555
5e-06,1.219371336287e-05,0.10699820410156,0,0.049441389390286,0.00056910572606168,0.10884569995135,0.052535464508343
5.5e-06,5.9278749957001e-05,0.11810916956006,0,0.055006467321607,0.00062705011801552,0.11996521840362,0.05803465670505
6e-06,0.00019753801078552,0.12926053289236,0,0.060524921104743,0.00068518211668551,0.13113042290087,0.063661532459356
6.5e-06,0.00045528073382055,0.14043855901087,0,0.06592166440199,0.00074327742892931,0.14229884163281,0.069459835276849
7e-06,0.00075154979315442,0.15158955880349,0,0.071127197362344,0.00080131878874452,0.15346099285896,0.075464334717033
7.5e-06,0.00098121385195125,0.16277397884797,6.6429595214254e-05,0.076146010043954,0.00085946325509019,0.16464764858494,0.081584208387212
8e-06,0.0011819495142908,0.17395845418885,0.00022808845682553,0.081060983833246,0.00091765521323359,0.17583263945339,0.087471533168621
8.5e-06,0.0014111474778689,0.18514498227785,0.00042772649373744,0.085860328760041,0.00097613966746117,0.18702580694119,0.093640529305226
9e-06,0.0016375725894881,0.19634603240765,0.00065407440895062,0.090535144884336,0.0010354445814018,0.19822863494023,0.09993642474491
9.5e-06,0.0018664148308609,0.2075370982554,0.00095540942070741,0.095103064143092,0.0010967340656624,0.20942935350586,0.10628474240056
1e-05,0.0020968138407581,0.21869414931821,0.0013640942098985,0.099619627534282,0.0011624808453403,0.22062706476238,0.11248109874107
1.05e-05,0.0023194904331303,0.22971590513177,0.0018187143699762,0.10435695005717,0.0012369809286804,0.23180438827769,0.11817746271972
1.1e-05,0.0025426835610146,0.24036377207322,0.0022927593079022,0.10997796471921,0.0013266260503486,0.24293597180224,0.12242475597431
1.15e-05,0.0027618551415439,0.2502875535199,0.0028411990103974,0.11766463848362,0.0014390183959022,0.25399048010036,0.12377960766766
1.2e-05,0.0029839629169552,0.25929720407103,0.0035065188568534,0.12852550908793,0.0015803618022126,0.26493066213078,0.1214354177203
1.25e-05,0.0032115021003589,0.26788154465995,0.0043036632026803,0.14227753531074,0.0017516113892998,0.27573562800127,0.11671902566879
1.3e-05,0.003444239213215,0.2772363620243,0.005252839467452,0.15674384981258,0.0019453325750393,0.2864159111591,0.11236911966957
1.35e-05,0.0036766322395217,0.28820811213463,0.0063586804701918,0.17000207616377,0.0021463604873037,0.29701753774972,0.10924790728286
1.4e-05,0.0039051159013477,0.30026009138232,0.007621991815625,0.1827189395575,0.0023378618026008,0.3076008294646,0.10551531590172
1.45e-05,0.0041315341835686,0.31209654346228,0.0090169328780382,0.19630832560004,0.002510250118012,0.31819521464365,0.10065562100938
1.5e-05,0.0043594835095681,0.32297038656997,0.010501776298655,0.21004903756385,0.0026665914065443,0.3287743481942,0.096376681114313
1.55e-05,0.0045925220654095,0.33288341316236,0.012013359194944,0.22298410072768,0.0028191859316146,0.3392836387642,0.092675527582299
1.6e-05,0.0048450634221499,0.34247074660624,0.013480612657306,0.23584913150536,0.0029791565624371,0.34970086357944,0.088522846760717
1.65e-05,0.0051495860695644,0.35272545503419,0.014843170314928,0.24888512004684,0.0031480243157911,0.36006320465341,0.084555357325567
1.7e-05,0.0055300524551914,0.3638011568229,0.016061097914291,0.26165964542983,0.0033190261165413,0.37042613538989,0.080975923737702
1.75e-05,0.0059659052835413,0.37484931960123,0.017111870808106,0.27449098216124,0.0034859947595237,0.38081435043352,0.077303451479456
1.8e-05,0.0064093802760534,0.385289767016,0.018005292130842,0.28752871765923,0.0036496076181468,0.39123777861917,0.073713487478701
1.85e-05,0.0068398113414083,0.3953816972905,0.018787508736062,0.30071129858592,0.0038146988669844,0.40174549225457,0.070106871431393
1.9e-05,0.0072694877762142,0.4058220934107,0.019520152200961,0.3141417239744,0.0039836172436839,0.4124347671197,0.066509715815111
1.95e-05,0.0076968781006731,0.41693067840316,0.020267803037021,0.32763425420198,0.0041547096684049,0.42341902812287,0.063286444622397
2e-05,0.0080951385942704,0.4284469713353,0.021089677005435,0.34093276436,0.0043269147497233,0.4348414989948,0.060722397841414
2.05e-05,0.0084545663947857,0.44027062970612,0.021988602482154,0.35389636125945,0.0045031262172964,0.44695098738762,0.059111327934758
2.1e-05,0.0088008859936515,0.45287496709786,0.022911981968609,0.3667451499568,0.0046880361696476,0.46015470390128,0.058411038721356
2.15e-05,0.0091619519952805,0.46696404082561,0.023799671293423,0.38016224183333,0.0048848197880067,0.47500077546575,0.058398321525129
2.2e-05,0.0095330304798242,0.48302888262467,0.024630790463634,0.39497508280847,0.0050958161239894,0.49212641750064,0.058926837973177
2.25e-05,0.0099048914875593,0.50142483044553,0.025452260271656,0.41187876581202,0.0053251988258517,0.51217893144021,0.060042458608364
2.3e-05,0.010328665719631,0.52265146460413,0.026373439297154,0.43117960527788,0.0055911301380559,0.53565623898158,0.062097732082433
2.35e-05,0.010886500255772,0.54724479805582,0.027466913394549,0.45254988085108,0.0058794699402669,0.56266785275751,0.065833902201861
2.4e-05,0.011596779837322,0.57537221971911,0.028721175933968,0.47496260786005,0.006182932869407,0.59272755821616,0.072065512394088
2.45e-05,0.012409984292349,0.60652037047188,0.030079219316155,0.49724829391941,0.0064939998068505,0.6247210297521,0.080677244898659
2.5e-05,0.013236024209581,0.63941312720733,0.031480660323331,0.51903498615102,0.0068078169078439,0.65713749143948,0.089990477029331
2.55e-05,0.013930622058512,0.67224073915894,0.032936795121338,0.54102684793328,0.0071232067947532,0.68855218140039,0.097520805007887
2.6e-05,0.014365417121067,0.70337496275135,0.034510397351472,0.56396979763787,0.0074290598484626,0.71819384833185,0.10212657415502
2.65e-05,0.014560736384124,0.73225351800136,0.036248814502591,0.58751802333731,0.0077224482281443,0.74629382478694,0.10488854042026
2.7e-05,0.014711343143897,0.75965093674564,0.038166298476771,0.61088456107718,0.0080112464869458,0.77394452814584,0.10737985402539
2.75e-05,0.015077253492903,0.78711271880296,0.040269432898302,0.63426691353736,0.0083071160272671,0.80246006944021,0.11007515566138
2.8e-05,0.015823339739192,0.81608650384362,0.042565351029107,0.65848072830185,0.0086355309063704,0.83258240670852,0.11309864107069
2.85e-05,0.016895345338603,0.84713985305138,0.045075768419074,0.68350010112994,0.0089737173751254,0.86404662089112,0.116757145979
2.9e-05,0.018010057167976,0.87952054701368,0.047778204139987,0.70877992538411,0.0093121558836798,0.89582878709103,0.12040248194054
2.95e-05,0.018822880781068,0.91163066727358,0.050614373304488,0.73440599897628,0.0096602982160678,0.92692414432492,0.12265068301241
3e-05,0.019206420621067,0.94231520933398,0.053474056350939,0.76060411493023,0.010026455390586,0.95708039013084,0.12340804781324
3.05e-05,0.019392415101314,0.97171170431623,0.056274326128345,0.78706999133185,0.010399822641742,0.98691770021044,0.12382043283925
3.1e-05,0.019790297200326,1.0009191708905,0.058948274222497,0.81361132514828,0.010782999620919,1.0173645129546,0.1248311552798
3.15e-05,0.020604180738056,1.0310283801534,0.061499439646134,0.84037238916174,0.011176809722712,1.0489258702233,0.12683157074116
3.2e-05,0.021622631714353,1.0623041452768,0.063988501513791,0.86738309038098,0.011578712795685,1.0814305381984,0.12961555989865
3.25e-05,0.022439259233741,1.0941284395315,0.066527867566309,0.89489879416376,0.01198522940638,1.1144262590879,0.13207602925944
3.3e-05,0.02290155988479,1.1257984416459,0.069232470821647,0.92366226144114,0.012396103299017,1.1477676335695,0.13306041407733
3.35e-05,0.023286278935652,1.1573170330417,0.072160749660242,0.95445867683028,0.012816266648713,1.1817977140089,0.132164806669
3.4e-05,0.023994868534725,1.1893862350623,0.075276857130239,0.98766849338358,0.013253813976015,1.2169948574861,0.1298145602327
3.45e-05,0.02514346928762,1.2227987937338,0.078469350262743,1.0230062258453,0.013715780633094,1.2535152180542,0.12698708545066
3.5e-05,0.026529458847446,1.2579025485247,0.081644087097357,1.0594316627497,0.014204940117621,1.2911037768438,0.1246472771827
3.55e-05,0.027940956862747,1.2946102876364,0.084793459971469,1.0960977835936,0.014719122193313,1.329377699124,0.12309205732709
3.6e-05,0.029362148528257,1.3327559543391,0.087916314044283,1.1324770642076,0.015252200921656,1.368091917493,0.12227247612498
3.625e-05,0.030100684818518,1.352286199978,0.089486448663822,1.1601202332891,0.015523601755013,1.3875813238487,0.12191521137069
3.675e-05,0.031588548607869,1.3922586845207,0.092602950779494,1.1873470521405,0.01606852047717,1.4267085723211,0.12077529880668
3.725e-05,0.032851723049996,1.4327303911429,0.095749407981585,1.2247779661355,0.016610277117566,1.4658343842608,0.11892008684788
3.775e-05,0.033617706666249,1.4727927353313,0.098852659316718,1.2626416418646,0.017144654946857,1.5047423753286,0.11671141560609
3.825e-05,0.033951807691986,1.5118146674239,0.10182739158334,1.3005195542297,0.017673354478917,1.5434278110695,0.11467453385776
3.875e-05,0.034306366019187,1.5498394569057,0.10468083784093,1.3382650974481,0.018203035132349,1.5821103216632,0.11253449973838
3.925e-05,0.035169415818521,1.5874956378941,0.10744031066596,1.3765671513884,0.018741151240368,1.6210369671531,0.10972877597245
3.975e-05,0.036687925810104,1.6255829500658,0.11006676300352,1.4160896180378,0.019291288862844,1.6602850284706,0.10623561101469
4.025e-05,0.038604031934537,1.6646073323277,0.11263543986468,1.4564219616686,0.0198509265259,1.6997418365768,0.1026559173089
4.075e-05,0.040460129543891,1.7044948699478,0.11522384738334,1.4968429937059,0.020412907131003,1.7392413151741,0.099157493380172
