time,Jint,external_work,fracture_energy,kinetic_energy,max_disp_y,preset_ext_power,preset_ext_work,preset_ext_work_p,strain_energy
0,0,0,0,0,0,0,0,0,0
5e-07,-1.6940658945086e-21,0.00046372775228443,0,8.4629842277455e-05,1.2716276023508e-05,9375.5303477873,0.0024630097207552,0.0023438825869468,0.00024436326420139
1e-06,3.5914196963582e-19,0.0016781723984974,0,0.00046254949824176,3.1749515481482e-05,5956.5079476459,0.0060641015553986,0.0061768921608051,0.0008274131032119
1.5e-06,1.1194726244092e-16,0.0026225867278353,0,0.00095752518387989,4.8527847440499e-05,6257.8172872382,0.0092064422986627,0.0092304734695262,0.00126612079571
2e-06,1.4411425340848e-14,0.0036096866472017,0,0.0014533416649586,6.6115206534134e-05,7305.1139025078,0.012563693047548,0.012621206266963,0.0017685377944614
2.5e-06,9.6982197053392e-13,0.0046395690421009,0,0.0019502937729989,8.3675144139261e-05,6229.4724783487,0.015903898585193,0.016004852862177,0.0022676527143884
3e-06,3.800372676941e-11,0.0056122606193538,0,0.0024483576454379,0.00010090609169594,6784.2883229066,0.019169505218802,0.019258293062491,0.0027450059107421
3.5e-06,9.2609543343329e-10,0.0066250480591069,0,0.0029473934700605,0.00011848572795636,6760.8591912885,0.022522730106489,0.022644579941039,0.003248470851456
4e-06,1.4635362878111e-08,0.0076261055349336,0,0.0034473389472323,0.00013584992101724,6535.3985409682,0.025830458167395,0.025968644374104,0.0037379623475487
4.5e-06,1.5404998226936e-07,0.008621331940426,0,0.0039481490891335,0.00015326099283916,6775.9345586126,0.029147174570529,0.029296477648999,0.0042300481932773
5e-06,1.0973940739618e-06,0.0096298003756854,0,0.0044495648204442,0.00017073209884542,6662.9732889886,0.03248288364486,0.032656204610899,0.0047280640315112
5.5e-06,5.3348432865648e-06,0.010629784988936,0,0.0049504064065887,0.00018811545950473,6667.3038304453,0.035801353275985,0.035988773890758,0.0052229782602957
6e-06,1.777748115977e-05,0.011633406243448,0,0.0054470567639726,0.00020555510182997,6730.8996459608,0.039133474459458,0.039338324759859,0.005729377104564
6.5e-06,4.0973047498036e-05,0.012639426843154,0,0.0059327744449877,0.00022298373479924,6677.7885487702,0.04246657189794,0.042690496808542,0.0062511824527418
