time,Jint,external_work,fracture_energy,kinetic_energy,max_disp_y,preset_ext_work,strain_energy
0,0,0,0,0,0,0,0
5e-07,0,0.0050792669622776,0,0.00090907943725982,4.1676064549075e-05,0.0079810210428853,0.0026568197060272
1e-06,1.5124620306173e-17,0.018121397871434,0,0.0049761057853823,0.00010411119831156,0.01956535078091,0.0088802433876766
1.5e-06,4.1836651330784e-15,0.028256187652119,0,0.010310353975903,0.00015946597041803,0.029720766106971,0.013606889072241
2e-06,4.8862929219289e-13,0.038941417516172,0,0.015658725839118,0.00021726639757358,0.040597088793766,0.019038750547698
2.5e-06,2.9814566587056e-11,0.050007384922647,0,0.021023857841749,0.00027486437290521,0.051371069802902,0.02438109590046
3e-06,1.0582098624559e-09,0.060497443007856,0,0.026405782743206,0.00033159553142746,0.061946240477322,0.029527666578989
3.5e-06,2.332159356399e-08,0.071439728276372,0,0.03180309289612,0.00038934232100903,0.072802919660544,0.03494934531827
4e-06,3.326540396887e-07,0.082224089216352,0,0.037214985107986,0.0004463733718441,0.083502447663981,0.040205219464337
4.5e-06,3.1523302933117e-06,0.092978664882717,0,0.04264059855854,0.00050363498902435,0.094254691178096,0.045508609321851
5e-06,2.0155509780479e-05,0.10387262742872,0,0.048075180202838,0.00056102504915719,0.10506246848225,0.050869601632616
5.5e-06,8.7671562440327e-05,0.11467244908181,0,0.053499234869174,0.00061815043949294,0.11581976309491,0.056212212534353
6e-06,0.00026096941405591,0.12552862101178,0,0.058861423685178,0.00067547318067313,0.12663160035645,0.061711950398153
6.5e-06,0.00053969029362379,0.13640708181847,0,0.06408352015142,0.00073273820467226,0.1374455117475,0.067395188597716
7e-06,0.00081673199171863,0.14726594065692,9.1965844838359e-06,0.069117564109765,0.00078997465561863,0.14826123375879,0.073264929781893
7.5e-06,0.0010239803705945,0.15816486488168,0.00015678557142331,0.074040299746467,0.00084733685443057,0.15910562285743,0.078912941501476
8e-06,0.0012289661397524,0.16906453906737,0.00034554304365607,0.078858565241489,0.00090483269760468,0.16995115941502,0.084791220312549
8.5e-06,0.0014557484860457,0.17997254123674,0.00052986389364117,0.083535717624402,0.00096286976701252,0.18081052932599,0.090843339074464
9e-06,0.0016764066971028,0.19089505788041,0.00073538451000241,0.08811082400397,0.0010223099217435,0.19168133483243,0.097005117278973
9.5e-06,0.0019037478453873,0.20179594353278,0.0010600582132073,0.092598179193582,0.0010849758052468,0.20255048572932,0.10308173378567
1e-05,0.0021252241982911,0.21261838680939,0.0014685852524246,0.097188641341391,0.0011543543306464,0.21341365761673,0.10881563520809
1.05e-05,0.002341743095159,0.22318647805859,0.0018999180465023,0.10235768541494,0.0012359393812329,0.22424715748908,0.11353956776601
1.1e-05,0.0025569587868201,0.23318951464518,0.0023632132493252,0.10909289370182,0.0013369002003984,0.23502223214182,0.11598118764635
1.15e-05,0.0027702306449723,0.24236511319195,0.0029179589205471,0.11857292281046,0.0014641741713138,0.24570930633728,0.11503302406406
1.2e-05,0.0029892377595136,0.25093872253071,0.003594772073106,0.13105005249108,0.0016209787677132,0.25628522074813,0.11127305841503
1.25e-05,0.003214915136552,0.25988723763393,0.0043986951026223,0.14489225797249,0.0018031989281412,0.26675594833014,0.10719021951771
1.3e-05,0.0034466665494569,0.27022353246508,0.0053333490982242,0.15790751182711,0.001998388447468,0.2771559657011,0.10439229112274
1.35e-05,0.0036801779396802,0.28181758047366,0.0064028266300738,0.17003653599693,0.0021898398080065,0.28752675224789,0.10154239240041
1.4e-05,0.0039101124054495,0.29350476173302,0.0076086889778807,0.18281931718827,0.0023648269702008,0.29788185053462,0.097371466424756
1.45e-05,0.0041276104434265,0.30436866855207,0.0089256241744274,0.19613147487236,0.0025217879883475,0.30819102332783,0.093270466512596
1.5e-05,0.0043344392773155,0.31425606701383,0.010305042998921,0.20873031502832,0.0026702553690032,0.31841670604605,0.089963167707318
1.55e-05,0.0045640117826307,0.32363397443491,0.011671133959014,0.22097593030914,0.002822512945553,0.32856586617424,0.086378810906152
1.6e-05,0.0048704657384978,0.33346441618194,0.012949139237331,0.23345749362269,0.0029838198227521,0.33869036789465,0.082750698775174
1.65e-05,0.0052712327148152,0.34419021687819,0.014090844586056,0.2457832205736,0.003150144749242,0.34883019654674,0.079564354236064
1.7e-05,0.0057110175011751,0.35512170239979,0.015081062609376,0.25810816981712,0.0033148903175378,0.35898014057738,0.076269112395708
1.75e-05,0.0061245934137739,0.36552024060542,0.015932828694236,0.27070516469818,0.0034764927094271,0.36913750048954,0.072913528443389
1.8e-05,0.0065180030580469,0.37545444897231,0.016684147321142,0.2834559679172,0.0036385510424486,0.37936390114382,0.069575863887955
1.85e-05,0.0069365416689231,0.38557599924551,0.017395123704758,0.29642645350181,0.0038039733158964,0.38977225770952,0.066223562714909
