time,DJ1,DJ1_br,DJ2,DJ2_br,DJ_br,DJint,EW,EW_br,FE,FE_br,Fy,J,KE,KE_br,PEW,SE,SE_br,max_disp_y
6.5,8.7502730616609e-05,-1.1872846656562e-10,0.00069281377623687,2.3201230978196e-10,1.1328384321633e-10,0.00078031650685348,0.13742368991265,6.8213173984597e-05,0.00045487498120906,0,100.06619686263,0.00059168812663882,0.067074179488111,1.0399253616927e-05,0.13852530726527,0.068593833411422,0.0036678941265179,0.00073845009623839
6.75,9.3934474670021e-05,2.6579173259024e-10,0.00085242764079741,-5.2932334551687e-11,2.1285939803855e-10,0.00094636211546743,0.1428513350108,7.9723676188063e-05,0.0006443907797848,0,99.90644536647,0.00070843084943084,0.069610011900078,2.8238282672689e-05,0.14393038931189,0.071477696508612,0.0037547056304566,0.00076705774905047
7,9.7508935926449e-05,1.5133645341666e-09,0.00094709532224606,-1.3344461471679e-09,1.7891838699871e-10,0.0010446042581725,0.14829337088259,7.7787644780021e-05,0.00081771097769107,0,99.933003603568,0.00082696460343294,0.072108284028228,2.0655410006822e-05,0.14934840431078,0.07441332112973,0.0036686841048218,0.00079569660327885
7.25,9.2913700444298e-05,2.7119696959584e-09,0.0010102297594566,-3.587577539126e-09,-8.7560784316761e-10,0.0011031434599009,0.15374279964996,7.8356654814243e-05,0.0011497239293545,0,100.03267839871,0.00093342463749106,0.074569054168279,6.5049443517146e-06,0.15476839615903,0.077375072062748,0.0034259975635874,0.00082432993965399
7.5,9.2148073200333e-05,-2.8944007997647e-11,0.0010962834278346,-4.2084174324929e-09,-4.2373614404906e-09,0.0011884315010349,0.15918504274421,9.2026891381559e-05,0.0016993157337083,0,99.959983231892,0.0010382981131215,0.076994068861408,5.9630944615023e-06,0.16018516843052,0.080347543183791,0.0032503398419645,0.00085294652698791
7.75,9.2417054817654e-05,-9.4050525229363e-09,0.0012290177794674,2.5144997894698e-09,-6.8905527334665e-09,0.0013214348342851,0.16463295897989,9.3127873675421e-05,0.002373563374838,0,99.927767326067,0.0011468679354249,0.079384073652699,2.3698843847526e-06,0.16560935311043,0.083346411066363,0.0032538503325614,0.00088157568176234
8,9.1555560991686e-05,-1.5649894124429e-08,0.0013822485899094,1.8466801975677e-08,2.8169078512475e-09,0.0014738041509011,0.17009006627437,9.2458718429207e-05,0.0030317221124726,0,99.997087057397,0.0012562614723247,0.081736854991283,1.8798143506306e-06,0.1710389518956,0.086386558683061,0.0033575271858285,0.00091020810520626
8.25,9.186732013654e-05,1.0299848085429e-09,0.0015122980842556,2.6153877218554e-08,2.7183862027097e-08,0.0016041654043922,0.17554525307858,9.6475224565446e-05,0.0037174120984622,0,99.98260937031,0.0013670095241428,0.084054373978774,1.1482202551684e-06,0.17646743325648,0.089454068666985,0.0034336538462226,0.00093883115851592
8.5,9.454736598712e-05,3.3563841073743e-08,0.0016074340651081,-5.6395438657593e-09,2.7924297207984e-08,0.0017019814310952,0.18100199845653,9.5869028259931e-05,0.0044793831908931,0,99.940345556089,0.0014782744205542,0.086336872637561,3.3540321645029e-07,0.1818997699648,0.092550402847938,0.0034147533352457,0.00096746478827506
8.75,0.00010142740415751,2.6187943970041e-08,0.00168961982912,-6.0226610509189e-08,-3.4038666539147e-08,0.0017910472332775,0.1864664421842,9.6384198958188e-05,0.0053192885743314,0,99.97326405897,0.0015905208715397,0.088584898766675,5.4068741749808e-07,0.18733800220154,0.095671768469418,0.0033576023904037,0.00099612145673127
