time,DJint,DJint_2,Fy,Jint,external_work,fracture_energy,kinetic_energy,max_disp_y,preset_ext_power,preset_ext_work,preset_ext_work_p,strain_energy
0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,1.0164395367052e-20,4.1960327940908e-21,41.384359038764,-1.0164395367052e-20,0.0015045057187246,0,0.00047523279385085,1.8518287197428e-05,0.027539653506578,0.0036175766279398,0.0034424566883223,0.00099038010223618
0.5,-8.1315162936413e-20,1.778769189234e-19,101.08128829368,-4.0657581468206e-20,0.0078990805065394,0,0.0025465044349046,5.1633090965584e-05,0.025152299499389,0.0099121215677895,0.010028950814068,0.0046906875594863
0.75,-1.0842021724855e-19,2.5410988417629e-20,110.02079740076,-8.1315162936413e-20,0.013632646721274,0,0.0051971423221113,8.030170402024e-05,0.016390088384353,0.015096135000012,0.015221749299536,0.0070810126439178
1,3.7947076036993e-19,-4.4384526436125e-19,93.849575601716,1.8973538018496e-19,0.018241356540806,0,0.0078557238676297,0.00010722294248153,0.022127154982147,0.019980844028244,0.020036404720348,0.0093013237875185
1.25,5.1499603193061e-19,-4.6247998920085e-19,98.619551311293,1.6263032587283e-19,0.023890807051155,0,0.010533174994469,0.00013737334277275,0.02411383211913,0.025680200465381,0.025816528108008,0.012290645373403
1.5,1.3010426069826e-18,-1.9447876468959e-18,104.45688285902,-1.8973538018496e-19,0.029583421296591,0,0.013200082372639,0.00016622042057783,0.019748313019808,0.031102107639016,0.031299296250375,0.015000075969383
1.75,2.1141942363467e-18,-1.2908782116156e-18,98.290214489915,3.5236570605779e-19,0.034605959105583,0,0.015881777052197,0.00019380254868239,0.020771085612505,0.036185335478288,0.036364221079414,0.017395723263894
2,3.7947076036993e-19,1.0977546996416e-18,97.997184115577,-2.7105054312138e-20,0.039969377911538,0,0.018564496167391,0.00022297231114993,0.023042191789545,0.041630126224145,0.04184088075467,0.020128343617669
2.25,-7.0473141211558e-19,1.4873898553786e-18,102.131742731,1.0842021724855e-19,0.045592290947524,0,0.021250520023403,0.00025209480730197,0.021234501238377,0.047107579623228,0.047375467383161,0.022909586253825
