time,Jint,external_work,fracture_energy,kinetic_energy,max_disp_y,preset_ext_work,strain_energy
0,0,0,0,0,0,0,0
5e-07,-3.3521211841521e-07,0.0055861941303968,0,0.00093391054916539,4.3348596479991e-05,0.0083090925494139,0.002808236534205
1e-06,-1.306899623044e-07,0.018956253493656,0,0.0051291998712839,0.00010624810247234,0.020163636095377,0.009117899084279
1.5e-06,-3.8402442217715e-07,0.029381489724548,0,0.010627599790316,0.00016221626348864,0.030706962840704,0.014063925589904
2e-06,-4.4753910697075e-07,0.040479482553126,0,0.016138029886931,0.00022057453916273,0.041914122143273,0.019670847023934
2.5e-06,-7.1959651314093e-07,0.051781775088394,0,0.021660309135898,0.00027920772138603,0.052974577761149,0.02514325716784
3e-06,-5.4823388063488e-07,0.062679260307089,0,0.027194769129664,0.0003365919780925,0.063934947426061,0.030521005175878
3.5e-06,-3.4980136768739e-07,0.073920609409912,0,0.032739768083434,0.00039484509625309,0.075075421547785,0.036079471540046
4e-06,-5.501365662862e-08,0.085000812727954,0,0.038294887236837,0.00045303058778244,0.086095450980527,0.041514456444917
4.5e-06,1.7892417794146e-06,0.096112929673033,0,0.043859131179204,0.00051099669570989,0.097176485342357,0.047009438951568
5e-06,1.2922853066296e-05,0.1072828487015,0,0.049428353504375,0.00056913046744229,0.10826992212636,0.052520700638048
5.5e-06,6.111130076169e-05,0.118402993779,0,0.054992738831025,0.00062719770344588,0.11934554201321,0.058031316175652
6e-06,0.00019801606566612,0.1295663124693,4.0929457376914e-08,0.060528845957124,0.00068523239732315,0.13045216021703,0.06362359979674
6.5e-06,0.0004514523164332,0.14072669836406,7.3041470599641e-06,0.065981458993091,0.00074342959477904,0.14155382695344,0.069334652061683
7e-06,0.00074916686555664,0.15188891024631,7.1904273462811e-05,0.071268031180154,0.00080153199278285,0.15266507866104,0.07521077507948
7.5e-06,0.00098491861687487,0.16306970928756,0.00022664680084084,0.076360827077018,0.00085952858834129,0.16378878181286,0.081183605384416
8e-06,0.0011824295743546,0.17425148092877,0.00040123056924844,0.081316600544828,0.0009176525803789,0.1749157944494,0.087242190782949
8.5e-06,0.0014088605022058,0.18544176915513,0.00053782007341132,0.086148795972005,0.00097612562417344,0.18605085328987,0.09349907598842
