time,DJ,DJ1,DJ1_br,DJ2,DJ2_br,DJ_br,EW,EW_br,FE,FE_br,Fy_top,J,KE,KE_br,PEW,SE,SE_br,max_disp_y
4.5,-3.110854819951e-06,-1.2928937423421e-06,-5.1552576464176e-13,-1.8179610776088e-06,-1.2731772846425e-12,-1.7887030492843e-12,0.094439325007912,-2.6825651846185e-07,0,0,99.866454589526,-1.1142494640109e-06,0.045600736719769,3.5491472561035e-07,0.095361075415095,0.046744291978111,1.6489672236395e-06,0.00050951636955337
4.75,-2.2295926231431e-06,-6.5635031870008e-07,9.6085012428826e-13,-1.5732423044431e-06,-8.2593397911828e-12,-7.2984896668946e-12,0.099877794228014,-1.1881716638904e-06,0,0,100.14993469635,-8.2166861041304e-08,0.048320199454539,1.7029014556964e-06,0.10075989331925,0.049432222135386,9.2982758666932e-06,0.0005381410961377
5,1.1613747837983e-06,1.134645588075e-06,2.1894355669993e-11,2.6729195723236e-08,-4.154483639375e-11,-1.9650480723757e-11,0.10527727331184,-4.0228534987047e-06,0,0,99.974089491987,4.316907295045e-06,0.051027408706511,6.4657327448886e-06,0.10613447031473,0.05211507184534,4.2063477806929e-05,0.00056676578297745
5.25,1.6037688416483e-05,8.6126805755707e-06,1.3178449005547e-10,7.4250078409123e-06,-1.5713381218134e-10,-2.5349322125871e-11,0.11068677846536,-9.9591903199445e-06,0,0,99.869024504004,2.2491862083107e-05,0.053720365851692,1.8801147687395e-05,0.11152775368955,0.054822459648953,0.00015042229028116,0.00059539047637073
5.5,6.1278369239501e-05,2.7386072635851e-05,4.4635415815655e-10,3.389229660365e-05,-4.2104514610007e-10,2.5309012056482e-11,0.11612543135069,-1.6941862504277e-05,0,0,100.04908886902,7.4025409321935e-05,0.056441134758596,3.9996914940169e-05,0.11693513500817,0.057481581597534,0.00042034836228559,0.00062401515946009
5.75,0.00016268662620189,5.7095949486373e-05,8.1330399199727e-10,0.00010559067671552,-6.8360350591023e-10,1.2970048608705e-10,0.12154842731832,-1.768920153801e-05,2.6714131056373e-08,0,100.02668280037,0.00017766652736581,0.059237978398206,5.8105450366017e-05,0.12232880482155,0.060055484003404,0.0009102507857861,0.00065263983726397
6,0.00033515553710273,8.368431234341e-05,2.0682279109827e-10,0.00025147122475932,-2.0875029280542e-10,-1.9275017071523e-12,0.12696624839658,-8.0138665910375e-06,3.4993899715234e-06,0,99.911340854479,0.0003245321401629,0.062006275048174,5.0675750744753e-05,0.12772690964959,0.06277911107445,0.0015201378582034,0.00068126451217224
6.25,0.00051831715706306,9.0789756211029e-05,-2.4091068351914e-09,0.00042752740085204,1.8048099369015e-09,-6.0429689828993e-10,0.13240499138833,2.5278984317426e-06,2.6326173371089e-05,0,99.989137647971,0.00047171539819253,0.064545087535053,1.8569819852925e-05,0.13313941397754,0.065769105488651,0.0019618072455036,0.00070988918120393
6.5,0.00071161560732741,8.6393660676241e-05,-4.239818559063e-09,0.00062522194665117,3.8467378343887e-09,-3.9308072467431e-10,0.13784325031165,3.176729932992e-06,7.0097845101669e-05,0,100.02918156873,0.00059249506061577,0.066974934709314,1.4681696646131e-07,0.13854810207811,0.068653869935529,0.001995775801473,0.00073851384755074
6.75,0.00087354370237438,9.0011127449465e-05,9.0056426679526e-10,0.00078353257492492,1.5952638806119e-09,2.4958281474071e-09,0.14327395443271,7.1787385226138e-07,0.00011508465168055,0,99.952252692304,0.00070571558658132,0.069595797584792,1.0764007308231e-05,0.14395567317838,0.071307719108718,0.0017036911234747,0.0007671385067476
