time,Fy,Jint,ce_integral,external_work,fracture_energy,kinetic_energy,max_disp_y,preset_ext_work,strain_energy
0,0,0,0,0,0,0,0,0,0
5e-07,63.32457803061,0,0.040198590056328,0.0050792669622776,0,0.00090907943725982,4.1676064549075e-05,0.0079810210428853,0.0026568197060272
1e-06,112.00644993197,1.5124620306173e-17,0.098596117521497,0.018121397871434,0,0.0049761057853823,0.00010411119831156,0.01956535078091,0.0088802433876766
1.5e-06,99.273357698687,4.1836922381328e-15,0.1498688562353,0.028256187652119,0,0.010310353975903,0.00015946597041803,0.029720766106971,0.013606889072241
2e-06,97.739487455992,4.8862926508783e-13,0.20482360109683,0.038941417516172,0,0.015658725839118,0.00021726639757358,0.040597088793766,0.019038750547698
2.5e-06,102.18223989674,2.9814566587056e-11,0.2593275992967,0.050007384922647,0,0.021023857841749,0.00027486437290521,0.051371069802902,0.02438109590046
3e-06,98.682395652786,1.0582098622933e-09,0.31286864087555,0.060497443007856,0,0.026405782743206,0.00033159553142746,0.061946240477322,0.029527666578989
3.5e-06,100.2722270924,2.3321593564044e-08,0.36773780062866,0.071439728276372,0,0.03180309289612,0.00038934232100903,0.072802919660544,0.03494934531827
4e-06,100.27568123916,3.3265403968875e-07,0.42130732251934,0.082224089216352,0,0.037214985107986,0.0004463733718441,0.083502447663981,0.040205219464337
4.5e-06,99.508895284859,3.1523302933116e-06,0.47341662463251,0.092978664882717,0,0.04264059855854,0.00050363498902435,0.094254691178096,0.045508609321851
5e-06,100.28246959599,2.0155509780479e-05,0.5213984885433,0.10387262742872,0,0.048075180202838,0.00056102504915719,0.10506246848225,0.050869601632616
5.5e-06,99.882374697828,8.7671562440327e-05,0.56026047645695,0.11467244908181,0,0.053499234869174,0.00061815043949294,0.11581976309491,0.056212212534353
6e-06,99.898049792189,0.00026096941405591,0.58549822039563,0.12552862101178,0,0.058861423685178,0.00067547318067313,0.12663160035645,0.061711950398153
6.5e-06,100.0846234507,0.00053969029362379,0.59466835909995,0.13640708181847,0,0.06408352015142,0.00073273820467226,0.1374455117475,0.067395188597716
7e-06,99.887933801811,0.00081673199171863,0.59262985604714,0.14726594065691,7.1692798956311e-06,0.069116332900479,0.00078997465561863,0.14826123375877,0.073273469408611
7.5e-06,99.992312521736,0.0010239803705946,0.60390342935411,0.15816486488138,0.00010257633327153,0.074019314284213,0.00084733685443057,0.15910562285644,0.079083820812772
8e-06,99.989629565713,0.0012289661397635,0.61463096580008,0.16906453905909,0.00026414709678837,0.078771078865137,0.00090483269760468,0.16995115939097,0.085208259404832
8.5e-06,99.944367221489,0.0014557484865368,0.62281569433959,0.17997254109435,0.00041398846545767,0.083363985254195,0.00096286976701252,0.18081052895854,0.091497932273034
9e-06,100.00715995395,0.0016764067107274,0.63815173207684,0.19089505616245,0.0006520742211447,0.087818371460467,0.0010223099217435,0.19168133087369,0.097918646371595
9.5e-06,100.00177544962,0.0019037480995769,0.65059211919559,0.20179592801566,0.0011125619944218,0.092164185162293,0.0010849758052468,0.20255045360546,0.10430285049293
1e-05,100.04479478852,0.0021252275213089,0.66157054307509,0.21261827718008,0.0017334325932791,0.096588997506228,0.0011543543306464,0.2134134529623,0.1103883829628
1.05e-05,100.12660438465,0.0023417743485266,0.67366280716261,0.22318585428726,0.0024193395188866,0.10157321534056,0.0012359393812329,0.22424610474927,0.11546891220691
1.1e-05,100.20343357266,0.0025571738325216,0.68503702896939,0.2331866059002,0.0032445970097916,0.10810591860508,0.0013369002003984,0.23501777161061,0.11825030576643
1.15e-05,100.30522067921,0.0027713235838875,0.69347132704323,0.24235387042145,0.0042646194876431,0.11737163458178,0.0014641741713138,0.24569350859282,0.11763090588984
1.2e-05,100.36729393973,0.0029933540819563,0.69863889669033,0.25090245787196,0.0055369335657629,0.12963057799409,0.0016209787677132,0.2562379262819,0.11416507977028
1.25e-05,100.3651534583,0.0032263616381526,0.70125612144119,0.25978892465496,0.0070987240488916,0.14325847247026,0.0018031989281411,0.2666351807231,0.11028318126566
1.3e-05,100.32123312587,0.0034698441994671,0.70173514131709,0.26999718153163,0.0089649715991847,0.15607313546136,0.0019983884474675,0.27689079768397,0.10752823363419
1.35e-05,100.27634825327,0.0037132107900567,0.69937403529127,0.28136913722191,0.011161517870028,0.1680341951721,0.0021898398080035,0.28702180252874,0.10446856329675
1.4e-05,100.28333828773,0.0039404933771516,0.69677984017956,0.29272984630789,0.01371818665347,0.18072985950521,0.0023648269701833,0.29703867029002,0.099727413245492
1.45e-05,100.30929320428,0.0041410465455524,0.69400322141868,0.30318396514547,0.016386688739506,0.19409425805086,0.0025217879882524,0.30693662019727,0.094815678887803
1.5e-05,100.26747606898,0.0043335227219548,0.69046338028385,0.31262071307181,0.018849197975914,0.20686150940525,0.0026702553685331,0.31671591891905,0.090783260193948
1.55e-05,100.14827467541,0.0045717962237666,0.6841456481298,0.32153604375686,0.021059824782767,0.21929024547832,0.0028225129434254,0.32640384701388,0.08663716757657
1.6e-05,100.05067890306,0.0049038407094109,0.67199035663996,0.33088666644024,0.023059824158628,0.23191817763616,0.0029838198139139,0.33604334033342,0.082503156867373
1.65e-05,100.04624009968,0.0053135331146947,0.65288782099245,0.34109502102093,0.024892420878438,0.2443298611163,0.0031501447154795,0.34565931882041,0.078809650961786
1.7e-05,100.03871191361,0.0057279452141299,0.62628493797067,0.35147353350797,0.026598279833407,0.25664238108746,0.0033148901987709,0.3552551268725,0.075016248002544
1.75e-05,99.878476657774,0.0061070152408238,0.59205971081441,0.36131563180145,0.028202329180948,0.26910868290576,0.0034764923243649,0.36485703021012,0.071204571930005
1.8e-05,99.578615887065,0.0064871354707743,0.55638659407607,0.37071708868603,0.029737352742842,0.28163532559679,0.0036385498913882,0.37454864942094,0.067446278414681
1.85e-05,99.249083231204,0.006903003310411,0.51942238953253,0.38033602069576,0.031256720943599,0.29434464938127,0.0038039701440678,0.38445304661236,0.063685551996912
1.9e-05,98.841298693729,0.0073168700319114,0.48502629349716,0.39066028085592,0.032822057797687,0.30717384832106,0.0039718423790349,0.39471393441765,0.060259761330989
1.95e-05,98.147964236557,0.0076747389989234,0.45543309307651,0.40160285328092,0.034468878385195,0.31994699294995,0.0041408796129024,0.4055368169376,0.057456206789598
2e-05,97.073784503873,0.0079922673583063,0.43477719782191,0.41307975479794,0.036142888420689,0.33261409369733,0.0043137090607832,0.41725287699233,0.055621427163371
2.05e-05,95.730497984538,0.008328170607019,0.4242867920532,0.42553376686046,0.037757628800601,0.34536679093174,0.0044958443187427,0.43032821584097,0.054860668167765
2.1e-05,94.260944798315,0.0087035270405615,0.41905082307256,0.43969901541325,0.039271156315542,0.35882802574518,0.004691608164633,0.44531883627868,0.054961716048068
2.15e-05,92.795672969869,0.0090909846719706,0.41948725068775,0.45611556222186,0.040742001291475,0.37384493726134,0.0049032400275276,0.46281657136142,0.055630744389152
2.2e-05,91.660022274093,0.0094776837591418,0.4263277456303,0.47509151148809,0.042306201822599,0.39114681417037,0.0051334945777208,0.48336664461371,0.056802556094672
2.25e-05,91.446529982316,0.0099214692939426,0.44342600894997,0.49699674116468,0.044068761670594,0.4109044974557,0.0053863892529421,0.50729915090969,0.058989689391952
2.3e-05,92.724613263226,0.010506782603627,0.47635167831682,0.5222245282536,0.046016902413164,0.43241627744964,0.0056639301655428,0.53449890229429,0.063223685401025
2.35e-05,95.608425015685,0.011245909526822,0.52395819537968,0.55074532116257,0.048065219737073,0.4543593832836,0.0059626898324421,0.56424406574017,0.070216762464309
2.4e-05,99.480088409417,0.012064813063173,0.57666664532733,0.58172584664098,0.05013409889058,0.47576801198775,0.0062739574117371,0.59525960490866,0.079175331609776
2.45e-05,103.03400719694,0.012841669384869,0.62395784854236,0.61359253404101,0.052262418534011,0.49686836177885,0.0065867743692568,0.62605230960655,0.08773362410026
2.5e-05,104.75866648694,0.01343310502142,0.66032990613111,0.64457555153098,0.054513074654321,0.51862210961048,0.0068916117215338,0.65545260580976,0.093751924933755
2.55e-05,103.78400872656,0.013756060424272,0.68465539534357,0.67353375788576,0.056988484786418,0.54136974239632,0.0071838346743544,0.68312419665044,0.097119728078107
2.6e-05,100.61618132986,0.013895199993088,0.70157750897403,0.70055046224051,0.059769954808344,0.56442728068376,0.0074660797628011,0.70972393310282,0.099362648012869
2.65e-05,97.107461066206,0.014098032397581,0.71434650058481,0.72681366224027,0.062904467915103,0.58737309896978,0.0077475709722996,0.73652723457039,0.10156212188824
2.7e-05,95.429401457705,0.014624674117733,0.72416590957597,0.75390056812997,0.066392020123524,0.61088418397141,0.0080397006265937,0.76466380118388,0.10384898404779
2.75e-05,96.605312462282,0.015555304012706,0.73416145627776,0.78292375289057,0.07023404053256,0.63552281055136,0.0083591267753904,0.79442179629644,0.10650626857062
2.8e-05,99.682416576401,0.016700925763181,0.74030506230373,0.81383680822126,0.074388009745561,0.66081201151777,0.0086964721046181,0.82510639109477,0.10965099250356
2.85e-05,102.33610780591,0.017699842548442,0.74024033585856,0.84537048183072,0.078723234954103,0.68628904618628,0.0090314108048067,0.85558547167278,0.11227258332671
2.9e-05,102.62332684472,0.018275438405145,0.73271110249837,0.87599411498087,0.083119336531899,0.71208467236919,0.0093846231103443,0.8851379029327,0.11350457997537
2.95e-05,100.52464915884,0.01848148409321,0.71939999879585,0.90514356618817,0.087477769708152,0.73812485440827,0.0097509681163646,0.91395489601869,0.1139294145079
3e-05,97.893686562638,0.018687010592273,0.70764444846227,0.9334867898509,0.091793734294302,0.76421051768076,0.010128173996422,0.94290843344345,0.11444749902432
3.05e-05,96.762837069131,0.019253449733917,0.69923695334485,0.96219239272996,0.096122255686606,0.79063173136452,0.010518934565608,0.97282009245406,0.11538838244592
3.1e-05,97.541237053411,0.020187507392513,0.69430002643902,0.99199734552188,0.1005702660357,0.81771046295807,0.010923403427062,1.0038927115441,0.11676523167376
