time,DJ_over_J,DJint,Fy,Jint,ce_int,external_work,fracture_energy,kinetic_energy,max_disp_y,nucleation_energy,preset_ext_work,strain_energy
0,0,0,0,0,0,0,0,0,0,0,0,0
5e-08,-61.865319598464,-3.9607331032436e-11,4.3368199320179,6.4021864413709e-13,-0.0040509089500202,1.2192050436434e-05,0,5.6003464172725e-05,1.4061494155639e-06,0.0013503029833401,0.00027973289184292,1.1453083730062e-05
1e-07,-32.833851412091,-5.3891414521295e-10,18.34234045353,1.6413369800854e-11,-0.01511924990129,0.00016054118253673,0,0.00046662131625329,5.4540055613702e-06,0.0050397499670966,0.0010845225462301,0.00016349579649212
1.5e-07,-15.676837901664,-2.0469678539642e-09,41.548027591381,1.3057275113796e-10,-0.030757855106923,0.00068645309752789,0,0.0011734455454412,1.1799705052523e-05,0.010252618368974,0.0023441323005225,0.00070367812311415
2e-07,-7.0146725716839,-4.1561436555431e-09,68.581347447485,5.924928944396e-10,-0.046520665324874,0.0017183666397716,0,0.001800115268391,1.9373038645556e-05,0.015506888441625,0.0038415192787958,0.0016823444341144
2.5e-07,-3.2724664872855,-5.9702405747356e-09,92.984647874134,1.8243855507556e-09,-0.060282179244963,0.0031305791198936,0,0.0022467087141645,2.7084072360335e-05,0.020094059748321,0.0053529872903437,0.0028115417220834
3e-07,-1.9316497519,-7.6164241655314e-09,109.612743671,3.9429633441776e-09,-0.07629216653082,0.0046206986813948,0,0.0026677926589226,3.4108080750703e-05,0.02543072217694,0.0067058563907616,0.0037004802347332
3.5e-07,-1.7577986742364,-1.0466872464701e-08,116.01794509942,5.9545342809228e-09,-0.0908865817098,0.0059170065472443,0,0.0032166211753003,4.0068867973025e-05,0.0302955272366,0.0078176282980494,0.0041943163350119
4e-07,-2.5460457502985,-1.530951168865e-08,112.93414638846,6.0130544342557e-09,-0.10146336690914,0.0069246731992977,0,0.0038554592406666,4.5066726968766e-05,0.033821122303047,0.008705212588965,0.0044453346987803
4.5e-07,-6.3936099594852,-2.0928173236529e-08,103.7451130048,3.2732952696748e-09,-0.10918160455549,0.0077156016083674,0,0.0044366682791421,4.9554866269988e-05,0.036393868185164,0.0094633997146334,0.0046867849168129
5e-07,33.313052364705,-2.532500457022e-08,93.163489869782,-7.6021267258751e-10,-0.11371619725687,0.0084259796813862,0,0.004907856373589,5.4118674150042e-05,0.037905399085625,0.010221664407617,0.0050124571088303
5.5e-07,8.0743802295748,-2.8010756435355e-08,85.595319552272,-3.4690905851519e-09,-0.12643703884971,0.009177525097284,0,0.0053667580147935,5.9241018451334e-05,0.042145679616572,0.011094847108551,0.0053958138683416
6e-07,8.0850474119395,-3.0051497566599e-08,83.744420377357,-3.7169228620998e-09,-0.14007827224585,0.010061149769374,0,0.005916447650541,6.5134677077631e-05,0.046692757415282,0.012144256045128,0.0058473013998847
6.5e-07,12.127417930813,-3.2000838763672e-08,87.900711687622,-2.6387182289122e-09,-0.15373593985288,0.011136483605315,0,0.0065301852598981,7.1692670971176e-05,0.051245313284294,0.01336115571528,0.0064551410100034
7e-07,19.377559695015,-3.3021419518589e-08,96.101411132655,-1.7041061949139e-09,-0.16704531421628,0.012406716866597,0,0.0070994069688237,7.8561425895242e-05,0.055681771405427,0.014676273674997,0.007253329849698
7.5e-07,40.5825768318,-3.2367419573596e-08,105.04748607285,-7.9756935366e-10,-0.17782995371618,0.0137933167634,0,0.0075842102675083,8.5297661418511e-05,0.059276651238728,0.015989886205841,0.0081147573426738
8e-07,-29.526555245369,-3.0860026814777e-08,111.40711292113,1.0451617724562e-09,-0.19432138228288,0.015159522971649,0,0.0080601695652184,9.1543447259098e-05,0.064773794094294,0.017210362372923,0.008836378489614
8.5e-07,-8.8843542982452,-3.0443422524364e-08,113.02700588565,3.4266331015611e-09,-0.20765055787559,0.016382332300445,0,0.0086089234612433,9.7153321992612e-05,0.069216852625196,0.018286936293346,0.0093258670767209
9e-07,-7.6474699199335,-3.240200660013e-08,109.63358287293,4.2369577048839e-09,-0.21886318790622,0.017416574374393,0,0.0092093071302358,0.00010223086992616,0.072954395968741,0.019225443179438,0.009667263181012
9.5e-07,-17.715651510019,-3.6295817661217e-08,102.80982300487,2.0487994833659e-09,-0.22644340991892,0.018302448721571,0,0.0097728985512474,0.00010706918035451,0.075481136639639,0.020082501352481,0.0100027685492
1e-06,22.474466092107,-4.0736757098627e-08,95.302035353057,-1.812579526102e-09,-0.23317222098991,0.019125621471984,0,0.010266480249263,0.00011202558753993,0.077724073663302,0.020941581344296,0.010394483747394
