"Time","Points:0","Points:1","Points:2"
58,93,7.8758,0
58.25,93.25,8.0008,0
58.5,93.5,8.1258,0
58.75,93.75,8.2507,0
59,94,8.3757,0
59.25,94.125,8.5008,0
59.5,94.375,8.6258,0
59.75,94.625,8.7508,0
60,94.875,8.7506,0
60.25,95,8.8757,0
60.5,95.25,9.0007,0
60.75,95.375,9.1258,0
61,95.625,9.1256,0
61.25,95.75,9.2507,0
61.5,96,9.3757,0
61.75,96.125,9.3756,0
62,96.25,9.5007,0
62.25,96.375,9.6258,0
62.5,96.5,9.7508,0
62.75,96.625,9.7508,0
63,96.875,9.7506,0
63.25,97,9.7506,0
63.5,97,9.8758,0
63.75,97.125,9.8757,0
64,97.25,9.8756,0
64.25,97.25,10.001,0
64.5,97.375,10.001,0
64.75,97.5,10.126,0
65,97.625,10.126,0
65.25,97.625,10.251,0
65.5,97.75,10.251,0
65.75,97.875,10.251,0
66,97.875,10.376,0
66.25,98,10.376,0
66.5,98.125,10.376,0
66.75,98.25,10.376,0
67,98.375,10.376,0
67.25,98.375,10.501,0
67.5,98.5,10.501,0
67.75,98.625,10.501,0
68,98.75,10.501,0
68.25,98.875,10.501,0
68.5,99,10.501,0
68.75,99.25,10.376,0
69,99.375,10.501,0
69.25,99.625,10.376,0
69.5,100,10.376,0
69.75,100,10.502,0
70,100,10.502,0
