time,DJint,DJint_2,Fy,Jint,external_work,fracture_energy,kinetic_energy,max_disp_y,preset_ext_power,preset_ext_work,preset_ext_work_p,strain_energy
0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,4.2351647362715e-21,-2.770256909171e-21,20.177586992684,0,0.00037481388091954,0.0059279668895121,0.00012269059836548,9.4060009427552e-06,0.014070751218137,0.0018483728785036,0.0017588439022672,0.00024865246011793
0.5,8.1315162936413e-20,-8.7614970481617e-20,49.963158018746,1.8634724839595e-20,0.0020112028946222,0.0059279668895121,0.00065945540805298,2.6310015982937e-05,0.01317434230792,0.0051071338530489,0.0051644805930243,0.0012067073873191
0.75,1.3552527156069e-20,8.0256371752345e-20,55.237853921255,3.3881317890172e-20,0.0035133983148507,0.0059279668895121,0.0013423695311966,4.0871393207226e-05,0.0085356869747169,0.0078125060101658,0.007878234253354,0.0018392376075665
1,2.0328790734103e-19,-3.5617735432043e-19,47.159467471828,1.0842021724855e-19,0.0047007135251733,0.0059279668895121,0.0020285922320634,5.4373612673929e-05,0.011208974647511,0.010316953133515,0.010346316956132,0.0024053788130896
1.25,4.2012834183813e-19,-5.6962965702852e-19,49.004298698227,7.7927031147396e-20,0.0061403376992336,0.0059279668895121,0.002718329477616,6.9648037873936e-05,0.012474395775081,0.013239733681723,0.013306738258956,0.0031668712252478
1.5,1.0842021724855e-19,1.9058241313222e-19,52.211417280083,7.4538899358378e-20,0.0076189619309974,0.0059279668895121,0.0034054401041148,8.4387492422679e-05,0.010331165453361,0.016057313019866,0.016157433412512,0.0038781722644681
1.75,-2.7105054312138e-19,2.0328790734103e-19,49.408979028407,-2.7105054312138e-20,0.0089227866733214,0.0059279668895121,0.0040961039270463,9.8338855739941e-05,0.010608944845463,0.018682491254583,0.018774947199865,0.0044979107401321
2,1.4907779871676e-19,-5.116079001416e-19,48.893078663168,1.3552527156069e-20,0.010293790195637,0.0059279668895121,0.0047864243546185,0.0001130627222226,0.011816985851203,0.021472144578147,0.021578188536948,0.0051947689386564
2.25,4.7433845046241e-19,-3.9556438636776e-19,50.930902759805,4.0657581468206e-20,0.011742265023117,0.0059279668895121,0.0054776052520218,0.00012788387484149,0.011050938783397,0.02430164838709,0.024436679116273,0.0059159867061743
2.5,-1.0842021724855e-19,4.6586812098987e-19,50.2186778046,-8.1315162936413e-20,0.013108062500558,0.0059279668895121,0.0061700290899848,0.00014213750197078,0.010659617426558,0.027007388937902,0.027150498642517,0.0065731900357159
2.75,-3.5236570605779e-19,5.1076086719434e-19,49.252694799497,5.4210108624275e-20,0.014467087441077,0.0059279668895121,0.0068626067794308,0.00015660447681296,0.011367559963813,0.029752503068412,0.029903895816314,0.007250279647447
3,3.0086610286473e-18,3.4220131069074e-19,50.219462853303,4.7975946132484e-18,0.015884865070859,0.0059279668895121,0.0075562769785926,0.00017133439515226,0.011277618826647,0.032561262599566,0.032734543165121,0.0079600395588627
3.25,2.0876312831208e-16,2.6789958055759e-17,50.366178363887,3.1964990550304e-16,0.01727806426514,0.0059279668895121,0.0082504533344675,0.00018579553569446,0.010858308128894,0.035313263870746,0.035501534034564,0.0086401855685103
3.5,1.0240614779777e-14,1.4873796909832e-15,49.640346766841,1.5925981236911e-14,0.018645550942592,0.0059279668895121,0.0089452737054432,0.00020021801704849,0.011141832049941,0.038053930668989,0.038251551556919,0.0093151378950082
3.75,3.6838929259528e-13,6.3045436452251e-14,49.916402036721,5.8381252577514e-13,0.020043912384112,0.0059279668895121,0.0096408232019318,0.00021482987727709,0.01128971028792,0.040841037621387,0.041055494349151,0.010012878156362
4,9.7315869826507e-12,1.9613790097823e-12,50.267664255579,1.5779613333762e-11,0.021444961565866,0.0059279668895121,0.010336896947265,0.00022936752108113,0.011028898577888,0.043614005967028,0.043845320457377,0.010703245196978
4.25,1.8858515920747e-10,4.5092353340311e-11,49.896238260697,3.1450114970524e-10,0.022824522367907,0.0059279668895121,0.011033657827949,0.00024382129288527,0.011070873059091,0.046364729952156,0.046607791912,0.011382295979285
4.5,2.6721192573085e-09,7.6899241176921e-10,49.847948701817,4.6147441911483e-09,0.024214503329195,0.0059279668895121,0.011731033215997,0.00025836920708505,0.011237558602922,0.049138933478897,0.049396345869751,0.012072582017679
4.75,2.7536288072698e-08,9.7394750575333e-09,50.129555562325,4.9706034900722e-08,0.025615004847926,0.0059279668920078,0.012429116648745,0.00027291993440125,0.011130881242453,0.051918463283195,0.052192400850423,0.012765142250032
5,2.0480118988349e-07,9.1663400091655e-08,50.015986517143,3.9146303557308e-07,0.027003879367682,0.0059279669756305,0.013128132149347,0.00028740304083704,0.011079528282949,0.054681160796327,0.054968702041098,0.013448334188656
5.25,1.0877823758629e-06,6.4090699019748e-07,49.879625716232,2.2435100453301e-06,0.028392628754841,0.0059279685603697,0.013828803273292,0.00030192184083995,0.011189333323624,0.057451159646828,0.05775230974192,0.014133012030559
5.5,4.0672538245111e-06,3.3315029322845e-06,50.030178601886,9.3115895487414e-06,0.029790647213429,0.0059279861957359,0.014533209281106,0.00031646929926006,0.011176713091524,0.060231276192902,0.060548065543813,0.01481786083318
5.75,1.0509467252397e-05,1.2865993295452e-05,50.046538832945,2.7916614872417e-05,0.031185005309515,0.0059281006783039,0.015243602185921,0.00033097511424907,0.011115360586773,0.063003206202724,0.0633345747536,0.015492165494849
6,1.8415900162523e-05,3.7145487887642e-05,49.932486807686,6.0844471216445e-05,0.03257589973735,0.0059285996354009,0.01595851214965,0.00034548128694778,0.011165184318377,0.065774564358996,0.066119642866744,0.016164039474365
6.25,2.2001364160454e-05,8.0860746430739e-05,49.980934460033,9.9492957740856e-05,0.033972287307546,0.0059299849594554,0.016671473368039,0.00036001668749299,0.01119104243397,0.068554185732028,0.068914171210788,0.016845296059664
6.5,2.0290633434384e-05,0.00013631106905601,50.035661778419,0.00013235028982186,0.035369334924063,0.0059320512514517,0.0173753477573,0.00037453747847692,0.011151284190704,0.071332083101625,0.071706962038872,0.01753687557942
6.75,1.9749337976827e-05,0.00018644007505167,49.972692327662,0.00016124681888531,0.036763274573237,0.0059337868137994,0.018066250935398,0.00038904498700234,0.011162833624146,0.074107289890039,0.074496226765728,0.018240758634768
7,2.1196936930334e-05,0.00022144143494198,49.967251655403,0.00019179195069366,0.038159497651782,0.0059349154222918,0.018744282234758,0.00040356835660099,0.01119373406012,0.076887356641595,0.077290797726261,0.018959269334823
7.25,2.0344117476251e-05,0.00024486176413477,50.014627622766,0.00022059135757294,0.039557825937805,0.0059363543234249,0.019410796677344,0.00041809256570556,0.011178195010161,0.079668987558078,0.080087288860046,0.019688764304967
7.5,1.91093560447e-05,0.00028060143269279,49.993419444167,0.00024716323921948,0.040954538299874,0.0059391625179086,0.020066907261137,0.00043260597990968,0.011173419702819,0.082448580801755,0.082881240699169,0.020426897879817
7.75,1.8906534258476e-05,0.00035319623882232,49.970946467343,0.0002745337720957,0.042351727573853,0.0059435772179091,0.020712918514915,0.00044712444004585,0.011195916876179,0.085230377451278,0.085677407771544,0.021174637381825
8,1.8407981810157e-05,0.0003735714493452,49.997679805888,0.00030230379055251,0.043750930611097,0.0059486879902169,0.021351055098342,0.00046164699624727,0.011196450561909,0.08801470422467,0.088476453701305,0.021934314412109
8.25,1.8088204008458e-05,0.00040314848301387,49.99904895846,0.00033034919098941,0.045149854366158,0.0059534417655095,0.021976135769115,0.00047616363995612,0.011189350549734,0.090798402963359,0.09127467884026,0.022707187515867
8.5,1.8260332845635e-05,0.00043140954280216,49.97845014096,0.00035860194886901,0.046548636190212,0.0059578700742643,0.022589144723785,0.00049068142410751,0.01120221096815,0.093582968182499,0.094073624029996,0.023490279369158
8.75,1.9342702083522e-05,0.00044508641237683,49.987005190217,0.00038701753231174,0.047948872858346,0.005962554240338,0.023192605675269,0.00050520474005684,0.011210461992988,0.096369958606218,0.096875208150138,0.024284217393702
9,2.1260380350444e-05,0.00046719334821956,49.995106524785,0.00041563596449524,0.049349682527812,0.0059678915436188,0.023785815570936,0.0005197302017318,0.011207691639617,0.099157644399402,0.099677477354214,0.025088219401728
9.25,2.3526676021525e-05,0.00050382896273156,49.981697292841,0.0004443439321975,0.050750480119428,0.0059745287685719,0.024368867575394,0.0005342708253386,0.01121514601977,0.10194606466298,0.10248033206164,0.025901015299637
9.5,2.5740572173161e-05,0.00056216416573144,49.977944228514,0.0004730907024376,0.052152302622164,0.0059818196686439,0.02494138971357,0.00054886332513558,0.011226773091374,0.10473678734488,0.10528557195053,0.026725695843801
9.75,2.7575749428946e-05,0.00062018432934448,49.979269232786,0.00050170051656478,0.053555047559941,0.0059896245679447,0.025501910230251,0.00056358512467795,0.011232211716596,0.10752959067909,0.10809294505153,0.027562758793369
10,2.8726628016639e-05,0.00065562781365521,49.960156632471,0.00052993460409909,0.054957586168571,0.0059981487009349,0.026051637927216,0.0005786200899555,0.011245044062387,0.11032478936843,0.1109026020239,0.028409323850881
10.25,2.8797733180707e-05,0.00067030736432812,49.930906349036,0.00055748490938087,0.056357868287491,0.0060078657465477,0.026597337627432,0.00059435383930455,0.011272204151783,0.11312500896062,0.11371725805067,0.029257193600269
10.5,2.7510454352811e-05,0.00068769825557108,49.902128338238,0.00058408808421463,0.057746794141112,0.0060189357746569,0.027155122809308,0.00061148446911634,0.01130891337869,0.11593317597265,0.11653989774198,0.030081675682562
10.75,2.4967043888172e-05,0.00071316307595606,49.869781173768,0.00060974332151143,0.059097827627046,0.0060308555681886,0.02777009450871,0.00063112515428131,0.011359125532008,0.11875225523573,0.11937340260582,0.030817266477513
11,2.188136707948e-05,0.00074404617966365,49.851480614905,0.00063511386789837,0.060359996639546,0.0060440740402564,0.028540220036544,0.0006547920341333,0.01142199884033,0.12158547097835,0.12222104315236,0.031337561113321
11.25,1.9690986857385e-05,0.0007801326987242,49.871483923933,0.00066167046461578,0.061475232007132,0.0060572047474399,0.029605372469217,0.0006841370814795,0.013632912557004,0.12443367401802,0.12535290707703,0.031500110562061
11.5,2.0180337365089e-05,0.00081433944217908,49.927832957137,0.00069116136111329,0.062445075225977,0.0060701185572596,0.031058001890586,0.00072037412940973,0.018233241229085,0.1272935070182,0.12933617630029,0.031277889162665
11.75,2.4356090301608e-05,0.00084698319314049,50.006981023375,0.00072447926666937,0.063407905564042,0.0060833611597772,0.03280454023238,0.0007635386929725,0.022160498774196,0.13015841884092,0.1343853938007,0.030880480767662
12,3.1357044672234e-05,0.00088473063477539,50.09764388984,0.00076066451877868,0.064597318960556,0.006097741963337,0.03456531722219,0.00081197364968779,0.02412825220127,0.13301991649736,0.14017148767263,0.030619958326279
12.25,3.841399677419e-05,0.00092510643693406,50.183126586301,0.00079684167006161,0.066135503545141,0.0061132632847827,0.036134484422165,0.0008625467210338,0.023527405512549,0.13586872406329,0.14612844488686,0.030560734176744
12.5,4.2123035413472e-05,0.0009636384426209,50.247281181047,0.0008293829328197,0.067883719162907,0.0061308990951214,0.037610004994212,0.00091180583115434,0.021001052928993,0.1386966711218,0.15169450219205,0.030458767300287
12.75,4.0324445985506e-05,0.0010002513345339,50.281532718404,0.00085585498423062,0.069578072883829,0.0061507775207741,0.039199196282923,0.0009575921920862,0.018191564290037,0.1414980991106,0.15659357934443,0.03017427392168
13,3.3715940231589e-05,0.0010347690452914,50.279005408719,0.00087689900397228,0.071066077893261,0.006172989043105,0.040886995774911,0.0010000603837527,0.01669143735892,0.14427057344272,0.16095395455055,0.029852590155807
13.25,2.6307619461298e-05,0.0010688655756765,50.242539470795,0.00089675359809871,0.072348148046157,0.0061965613382358,0.042542581928442,0.0010412354865992,0.01706521571172,0.14701551355755,0.16517353618438,0.029578803532485
13.5,2.3375004040854e-05,0.0011026646380224,50.198316570566,0.0009209071740619,0.073520532832064,0.006220454237399,0.044176262889109,0.0010832911424791,0.018698374534666,0.14973727724085,0.16964398496518,0.029273873876642
13.75,2.737833889198e-05,0.0011314261104029,50.179285699051,0.00095179234000515,0.074739182744825,0.006244361000445,0.045833225792872,0.0011268734806627,0.019929861777014,0.15243991204176,0.17447251450414,0.028944823992471
14,3.5523111197993e-05,0.0011577117605368,50.192652929709,0.00098657479697326,0.076094525869695,0.0062684145727661,0.047475082198674,0.0011708609809442,0.019830153549034,0.15512429565646,0.17944251641989,0.028643511560191
14.25,4.2136291873731e-05,0.0011830640334621,50.213248163095,0.0010198140358809,0.077520198420076,0.0062930485109942,0.049091606397162,0.001213666505311,0.018920671679384,0.15778853807099,0.18428636957345,0.0283423732499
14.5,4.4141796052658e-05,0.0012103617096511,50.209749933406,0.001048741808996,0.078901943121964,0.0063192843730482,0.050702228226787,0.001254746252263,0.018312491050073,0.16043107182904,0.18894051491463,0.028035006520336
14.75,4.3808440261533e-05,0.0012425239001684,50.177020260346,0.0010757383711599,0.080205103225,0.0063467148277454,0.052297063481924,0.0012948972023676,0.018515635277309,0.16305323753954,0.19354403070555,0.027738356487802
15,4.5261691742666e-05,0.0012793858241899,50.14192080201,0.0011050845333835,0.081479007929007,0.0063754084598858,0.053874825467994,0.0013352847778095,0.019067233759699,0.16565867160062,0.19824188933518,0.027443819936645
15.25,4.8979495554529e-05,0.0013183312210404,50.134080370279,0.0011376577052363,0.08278439832823,0.0064050787048787,0.055441774922342,0.0013764059519242,0.019271446939795,0.16825011925375,0.20303422442261,0.027152477512099
15.5,5.1658184414584e-05,0.0013547082784545,50.155946967579,0.0011703982006856,0.084121655940696,0.0064359586894714,0.056996749548842,0.0014179943522539,0.019016783660159,0.17082717960801,0.20782025324761,0.026864700225045
15.75,5.1529077846581e-05,0.0013845432022784,50.188671881014,0.0012013372447303,0.085445564358499,0.0064683887402642,0.058542100009014,0.001459645810433,0.018722192211667,0.17338705703553,0.21253762523159,0.026574717155158
16,5.1217430463966e-05,0.0014094282310691,50.218053203905,0.0012329709932099,0.086731207606931,0.0065004919199442,0.060079050261263,0.0015012596186199,0.018687041638192,0.17592656522801,0.21721377946282,0.02628357498428
16.25,5.3775109361195e-05,0.0014311629068446,50.240028415516,0.0012691549039555,0.087993175194112,0.0065310096479219,0.061610219474739,0.0015429116456279,0.018781844470638,0.17844305524087,0.22189739022642,0.025985667974308
16.5,5.7948802815077e-05,0.0014515460976997,50.24612036798,0.0013107599371067,0.089252726492778,0.0065583758198748,0.063140854304478,0.0015845702050537,0.018770171959115,0.18093473307161,0.22659139228014,0.025676395385388
16.75,6.0053571084874e-05,0.0014716003601598,50.223235940912,0.0013570187499584,0.090509442251727,0.0065824156681249,0.064674874807037,0.0016260921545918,0.018640139264153,0.18340181403413,0.23126768118305,0.02535376201649
17,5.9469184554828e-05,0.0014919081666438,50.175215792619,0.0014093929611654,0.091751876890916,0.0066046462720208,0.066212755577683,0.0016674051347986,0.018558174755898,0.18584761239774,0.23591747043556,0.025019267629668
17.25,5.9229451488541e-05,0.0015125873726804,50.13245667443,0.001469941642984,0.09297952071263,0.0066267812545375,0.06775202287414,0.0017085661395615,0.018575464103221,0.1882772335124,0.24055917529294,0.024676736758782
17.5,6.1284041575085e-05,0.0015345855921116,50.126459301605,0.0015358273052295,0.094201373353713,0.0066500403022926,0.069290846648607,0.0017496692099768,0.018594183088446,0.19069399271497,0.2452053811919,0.024327364518041
17.75,6.4058619588579e-05,0.001559491923419,50.155965261926,0.0015997446148243,0.095420624332992,0.0066754685998769,0.07082980678138,0.0017907905595412,0.018546313878998,0.19309699704971,0.24984794331283,0.023967985971181
18,6.5143367671486e-05,0.0015878071533289,50.188712874314,0.001657489346875,0.096631521826208,0.0067047386741141,0.072371227715323,0.0018320188549828,0.018470374658751,0.19548258987419,0.25447502938005,0.023592574338529
18.25,6.3962850286157e-05,0.0016181289325362,50.198451370014,0.0017117940948397,0.097829444295536,0.0067384396149735,0.073916630331902,0.0018734547325274,0.018419943232113,0.19784797639069,0.25908631911641,0.023198950011772
18.5,6.1407248216437e-05,0.0016475394626042,50.190634354527,0.0017670611806891,0.09901571330969,0.0067743683103822,0.075463189933222,0.0019151482868168,0.018387029573489,0.20019297036596,0.26368719071711,0.022794315885014
18.75,5.8864616513952e-05,0.0016744003511493,50.186994934475,0.0018239493310665,0.10019238706217,0.0068094829083889,0.077001049953279,0.0019570739437775,0.018342360978779,0.20251851067391,0.26827836453614,0.022397156486086
19,5.7394798010331e-05,0.0016979330476021,50.193452087078,0.0018808372109146,0.10135838925002,0.0068415815580625,0.078516089921946,0.0019991838754617,0.018287141634826,0.2048246119203,0.27285705236284,0.022023990962895
19.25,5.6256177831765e-05,0.0017188613213694,50.192498638124,0.0019365096670865,0.10251232061776,0.0068706941774044,0.079994066118951,0.0020414591947333,0.018239440435793,0.20711061430655,0.27742287512167,0.021686984513227
19.5,5.3770817296189e-05,0.0017392218596409,50.163932156732,0.0019900146793674,0.10365563883763,0.0068987740753648,0.081424875146944,0.0020838994842305,0.018204842459938,0.2093773630368,0.28197841048364,0.021392367937785
19.75,5.0557432995535e-05,0.0017612296496392,50.101482123909,0.0020415224630189,0.10479162070825,0.0069281051516106,0.082803555084548,0.0021264941157008,0.018173228506888,0.21162888025047,0.28652566935449,0.021141838689414
20,4.8379163110397e-05,0.001784822825777,50.002143168477,0.0020925918138284,0.10592320888681,0.006962684096422,0.084132023325819,0.0021692316042549,0.018138937773765,0.21387262510016,0.29106469013957,0.020929171875724
20.25,4.5152075111131e-05,0.0018083313288951,49.841369559503,0.0021423410623141,0.10705340415448,0.007003641753475,0.0854208323171,0.0022121361717837,0.018100209455903,0.21612021025283,0.29559458354328,0.020743428978725
20.5,3.510451099977e-05,0.0018335888418987,49.562393508792,0.0021861294289179,0.10818771282402,0.0070504611781963,0.086688033781043,0.0022552970809852,0.01805739997518,0.21839092563928,0.30011428472217,0.02057510632848
