Time,Points:0,Points:1,Points:2,Raw Length,Raw Velocity,Smoothed:0,Smoothed:1,Smoothed Length,Smoothed Velocity
13.25,52.5,0.12517,0,2.5296114342575637,1.5000000005333334,52.46066433566746,0.1251760372960447,2.5658550422000608,1.1643356643364253
13.5,52.75,0.12518,0,2.7796114344575638,1.0000000008,52.73688811189123,0.1251776223776298,2.842078818428382,1.1048951049132842
13.75,53.0,0.12518,0,3.0296114344575638,1.0,53.04691142191457,0.12517818181818924,3.1521021284522264,1.2400932400953781
14.0,53.375,0.12518,0,3.4046114344575638,1.5,53.34003496503813,0.1251812820512895,3.4452256715921776,1.172494172559805
14.25,53.625,0.12518,0,3.6546114344575638,1.0,53.643939393942574,0.12518128205128948,3.749130100496623,1.2156177156177819
14.5,54.0,0.12518,0,4.029611434457564,1.5000000000000018,53.98106060606381,0.12517818181818927,4.08625131263211,1.3484848485419487
14.75,54.25,0.12518,0,4.279611434457564,1.0,54.29020979021301,0.11992489510490223,4.3954451273849475,1.236775259011349
15.0,54.625,0.12517,0,4.6546114345908975,1.5000000005333334,54.56497668997993,0.13305512820513613,4.6705255742160325,1.10032178732434
15.25,54.875,0.12518,0,4.904611434790898,1.0000000008,54.87991142191467,0.13597361305362113,4.985473828589061,1.2597930174921146
15.5,55.125,0.12518,0,5.154611434790898,1.0,55.18450349650676,0.11846731934732636,5.290568571617587,1.220378972114105
15.75,55.5,0.12518,0,5.529611434790898,1.5,55.498629370632656,0.08345356643357138,5.606639809930196,1.264284953250435
16.0,55.875,2.271e-18,0,5.924953100189322,1.581366661593698,55.80093706294038,0.04172771561771811,5.911813510393927,1.220694801854922
16.25,56.0,7.43e-19,0,6.049953100189322,0.5,56.057650349653684,0.006710862470862907,6.17090401886434,1.0363620338816517
16.5,56.249,3.9426e-19,0,6.298953100189324,0.9960000000000093,56.235638694642034,-0.010796410256410848,6.349751315601078,0.715389186946954
16.75,56.374,4.7502e-18,0,6.423953100189324,0.5,56.33908857809191,-0.0026265734265735804,6.45352329939063,0.4150879351582084
17.0,56.374,3.8678e-18,0,6.423953100189324,0.0,56.440930069933415,-0.007877412587413096,6.555500065236563,0.40790706338373184
17.25,56.499,2.9912e-18,0,6.548953100189324,0.5,56.47883216783551,-0.0029177156177157726,6.5937252875303765,0.15290088917525324
17.5,56.499,9.8294e-18,0,6.548953100189324,0.0,56.45883216783552,0.017506293706294786,6.622310951015192,0.11434265393926069
17.75,56.499,6.4638e-18,0,6.548953100189324,0.0,56.46811421911757,0.03501258741258949,6.642125763538495,0.07925925009321233
18.0,56.374,0.12517,0,6.725850044481757,0.7075877771697314,56.487053613056965,0.04172333333333577,6.662218915446658,0.08037260763265408
18.25,56.624,4.7707e-18,0,7.00543460932753,1.1183382593830906,56.57417482517818,0.035012587412589474,6.7495982019640195,0.34951714606944506
18.5,56.749,1.0852e-17,0,7.13043460932753,0.5,56.73035198135535,0.017506293706294737,6.906753457781054,0.6286210232681384
18.75,56.874,5.5464e-18,0,7.25543460932753,0.5,56.906634032637406,0.002334172494172668,7.083687216194438,0.7077350336535346
19.0,57.124,5.4755e-18,0,7.50543460932753,1.0,57.080293706297084,-0.021007132867134078,7.2589085014070385,0.7008851408504029
19.25,57.124,4.1274e-18,0,7.50543460932753,0.0,57.17644755245094,-0.0055447086247089935,7.3562976624755665,0.3895566442741121
19.5,57.249,5.9718e-18,0,7.63043460932753,0.5,57.227438228441635,0.0014586247086248345,7.407767029246162,0.20587746708238086
19.75,57.249,2.6378000000000003e-19,0,7.63043460932753,0.0,57.184606060609454,0.05485445221445549,7.4762192680425406,0.2738089551855154
20.0,57.124,0.12517,0,7.807331553619963,0.7075877771697314,57.15634265734604,0.08636717948718459,7.518549776475536,0.16932203373198007
20.25,57.124,0.12518,0,7.807341553619962,3.999999999848569e-05,57.19626107226446,0.09570440559441121,7.559545674331017,0.16398359142192476
20.5,57.249,0.12517,0,7.932341554019962,0.5000000016000001,57.248125874129265,0.11408547785548459,7.614571318261297,0.22010257572112124
20.75,57.499,6.3709e-19,0,8.211926118865735,1.1183382593830906,57.39148251748591,0.09424361305361867,7.759294594873252,0.5788931064478184
21.0,57.499,0.12517,0,8.337096118865736,0.5006800000000027,57.55406993007335,0.06739899766900169,7.924083247719935,0.6591546113867324
21.25,57.624,0.12517,0,8.462096118865736,0.5,57.68693706294049,0.07264965034965468,8.05705408794405,0.5318833608964582
21.5,57.874,2.1777e-18,0,8.741680683711508,1.118338259383087,57.78513053613396,0.08111396270396752,8.155611699326576,0.39423044553010556
21.75,57.874,0.12517,0,8.866850683711508,0.5006800000000027,57.871960372963805,0.11641708624709314,8.249343930153534,0.37492892330783434
22.0,57.999,0.12517,0,8.991850683711508,0.5,58.03075990676336,0.10532813519814146,8.408530163133403,0.6367449319194733
22.25,58.124,0.12517,0,9.116850683711508,0.5,58.17761305361651,0.11057820512821162,8.555477126269578,0.5877878525447002
22.5,58.374,0.12516,0,9.366850683911508,1.0000000008,58.335538461541915,0.10328484848485457,8.713570856441057,0.632374920685919
22.75,58.624,1.3214e-18,0,9.64643077190062,1.1183203519564486,58.54037529137875,0.07819221445221917,8.919938894519392,0.8254721523133384
23.0,58.624,0.12517,0,9.771600771900621,0.5006800000000027,58.715491841495336,0.09015461538462075,9.095463551365095,0.70209862738281
23.25,58.874,0.12517,0,10.021600771900621,1.0,58.88594638694989,0.10766072261072901,9.26681469917663,0.6854045912461402
23.5,59.124,0.12516,0,10.271600772100621,1.0000000008,59.06077156177507,0.12808606060606814,9.442829005938547,0.7040572270476702
23.75,59.249,0.12517,0,10.396600772500621,0.5000000016000001,59.274932400935924,0.13829736596737413,9.657233147193475,0.8576165650197112
24.0,59.499,0.12517,0,10.646600772500621,1.0,59.51619114219468,0.11991617715618431,9.899191094646893,0.9678317898136726
24.25,59.749,0.12517,0,10.896600772500621,1.0,59.738219114222645,0.12516689976690717,10.121281144966096,0.8883602012768108
24.5,59.999,0.12516,0,11.146600772700621,1.0000000008,59.99637762238119,0.12516396270397012,10.379439653141347,1.0326340327010044
24.75,60.249,0.12516,0,11.396600772700621,1.0,60.24637762238119,0.12516074592075335,10.629439653162041,1.0000000000827782
25.0,60.499,0.12516,0,11.646600772700621,1.0,60.488219114222694,0.1251600000000074,10.871281145004698,0.9673659673706254
25.25,60.749,0.12516,0,11.896600772700621,1.0,60.760946386949996,0.12515841491842236,11.144008417736606,1.0909090909276316
25.5,60.999,0.12516,0,12.146600772700621,1.0,61.03279953380317,0.12515813519814262,11.415861564589925,1.0874125874132758
25.75,61.374,0.12515,0,12.521600772833954,1.5000000005333334,61.32679720280085,0.1251531468531543,11.70985923362992,1.1759906761599836
26.0,61.624,0.12515,0,12.771600772833954,1.0,61.621377622381274,0.12514934731935476,12.00443965323485,1.1783216784197208
26.25,61.874,0.12515,0,13.021600772833954,1.0,61.91304428904796,0.1251478321678396,12.296106319905471,1.166666666682481
26.5,62.249,0.12514,0,13.396600772967288,1.5000000005333334,62.20849883450252,0.12514636363637108,12.591560865363682,1.1818181818328455
26.75,62.499,0.12515,0,13.646600773167288,1.0000000008,62.52201864802235,0.12514375291376034,12.905080678894384,1.2540792541228072
