time,DJ,DJint_1,DJint_2,Fy_top,J,external_work,fracture_energy,kinetic_energy,max_disp_y,preset_ext_power,preset_ext_work,preset_ext_work_p,strain_energy
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,-5.9791994763298e-22,-6.7762635780344e-21,6.1783436304014e-21,79.159353232498,2.5410988417629e-19,0.0065293526770123,0,0.00088852640750051,4.3498342152306e-05,0.031239889378464,0.0082275342716566,0.0078099723446161,0.002888180714433
1,3.1146460261725e-17,3.0926866970149e-17,2.1959329157568e-19,110.70024844409,4.3964398094287e-17,0.018935986189488,0,0.0049517625761409,0.00010376020357651,0.016613550321604,0.019405937931582,0.019773332269633,0.0086150590013009
1.5,7.311534614107e-15,6.716659563602e-15,5.9487505050496e-16,96.119111054302,9.9047424992685e-15,0.029034308864868,0,0.010285218839089,0.00015984653195807,0.02345170013007,0.029884751441812,0.029789644882552,0.01363802458611
2,7.2812525933196e-13,6.510225572607e-13,7.710270207126e-14,100.91360437844,9.8380712485e-13,0.040019540811945,0,0.015635917979544,0.00021764045965728,0.021102560910958,0.040742577873623,0.040928210142808,0.019041361047098
2.5,3.8429075126275e-11,3.3315538424793e-11,5.1135367014815e-12,100.04685223278,5.1801560613175e-11,0.050728418550507,0,0.021003044859899,0.00027469715470008,0.021320297619401,0.051418808252334,0.051533924775398,0.024262465256769
3,1.1988203049145e-09,1.001479037015e-09,1.9734126789959e-10,99.684558874029,1.6107916387721e-09,0.06149679678169,0,0.026385881596172,0.00033200938184691,0.021967991688795,0.062193493596842,0.062355997102447,0.029579611869416
3.5,2.3641173653009e-08,1.8857016954594e-08,4.7841566984151e-09,100.26988268061,3.1597010722705e-08,0.07231803567659,0,0.031783868815491,0.00038927324842274,0.021261590953163,0.072957878623297,0.073163392762937,0.034881439665726
4,3.0801217021795e-07,2.3140828337841e-07,7.6603886839542e-08,99.780556569753,4.0787594915518e-07,0.083091586560363,0,0.037196524113371,0.00044649643996731,0.021844190384972,0.083727410967341,0.08393983809747,0.040181637978487
4.5,2.732193731211e-06,1.8940172816975e-06,8.3817644951352e-07,100.10483258028,3.5601236670849e-06,0.093929990246369,0,0.042622982374757,0.00050378165133879,0.021539391165825,0.094526734174206,0.09478573348517,0.045504753466946
5,1.685933160463e-05,1.0443512499079e-05,6.4158191055505e-06,99.927354375901,2.1363430919212e-05,0.1047453483057,0,0.048059550285851,0.00056100731453588,0.02171245889056,0.10532225717557,0.10559869599927,0.050822757480007
5.5,7.3649728839111e-05,3.8727582239923e-05,3.4922146599188e-05,100.00143279712,8.8972659491673e-05,0.11559289991265,0,0.053491288220191,0.00061827671989928,0.021702407365981,0.11614193841825,0.1164524125634,0.056187638792102
6,0.00023011523009293,9.5352460931511e-05,0.00013476276916142,99.98750689098,0.00025891200859984,0.12644498438601,2.5872113229587e-06,0.05887741496698,0.00067551957527128,0.021708846616062,0.12696767774787,0.12730522605891,0.061636601838043
6.5,0.00050754230951793,0.00015302013152944,0.00035452217798849,99.97391042162,0.0005338197494075,0.13731089173784,3.4276468501533e-05,0.06415874551582,0.00073278060390378,0.021768502521011,0.1378087107375,0.13817456334318,0.067211346057831
7,0.00084211632336854,0.00016217316121255,0.000679943162156,99.994710361111,0.00081517036821169,0.14819114739135,0.00015385543898941,0.069309513440778,0.00079005715003894,0.021762649131015,0.14866182957646,0.14905735125619,0.072838979666103
7.125,0.00085464244751389,6.1770568196441e-05,0.00079287187931745,99.96742796254,0.00087399146242339,0.15091178156296,0.00020386779064012,0.072965877246165,0.00080437934081516,0.021784159237789,0.15137643758995,0.15177902677924,0.074244406144892
7.375,0.0010769170295447,8.6614071970016e-05,0.00099030295757464,99.986816776456,0.00097670265777191,0.15635825623239,0.0003124751457756,0.074741482461156,0.00083304514232715,0.021799629138315,0.15680978863403,0.15722700032625,0.077106760281497
7.875,0.0014138500132254,0.0001393161398448,0.0012745338733806,99.987049320589,0.0011739747195013,0.16725894437392,0.00052580824426582,0.077993314302768,0.00089050977534409,0.021812482585807,0.16768418993217,0.16813002825728,0.082899084311892
8.375,0.0016182608593728,0.00015381506733599,0.0014644457920368,99.982584348518,0.0013983998620312,0.17817096467678,0.00071624030130295,0.082756218462475,0.00094842557363685,0.021846682857643,0.17857060810327,0.17904481961814,0.088815058890711
8.875,0.001754689590736,0.00015524570988944,0.0015994438808466,99.991584844453,0.0016206410892924,0.18909306876903,0.00093365174500076,0.087439430618614,0.0010075210545217,0.021856990667029,0.18946745417458,0.18997073799931,0.094850962047457
9.125,0.0017276240685117,0.00010732783011497,0.0016202962383968,99.989201235073,0.0017322242706421,0.19455540231419,0.0010802553893895,0.091257341821939,0.001037839763282,0.021868216192988,0.19491884354785,0.19543638885681,0.097863144980381
9.625,0.0019651787682383,0.00017754110978224,0.001787637658456,100.00090938428,0.0019636373717654,0.2054705355567,0.0015162186464519,0.094363131557137,0.0011020053595356,0.021869139773076,0.20582416165518,0.20637072784833,0.10365610213827
10.125,0.0021537998605884,0.00018747176881604,0.0019663280917724,100.01526547299,0.0021863402446449,0.21632945500969,0.0020841792160583,0.099173685400237,0.0011741710524616,0.021847669916645,0.21672452097326,0.21729993027076,0.1088908098567
10.375,0.0021866748439207,0.00014186064735978,0.002044814196561,100.03120078513,0.0022968393414975,0.22171241242578,0.0023815652944585,0.10354686691813,0.001214699110381,0.02182582624458,0.2221693516668,0.22275911729091,0.11113170195246
10.5,0.0021539968029098,0.00011847374477659,0.0020355230581332,100.04344320439,0.0023529041591415,0.22438457712025,0.0025334847852312,0.10595466657883,0.0012364598694434,0.021807795409826,0.22488929326444,0.22548621864431,0.11204843310264
10.5625,0.0021941141588676,0.00010604908403835,0.0020880650748293,100.04570308008,0.0023809929916929,0.22571440646221,0.0026081473599935,0.10723498152732,0.0012477746778973,0.02179765005581,0.22624839579442,0.22684888881511,0.11254124314311
10.6875,0.0023269944597793,0.00012104932622488,0.0022059451335544,100.04062122227,0.0024368916121469,0.22835802608888,0.0027520202879383,0.10854869158205,0.0012713854533643,0.021780439417327,0.2289649087635,0.22957251940719,0.11335266066962
10.9375,0.0023570849809344,0.00014906547244557,0.0022080195084888,100.03745936257,0.0025467583191662,0.23357092728088,0.0030524937811656,0.11143953052612,0.0013230707145327,0.021753961256449,0.23439197784834,0.23501431949141,0.11413681421998
11.0625,0.0022849343925191,0.00012170966684614,0.002163224725673,100.04340751795,0.0026008940971549,0.23613820134804,0.0032175194980464,0.11488953898417,0.0013513242829726,0.02243415418471,0.23710254078983,0.23777607670648,0.11423396748878
11.3125,0.0024225769849335,0.00014724776544597,0.0022753292194875,100.07494268658,0.0027091599761605,0.24117830202953,0.0035828107184605,0.11873870055573,0.0014133536412072,0.026569755392853,0.24251454033693,0.24390156540367,0.11377419778814
11.4375,0.0023948814109721,0.00011802014573394,0.0022768612652381,100.1036113056,0.0027633873216653,0.24365177255154,0.0037913200377996,0.12318835699805,0.0014472529340733,0.028994715675328,0.2452145860241,0.24737434484544,0.1131363450819
11.6875,0.0025012391578689,0.00014114692910747,0.0023600922287615,100.10760003635,0.0028715563970459,0.24851697009601,0.004235010817344,0.12799451321919,0.001521096522372,0.033898628835759,0.25059833091419,0.25523601290932,0.11133523016478
12.1875,0.0027370220411763,0.00018614285441804,0.0025508791867583,100.05555976966,0.0030882728248209,0.25823771036405,0.0051890010529251,0.13818997733042,0.0016906366065777,0.041841162254966,0.26131739823983,0.274170960682,0.10676299312371
12.4375,0.0027361270691316,0.00012452316258455,0.0026116039065471,100.02519847664,0.0031979513079601,0.26321316947497,0.0056860354868527,0.14913460745414,0.0017848244010137,0.044321580243088,0.26666011994924,0.28494130349426,0.10474490059559
12.5625,0.0026832005437366,9.4721521004838e-05,0.0025884790227317,100.02967449245,0.0032535534290486,0.26576661427965,0.0059398462312814,0.15431614357873,0.0018335633358441,0.044975246538785,0.26932923385133,0.29052235516813,0.10386430047146
12.8125,0.0028090072543036,0.00012337615161578,0.0026856311026878,100.06965845582,0.0033664833184456,0.27108658755022,0.0064838496951836,0.15895661085013,0.0019322666617028,0.044842607045328,0.27465979454831,0.30174958686614,0.10249611399769
12.9375,0.0027697535703451,9.7078867120773e-05,0.0026726747032244,100.1089463182,0.0034237547408904,0.27382340404223,0.0067683697987268,0.1636416193981,0.0019817286367068,0.044164092306867,0.27731947302609,0.30731250557565,0.10180149689997
13,0.0028299983354835,8.441988396314e-05,0.0027455784515204,100.12940858606,0.0034524547028166,0.27520853204649,0.0069127426109223,0.16594983416374,0.0020063251535741,0.04366362583856,0.27864722387652,0.3100571217677,0.1016048832277
13.125,0.0028288367298554,0.00010051595233264,0.0027283207775228,100.14301835916,0.0035094957214243,0.27801472943995,0.0072099077143527,0.16822436828887,0.002054960416123,0.04236655036749,0.28129740058735,0.31543400778058,0.10073411413642
13.375,0.0029460811697097,0.00013075982225571,0.002815321347454,100.12526852528,0.0036209209186839,0.28369782762014,0.0078242144409282,0.17288493482258,0.0021489642936085,0.039054480780052,0.28657705283065,0.32561163667402,0.09895957409261
13.875,0.0030982145417867,0.00017839244313331,0.0029198220986534,100.06236717586,0.0038304603351601,0.29485510725611,0.0091147755219524,0.18268524841412,0.0023213476876153,0.032888290703119,0.2970803321873,0.34359732954481,0.094261781200614
14.125,0.0030706940260221,0.0001122524500231,0.002958441575999,100.02987113351,0.0039277270900393,0.30025165788513,0.0097897375424012,0.19335917913818,0.0023999933357425,0.031019326447639,0.30231274724421,0.35158578168866,0.092049282242586
14.25,0.0030028892197268,7.6169424819213e-05,0.0029267197949076,100.01973160697,0.0039744201156137,0.30289284133345,0.010134982095874,0.19849485805084,0.0024378609002716,0.030684055726772,0.30492645814291,0.35544224307456,0.09102340306693
14.5,0.0030812949381221,8.4340891635919e-05,0.0029969540464861,99.974578486327,0.0040668372416859,0.30803496988428,0.010833048877353,0.20316538847016,0.0025125071661529,0.031490924241451,0.31015422584804,0.36321411557058,0.089323533771004
15,0.0031850227377207,0.00012495992988163,0.0030600628078391,99.853596455629,0.0042807429462811,0.31807562111989,0.012254384320771,0.21219013187906,0.0026648887080197,0.035996458299221,0.32066459101013,0.38008596120575,0.085758193992238
15.25,0.0031642296910914,7.9609457505752e-05,0.0030846202335857,99.799503069898,0.0044140638423808,0.32313909986343,0.012961782468041,0.22204243018497,0.0027442811267838,0.03836209027127,0.32596375915696,0.38938077977706,0.083934796847816
15.75,0.0033516081994066,0.00020405200962901,0.0031475561897775,99.902605629979,0.0047324899463891,0.33386726969658,0.0143159456997,0.23120521006704,0.0029081532897742,0.039560267818477,0.33664808940211,0.4088613692995,0.080722839191456
16.25,0.0034363973234386,0.00025621687291813,0.0031801804505205,100.03514625783,0.0050792598623823,0.34507028265743,0.015550692056873,0.24358981772469,0.0030722830814427,0.037234489954013,0.34737568266413,0.42806005874262,0.07775612826696
16.75,0.0035353900727986,0.00024695268692072,0.0032884373858778,99.982587927104,0.005434031903978,0.35611681055515,0.016570828484043,0.25618049385275,0.0032321820739133,0.035225882390053,0.35810263795699,0.44617515182864,0.074776028485028
17.25,0.003517852733624,0.00020922120033601,0.003308631533288,99.791795822893,0.005842097849248,0.36683599985334,0.01734929621331,0.26902533750298,0.0033913495394886,0.035988828082674,0.3689022383005,0.46397882944682,0.071767443639676
17.75,0.0035017982195588,0.00019510875803151,0.0033066894615273,99.679691154135,0.0063224289479433,0.37761322482197,0.017946444423325,0.28218871562737,0.0035551343098001,0.037976464282444,0.37989147973399,0.4824701525381,0.068734699962677
18.25,0.0036599269854834,0.00019987836949845,0.003460048615985,99.687988511854,0.0068049271541989,0.38885606122846,0.01837815839438,0.29569928709568,0.0037229855462274,0.038524293671061,0.39112796035163,0.50159534202648,0.06626315431875
18.75,0.0036789308700265,0.00019113810600059,0.0034877927640259,99.642778011002,0.0072226625186798,0.40051869279405,0.018753283410206,0.30938759788125,0.0038901288326549,0.037680013157482,0.40263328319312,0.52064641873361,0.063553644312994
19.25,0.0035501251980232,0.00016551273684671,0.0033846124611765,99.399338333092,0.0076060088216429,0.41240297180885,0.019262602274047,0.32311571011993,0.0040554035666199,0.03749591206095,0.41450588939207,0.53944040003822,0.060899441462556
