time,DJ,DJ1,DJ1_br,DJ2,DJ2_br,DJ_br,EW,EW_br,FE,FE_br,Fy_top,J,KE,KE_br,PEW,SE,SE_br,max_disp_y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,-6.6924410919898e-07,-6.6924410919899e-07,-3.3841364708113e-43,1.7296725786361e-20,6.4519162454462e-53,-3.3841364701661e-43,0.0020672381589916,-1.6382759383562e-36,0,0,65.820871588854,-7.9303732477477e-07,0.00046638350833524,6.8014393368009e-37,0.0037511822216281,0.00111577763604,2.2777469609063e-36,2.2075032667491e-05
0.5,-7.7833022678353e-07,-9.5988769610097e-07,-1.7330912243286e-39,1.8155746931744e-07,-9.8719758187662e-42,-1.7429632001473e-39,0.0083414818572597,-6.7603237161334e-33,0,0,104.17221141965,-1.3743950654727e-06,0.0025267573582063,2.9734868403933e-33,0.0098434518034573,0.0045821729655318,9.7382280123617e-33,5.1767752555424e-05
0.75,-2.8055689455741e-07,-1.1645396961852e-06,-2.1294140472477e-36,8.8398280162782e-07,-2.5768907496978e-38,-2.1551829547447e-36,0.013916377275528,-6.6750009183829e-30,0,0,103.07019619972,-8.7073853977359e-07,0.0051801440375337,3.117375594995e-30,0.015051406116334,0.0070177737206673,9.9770686187197e-30,8.030170402024e-05
1,-2.6691156483494e-06,-3.0152227484286e-06,-1.1141679520932e-33,3.4610710007916e-07,-2.1558941686834e-35,-1.1357268937801e-33,0.018749089022414,-2.7991722921865e-27,0,0,97.775154836041,-2.2211908582854e-06,0.0078408250267253,1.3913411294624e-27,0.0200622246694,0.0093535622053678,4.3485920439988e-27,0.00010881226697623
1.25,-1.9599820650662e-06,-1.1375401771704e-06,-3.1363514865633e-31,-8.2244188789585e-07,-8.660732460594e-33,-3.2229588111692e-31,0.024315097077452,-6.29885292869e-25,0,0,99.053819864395,-7.8262765739803e-07,0.010516809404747,3.3406522345273e-25,0.025666209948142,0.012249513468267,1.0190388937614e-24,0.00013737334277274
1.5,-1.7962494877178e-06,-5.6978237167354e-07,-5.3933365904511e-29,-1.2264671160443e-06,-2.0021533755888e-30,-5.59355192801e-29,0.029929312857578,-8.6375241789406e-23,0,0,102.23469460674,-6.8498484320049e-07,0.013186182263998,4.901069761538e-23,0.03107098962254,0.014944884321988,1.4586071150402e-22,0.00016622042057783
1.75,-2.5135939300813e-06,-1.5690393290664e-06,-6.1330495959695e-27,-9.4455460101492e-07,-2.955451503664e-28,-6.4285947463359e-27,0.035042082625936,-7.8158609527124e-21,0,0,99.154997616589,-1.4751355874157e-06,0.015867663122072,4.7580000009981e-21,0.036222863333464,0.017405880152232,1.3816775963124e-20,0.00019463944641755
2,-2.6263547621266e-06,-1.5626332703879e-06,-4.8653610770973e-25,-1.0637214917387e-06,-2.9803960220347e-26,-5.1634006793008e-25,0.040410011767473,-4.9262363334933e-19,0,0,99.027877945419,-1.1839128456838e-06,0.018550986676737,3.2265073753839e-19,0.041644787625117,0.020118598927692,9.1510969876803e-19,0.00022326935732239
2.25,-2.3758913131141e-06,-7.6435590755912e-07,-2.7961427975243e-23,-1.6115354055549e-06,-2.1525944123389e-24,-3.0114022387582e-23,0.045970923326554,-2.2483449597244e-17,0,0,101.03349427907,-5.3154307779542e-07,0.021237809012825,1.5885872373502e-17,0.047091237156686,0.022867420622369,4.4114858965341e-17,0.00025209480730197
2.5,-3.1483731819051e-06,-1.308940600019e-06,-1.1960755520455e-21,-1.8394325818861e-06,-1.152708591649e-22,-1.3113464112104e-21,0.051266159921648,-7.6492966888535e-16,0,0,100.0461971465,-1.3017322920085e-06,0.023930771918926,5.8434803819542e-16,0.052355643114352,0.025428196136891,1.5966703913121e-15,0.00028051802251796
