time,DJ_over_J,DJint,Fy,Jint,external_work,fracture_energy,kinetic_energy,max_disp_y,preset_ext_work,strain_energy
0,0,0,0,0,0,0,0,0,0,0
5e-08,16.666666666667,2.6469779601697e-21,4.3368089205703,1.5881867761018e-22,1.2192041167433e-05,0,5.6003437547727e-05,1.406030760689e-06,0.00027973284711091,1.1453073879323e-05
1e-07,16.470588235294,5.9292306307801e-20,18.342275045206,3.5998900258308e-21,0.0001605410200344,0,0.0004666209950969,5.4533305988524e-06,0.0010845223179898,0.00016349561537896
1.5e-07,9.9047619047619,1.7618285302889e-19,41.547834995955,1.778769189234e-20,0.00068645238753786,0,0.0011734447164719,1.1797710666696e-05,0.0023441318890961,0.00070367739222994
2e-07,10.888888888889,3.3203691532369e-19,68.580986250816,3.0493186101155e-20,0.001718366083841,0,0.0018001152428696,1.9368915794624e-05,0.0038415198941795,0.0016823444124126
2.5e-07,-28.666666666667,2.9137933385548e-19,92.984211824122,-1.0164395367052e-20,0.0031305849498928,0,0.0022467123604745,2.7077367912421e-05,0.0053529934611153,0.0028115495946379
3e-07,-9.2,3.1170812458958e-19,109.61251549823,-3.3881317890172e-20,0.0046207264080553,0,0.0026678013315138,3.4099001376431e-05,0.0067058771404296,0.0037005083296037
3.5e-07,-2.3636363636364,3.5236570605779e-19,116.01830184301,-1.4907779871676e-19,0.0059170748297076,0,0.0032166353981438,4.0058288368224e-05,0.007817673816752,0.0041943696914077
4e-07,-5,4.7433845046241e-19,112.93537226845,-9.4867690092482e-20,0.0069247908388249,0,0.003855485763742,4.5055833613133e-05,0.0087052877172367,0.0044454031664692
4.5e-07,-4.2857142857143,2.0328790734103e-19,103.74728000347,-4.7433845046241e-20,0.007715764557983,0,0.0044367171774131,4.9544618021792e-05,0.0094635014058274,0.0046868557863556
5e-07,-3.1428571428571,-1.4907779871676e-19,93.166479051295,4.7433845046241e-20,0.0084261809040827,0,0.0049079289755983,5.410938700028e-05,0.010221786596221,0.0050125287169152
5.5e-07,-inf,-5.8275866771096e-19,85.598949718671,0,0.0091777647202164,0,0.0053668505535379,5.9232268997672e-05,0.011094988934455,0.0053958915187976
6e-07,156,-1.0570971181734e-18,83.748547052385,-6.7762635780344e-21,0.010061437826671,0,0.0059165652145343,6.5125548030758e-05,0.012144424907455,0.0058473920124212
6.5e-07,20,-1.6263032587283e-18,87.905186462796,-8.1315162936413e-20,0.011136837763933,0,0.006530335630266,7.1682220902821e-05,0.013361362784346,0.0064552580330024
7e-07,-62,-1.6805133673525e-18,96.105992190971,2.7105054312138e-20,0.012407157261621,0,0.0070995877179661,7.8549150747224e-05,0.014676527918371,0.0072534911734999
7.5e-07,-52,-1.4094628242312e-18,105.05183828243,2.7105054312138e-20,0.013793858482437,0,0.0075844142061161,8.5283733269207e-05,0.015990191405322,0.0081149710040334
8e-07,16.666666666667,-1.3552527156069e-18,111.41089908011,-8.1315162936413e-20,0.015160169197034,0,0.00806039700994,9.1528658155024e-05,0.017210716609347,0.0088366342932765
8.5e-07,5.0769230769231,-8.9446679230054e-19,113.02999574685,-1.7618285302889e-19,0.016383072176002,0,0.0086091819044619,9.7138783648468e-05,0.018287332438964,0.0093261464141863
