time,Fy,Jint,external_work,fracture_energy,kinetic_energy,max_disp_y,nucleation_energy,preset_ext_work,strain_energy
0,0,0,0,0,0,0,0,0,0
5e-07,62.444702597784,2.371692252312e-20,0.0051525294498296,0,0.00094034744049099,4.2387469890174e-05,0.16626730762387,0.0082100313420052,0.0027151930777295
1e-06,111.83963239527,3.8489177123235e-18,0.018646484824013,0,0.0051396113255951,0.00010583164914785,0.40921521954949,0.020213746150833,0.0091937525517467
1.5e-06,99.660491964648,1.2442033080901e-15,0.029140028963392,0,0.010639554174547,0.00016175922593252,0.6209672236778,0.030688260536531,0.01406841906184
2e-06,97.505440698801,1.6012741805259e-13,0.040107819550825,0,0.016148840161498,0.00022038354777807,0.84699182697458,0.041879127553739,0.019650974363949
2.5e-06,102.25023281667,1.0775879158171e-11,0.051551031239488,0,0.021670742891445,0.00027891661137985,1.0716389221537,0.053013199892858,0.025196864116193
3e-06,98.775559646742,4.2226815804864e-10,0.062358743715447,0,0.02720498820392,0.00033635292020939,1.2909649055311,0.063898579366372,0.030500920435775
3.5e-06,100.16328668943,1.0290103606605e-08,0.073611970484177,0,0.032750030637331,0.00039495157980754,1.5155911919758,0.075076025848259,0.036095123793568
4e-06,100.36456334465,1.6261849342786e-07,0.084734876628615,0,0.038305174856859,0.00045283209897609,1.7353426337755,0.086101814921123,0.041534062284764
4.5e-06,99.509470871892,1.7117140923454e-06,0.095792968683899,0,0.043869919956986,0.00051086883472393,1.950245725852,0.097157549933338,0.047001814416555
5e-06,100.26076546017,1.219371336287e-05,0.10699820410156,0,0.049441389390286,0.00056910572606168,2.1522358094754,0.10827659780868,0.052535464508343
5.5e-06,99.933750581706,5.9278749957001e-05,0.11810916956006,0,0.055006467321607,0.00062705011801552,2.3228115843005,0.1193381722937,0.05803465670505
6e-06,99.886813441823,0.00019753801078552,0.12926053289236,0,0.060524921104743,0.00068518211668551,2.4429045186056,0.13044524550072,0.063661532459356
6.5e-06,100.09684686315,0.00045528073382055,0.14043855901087,0,0.06592166440199,0.00074327742892931,2.4963361006321,0.1415555712741,0.069459835276849
7e-06,99.910847235389,0.00075155060405988,0.15158956145876,8.7941163033182e-05,0.071129907559438,0.00080131879114614,2.4900851886864,0.15265969246597,0.075450409913745
7.5e-06,99.990823991316,0.00098121557140756,0.16277398565574,0.00044373054685236,0.076198011745967,0.00085946326030975,2.4801113151749,0.16378824327253,0.081369190369525
8e-06,100.00628173164,0.0011819503275254,0.17395846489822,0.0010797736428021,0.081115576116146,0.0009176552223939,2.5067237832088,0.17491517472668,0.087555684188648
