time,DJint,DJint_2,Fy,Jint,external_work,fracture_energy,kinetic_energy,max_disp_y,preset_ext_power,preset_ext_work,preset_ext_work_p,strain_energy
64.375,-0.003886731374641,0.0057078057517341,95.743471969112,0.097303800679493,5.0385136693989,0.24679717343491,4.8276978840127,0.05090736641604,0.18349476212592,5.1270575609094,5.3914039218393,0.054510126369102
64.625,-0.0050458198861347,0.0058412407579294,94.945621051617,0.096776213497716,5.0822028560248,0.24778290328897,4.8726362658066,0.051247825630954,0.18548771227484,5.1729823826767,5.4375267311394,0.054650895359272
64.875,-0.0060863259478512,0.0059067683355448,94.166360326993,0.096448091129249,5.1259918918759,0.24878097813783,4.9177696442647,0.051588215893865,0.18783282639544,5.2194476353026,5.4841917984732,0.055103460864058
65.125,-0.0067557613784855,0.0058141267361023,93.649000241706,0.096551609436893,5.1700447707735,0.24981938392109,4.9631869790037,0.051930328430019,0.19041283373443,5.2665258540306,5.5314725059894,0.05578888140519
65.375,-0.0072489663603119,0.0055242207184178,93.377149117326,0.096861394693601,5.2144899302574,0.2508940562018,5.0089661398049,0.052276306688967,0.19310294868424,5.3142590235732,5.5794119787918,0.056704767911462
65.625,-0.0076373591013432,0.0055107489141057,93.217427537469,0.097237348977568,5.2593949548502,0.25199979756206,5.0551737698542,0.052628414820561,0.19586425315966,5.3626683393456,5.6280328790222,0.057847354337768
65.875,-0.0077594370433436,0.0053733263049762,93.198332010188,0.097818889768285,5.3048641100801,0.25312473323268,5.1018077034517,0.052988729670334,0.19866432345015,5.4117658571225,5.6773489510985,0.059245492022958
66.125,-0.0074798567155476,0.0050166808484505,93.476483827361,0.098787454330155,5.3510964588035,0.25425335627765,5.1488698023983,0.053358818803437,0.20138533660096,5.4615459088861,5.7273551586049,0.060896193852378
66.375,-0.0067921981361428,0.0046490605869291,94.125390149416,0.10019839051791,5.39832194541,0.25537496962063,5.19638605695,0.053739491927433,0.20386567748344,5.5119693643442,5.7780115353654,0.062728439778324
66.625,-0.0058076367498899,0.0043539979892374,95.130213436118,0.10197093759488,5.446725143608,0.25648100786293,5.2443847540446,0.054130678284805,0.20596537197576,5.5629590206873,5.8292404165478,0.064687119890649
66.875,-0.0045226538592687,0.0042714447825963,96.491062203717,0.10408268358649,5.4964183875406,0.25756774960749,5.2927909813199,0.054531419487376,0.20754222901716,5.6144007929807,5.8809288666719,0.066737812323069
67.125,-0.0029814220541499,0.0035029585755185,98.12181968311,0.10643560084219,5.5473970182797,0.258633871609,5.3415903204777,0.054939940011485,0.20845294456149,5.6661452366694,5.9329282633693,0.068738317907218
