time,DJint,DJint_over_Jint,Jint,dt,external_work,kinetic_energy,preset_ext_work,strain_energy,tip,tip_adv,tip_cum,tip_vel
12.4,4.9669066578037e-05,0.031011925432891,0.0016016118278602,0.2,0.13090637877516,0.073220976423805,0.2039223916218,0.058280262314546,50.022455881215,0.026887385260538,0.049343266475337,0.13443692630269
12.6,3.9504234915591e-05,0.024162350847551,0.0016349499750599,0.2,0.13268957577453,0.0756491599667,0.20784741024575,0.057878624067537,50.049343266475,0.034980814166645,0.084324080641981,0.17490407083322
12.8,4.8617211639617e-05,0.02880653381376,0.0016877147370085,0.2,0.13452133681725,0.078134297239122,0.21175550545733,0.057418000147658,50.084324080642,0.047136887300622,0.1314609679426,0.23568443650311
13,6.2923558966606e-05,0.036037556954524,0.001746055068217,0.2,0.1365313039923,0.080626780718167,0.2156499704028,0.05697282154595,50.131460967943,0.059722221245775,0.19118318918838,0.29861110622887
13.2,6.6775475323685e-05,0.037228334639886,0.0017936734471099,0.2,0.13860580905029,0.083119315833161,0.21956464566835,0.056302729109988,50.191183189188,0.069387761265744,0.26057095045412,0.34693880632872
13.4,5.9662809011673e-05,0.032614954423463,0.0018293083668623,0.2,0.14065849046508,0.085609665022736,0.22345189509091,0.055824845118049,50.260570950454,0.076291722085289,0.33686267253941,0.38145861042644
13.6,5.4988562143908e-05,0.02946401640429,0.001866295531111,0.2,0.14255725993218,0.088100970632019,0.22734448296041,0.055125737182815,50.336862672539,0.0831788243495,0.42004149688891,0.4158941217475
13.8,6.350414138112e-05,0.033146473811882,0.0019158641652662,0.2,0.14446292194226,0.090564930636435,0.2312045464669,0.054647821154397,50.420041496889,0.09199163937077,0.51203313625968,0.45995819685385
14,8.1582531142902e-05,0.041308267302557,0.0019749686072612,0.2,0.14635593075657,0.093025313657663,0.23506420338918,0.053928620905852,50.51203313626,0.10192161181015,0.61395474806983,0.50960805905073
14.2,9.7006647198213e-05,0.047739986977664,0.002031978920388,0.2,0.14835682273228,0.095495242792675,0.23893276489871,0.05322088621144,50.61395474807,0.11095242511249,0.72490717318232,0.55476212556245
14.4,0.00010303874684634,0.049518691763418,0.0020808051096871,0.2,0.15035518937538,0.097905492444192,0.2427559851506,0.052751816061797,50.724907173182,0.11829342232794,0.84320059551026,0.59146711163969
