time,DJ_over_J,DJint,Fy,Jint,ce_int,external_work,fracture_energy,kinetic_energy,max_disp_y,nucleation_energy,preset_ext_work,strain_energy
0,0,0,0,0,0,0,0,0,0,0,0,0
5e-08,4.8456621490644,-4.5612477680705e-13,4.3368126713518,-9.4130536297318e-14,-0.0040509130183455,1.2192043623316e-05,0,5.6003442603996e-05,1.4060292976294e-06,0.0013503043394485,0.00027973286445246,1.1453077771758e-05
1e-07,-0.3835036800357,2.3901068121128e-13,18.342297870811,-6.232291726354e-13,-0.015119275112099,0.00016054106508269,0,0.00046662104966892,5.453317906389e-06,0.0050397583706998,0.0010845224155226,0.00016349569299762
1.5e-07,5.0204333794604,4.7627286192182e-11,41.547905087907,9.4866882183986e-12,-0.030757926329395,0.00068645261644296,0,0.0011734448040531,1.1797651415939e-05,0.010252642109798,0.0023441321499547,0.00070367779486464
2e-07,2.8280646301465,2.5213991810573e-10,68.581130699588,8.9156349334445e-11,-0.046520721106239,0.0017183666139781,0,0.0018001150215906,1.936872165186e-05,0.015506907035413,0.0038415202913388,0.001682345330168
2.5e-07,1.8924574717114,6.155254307958e-10,92.9844358006,3.2525192243247e-10,-0.060282127948995,0.0031305854864196,0,0.0022467114018709,2.70769397869e-05,0.020094042649665,0.0053529937189197,0.0028115505201157
3e-07,1.2690935204358,8.4782236476298e-10,109.61278735365,6.6805349732766e-10,-0.076291845054818,0.0046207256689802,0,0.0026677994899799,3.4098413347597e-05,0.025430615018273,0.0067058764652001,0.0037005074603051
3.5e-07,0.75149243823977,6.1554939602095e-10,116.01854776585,8.1910258134169e-10,-0.090886402583353,0.0059170699704637,0,0.0032166329460057,4.005758118745e-05,0.030295467527784,0.0078176704497882,0.0041943639430607
4e-07,-0.10867284347078,-4.5978689097433e-11,112.93549046357,4.2309272150218e-10,-0.10146331890123,0.0069247784337763,0,0.0038554831726697,4.5055055926637e-05,0.03382110630041,0.0087052793446512,0.004445390287269
4.5e-07,1.2825891644884,-6.665144871364e-10,103.74717481353,-5.1966327612184e-10,-0.10918132364209,0.0077157424540261,0,0.0044367136430166,4.9543799074561e-05,0.036393774547362,0.0094634863455466,0.0046868361332184
5e-07,0.51482278989248,-7.632705152527e-10,93.16609315143,-1.4825888251997e-09,-0.11371614438384,0.008426148405799,0,0.004907922554608,5.41085112461e-05,0.037905381461281,0.010221764448626,0.0050125040364798
5.5e-07,0.16807993848863,-3.1028101504685e-10,85.598273563298,-1.8460324166994e-09,-0.126436674291,0.0091777214850834,0,0.0053668397666644,5.9231264296516e-05,0.042145558096999,0.011094960352444,0.0053958630851638
6e-07,2.4606987849891,-4.3149402291373e-09,83.747349661766,-1.7535426340922e-09,-0.14007781299796,0.010061369274982,0,0.0059165409748868,6.5124126130357e-05,0.046692604332654,0.012144377607171,0.0058473495904539
6.5e-07,5.9885176579407,-1.2995192755474e-08,87.902966848464,-2.1700182745963e-09,-0.15373516585341,0.011136710493876,0,0.0065302819894992,7.167996790761e-05,0.05124505528447,0.013361272655227,0.0064551760033757
7e-07,7.5799690267131,-2.1667971060116e-08,96.102348230328,-2.8585830606634e-09,-0.16704441110399,0.012406930202202,0,0.0070995022931368,7.8545797538648e-05,0.055681470367997,0.014676374669573,0.0072533394732187
