time,Fy,Jint,ce_int,external_work,fracture_energy,kinetic_energy,max_disp_y,nucleation_energy,preset_ext_work,strain_energy
0,0,0,0,0,0,0,0,0,0,0
5e-07,63.32457803061,-1.3552527156069e-20,-0.14739402013532,0.0050792669622776,0,0.00090907943725982,4.1676064549075e-05,0.049131340045108,0.0079810210428853,0.0026568197060272
1e-06,112.00644993197,1.5151725360485e-17,-0.36118729636911,0.018121397871434,0,0.0049761057853823,0.00010411119831156,0.12039576545637,0.01956535078091,0.0088802433876766
1.5e-06,99.273357698687,4.1836109229698e-15,-0.54836629345006,0.028256187652119,0,0.010310353975903,0.00015946597041803,0.18278876448335,0.029720766106971,0.013606889072241
2e-06,97.739487455992,4.8862923798278e-13,-0.74861793857037,0.038941417516172,0,0.015658725839118,0.00021726639757358,0.24953931285679,0.040597088793766,0.019038750547698
2.5e-06,102.18223989674,2.9814566559951e-11,-0.94675074440775,0.050007384922647,0,0.021023857841749,0.00027486437290521,0.31558358146925,0.051371069802902,0.02438109590046
3e-06,98.682395652786,1.0582098622933e-09,-1.140893312193,0.060497443007856,0,0.026405782743206,0.00033159553142746,0.38029777073099,0.061946240477322,0.029527666578989
3.5e-06,100.2722270924,2.3321593564153e-08,-1.3394590244961,0.071439728276372,0,0.03180309289612,0.00038934232100903,0.4464863414987,0.072802919660544,0.03494934531827
4e-06,100.27568123916,3.3265403968875e-07,-1.5327962776387,0.082224089216352,0,0.037214985107986,0.0004463733718441,0.51093209254625,0.083502447663981,0.040205219464337
4.5e-06,99.508895284859,3.1523302933117e-06,-1.7203291003413,0.092978664882717,0,0.04264059855854,0.00050363498902435,0.5734430334471,0.094254691178096,0.045508609321851
5e-06,100.28246959599,2.0155509780479e-05,-1.8922796544581,0.10387262742872,0,0.048075180202838,0.00056102504915719,0.63075988481936,0.10506246848225,0.050869601632616
5.5e-06,99.882374697828,8.7671562440327e-05,-2.0303503269837,0.11467244908181,0,0.053499234869174,0.00061815043949294,0.67678344232791,0.11581976309491,0.056212212534353
6e-06,99.898049792189,0.00026096941405591,-2.1180383088551,0.12552862101178,0,0.058861423685178,0.00067547318067313,0.70601276961836,0.12663160035645,0.061711950398153
6.5e-06,100.0846234507,0.00053969029362379,-2.1462951883426,0.13640708181847,0,0.06408352015142,0.00073273820467226,0.71543172944753,0.1374455117475,0.067395188597715
7e-06,99.887933801497,0.00081673199171863,-2.1320257722227,0.14726594065693,0.00012876484757473,0.06911946357338,0.00078997465561863,0.71063679223268,0.14826123375882,0.073251902174584
7.5e-06,99.992312509689,0.0010239803705943,-2.1588550543855,0.15816486488198,0.0010662496804944,0.074037659447771,0.00084733685443057,0.71932685229575,0.15910562285837,0.078980378928338
8e-06,99.989629345554,0.0012289661397465,-2.1842570641649,0.1690645390731,0.0022338964476396,0.078814124282453,0.00090483269760468,0.72751300853163,0.16995115942986,0.084989674535081
8.5e-06,99.944364675432,0.0014557484859184,-2.208555026447,0.17997254129885,0.0032937635640495,0.083447304213481,0.00096286976701252,0.73533914015014,0.18081052946041,0.091143350945835
9e-06,100.00713904738,0.0016764066962754,-2.2548571658865,0.19089505828378,0.0046084339007203,0.087961985269002,0.0010223099217435,0.75043562972977,0.19168133552145,0.097413961869399
9.5e-06,100.00164581613,0.0019037478684409,-2.2885024145204,0.20179594468094,0.0065912688109626,0.092386463999468,0.0010849758052468,0.76119540204857,0.20255048651702,0.10359006092517
1e-05,100.04416472474,0.002125224890014,-2.3138910126868,0.21261838071678,0.0088266874866991,0.096914947233928,0.0011543543306464,0.76924584716414,0.21341363837854,0.1094037044388
1.05e-05,100.12414580556,0.0023417524666839,-2.3420535851907,0.22318637799359,0.01101289627109,0.10202697465182,0.0012359393812329,0.77834823555073,0.22424695863764,0.11414925956725
1.1e-05,100.19561235896,0.0025570385766682,-2.3697427573668,0.23318880221486,0.013498349217373,0.10872211904788,0.0013369002003984,0.7873310801472,0.2350210496055,0.11649427687476
1.15e-05,100.28475500291,0.0027706951729399,-2.3836024009234,0.24236160209648,0.016540803015395,0.11821300729791,0.0014641741713138,0.79179014038878,0.24570415500218,0.11524920710025
1.2e-05,100.32309525298,0.0029911463782569,-2.3902569844021,0.25092549059981,0.020116742833195,0.13080188444125,0.0016209787677132,0.79397619207066,0.25626752625099,0.11098094568298
1.25e-05,100.28652805861,0.0032204922537698,-2.3831631977713,0.25984747502317,0.024071090257181,0.14487881259594,0.0018031989281412,0.79162422800722,0.26670633539788,0.10627665583512
1.3e-05,100.20684884757,0.0034580964980661,-2.3708896690944,0.27012563554862,0.028247462024592,0.15823576120301,0.001998388447468,0.78750148919205,0.27704008816303,0.10279260792481
1.35e-05,100.14158014461,0.0036957224922459,-2.354639632651,0.28161573948074,0.032597414296482,0.1707915346745,0.0021898398080062,0.78201706550031,0.28729803413526,0.099221460140497
1.4e-05,100.15425413837,0.0039213899631143,-2.3345981436548,0.29315026875979,0.037186828730334,0.18407030897352,0.0023648269701987,0.77532332625822,0.29749537879755,0.094262772243806
1.45e-05,100.19966605062,0.0041249406893999,-2.3165140560296,0.30383116956939,0.041889727582912,0.19791234058594,0.0025217879883335,0.76933932048927,0.30762356115076,0.08944291250532
1.5e-05,100.15717133708,0.0043176568287667,-2.2935492146864,0.31354060842165,0.04639586468767,0.21100137025117,0.0026702553689228,0.76169735849631,0.31767832498631,0.085561419949431
1.55e-05,99.99113290984,0.0045428909971052,-2.2608341591805,0.3227769526851,0.050682642306893,0.22368033453283,0.0028225129451406,0.75087580007693,0.32769380089992,0.081540416657851
1.6e-05,99.811015453654,0.0048472268144094,-2.2001093158867,0.33251685943903,0.054734803594296,0.23649873275061,0.0029838198208507,0.73085643965833,0.33773632833472,0.077561653692059
