time,Fy,Jint,ce_integral,external_work,fracture_energy,kinetic_energy,max_disp_y,strain_energy
0,0,0,0,0,0,0,0,0
5e-07,62.444715012399,-6.7762635780344e-20,0,0.0051525310657029,0,0.00094032478387385,4.2387636825873e-05,0.0027151277952744
1e-06,111.8391887252,3.93023287526e-18,0,0.018646306480309,0,0.0051393649606894,0.00010583174789865,0.0091933616572957
1.5e-06,99.660492780308,1.2441219929271e-15,0,0.029139776917807,0,0.010639003513281,0.00016175960528279,0.014067833034357
2e-06,97.505769891536,1.6012660490096e-13,0,0.040107547924959,0,0.016147983822755,0.00022038422494884,0.019650182329305
2.5e-06,102.2501607299,1.0775765344048e-11,0,0.051550653945658,0,0.021669582781614,0.00027891737677297,0.025195831482735
3e-06,98.775700730416,4.2226169045742e-10,0,0.062358326015374,0,0.027203539115858,0.00033635394707781,0.030499699351497
3.5e-06,100.16349166026,1.0289883112409e-08,0,0.073611505649571,0,0.032748295924811,0.0003949527894516,0.036093690622225
4e-06,100.3646359643,1.6261370724095e-07,0,0.084734347076962,0,0.038303162326196,0.00045283348629855,0.041532423270768
4.5e-06,99.509693686571,1.7116460601544e-06,0,0.09579240929884,0,0.043867638901187,0.00051087046537742,0.046999987368684
5e-06,100.26095958306,1.2193076402002e-05,0,0.10699760102832,0,0.049438846149318,0.00056910754055801,0.052533436349119
5.5e-06,99.933938709896,5.9274873632106e-05,0,0.11810853032781,0,0.055003679196902,0.00062705213763262,0.058032421103479
6e-06,99.887075293413,0.00019752309321264,0,0.12925987071698,0,0.06052196657928,0.00068518433976122,0.063658979821096
6.5e-06,100.09708607967,0.00045524551889925,0,0.14043786904226,0,0.065918881043092,0.00074327983913987,0.069456617491852
7e-06,99.911115021597,0.00075149832762256,-3.8329074791016e-05,0.15158885200901,4.2213908530051e-05,0.071128075207558,0.00080132140620942,0.075443885666915
7.5e-06,99.991125729242,0.00098115638616619,-0.0002214214265997,0.16277325898754,0.00022026917088866,0.076197789658202,0.000859466079914,0.081361156795278
8e-06,100.00658656434,0.0011818782996449,-0.00052933198050129,0.17395771946232,0.00053760479340333,0.081109779267017,0.00091765827366817,0.087555889230403
8.5e-06,99.953274628806,0.0014110573767297,-0.00072080481598092,0.18514423643821,0.00077505642005925,0.085856721352324,0.00097614304908418,0.093914449231514
9e-06,100.00753708604,0.0016374711782608,-0.0008947353001504,0.19634527565412,0.0010290742442031,0.09046399598846,0.0010354484744296,0.10043092798212
9.5e-06,100.00138269628,0.0018663007495366,-0.0012003114509601,0.20753633568122,0.0015039832059055,0.094927685405162,0.001096738874103,0.10695978044646
1e-05,100.02508668469,0.0020966854596014,-0.0015460119630945,0.21869341617172,0.0021361983362365,0.099343897562466,0.0011624872630049,0.113373447034
1.05e-05,100.09064989792,0.0023193426115972,-0.0017824589654739,0.22971538435797,0.0027656028980849,0.10396008552619,0.0012369899276033,0.11931934895879
1.1e-05,100.15234565275,0.0025424787867595,-0.0019042365361027,0.24036420419494,0.0033818505471912,0.10944877427656,0.0013266386400434,0.12381566881405
1.15e-05,100.24528737675,0.0027614862732643,-0.0019831109698037,0.25029115283489,0.0040739329322519,0.11698549711543,0.0014390351406863,0.12545466020446
1.2e-05,100.31917374754,0.0029834328074387,-0.0019439994474564,0.25930861314941,0.0048639660966715,0.12768233021719,0.0015803824375514,0.12344382510402
1.25e-05,100.33811992368,0.003212160510889,-0.0017031463354787,0.26790614320164,0.0057632563626292,0.14125473629196,0.0017516350552475,0.11910291272094
1.3e-05,100.30830501998,0.0034514734225386,-0.0011898489939595,0.27727093472491,0.006792909315281,0.15552593776385,0.0019453587924357,0.11514727664031
1.35e-05,100.25776373137,0.0036999923940679,-0.00033844808465832,0.28822181404193,0.0079835006389018,0.16857420037933,0.0021463900008716,0.11237021082402
1.4e-05,100.24968920135,0.0039480505777521,0.00095148459832765,0.30017543083719,0.009410373275934,0.18108290689286,0.0023378961271408,0.10881402322941
1.45e-05,100.28469902427,0.0041759480456291,0.0026276589738773,0.31179389034063,0.011108794263655,0.19450309637778,0.0025102900455615,0.10389572415314
1.5e-05,100.27990210363,0.00437275599815,0.0045089936118161,0.32233512002893,0.012946379347487,0.20812335243969,0.0026666361134074,0.099451743083363
1.55e-05,100.18366252525,0.0045678655088885,0.0063802499952068,0.33186886636701,0.014717190277739,0.22097186091244,0.0028192336286196,0.095587436207621
1.6e-05,100.07252871547,0.0048274440428645,0.0081799067512523,0.34110562823489,0.01638542788367,0.23377935312523,0.0029792059068735,0.091290605449956
1.65e-05,100.0754205359,0.0051906741396979,0.009898354088099,0.35104479982916,0.018017323849305,0.24679448259157,0.0031480751530866,0.087057813985435
1.7e-05,100.16535081947,0.0056129056897735,0.011709134401222,0.3617738995641,0.01958281360507,0.25954735446784,0.0033190789370772,0.083177182186934
1.75e-05,100.15067496899,0.0060175326344173,0.013423076294509,0.37238674437464,0.020955098767532,0.27227167434708,0.0034860496468226,0.079162667669631
1.8e-05,99.943128391676,0.0064035387763062,0.014945392827493,0.38231893406079,0.022279330239219,0.28510870732595,0.0036496639411425,0.075151418156343
1.85e-05,99.681514310995,0.0068321725574551,0.016349706447676,0.39187578489302,0.023588908703093,0.2979917138048,0.0038147559678006,0.071137446846816
1.9e-05,99.477049665911,0.0073025232009443,0.017367094192132,0.40176035937265,0.024874829091721,0.31106362022758,0.0039836752667866,0.067134662005456
1.95e-05,99.177185433928,0.0077286056929181,0.018546390303432,0.41227044022388,0.026200962425617,0.32415657750153,0.0041547696806393,0.063483277564401
