time,DJ_over_J,DJint,Fy,Jint,ce_int,external_work,fracture_energy,kinetic_energy,max_disp_y,nucleation_energy,preset_ext_work,strain_energy
0,0,0,0,0,0,0,0,0,0,0,0,0
5e-08,-57.230018036523,-3.3984180935218e-11,4.3368173715869,5.9381740738802e-13,-0.0040509076068954,1.2192046038975e-05,0,5.6003453855819e-05,1.4061297271353e-06,0.0013503025356318,0.0002797328655084,1.1453076361477e-05
1e-07,-42.145979871754,-4.7544519898245e-10,18.342324312108,1.1280914583768e-11,-0.015119242457926,0.00016054109528927,0,0.0004666211880131,5.4538997354697e-06,0.0050397474859755,0.0010845223844558,0.00016349564027739
1.5e-07,-30.162126555288,-1.8870276028168e-09,41.547975812463,6.2562816960463e-11,-0.030757831330494,0.00068645258637665,0,0.001173445179728,1.1799419027237e-05,0.010252610443498,0.0023441317933216,0.00070367721712442
2e-07,-17.794393047067,-4.0397809465849e-09,68.581236371129,2.2702549819482e-10,-0.0465206059985,0.0017183651084675,0,0.0018001149871089,1.9372521780246e-05,0.015506868666167,0.003841518252798,0.0016823419245978
2.5e-07,-8.0776109123571,-5.9731843866847e-09,92.984474130574,7.3947414049703e-10,-0.060282112587564,0.0031305764560785,0,0.0022467091838445,2.7083382518514e-05,0.020094037529188,0.005352986003355,0.0028115379676096
3e-07,-3.7433379228283,-7.2342795901482e-09,109.61254749118,1.932574546912e-09,-0.076292152554145,0.0046206968698611,0,0.0026677940513062,3.4107391994481e-05,0.025430717518048,0.0067058562935373,0.0037004785471912
3.5e-07,-2.4484851580497,-8.7352386019386e-09,116.01781418102,3.5676093739921e-09,-0.090886583223621,0.0059170105870399,0,0.0032166225765738,4.0068414766011e-05,0.030295527741207,0.0078176325448289,0.0041943220579538
4e-07,-2.6020367479548,-1.1574371780041e-08,112.93418486377,4.4481968938902e-09,-0.10146343099393,0.0069246885925596,0,0.0038554599562044,4.5066705441541e-05,0.033821143664645,0.0087052247820105,0.0044453506396265
4.5e-07,-4.4154117235823,-1.5371772096146e-08,103.74539639837,3.4813904248265e-09,-0.10918178362931,0.0077156311392808,0,0.0044366700414841,4.9555336579289e-05,0.036393927876437,0.0094634218707967,0.0046868096201664
5e-07,-17.4754581384,-1.8773215705919e-08,93.164045906149,1.0742617193347e-09,-0.11371652028582,0.0084260239304538,0,0.0049078617682732,5.4119516777917e-05,0.037905506761941,0.010221696589289,0.0050124882778619
5.5e-07,18.353667856512,-2.1180823575465e-08,85.596144644648,-1.1540376420155e-09,-0.1264373602153,0.0091775845554685,0,0.0053667682872813,5.9241967223023e-05,0.042145786738435,0.011094888238912,0.0053958508479594
6e-07,11.301994243491,-2.3121476053483e-08,83.745485661844,-2.0457872792493e-09,-0.14007862076998,0.010061224757042,0,0.0059164622344271,6.5135431492266e-05,0.046692873589994,0.012144303817235,0.0058473448026875
6.5e-07,13.594333353036,-2.5175838863666e-08,87.90194845848,-1.8519362597537e-09,-0.15373630658036,0.011136573487196,0,0.0065302020802593,7.1693061909432e-05,0.051245435526786,0.013361207279254,0.0064551909902371
7e-07,18.65224358523,-2.7302145761771e-08,96.102724495293,-1.4637459368904e-09,-0.16704572919171,0.012406822182466,0,0.0070994272895148,7.8561559486651e-05,0.05568190973057,0.014676328842751,0.0072533864186799
