time,Fy,Jint,external_work,fracture_energy,kinetic_energy,max_disp_y,nucleation_energy,preset_ext_work,strain_energy
0,0,0,0,0,0,0,0,0,0
5e-07,62.444702597784,2.371692252312e-20,0.0051525294498296,0,0.00094034744049099,4.2387469890174e-05,-0.064307401636267,0.0082100313420052,0.0027151930777295
1e-06,111.83963239527,3.8489177123235e-18,0.018646484824013,0,0.0051396113255951,0.00010583164914785,-0.1582674577654,0.020213746150833,0.0091937525517467
1.5e-06,99.660491964648,1.2442033080901e-15,0.029140028963392,0,0.010639554174547,0.00016175922593252,-0.24015408111284,0.030688260536531,0.01406841906184
2e-06,97.505440698801,1.6012741805259e-13,0.040107819550825,0,0.016148840161498,0.00022038354777807,-0.32755419624752,0.041879127553739,0.019650974363949
2.5e-06,102.25023281667,1.0775879158171e-11,0.051551031239488,0,0.021670742891445,0.00027891661137985,-0.41441421184629,0.053013199892858,0.025196864116193
3e-06,98.775559646742,4.2226815799443e-10,0.062358743715447,0,0.02720498820392,0.00033635292020939,-0.49920892173901,0.063898579366372,0.030500920435775
3.5e-06,100.16328668943,1.0290103606659e-08,0.073611970484177,0,0.032750030637331,0.00039495157980754,-0.58604661186889,0.075076025848259,0.036095123793568
4e-06,100.36456334465,1.6261849342786e-07,0.084734876628615,0,0.038305174856859,0.00045283209897609,-0.67099156188791,0.086101814921123,0.041534062284764
4.5e-06,99.509470871892,1.7117140923455e-06,0.095792968683899,0,0.043869919956986,0.00051086883472393,-0.75405419189515,0.097157549933338,0.047001814416555
5e-06,100.26076546017,1.219371336287e-05,0.10699820410156,0,0.049441389390286,0.00056910572606168,-0.83211533593014,0.10827659780868,0.052535464508343
5.5e-06,99.933750581706,5.9278749957002e-05,0.11810916956006,0,0.055006467321607,0.00062705011801552,-0.89801926557798,0.1193381722937,0.05803465670505
6e-06,99.886813441823,0.00019753801078552,0.12926053289236,0,0.060524921104743,0.00068518211668551,-0.94439110039475,0.13044524550072,0.063661532459356
6.5e-06,100.09684686315,0.00045528073382055,0.14043855901087,0,0.06592166440199,0.00074327742892931,-0.96497284102821,0.1415555712741,0.069459835276849
7e-06,99.910847235326,0.00075155060405988,0.15158956145876,0.00015492148483721,0.07113131265346,0.00080131879114614,-0.96236616501622,0.15265969246598,0.075441918718826
7.5e-06,99.990823988527,0.00098121557140753,0.16277398565586,0.0017874833697719,0.076213111740583,0.00085946326030975,-0.96386271037145,0.16378824327296,0.081282037003254
8e-06,100.00628167349,0.0011819503275233,0.17395846490139,0.0037279170843587,0.081156958909047,0.0009176552223939,-0.97612286108139,0.1749151747366,0.087372198320244
8.5e-06,99.952939284482,0.0014111475945668,0.18514499724803,0.0053124070076258,0.085939809826989,0.00097613969074198,-0.98150525522578,0.18605028015875,0.093631328773795
9e-06,100.0071746675,0.0016375733321631,0.19634605320208,0.0070904645809102,0.090600873400538,0.0010354446476488,-0.99749522979742,0.1971950366101,0.10001705688519
9.5e-06,100.00095264518,0.0018664152253875,0.20753713713078,0.0097969822318757,0.095132547250896,0.0010967342432523,-1.0134660591849,0.20833773754682,0.10639000791413
1e-05,100.02438097321,0.0020968127384232,0.21869428145206,0.012998393580076,0.099639589391676,0.0011624812756129,-1.0211466754513,0.21947758576725,0.11257029096562
1.05e-05,100.08892803481,0.0023194745545345,0.22971649692864,0.016120491836242,0.10438286497212,0.0012369818629641,-1.03264418623,0.23059771276855,0.11816109130896
1.1e-05,100.14737275417,0.002542574715632,0.24036625883283,0.01951427927477,0.11005154302606,0.001326627893911,-1.0415469999501,0.24167435129327,0.12210772024888
1.15e-05,100.23188636189,0.0027613497748358,0.25029640691741,0.023688179987649,0.1178588471012,0.0014390217311625,-1.0485739635423,0.25268004387843,0.12297462827451
1.2e-05,100.28825353299,0.0029823901585736,0.25932324307817,0.028429773791492,0.12894291777834,0.0015803672378017,-1.0483771693527,0.2635845481959,0.12003277924493
1.25e-05,100.2787115594,0.0032086248060885,0.26794416543087,0.033506906348484,0.14303744431358,0.0017516191781042,-1.0481504795007,0.27437473218202,0.1146504629085
1.3e-05,100.21508763545,0.0034431808512943,0.27735841184668,0.038919817948875,0.15796395968113,0.001945342377982,-1.0418663354074,0.28506110499873,0.10960870802601
1.35e-05,100.14093392297,0.0036859300260237,0.2883981285287,0.044601998143813,0.17179890662485,0.0021463716740076,-1.034602268378,0.29566999921896,0.10571914240622
1.4e-05,100.13461954317,0.0039307625915211,0.30048856148785,0.050439239787408,0.18516714725611,0.0023378739637692,-1.0260178324291,0.30622138540475,0.10128868682801
1.45e-05,100.18963958789,0.0041596659858093,0.31229066964857,0.056255117260453,0.19943160691447,0.0025102631147069,-1.0169450917843,0.31670979758111,0.095756251820318
1.5e-05,100.18336458528,0.0043557224417499,0.32305563789305,0.062166530261518,0.21382702758771,0.0026666049713587,-1.0080670132852,0.32712330857745,0.0908445227806
1.55e-05,100.01907333262,0.0045362787443672,0.33285754389831,0.06794461769665,0.22733654800916,0.0028191995142202,-0.99702679616405,0.33748709374985,0.08664874293155
1.6e-05,99.771436628883,0.004760871807681,0.3424373188963,0.073306041080914,0.24067003734828,0.0029791697246106,-0.97945666067308,0.34787711935717,0.082230379460992
1.65e-05,99.622163150755,0.0050777875400337,0.35284880139317,0.07824831074899,0.25411228875836,0.0031480371336813,-0.95356151949772,0.35837676841336,0.078148066674057
1.7e-05,99.602435653278,0.0054635400892587,0.36423864166594,0.082604336617289,0.26729398555877,0.0033190390112782,-0.91735442623251,0.36902792538139,0.074574280845241
1.75e-05,99.535227377856,0.0058581185806031,0.37573927659874,0.086086459034391,0.28067334747316,0.0034860080016044,-0.86899250642817,0.37984776589156,0.070867422594239
1.8e-05,99.319224585132,0.0062571726738824,0.38679823945279,0.089949609806967,0.29438681184346,0.0036496212210556,-0.81009816677607,0.39088531005409,0.067081948229798
1.85e-05,99.096726396265,0.0067012595850813,0.39771946406553,0.093530832800383,0.30827507372911,0.003814713034411,-0.74751735788999,0.40222588451049,0.063426548289916
1.9e-05,98.993492940926,0.0071776253204685,0.40919139715324,0.096320540675293,0.32258931368515,0.0039836328339531,-0.68243300169497,0.41393996363146,0.059803909168083
1.95e-05,98.843996111374,0.0076186141739226,0.42146917661551,0.099865737463288,0.33717563069623,0.0041547282804332,-0.62001164320645,0.42607744297491,0.056462269413707
2e-05,98.366869148608,0.0080059937860075,0.43424367763117,0.10409015508566,0.35186339912007,0.0043269385540698,-0.56398606937848,0.43874808265038,0.053645833914769
2.05e-05,97.490724280615,0.008387383357667,0.44741685303843,0.10777496003872,0.36644812702985,0.0045031574757984,-0.52468575624905,0.45219942150881,0.051745304396568
2.1e-05,96.313826620989,0.0087848914941623,0.4614611564766,0.11111206628741,0.38111607100292,0.0046880755938873,-0.50135205880864,0.4668196468282,0.050734763063479
2.15e-05,94.882185242385,0.0091764055554799,0.47703450751232,0.11419824911377,0.3964070136191,0.0048848626476276,-0.48875269831751,0.48310769535816,0.050528826260836
2.2e-05,93.263815148531,0.0095510541583127,0.49457235249056,0.11723076249681,0.41309086988204,0.0050958461758542,-0.48424676922724,0.50165570837941,0.050832252368486
2.25e-05,91.812259067016,0.0099292700641935,0.51440963361552,0.12029408645075,0.4318427938476,0.0053273062084419,-0.49222096467239,0.52308915121163,0.051800763464414
2.3e-05,91.167072499302,0.010364729237027,0.53704934842763,0.12385946343588,0.45288147013751,0.0055932053593578,-0.51747151310099,0.54789549708747,0.05381902820259
2.35e-05,91.931679602643,0.010924164524972,0.56303033190529,0.12803008463591,0.47596469427047,0.0058820349567434,-0.56504027752663,0.5761769532105,0.057535118773438
2.4e-05,94.316925480485,0.011632188109136,0.5925252438797,0.13239477384931,0.50016322780326,0.0061851604461831,-0.63637902090372,0.60744936609295,0.063663253391137
2.45e-05,97.923362827467,0.012454600603822,0.62503666270048,0.13664222797487,0.5243971382263,0.0064959788542565,-0.72099938357587,0.64061142916095,0.072030493859919
2.5e-05,101.71118903267,0.013295191670838,0.65930129315131,0.14086248584583,0.54834966501458,0.0068095247677762,-0.80153460847552,0.67416762158051,0.08089518479949
2.55e-05,104.28001470717,0.013984064502283,0.69349894059862,0.14566829212489,0.572719136938,0.0071225627833927,-0.8650971165425,0.70670701180547,0.087776123707255
2.6e-05,104.50593686451,0.014377091137434,0.72598029124146,0.15117839291684,0.59818795269518,0.0074285521964284,-0.90890990283959,0.73747897695934,0.091613736710859
2.65e-05,102.25966648527,0.014519315181551,0.75618180792652,0.15750075064711,0.62437659593272,0.0077220261200933,-0.93779752497506,0.76674257263107,0.093567455069872
2.7e-05,98.715617584655,0.014651560441829,0.78489495409577,0.16456320584046,0.65042372541497,0.0080106597456909,-0.95425661778183,0.79560064510386,0.095370053140563
2.75e-05,95.897426495991,0.015025474316611,0.8136760964867,0.17235607568663,0.67644652025526,0.0083059346605487,-0.96551189433165,0.82534346692724,0.09750858903001
