time,DJ,DJ1,DJ1_br,DJ2,DJ2_br,DJ_br,EW,EW_br,FE,FE_br,Fy,J,KE,KE_br,PEW,SE,SE_br,ce_int,max_disp_y
5.75,0.00016944997854997,5.8257772823845e-05,-1.035868873317e-12,0.00011119220572612,1.4270760230022e-12,3.9120714968528e-13,0.12113051075309,-1.8970953349691e-05,6.5786287854208e-07,0,100.06085610506,0.00017906752298248,0.059228643192729,6.5512154980141e-05,0.12230808058482,0.060135712990935,0.00098770335533075,0,0.00065255311758182
6,0.00035035010661347,8.4787047973966e-05,-5.4389276285885e-12,0.0002655630586395,6.6252721291272e-12,1.1863445005387e-12,0.12654406929622,-5.9440748110667e-06,2.3723835725999e-05,0,99.821346872145,0.00032810880833379,0.061918025989149,5.0526359222543e-05,0.12770368833006,0.062900059337876,0.0016240366475518,0,0.00068116541747512
6.25,0.00057722101239324,9.01908454419e-05,-1.7495049435849e-11,0.00048703016695134,2.0312922776545e-11,2.8178733406962e-12,0.13198475282966,4.4135608859186e-06,0.00016787649904497,0,99.98289879477,0.00047286153678034,0.06449989220352,1.253481496471e-05,0.13311762072319,0.065789536398996,0.001998977236761,0,0.00070982667546039
6.5,0.00078570070483629,8.6990110869882e-05,-2.0038074227246e-11,0.00069871059396641,2.7350769140571e-11,7.3126949133251e-12,0.13742368094715,2.4930683178989e-06,0.00039062955787763,0,100.06618405159,0.0005915671593487,0.067036445838475,1.0298306215717e-06,0.13852530009164,0.068642974158921,0.0019070509284973,0,0.00073845010639036
6.75,0.00094222110253913,9.3984701631162e-05,9.160745808299e-11,0.00084823640090797,-7.0948210072049e-11,2.0659248010941e-11,0.14285132096943,1.8235050848476e-06,0.00056925416999978,0,99.906371252708,0.00070826137215304,0.069603648047565,1.4133252114584e-05,0.14393038106093,0.071469803131204,0.0015573901090823,0,0.00076705779536898
7,0.0010413611683727,9.9053865121647e-05,4.5747794465948e-10,0.00094230730325104,-4.3956983136057e-10,1.7908113298902e-11,0.14829335305601,6.5182531887737e-06,0.00074527693338642,0,99.932762164603,0.000827923249092,0.072117362170162,9.3730086651598e-06,0.14934840533432,0.074426441451532,0.0012959451411646,0,0.00079569678425969
7.25,0.0011152546668135,9.453992981639e-05,6.0956567752928e-10,0.0010207147369971,-7.8540625417221e-10,-1.7584057664293e-10,0.15374278815018,7.0977278993969e-06,0.0010416152356005,0,100.03198883138,0.00093508944055525,0.07455057128626,4.6725757716481e-08,0.15476844073668,0.077418943018328,0.0012623988962167,0,0.00082433055891045
7.5,0.0012160283443841,9.2769903625759e-05,-1.1653592903768e-09,0.0011232584407584,4.2910342284938e-10,-7.3625586752738e-10,0.15918507363236,6.8197270626335e-06,0.0015291150504846,0,99.958180019078,0.0010387393508016,0.076979061616455,3.4932280525458e-06,0.16018535268507,0.08039713759684,0.0013901939971876,0,0.00085294842686023
7.75,0.0013487471851427,9.2598404118315e-05,-4.791125597089e-09,0.0012561487810244,4.1175113779804e-09,-6.736142191086e-10,0.16463314835282,8.0584916096797e-06,0.0021228184012332,0,99.923637573992,0.001146600419828,0.079365413307909,1.9637367096075e-06,0.16560991886719,0.083434064207442,0.0015065845689957,0,0.00088158091648322
8,0.0014866846043072,9.1044652858193e-05,-2.4774065267774e-09,0.001395639951449,4.8257250298569e-09,2.3483185030795e-09,0.17009072681239,8.0055845626207e-06,0.0027062648580669,0,99.98896993204,0.0012555515913967,0.081706850086107,1.0994967687024e-07,0.17104042636924,0.086481709744741,0.0015013245657453,0,0.00091022086769449
8.25,0.0016108555480185,9.1258802772159e-05,1.1908970971717e-08,0.0015195967452463,-6.1370689316063e-09,5.7719020401107e-09,0.17554708713075,8.1607107922219e-06,0.0032962459134391,0,99.969358373811,0.0013663233037162,0.084021331028397,1.01032328405e-06,0.17647079368308,0.0895689839616,0.0014353615405386,0,0.00093885791817394
8.5,0.0017196655001647,9.4185326523684e-05,1.6076497337796e-08,0.001625480173641,-1.8243296605879e-08,-2.1667992680824e-09,0.18100631407874,8.3274334277321e-06,0.0039603783435175,0,99.92391812725,0.0014779621014591,0.086291802865063,7.2330349811932e-08,0.18190649162306,0.092695907357944,0.0014065578662155,0,0.00096750977648393
8.75,0.0018262995691482,0.00010137924893903,-1.9255182505986e-08,0.0017249203202091,-1.6418890053891e-09,-2.0897071511375e-08,0.18647515915384,8.2926816723649e-06,0.004710862629604,0,99.962649157317,0.001590460583131,0.088532184949816,2.8899507421117e-07,0.18734967616184,0.095848609382219,0.0014296092642337,0,0.00099616733988534
9,0.0019380884266651,0.00011109142437349,-5.3578961066122e-08,0.0018269970022916,3.315064579144e-08,-2.0428315274682e-08,0.19194774880741,8.3639531565634e-06,0.0055085402902843,0,99.999808861036,0.0017032188695678,0.090734148300004,1.4905334991772e-07,0.19279460542853,0.099029545010752,0.0014526227001805,0,0.001024822432302
9.25,0.0020519462863321,0.00012120310816524,-2.3720111418937e-08,0.0019307431781669,2.4593510884415e-08,8.7339946547789e-10,0.19742064144014,8.3183117182329e-06,0.0063347920553502,0,100.01861562773,0.0018156462299086,0.092901478034859,1.8815158229852e-07,0.19823906951887,0.10222782875282,0.0014416938806991,0,0.0010536648654474
9.5,0.0021612567761272,0.00013013126098427,2.1236005146475e-09,0.0020311255151429,-2.2766586542562e-08,-2.0642986027914e-08,0.20289258308983,8.3018991157684e-06,0.0072085588143881,0,100.08915235157,0.0019275409234662,0.095035660115256,3.9834264229229e-07,0.20368024300987,0.10544740051029,0.0014164048419223,0,0.001082868829166
9.75,0.0022634107571061,0.00013596333733231,-7.2706671591844e-08,0.0021274474197738,-1.9530666799695e-08,-9.2237338391539e-08,0.2083490693774,8.2445155907629e-06,0.0081408235495342,0,100.14844840537,0.0020374913199863,0.0971441042786,6.2046163967574e-07,0.20910975794132,0.10865666416022,0.0014035442582965,0,0.0011128839027097
