time,DJ,DJ1,DJ1_br,DJ2,DJ2_br,DJ_br,EW,EW_br,FE,FE_br,Fy_top,J,KE,KE_br,PEW,SE,SE_br,max_disp_y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,-6.6924410919896e-07,-6.6924410919899e-07,-3.3840615941511e-43,2.2144498418015e-20,5.1171620151571e-53,-3.3840615936394e-43,0.0020672381589916,-1.6382680143896e-36,0,0,65.820871588854,-7.9303732477476e-07,0.00046638350833524,6.8013033722266e-37,0.0037511822216281,0.00111577763604,2.2777932370603e-36,2.2075032667491e-05
0.5,-7.7833022678348e-07,-9.5988769610095e-07,-1.733011894164e-39,1.8155746931747e-07,-9.872501767032e-42,-1.742884395931e-39,0.0083414818572596,-6.7602549161552e-33,0,0,104.17221141965,-1.3743950654728e-06,0.0025267573582063,2.9733647876295e-33,0.0098434518034573,0.0045821729655318,9.7386389239351e-33,5.1767752555423e-05
0.75,-2.8055689455753e-07,-1.1645396961853e-06,-2.1292181133584e-36,8.8398280162773e-07,-2.577140240854e-38,-2.154989515767e-36,0.013916377275528,-6.6748630557845e-30,0,0,103.07019619971,-8.7073853977356e-07,0.0051801440375337,3.1171206923044e-30,0.015051406116334,0.0070177737206673,9.9779205273428e-30,8.0301704020239e-05
1,-2.6691156483496e-06,-3.0152227484287e-06,-1.1139681376273e-33,3.4610710007907e-07,-2.15625817368e-35,-1.1355307193641e-33,0.018749089022413,-2.7990600053646e-27,0,0,97.775154836041,-2.2211908582854e-06,0.0078408250267252,1.3911218657204e-27,0.0200622246694,0.0093535622053677,4.349324105221e-27,0.00010881226697623
1.25,-1.959982065066e-06,-1.1375401771705e-06,-3.1352901275341e-31,-8.2244188789555e-07,-8.6631659928963e-33,-3.221921787463e-31,0.024315097077452,-6.2983888424521e-25,0,0,99.053819864395,-7.8262765739803e-07,0.010516809404747,3.3396741014131e-25,0.025666209948142,0.012249513468267,1.0193685387914e-24,0.00013737334277274
1.5,-1.796249487718e-06,-5.6978237167408e-07,-5.3900077787672e-29,-1.2264671160439e-06,-2.0030411160115e-30,-5.5903118903683e-29,0.029929312857578,-8.6364401008114e-23,0,0,102.23469460674,-6.8498484320052e-07,0.013186182263998,4.8985114458448e-23,0.031070989622539,0.014944884321988,1.4594914496334e-22,0.00016622042057783
1.75,-2.5135939300817e-06,-1.5690393290671e-06,-6.1263878202126e-27,-9.4455460101465e-07,-2.9573945764498e-28,-6.4221272778575e-27,0.035042082625935,-7.8143648292692e-21,0,0,99.154997616589,-1.4751355874159e-06,0.015867663122072,4.7537769454995e-21,0.036222863333463,0.017405880152231,1.383210142972e-20,0.00019463944641755
2,-2.6263547621417e-06,-1.5626332704018e-06,-4.8564025073505e-25,-1.0637214917399e-06,-2.9830881445487e-26,-5.1547113218054e-25,0.040410011767473,-4.9250472918951e-19,0,0,99.027877945419,-1.1839128457041e-06,0.018550986676737,3.2218993785844e-19,0.041644787625116,0.020118598927691,9.169226563723e-19,0.00022326935732239
2.25,-2.375891314129e-06,-7.6435590846079e-07,-2.7877506758811e-23,-1.6115354056683e-06,-2.1550100501933e-24,-3.0032516809004e-23,0.045970923326554,-2.2479245487062e-17,0,0,101.03349427907,-5.3154307916309e-07,0.021237809012852,1.5851681835631e-17,0.047091237156685,0.02286742062229,4.4267030033899e-17,0.00025209480730196
2.5,-3.1483732275494e-06,-1.3089406396061e-06,-1.1904582153896e-21,-1.8394325879433e-06,-1.1540894483557e-22,-1.3058671602252e-21,0.051266159921647,-7.6505456591333e-16,0,0,100.0461971465,-1.3017323531859e-06,0.02393077192017,5.8259818383538e-16,0.052355643114351,0.025428196133551,1.6059770652636e-15,0.00028051802251796
2.75,-3.1833695075908e-06,-1.592696676236e-06,-3.8541736627612e-20,-1.5906728313548e-06,-4.7018938166901e-21,-4.3243630444302e-20,0.056582403580687,-1.9864793002627e-14,0,0,99.251162340361,-1.4885946109014e-06,0.026625782045783,1.6348559951359e-14,0.057706877066672,0.028073464934599,4.4924311935179e-14,0.00030914321328907
3,-2.6917888467768e-06,-1.2292065047036e-06,-9.5783082319679e-19,-1.4625823420733e-06,-1.4860313370264e-19,-1.1064339568994e-18,0.062071647523754,-4.0101205187677e-13,0,0,100.32502902516,-9.0225306400953e-07,0.029325778878096,3.5634971195926e-13,0.063141137186427,0.030804017950619,9.9079054621661e-13,0.00033780186292059
3.25,-3.1982437947239e-06,-1.5125754551317e-06,-1.8386687185787e-17,-1.6856683395922e-06,-3.6964937454068e-18,-2.2083180931194e-17,0.067461647310935,-6.3979222423795e-12,0,0,100.30170369913,-1.2151285897845e-06,0.032029265525738,6.1192080350681e-12,0.06847949138728,0.033433014801512,1.757314277115e-11,0.00036639281563807
3.5,-3.5368177632592e-06,-1.7290334129169e-06,-2.7249569056992e-16,-1.8077843503424e-06,-7.3109695888146e-17,-3.4560538645806e-16,0.0727934292547,-8.1847730560585e-11,0,0,99.573989805598,-1.5915609553315e-06,0.034736304723546,8.3790512123631e-11,0.073819178390237,0.036063184194344,2.5493755256298e-10,0.00039501733310598
3.75,-2.9804650334326e-06,-1.3317752573073e-06,-3.08780020961e-15,-1.6486897761254e-06,-1.1569622107823e-15,-4.2447624203923e-15,0.078230983363265,-8.4928434984591e-10,0,0,99.982952031833,-1.1853544530742e-06,0.037447748734328,9.2447388177344e-10,0.079230965883246,0.038762402905071,3.0620182776658e-09,0.00042364227416389
4,-3.0125732363249e-06,-1.434613759502e-06,-2.606485863252e-14,-1.5779594768229e-06,-1.4688738976087e-14,-4.0753597608607e-14,0.083659404743873,-7.1904653786003e-09,0,0,100.2640291692,-1.2096258166591e-06,0.040163290988543,8.2840343697219e-09,0.084610364818284,0.041425398993199,3.0603408213449e-08,0.00045226689670719
4.25,-3.6438603270417e-06,-1.8604651303358e-06,-1.5329310674854e-13,-1.7833951967059e-06,-1.4948107541615e-13,-3.0277418216468e-13,0.08902630997971,-4.9543484266336e-08,0,0,99.83189039445,-1.7291906154795e-06,0.042882799279945,6.0505246331097e-08,0.089964109027698,0.044061959533883,2.5379170870633e-07,0.00048089169549812
4.5,-3.6590146019834e-06,-1.7010148992919e-06,-4.9318711267718e-13,-1.9579997026916e-06,-1.2136514630715e-12,-1.7068385757487e-12,0.094439325007717,-2.7435003957014e-07,0,0,99.866454589527,-1.6811537371564e-06,0.045601999293174,3.5909551421422e-07,0.095361075415478,0.046745555286138,1.7304783089408e-06,0.00050951636955337
4.75,-3.04485718863e-06,-1.4150289929992e-06,7.5646596171772e-13,-1.6298281956308e-06,-7.7890186229201e-12,-7.0325526612024e-12,0.099877794226931,-1.1949960238338e-06,0,0,100.14993469635,-8.6724232228392e-07,0.048315568241643,1.7122911044896e-06,0.10075989332189,0.049439765773047,9.5838078996033e-06,0.00053814109613771
5,3.1475919987893e-07,1.14088360266e-07,1.9369041044379e-11,2.0067083961294e-07,-3.8890938613354e-11,-1.9521897568975e-11,0.10527727330678,-3.9763907355911e-06,0,0,99.97408949199,3.5338664448796e-06,0.05102023238735,6.4304828240502e-06,0.10613447033109,0.052121186382113,4.2580557447237e-05,0.00056676578297745
5.25,1.5558793253803e-05,7.8347356449748e-06,1.1872589977951e-10,7.724057608828e-06,-1.4696889493725e-10,-2.8242995157741e-11,0.11068677844534,-9.7271151531598e-06,0,0,99.869024504021,2.2126728610573e-05,0.053716151811559,1.8478549579741e-05,0.11152775378115,0.054825296236503,0.00015010198530118,0.00059539047637067
5.5,6.1149554354956e-05,2.7258472360955e-05,4.1249826717657e-10,3.3891081994e-05,-3.9852053915921e-10,1.3977728017359e-11,0.11612543129336,-1.6528555092486e-05,0,0,100.04908886911,7.4220337926794e-05,0.056438339771633,3.9002597512417e-05,0.11693513547076,0.057483962618483,0.0004159132836013,0.00062401515945966
5.75,0.0001619930609558,5.7414857669314e-05,8.0135842473526e-10,0.00010457820328649,-6.7818145196924e-10,1.2317697276602e-10,0.1215484272618,-1.754080280033e-05,2.505265837268e-08,0,100.02668280086,0.00017788831350206,0.059239690734536,5.672976047659e-05,0.12232880692791,0.060048813183199,0.00089890908679101,0.00065263983726151
6,0.00033279340841419,8.403030740372e-05,4.0568998619585e-10,0.00024876310101047,-3.4258590397777e-10,6.3104082218077e-11,0.12696624895586,-8.4373744067414e-06,3.3942347454365e-06,0,99.911340856875,0.00032431699696025,0.062017796511149,5.0341504893443e-05,0.12772691829117,0.062764185387203,0.001507193706574,0.00068126451215971
6.25,0.000515226671451,9.0836083499421e-05,-1.837838145379e-09,0.00042439058795158,1.3947940845828e-09,-4.4304406079621e-10,0.13240499636601,2.1702549469807e-06,2.597944869817e-05,0,99.989137658673,0.00047127080682302,0.064554911656797,1.9517560706011e-05,0.13313944587906,0.065766329610557,0.0019608472522321,0.00070988918114472
6.5,0.00070877713909945,8.5785441038797e-05,-3.7746589371865e-09,0.00062299169806066,3.3644786706067e-09,-4.1018026657973e-10,0.1378432766448,3.214645718514e-06,7.0141621789594e-05,0,100.02918161315,0.00059194100634482,0.066970362584883,1.9572625323716e-07,0.13854820783996,0.068664511351044,0.0020118935931877,0.00073851384728992
