time,Jint,external_work,fracture_energy,kinetic_energy,max_disp_y,preset_ext_power,preset_ext_work,preset_ext_work_p,strain_energy
0,0,0,0,0,0,0,0,0,0
5e-07,3.0493186101155e-20,0.0051525294498296,0,0.00094034744049099,4.2387469890174e-05,31251.762945621,0.0082100313420052,0.0078129407364051,0.0027151930777295
1e-06,3.8489177123235e-18,0.018646484824013,0,0.0051396113255951,0.00010583164914785,19855.323543393,0.020213746150833,0.020589712358658,0.0091937525517467
1.5e-06,1.2442033080901e-15,0.029140028963392,0,0.010639554174547,0.00016175922593252,20859.32986785,0.030688260536531,0.030768375711469,0.01406841906184
2e-06,1.6012739094753e-13,0.040107819550825,0,0.016148840161498,0.00022038354777807,24350.539737762,0.041879127553739,0.042070843112872,0.019650974363949
2.5e-06,1.0775879131066e-11,0.051551031239488,0,0.021670742891445,0.00027891661137985,20765.01548879,0.053013199892858,0.05334973191951,0.025196864116193
3e-06,4.2226815810285e-10,0.062358743715447,0,0.02720498820392,0.00033635292020939,22614.309255098,0.063898579366372,0.064194563105482,0.030500920435775
3.5e-06,1.0290103606605e-08,0.073611970484177,0,0.032750030637331,0.00039495157980754,22536.329041567,0.075076025848259,0.075482222679648,0.036095123793568
4e-06,1.6261849342775e-07,0.084734876628615,0,0.038305174856859,0.00045283209897609,21784.70300586,0.086101814921123,0.086562480691505,0.041534062284764
4.5e-06,1.7117140923454e-06,0.095792968683899,0,0.043869919956986,0.00051086883472393,22586.500940126,0.097157549933338,0.097655281678001,0.047001814416555
5e-06,1.219371336287e-05,0.10699820410156,0,0.049441389390286,0.00056910572606168,22209.985805094,0.10827659780868,0.10885440336431,0.052535464508343
5.5e-06,5.9278749957002e-05,0.11810916956006,0,0.055006467321607,0.00062705011801552,22224.371886169,0.1193381722937,0.11996299278712,0.05803465670505
6e-06,0.00019753801078552,0.12926053289236,0,0.060524921104743,0.00068518211668551,22436.378558658,0.13044524550072,0.13112818039833,0.063661532459356
6.5e-06,0.00045528073382055,0.14043855901087,0,0.06592166440199,0.00074327742892931,22259.328927335,0.1415555712741,0.14230210726983,0.069459835276849
7e-06,0.00075154979315442,0.15158955880349,0,0.071127197362344,0.00080131878874452,22367.846199264,0.15265969024242,0.15345890105148,0.075464334717033
7.5e-06,0.00098121385195126,0.16277397884797,5.7161023469548e-05,0.076144263856161,0.00085946325509019,22389.189900439,0.16378823724752,0.1646481600764,0.081599440512021
8e-06,0.0011819495142909,0.17395845418871,0.00023160848807661,0.081053943838612,0.00091765521323359,22351.646151458,0.17491516470409,0.17583336908938,0.087489817888198
8.5e-06,0.001411147477876,0.18514498227467,0.00046862378555744,0.085851408346806,0.00097613966746117,22415.287783892,0.18605026554629,0.18702510257321,0.093613419581391
9e-06,0.0016375725897134,0.19634603236318,0.00076680535774998,0.09054038865008,0.0010354445814018,22401.971434845,0.19719501357255,0.1982294173779,0.099815641799424
9.5e-06,0.001866414835359,0.20753709782356,0.0011880526855953,0.095148228555905,0.0010967340656624,22399.024833742,0.20833767929324,0.20942966644505,0.10598820610601
1e-05,0.0020968138999365,0.21869414621915,0.0017623266339239,0.099739792503589,0.0011624808453403,22392.665998815,0.21947734657125,0.22062758915319,0.11193007584935
1.05e-05,0.0023194909503774,0.22971588814142,0.002428556051799,0.1045888921789,0.0012369809286804,22320.24689088,0.23059665848122,0.23180581737561,0.11728465223901
1.1e-05,0.0025426864097797,0.24036370031485,0.0031470346124069,0.11036362153977,0.0013266260503486,22207.319863084,0.2416702740487,0.2429377090641,0.1211119662999
1.15e-05,0.002761862348355,0.2502873251001,0.0039684449312213,0.11825182178746,0.0014390183959022,24244.850319907,0.25266685976064,0.25455075160985,0.12196479572583
1.2e-05,0.0029839381931749,0.25929670984749,0.0049220620378396,0.12936670461957,0.0015803618022126,33745.004209635,0.263549315951,0.26904821524223,0.11905196393722
1.25e-05,0.0032111580104934,0.2678811861504,0.0060074563483307,0.14342358820527,0.0017516113892998,42367.815790159,0.27429759553787,0.28807642024218,0.11371626340164
1.3e-05,0.0034424181883929,0.27723884906013,0.0072209767547249,0.1582360240059,0.0019453325750393,46880.320535884,0.28492524139574,0.31038845432369,0.10874167714858
1.35e-05,0.0036704180804633,0.28822250852747,0.0085691867554013,0.17186294784814,0.0021463604873037,45627.814083045,0.29548600499006,0.33351548797843,0.10501655227826
1.4e-05,0.0038899466733658,0.30030855706416,0.010028992986832,0.18494293411291,0.0023378618026005,40098.022216539,0.30605537976657,0.35494694705332,0.10077339644364
1.45e-05,0.0041038753232674,0.31222314259003,0.01157339613425,0.19886175699823,0.0025102501180106,34438.227485504,0.31668596746406,0.37358100947883,0.095545214400435
1.5e-05,0.0043204316428957,0.32324843175002,0.013170020600907,0.21287571654768,0.0026665914065368,32550.021353924,0.3273784880527,0.39032807168869,0.091077466758352
1.55e-05,0.0045469013882514,0.33341325863165,0.014785457399883,0.22601874371563,0.0028191859315801,35269.521179049,0.33810106709981,0.40728295732193,0.08736014336139
1.6e-05,0.0047947308855706,0.34336419434714,0.016361659465893,0.23903954062404,0.0029791565622933,39541.966056142,0.34884259949504,0.42598582913073,0.08333617777447
1.65e-05,0.0050902562320704,0.3540894349563,0.017828315648388,0.25221893946764,0.0031480243152477,41281.1564112,0.35963964293283,0.44619160974757,0.079600587275798
1.7e-05,0.0054600053328376,0.36573626749972,0.019111150078872,0.26518784252526,0.0033190261146803,39671.962806187,0.37054245093719,0.46642988955191,0.076311233653055
1.75e-05,0.0058958691369791,0.37745845185753,0.020153238153564,0.27833430006891,0.0034859947537798,37461.550640136,0.38157282682074,0.48571326791349,0.072954800811283
