time,Fy,Jint,external_work,fracture_energy,kinetic_energy,max_disp_y,nucleation_energy,preset_ext_work,strain_energy
0,0,0,0,0,0,0,0,0,0
5e-07,62.444702597784,2.371692252312e-20,0.0051525294498296,0,0.00094034744049099,4.2387469890174e-05,-0.031536824297283,0.0082100313420052,0.0027151930777295
1e-06,111.83963239527,3.8489177123235e-18,0.018646484824013,0,0.0051396113255951,0.00010583164914785,-0.077632035639214,0.020213746150833,0.0091937525517467
1.5e-06,99.660491964648,1.2442033080901e-15,0.029140028963392,0,0.010639554174547,0.00016175922593252,-0.1178309972239,0.030688260536531,0.01406841906184
2e-06,97.505440698801,1.6012741805259e-13,0.040107819550825,0,0.016148840161498,0.00022038354777807,-0.16075523455466,0.041879127553739,0.019650974363949
2.5e-06,102.25023281667,1.0775879131066e-11,0.051551031239488,0,0.021670742891445,0.00027891661137985,-0.20343786851126,0.053013199892858,0.025196864116193
3e-06,98.775559646742,4.2226815804864e-10,0.062358743715447,0,0.02720498820392,0.00033635292020939,-0.24513071676742,0.063898579366372,0.030500920435775
3.5e-06,100.16328668943,1.0290103606659e-08,0.073611970484177,0,0.032750030637331,0.00039495157980754,-0.28784778560426,0.075076025848259,0.036095123793568
4e-06,100.36456334465,1.6261849342775e-07,0.084734876628615,0,0.038305174856859,0.00045283209897609,-0.32965981594533,0.086101814921123,0.041534062284764
4.5e-06,99.509470871892,1.7117140923454e-06,0.095792968683899,0,0.043869919956986,0.00051086883472393,-0.37057136915024,0.097157549933338,0.047001814416555
5e-06,100.26076546017,1.219371336287e-05,0.10699820410156,0,0.049441389390286,0.00056910572606168,-0.40905274647529,0.10827659780868,0.052535464508343
5.5e-06,99.933750581706,5.9278749957001e-05,0.11810916956006,0,0.055006467321607,0.00062705011801552,-0.44159459485779,0.1193381722937,0.05803465670505
6e-06,99.886813441823,0.00019753801078552,0.12926053289236,0,0.060524921104743,0.00068518211668551,-0.46457933500798,0.13044524550072,0.063661532459356
6.5e-06,100.09684686315,0.00045528073382055,0.14043855901087,0,0.06592166440199,0.00074327742892931,-0.47493996034163,0.1415555712741,0.069459835276849
7e-06,99.910847235437,0.00075155060405988,0.15158956145876,2.8856771911684e-05,0.071128842341625,0.00080131879114614,-0.47402345475117,0.15265969246597,0.075456857586568
7.5e-06,99.990823993055,0.00098121557140758,0.16277398565566,0.00046524184764452,0.076195979512474,0.00085946326030975,-0.47486622387481,0.16378824327225,0.081368132611266
8e-06,100.00628176131,0.0011819503275265,0.17395846489646,0.001147921001823,0.081114323785453,0.0009176552223939,-0.48206021587488,0.17491517472144,0.087551105813977
8.5e-06,99.952940362471,0.0014111475947003,0.18514499717083,0.0017464169634681,0.085861870152254,0.00097613969074198,-0.48534620746343,0.1860502799521,0.093904328713562
9e-06,100.00718406467,0.0016375733356659,0.1963460523473,0.00247809480762,0.090473330813776,0.0010354446476488,-0.49357721877395,0.19719503458876,0.10039315817793
9.5e-06,100.00101451286,0.0018664152883382,0.20753712998485,0.0037425881178406,0.09494506616645,0.0010967342432523,-0.50225260686568,0.20833772243778,0.10687651605803
1e-05,100.024700283,0.0020968135441264,0.21869423435021,0.0053892326532156,0.099377589567268,0.0011624812756129,-0.50686665564959,0.21947749598235,0.11320560610022
1.05e-05,100.09025115642,0.0023194820896331,0.22971624465538,0.0071486239145478,0.10402488661818,0.0012369818629641,-0.51341469148214,0.23059727706707,0.1190110054128
1.1e-05,100.15184155291,0.0025426270890098,0.24036513981742,0.0090543458865236,0.10956293284961,0.001326627893911,-0.51899316001084,0.24167259119094,0.12330382107967
1.15e-05,100.24429307966,0.0027616231818684,0.25029224344916,0.011268923066823,0.11717846763398,0.0014390217311625,-0.52380222664342,0.25267403967409,0.12462785886977
1.2e-05,100.31663450189,0.002983467401393,0.25931015473126,0.013845114153984,0.12800848353832,0.0015803672378017,-0.52530573409109,0.2635670614559,0.12211099794368
1.25e-05,100.33197290173,0.0032118249778207,0.26790919803922,0.016919990813705,0.14182376747063,0.0017516191781042,-0.52602786615987,0.2743308667735,0.11693727300755
1.3e-05,100.29601653351,0.0034502868444403,0.27727835169247,0.020366145111101,0.15650658554581,0.0019453423779819,-0.52444211494704,0.28496559883339,0.11193109950312
1.35e-05,100.23794175065,0.003697486510809,0.28823919600124,0.023914923628615,0.1701135568831,0.0021463716740072,-0.52112018878425,0.29548809461365,0.1081705027616
1.4e-05,100.22244052509,0.0039439962823259,0.30021138163523,0.027434987710129,0.18325789903578,0.0023378739637664,-0.51662371555152,0.30591529027221,0.10384484605829
1.45e-05,100.24769380772,0.0041698259793498,0.31186007596678,0.030987269636045,0.19732772948472,0.0025102631146911,-0.51193795858282,0.31624799845333,0.09836881675076
1.5e-05,100.22266783149,0.0043625649004115,0.32244801098322,0.034570953717166,0.21156142305262,0.0026666049712784,-0.5085436870455,0.32648432360262,0.093464431657606
1.55e-05,100.0883427737,0.004549570892842,0.33205440882172,0.038092099168032,0.22495625558004,0.0028191995138458,-0.50324411274007,0.33664998885285,0.089226028586581
1.6e-05,99.922731756992,0.0047956143432232,0.34140599674011,0.041463353878682,0.23820929275084,0.0029791697230062,-0.49539927308072,0.34680197427659,0.084685011541325
1.65e-05,99.860922657915,0.0051394087383018,0.35152533929822,0.044602988565496,0.25155747748529,0.003148037127352,-0.48282129639007,0.35699063440154,0.08045625901952
1.7e-05,99.873123854417,0.0055366360080295,0.36252814881243,0.047435859346307,0.26458972893528,0.0033190389882598,-0.46454282871705,0.36723091498661,0.076642888312323
1.75e-05,99.755862324808,0.0059124744304867,0.37353957528476,0.050040668825288,0.27765084832918,0.0034860079243675,-0.44009636562483,0.37753845958979,0.072731625453548
1.8e-05,99.425222047635,0.0062693461976322,0.38403118614298,0.052334086170197,0.29090419288983,0.0036496209818534,-0.41026730159798,0.38799115475892,0.068935799348552
1.85e-05,99.066978708668,0.0066740087744137,0.39434947421578,0.054470760478045,0.30441032032565,0.0038147123507779,-0.37919551721953,0.39872371472136,0.065136048255339
1.9e-05,98.870554045652,0.0071391799164868,0.40523171264901,0.056578627844059,0.31827100886821,0.0039836310323707,-0.34689807674654,0.40985606428044,0.061462086826004
1.95e-05,98.733006234105,0.0076016481263792,0.41697077036105,0.058847016293891,0.33232677361258,0.0041547239095466,-0.31575372958037,0.42146113498363,0.058137233360311
2e-05,98.366456575381,0.0080215302631518,0.42925473784632,0.061286382772145,0.34640298491136,0.0043269288173674,-0.28794566861171,0.43362942765319,0.055413911176486
2.05e-05,97.593920721,0.0084134276608686,0.44194085303416,0.063743278738553,0.36033917055084,0.0045031376454689,-0.26729836995017,0.44656475853283,0.053591224260383
2.1e-05,96.406996176014,0.0087849440144872,0.45545956336707,0.066045933328505,0.37432645773976,0.0046880389209195,-0.255635534834,0.46063208438698,0.052644853549868
2.15e-05,94.867307536528,0.0091346715738147,0.47047673518866,0.068030472538676,0.38895269884768,0.004884801772129,-0.24884139328074,0.47635448240148,0.052423535350868
2.2e-05,93.153465429037,0.0094878301050871,0.4874808262427,0.069860321423111,0.40502256030124,0.0050957573889733,-0.24681115079532,0.49437325109182,0.052738657654548
2.25e-05,91.682678455731,0.0098806261605982,0.50685250093482,0.071785092869785,0.42319085990016,0.0053301798242088,-0.25147849945357,0.51534272754509,0.05373497710227
2.3e-05,91.054436695906,0.010350432777696,0.52909735670975,0.073979181222846,0.44370145069938,0.0055967846698287,-0.26376773417971,0.5397397051008,0.055784429884239
2.35e-05,91.815641598148,0.010937654960687,0.55472232288205,0.076537931520975,0.46625529016747,0.0058867301241195,-0.28696338407899,0.56763333557468,0.059570247723212
2.4e-05,94.193323544552,0.011653935095271,0.58386092634767,0.079346080163597,0.48985228350123,0.0061907622850326,-0.32274265675653,0.59850932544385,0.065854763144333
2.45e-05,97.851185597731,0.012464984871385,0.61598501184495,0.082202047716883,0.51337723105038,0.006502915890748,-0.36479801886746,0.63125187839994,0.074463662622495
2.5e-05,101.76407571315,0.013283194362964,0.6498181114013,0.085017940037492,0.5365527417673,0.0068173621534517,-0.40569011959812,0.66436893587482,0.083592947933015
2.55e-05,104.45273058958,0.013962716325663,0.68355597141555,0.08795448608605,0.56013736315986,0.0071250310935828,-0.43768744956629,0.69646354145089,0.090734992827945
2.6e-05,104.68814188468,0.014383522120898,0.71557855856756,0.091191660953091,0.58481472099843,0.0074309802499578,-0.46010100941981,0.72678961105792,0.094863780638345
2.65e-05,102.33462544087,0.014572100791929,0.74532694016186,0.094809940098426,0.61020527658004,0.0077254043986079,-0.47342801583685,0.75558838989541,0.097089831520243
2.7e-05,98.698365115231,0.01471703258627,0.77356870916404,0.098916627304554,0.63549793781876,0.0080151683735808,-0.48212012315617,0.78394242770233,0.099020363059956
2.75e-05,95.940136432181,0.015068262235454,0.80184470716031,0.10361501242658,0.66083986150793,0.0083118245160645,-0.48892607353605,0.81314847637899,0.10114598412257
2.8e-05,95.735862814993,0.015786728088292,0.83161866903008,0.10893776032189,0.687003841389,0.0086428683570254,-0.49556694231388,0.84394684277162,0.1036319027217
2.85e-05,98.045535582098,0.016821552876389,0.86349688709866,0.11496384097773,0.71393961109814,0.0089816666156466,-0.5012663199934,0.87610298380321,0.10679279036853
2.9e-05,101.02596652365,0.017897539691681,0.89677587540291,0.12166443015748,0.74117287973184,0.0093203828485487,-0.50220923490897,0.90865116670386,0.10990478151533
2.95e-05,102.38636123132,0.018681567767349,0.92990098838255,0.12886232096579,0.76884511993722,0.0096664612652709,-0.49450382171338,0.94064925528471,0.11161167180018
3e-05,101.2103673156,0.019060017737521,0.96174193351837,0.13637593866997,0.79713352188026,0.010032885684411,-0.48086050002509,0.97188340126186,0.1118657124113
3.05e-05,98.66044035425,0.019272321016496,0.9924410846593,0.14380515844626,0.82572943776484,0.010406755226471,-0.46470124783029,1.0029718252057,0.11177895774606
