time,DJ,DJ1,DJ1_br,DJ2,DJ2_br,DJ_br,EW,EW_br,FE,FE_br,Fy,J,KE,KE_br,PEW,SE,SE_br,ce_int,max_disp_y
2.5,-3.1483731819051e-06,-1.3089406000192e-06,-1.1960755520455e-21,-1.8394325818859e-06,-1.1527085910554e-22,-1.311346411151e-21,0.051266159921648,-7.6492966888535e-16,0,0,100.0461971465,-1.3017322920085e-06,0.023930771918926,5.8434803819542e-16,0.052408035614164,0.025428196136891,1.5966703913121e-15,0,0.00028051802251796
2.75,-3.1833681403464e-06,-1.5926955252125e-06,-3.881517716486e-20,-1.5906726151339e-06,-4.6974558577707e-21,-4.3512633022631e-20,0.056582403580688,-1.984222274223e-14,0,0,99.251162340361,-1.4885927901738e-06,0.026625782008864,1.6410339501195e-14,0.057764636663079,0.02807346502874,4.4502497006338e-14,0,0.00030914321328908
3,-2.6917614375186e-06,-1.2291842615075e-06,-9.676193143593e-19,-1.4625771760111e-06,-1.4858595200682e-19,-1.1162052663661e-18,0.062071647523755,-3.9974858302745e-13,0,0,100.32502902516,-9.0221688668081e-07,0.029325778149215,3.5782377175367e-13,0.063204263893203,0.030804019698408,9.764935921206e-13,0,0.00033780186292059
3.25,-3.1978757951378e-06,-1.5122899384092e-06,-1.8645653800668e-17,-1.6855858567286e-06,-3.7022651424797e-18,-2.2347918943147e-17,0.067461647310935,-6.3562874233944e-12,0,0,100.30170369913,-1.2146489689708e-06,0.032029256009408,6.1414032186038e-12,0.068547985296129,0.033433035946066,1.7209731708081e-11,0,0.00036639281563808
3.5,-3.533521680556e-06,-1.7266099716729e-06,-2.7754722231486e-16,-1.8069117088831e-06,-7.3425401097914e-17,-3.5097262341277e-16,0.0727934292547,-8.0949002094927e-11,0,0,99.573989805598,-1.5873440650564e-06,0.034736223968404,8.3949167767432e-11,0.073893039346659,0.036063346908545,2.4802316902975e-10,0,0.00039501733310597
3.75,-2.9609002162675e-06,-1.3182246200023e-06,-3.1594779727408e-15,-1.6426755962652e-06,-1.1665190062643e-15,-4.3259969790051e-15,0.078230983363265,-8.3618906915187e-10,0,0,99.982952031833,-1.1610344690318e-06,0.037447318910676,9.2355277726769e-10,0.079310194005409,0.038763160664141,2.9641276084698e-09,0,0.00042364227416388
4,-2.9359071211393e-06,-1.3840745809723e-06,-2.6778276558623e-14,-1.551832540167e-06,-1.4883962749025e-14,-4.1662239307647e-14,0.083659404743876,-7.0619503320197e-09,0,0,100.2640291692,-1.1186955758428e-06,0.040161963981118,8.2488055021034e-09,0.08469496001055,0.04142729387757,2.9582723834359e-08,0,0.00045226689670718
4.25,-3.4433773335177e-06,-1.7265836631929e-06,-1.5777858503577e-13,-1.7167936703247e-06,-1.5233148184619e-13,-3.1011006688195e-13,0.089026309979737,-4.8723327097017e-08,0,0,99.83189039445,-1.5085848296262e-06,0.042880926189255,6.0115382562773e-08,0.090054071340929,0.044063490148626,2.460865817651e-07,0,0.00048089169549811
4.5,-3.294583992759e-06,-1.4165429498411e-06,-5.033431280953e-13,-1.8780410429179e-06,-1.2439991745159e-12,-1.7473423026112e-12,0.094439325007905,-2.7131511990289e-07,0,0,99.866454589527,-1.3174430440129e-06,0.045602476344458,3.5688716704456e-07,0.095456404815027,0.046742851814535,1.6896542283165e-06,0,0.00050951636955336
4.75,-2.5648308752979e-06,-9.2027753912424e-07,8.6137278221748e-13,-1.6445533361736e-06,-8.0248434088791e-12,-7.1634706266616e-12,0.099877794227968,-1.1916530320379e-06,0,0,100.14993469635,-4.1972964064557e-07,0.048319686661275,1.7074065185181e-06,0.10086058981803,0.04943496645805,9.4420444595731e-06,0,0.0005381410961377
5,7.205485694141e-07,6.6756052615976e-07,2.0616802234467e-11,5.2988043254342e-08,-4.0205116427522e-11,-1.9588314193054e-11,0.10527727331159,-3.9989209899486e-06,0,0,99.974089491988,3.9000958309795e-06,0.051022725778471,6.4474152060951e-06,0.10624053390415,0.052121082235529,4.2323516149673e-05,0,0.00056676578297744
5.25,1.5648709726378e-05,8.0413539696059e-06,1.2510672126425e-10,7.6073557567718e-06,-1.5195985727251e-10,-2.6853136008266e-11,0.11068677846406,-9.8389735064501e-06,0,0,99.869024504012,2.2120616331605e-05,0.05371620677611,1.863464339414e-05,0.11163918437231,0.054824354283688,0.00015024457542068,0,0.00059539047637069
5.5,6.107338623364e-05,2.7050011714759e-05,4.2898816428685e-10,3.4023374518881e-05,-4.0954168296681e-10,1.9446481320041e-11,0.11612543134524,-1.6727900869159e-05,0,0,100.04908886906,7.390140335207e-05,0.056441076036123,3.9481516897451e-05,0.11705193279768,0.057480425583766,0.00041803793905668,0,0.00062401515945988
5.75,0.00016232653758847,5.7118744224932e-05,8.073835016352e-10,0.00010520779336354,-6.8099262614008e-10,1.2639087549512e-10,0.12154842730075,-1.7614092265492e-05,5.1035058354566e-07,0,100.0266828006,0.00017774062160156,0.059239433035792,5.7390831983189e-05,0.12245096979062,0.060053179516779,0.00090438056857302,0,0.00065263983726281
6,0.00033396212068625,8.3852529700683e-05,3.0959302835124e-10,0.00025010959098556,-2.7792921404002e-10,3.166381431122e-11,0.12696624836135,-8.2328231450332e-06,1.8644307489787e-05,0,99.911340855612,0.00032447990974975,0.062011472533424,5.0500189233108e-05,0.12785444213292,0.0627713150759,0.0015134684310976,0,0.00068126451216634
6.25,0.0005561411477545,9.0925387982013e-05,-2.116982597821e-09,0.00046521575977248,1.5946631112886e-09,-5.2231948653239e-10,0.13240499146628,2.3474922035905e-06,0.00015296593046465,0,99.989139957644,0.00047154543739344,0.064546196698335,1.9051546089657e-05,0.13327231515294,0.065796362850394,0.0019612850445895,0,0.00070988918118775
6.5,0.00077117031917383,8.6155750532848e-05,-4.0075606691677e-09,0.00068501456864098,3.603214147169e-09,-4.0434652199867e-10,0.13784325034303,3.1947906315795e-06,0.00040191664004915,0,100.02918468102,0.00059219548882227,0.066956102775272,1.6258783565941e-07,0.13868637573388,0.068732335411952,0.0020038878872364,0,0.00073851384752783
6.75,0.0009413918258867,8.9305991270398e-05,6.5325271843904e-10,0.0008520858346163,1.6002562568019e-09,2.253508975241e-09,0.1432739567255,5.7383901557216e-07,0.00061556222059971,0,99.952251526948,0.00070506789950548,0.069562648978215,1.0329349678301e-05,0.14409933342874,0.071419047270106,0.0017129494743772,0,0.00076713850665116
7,0.0010551991520193,9.5739173524278e-05,9.6045406078197e-09,0.00095945997849498,-5.0148429107595e-09,4.5896976970601e-09,0.14871615911978,3.4885435433258e-06,0.00079744393664451,0,99.965129303381,0.00082377978172712,0.072165520057423,1.495517636564e-05,0.14952273748595,0.074361778197861,0.001389354072692,0,0.00079576315063991
7.25,0.0011295468350236,9.3814912246285e-05,9.6899049840997e-09,0.0010357319227773,-8.8381831591324e-09,8.5172182496726e-10,0.15416471501825,6.3259586455369e-06,0.001047036312999,0,100.01307468338,0.00093502887482419,0.074533884683126,3.0351887770689e-06,0.154948551647,0.077454346822271,0.0012415081118389,0,0.00082438774136068
7.5,0.0012127570296477,9.0637149220358e-05,4.3618594501279e-09,0.0011221198804273,-7.2955570304564e-09,-2.9336975803286e-09,0.15960891443778,5.65820046986e-06,0.0014720905882864,0,99.977974675583,0.0010383361248802,0.076949485793823,1.4150264242757e-06,0.16037307163711,0.080368836017036,0.0012881914878669,0,0.00085301214765352
7.75,0.0013319026520322,9.0905634465567e-05,1.208801189077e-08,0.0012409970175667,-9.5850395444089e-09,2.5029723463615e-09,0.16505848244814,6.054048031719e-06,0.0020762029093913,0,99.962396643966,0.0011447601811724,0.079385770477114,5.0256692800097e-06,0.16580441413344,0.083407020446306,0.0014345553724281,0,0.0008816359335475
8,0.0014715354598532,9.0455178340645e-05,1.7205283890035e-08,0.0013810802815126,-1.3725529005674e-08,3.4797548843614e-09,0.17051632165338,6.9766714417174e-06,0.0027416798437068,0,99.995313837499,0.0012546627995926,0.081693024167527,1.2138978750594e-06,0.17124135007507,0.086501568437616,0.0015314599614154,0,0.0009102577515931
8.25,0.0016047069278224,9.0107602681965e-05,6.7847856068744e-10,0.0015145993251404,-8.1329897346635e-09,-7.4545111739761e-09,0.17597439360724,6.8323378478553e-06,0.0033873796560677,0,99.986406999485,0.0013652192266601,0.084010857368666,6.3285841576494e-07,0.17667899113571,0.089540767620911,0.0015120792484363,0,0.00093887370269864
8.5,0.0017204649311206,9.3077984285849e-05,-2.7886417224606e-09,0.0016273869468348,-5.528195862898e-09,-8.3168375853587e-09,0.18143481141728,6.9788790133354e-06,0.0040659930981791,0,99.959524300369,0.0014768168967615,0.086296262404751,1.5660774178722e-06,0.18212006799804,0.092675283281225,0.0014408357099567,0,0.0009674732388561
8.75,0.0018240722901154,9.9501603811664e-05,1.0037906973399e-08,0.0017245706863037,-1.5859738250696e-08,-5.8218312772969e-09,0.1868999597245,7.1595272956036e-06,0.0048306403460179,0,99.955421161722,0.0015887614157161,0.088523249310799,2.5300365191206e-07,0.18756344309158,0.095823252143835,0.0013955295926314,0,0.00099612142618993
9,0.0019281368046022,0.00010919882280037,-1.272174911349e-08,0.0018189379818018,-1.121158566682e-08,-2.393333478031e-08,0.19236033972797,7.1524011663539e-06,0.0056920093244809,0,99.906631237974,0.0017013489658445,0.090733764989963,4.1731488751666e-07,0.19300079980179,0.098981096642976,0.0014033046696279,0,0.0010248224323017
9.25,0.0020378845340738,0.00011999087834454,-6.2140983427976e-08,0.0019178936557292,1.9457131243742e-08,-4.2683852184235e-08,0.19780571974306,7.185423328852e-06,0.0066268678856802,0,99.756322199709,0.001814601518926,0.092901082777361,4.3723027564354e-07,0.19842628349425,0.10215589487492,0.001434860707739,0,0.0010536648654465
9.5,0.0021476421845998,0.00012921303798302,-8.8198347487879e-08,0.0020184291466167,4.1598998430878e-08,-4.6599349057001e-08,0.20322622711911,7.1687685582915e-06,0.0076135632038612,0,99.457639738105,0.0019267411592571,0.09503850105252,3.7533334126479e-07,0.20383557575399,0.10531877243976,0.0014455274262628,0,0.0010828688291625
9.75,0.0022507694829406,0.0001359170551887,-8.1919252209483e-08,0.0021148524277519,3.0247846475061e-08,-5.1671405734422e-08,0.20860295705646,7.1200359019096e-06,0.0086535519115049,0,98.863602466995,0.0020373072863332,0.097155604596699,7.4584459920266e-07,0.20922430485191,0.10846335016048,0.0014259386673622,0,0.0011128839026968
10,0.0023444527298918,0.00013819362059259,-7.71735059098e-08,0.0022062591092992,1.0488452573398e-08,-6.6685053336403e-08,0.21390895047197,7.039388288717e-06,0.0097556170573075,0,97.792320768895,0.0021450696390023,0.099288074947872,1.1982348779668e-06,0.21459691595645,0.11152485649785,0.0013958949071321,0,0.0011445962882349
