time,Fx,external_work,fracture_energy,kinetic_energy,max_d,max_disp_x,nucleation_energy,strain_energy
0,0,0,0,0,0,0,0,0
5e-07,1835.7729824255,7.2575817003412,0,9.5995136309318,0,0.0020625,5.1851673980612,2.8140658761027
1e-06,7196.146628091,67.881481530483,0,53.182717980599,0,0.00825,58.633359917596,35.886220260101
1.5e-06,13048.943526783,174.91753315693,0,98.102791723441,0,0.0165,182.99843885738,104.01856659438
2e-06,16019.399088014,305.67423205616,0,171.67583654608,0,0.02475,303.53257235303,171.08228323717
2.5e-06,16569.306240539,443.07613744626,0,245.82937265046,0,0.033,436.37243622498,238.23805651155
3e-06,16391.724957748,576.82735796721,0,312.04329555398,0,0.04125,561.95964077427,304.42679017077
3.5e-06,16348.363933743,712.18004555822,0,380.48366804958,0,0.0495,700.78461538067,370.23825419259
4e-06,16394.210779835,846.3972315933,0,449.70870696873,0,0.05775,831.55524565166,435.3358213798
4.5e-06,16321.87259984,981.1534563031,0,520.69688333236,0,0.066,976.25039474337,499.91215874748
5e-06,16180.366096245,1113.9310474329,0,589.20150496934,0,0.07425,1112.8798516113,563.7995109118
5.5e-06,16100.731362516,1246.6735075727,0,658.09354388483,0,0.0825,1262.1042535737,627.12664909291
6e-06,16071.777270513,1378.9756979503,0,726.87960074781,0,0.09075,1406.669374381,690.32143532204
6.5e-06,16009.193005694,1511.1821665728,0,795.94356847618,0,0.099,1563.0789127234,753.41104958836
7e-06,15907.944525626,1642.5213270833,0,863.51226585683,0,0.10725,1719.060667727,816.62971593923
7.5e-06,15824.916059272,1773.3705667769,0,929.58565319544,0,0.1155,1882.9838520612,880.58766656779
8e-06,15772.391447775,1903.760462067,0,994.47781554638,0,0.12375,2051.4822860366,945.37877435233
8.5e-06,15708.913084618,2033.7027940287,0,1058.2813735695,0,0.132,2227.1363551018,1011.0561634692
9e-06,15614.454865337,2162.8439636998,0,1120.4767718227,0,0.14025,2412.4116948826,1077.4793787044
9.5e-06,15517.592013669,2291.225435084,0,1181.1094368102,0,0.1485,2601.1908489636,1144.5112493623
1e-05,15450.798480853,2419.0465026435,0,1240.1429132299,0,0.15675,2801.250925753,1212.5591808655
1.05e-05,15416.526609811,2546.5493583923,0,1297.1585795617,0,0.165,3001.2310661923,1282.4494663264
1.1e-05,15400.139478646,2673.8398559743,0,1350.3164509878,0,0.17325,3215.3707036644,1356.0942805608
1.15e-05,15390.019810584,2800.9657606449,0,1398.3123801439,0,0.1815,3429.140272084,1434.7811082071
1.2e-05,15380.876860229,2927.9177312009,0,1441.1154959336,0,0.18975,3660.9571694966,1518.4953937438
1.25e-05,15377.127235393,3054.7460943978,0,1479.2586508185,0,0.198,3889.8291564056,1606.6947459145
1.3e-05,15397.459212031,3181.6594199367,0.00069900486692848,1513.4789304461,0.0019053973466532,0.20625,4137.4377125651,1698.778295074
1.35e-05,15459.790104117,3309.0102720353,0.0040675264993166,1545.2197998764,0.0098853910309552,0.2145,4376.5486844479,1793.7322187955
1.4e-05,15556.919152261,3437.08359409,0.015012368007547,1576.2872936667,0.021695736682835,0.22275,4627.2899899934,1890.1892935838
1.45e-05,15661.047451982,3565.9418872585,0.039207202402432,1607.4241054987,0.037165229645962,0.231,4864.2525078686,1987.4955425905
1.5e-05,15756.752228222,3695.5452251852,0.079666260473535,1638.8306775253,0.055877166261058,0.23925,5111.0516156565,2085.2461430523
1.55e-05,15854.423605957,3825.956842927,0.11764764887615,1670.8609503024,0.070997848302229,0.2475,5345.5025047015,2183.0460314263
1.6e-05,15963.740894695,3957.3157017782,0.15052972573617,1703.5533314912,0.082744274659737,0.25575,5588.1350130889,2281.0692486763
1.65e-05,16070.064132931,4089.6115437069,0.18226378123888,1736.081862057,0.09315506207737,0.264,5829.3906407244,2380.2463286509
1.7e-05,16152.665462473,4222.6508709079,0.22190980678341,1767.0947067033,0.10460325548767,0.27225,6072.6857594721,2481.6713508864
1.75e-05,16217.247225386,4356.3103122274,0.27892449643156,1796.2453758287,0.11914603763639,0.2805,6293.9896906208,2585.33136727
1.8e-05,16292.66404857,4490.7106548211,0.36406448229858,1821.2005096231,0.13749169834564,0.28875,6522.9375211433,2693.4948581151
1.85e-05,16398.477198022,4626.1034100047,0.4699598324266,1834.9612958456,0.15828188725303,0.297,6791.9177274385,2813.5508513219
1.9e-05,16534.906862086,4762.714985656,0.56445757513737,1838.7824116769,0.17478103999472,0.30525,7092.170413946,2944.8189272631
1.95e-05,16709.970748012,4900.8383877895,0.61781920543451,1851.0020298621,0.18313662701319,0.3135,7392.3858307108,3069.0124901316
2e-05,16959.39808283,5041.059392709,0.6376240790287,1886.3039252962,0.18608873999878,0.32175,7664.7681460964,3171.5711545052
2.05e-05,17324.263327,5184.2926958434,0.66811014619734,1937.7335809389,0.19086515067066,0.33,7928.933626772,3260.498946452
2.1e-05,17812.23150836,5331.5390382227,0.7586100212153,1991.50298284,0.20478128747678,0.33825,8222.5435437367,3351.0627445387
2.15e-05,18389.694607479,5483.5522524562,0.96142418284319,2044.5707517375,0.23427363828235,0.3465,8549.9570917286,3447.1302488774
2.2e-05,19008.711467988,5640.6643794575,1.4071839726087,2100.9050425654,0.29046526248738,0.35475,8881.0654956534,3544.6842964542
2.25e-05,19632.708610343,5802.8598116799,2.6043539056437,2163.9509247023,0.40612825884022,0.363,9203.2506009426,3639.1904814734
2.3e-05,20239.391873229,5969.9077588727,6.3443698149425,2236.6427850116,0.65015339638138,0.37125,9483.4549453343,3724.4048778297
2.35e-05,20814.344921327,6141.4150139424,14.559159832107,2322.1167321368,0.94325382926166,0.3795,9759.6990615769,3794.1554495771
2.4e-05,21351.081790285,6316.9514389862,21.916008776434,2418.7201022309,0.98816036375084,0.38775,9991.1416673897,3859.4385949313
2.45e-05,21850.78317451,6496.2357361689,29.066735677056,2522.347668148,1,0.396,10215.909943302,3923.4207624585
2.5e-05,22311.466058313,6679.1220487002,36.647355999304,2631.9383954357,1,0.40425,10422.365304382,3985.0836480494
2.55e-05,22716.963800414,6865.394350496,44.84776547389,2746.6300237282,1,0.4125,10610.546129347,4043.8024623383
2.6e-05,23043.757876951,7054.6155952924,53.415773115001,2866.2253691123,1,0.42075,10806.84223243,4100.3466828297
2.65e-05,23282.225455842,7246.1618854855,62.125679949628,2990.8517649764,1,0.429,11102.478262745,4154.3490077198
2.7e-05,23448.221963399,7439.4037691269,70.882696134716,3119.0222162154,1,0.43725,11304.155175545,4206.3194501256
2.75e-05,23570.906526894,7633.8711628181,79.811365314162,3248.6884738825,1,0.4455,11529.390280517,4257.4051016788
2.8e-05,23670.281542059,7829.2613292771,88.857390536382,3378.27637184,1,0.45375,11708.546905251,4309.4237874559
2.85e-05,23747.973328208,8025.342641841,98.826768537145,3506.0415287634,1,0.462,11926.706222162,4362.834732849
2.9e-05,23797.639383906,8221.8958212848,109.80367783214,3630.3120757469,1,0.47025,12169.600785372,4418.9309636849
2.95e-05,23820.527006348,8418.7388000937,122.16373048379,3751.57751313,1,0.4785,12416.38882595,4475.6937527102
3e-05,23830.074602457,8615.7791688913,135.65022439088,3871.7250993917,1,0.48675,12678.02956783,4530.7262421092
3.05e-05,23844.076067387,8813.0326012716,150.02159325402,3990.7136673118,1,0.495,12915.038123734,4585.2477101548
3.1e-05,23874.641168276,9010.5852281723,164.97036613484,4107.9984351267,1,0.50325,13132.398428441,4640.2886220565
3.15e-05,23923.984015102,9208.530063192,180.12785859946,4224.395637031,1,0.5115,13346.723365815,4696.3851013848
3.2e-05,23984.6228321,9406.9198276406,195.7650201706,4342.602261931,1,0.51975,13556.388272847,4750.5819426566
3.25e-05,24039.500279692,9605.700610591,211.78998821317,4464.684492926,1,0.528,13774.353993999,4800.9262474983
3.3e-05,24065.429459806,9804.6251953336,227.79963272258,4590.2775155479,1,0.53625,13903.906191322,4848.0644014232
3.35e-05,24051.687771772,10003.33027463,244.57814825105,4720.0519816662,1,0.5445,14041.636436368,4889.6920275645
3.4e-05,24038.089551687,10201.76134272,262.53238405624,4853.4876351138,1,0.55275,14210.962156163,4925.2260890127
3.45e-05,24149.625070088,10400.888831143,279.99115071031,4992.402828962,1,0.561,14339.725981478,4955.3832734994
3.5e-05,24579.589059247,10603.323205305,297.31964679318,5140.098459814,1,0.56925,14474.204066258,4979.5983320162
3.55e-05,25486.52272547,10813.091990706,315.21730831091,5304.9828709602,1,0.5775,14530.443381174,4991.3868778284
3.6e-05,26835.739765028,11034.005197726,333.24868934161,5489.4400294224,1,0.58575,14519.589837589,4994.9764161563
3.65e-05,28292.143783732,11267.057540348,351.85880673324,5694.277949558,1,0.594,14519.381968073,4992.237066509
3.7e-05,29280.591540745,11508.387050837,370.65202216297,5918.3584314291,1,0.60225,14466.968488378,4981.9488927933
3.75e-05,29234.011269446,11749.370899443,389.37195932306,6153.11188578,1,0.6105,14383.520964839,4964.8618230273
3.8e-05,27904.238677047,11979.321014115,407.51658070879,6385.652223214,1,0.61875,14280.851317575,4942.0591312272
3.85e-05,25536.223906731,12189.586529821,426.40850163575,6594.1177492356,1,0.627,14136.926437928,4922.674705052
3.9e-05,22779.100829173,12376.887382195,445.18429205186,6766.3576426364,1,0.63525,14079.573530803,4913.7440564465
3.95e-05,20381.1035366,12544.192443614,464.67227680401,6905.4016045609,1,0.6435,14026.546534756,4912.7100044061
4e-05,18855.326232741,12698.86056205,483.32009241292,7025.7891545565,1,0.65175,13990.0365195,4916.2324832273
4.05e-05,18305.923624654,12849.168675991,501.93169170598,7141.5884068564,1,0.66,13950.425004301,4917.6418777428
4.1e-05,18481.398181918,13001.190137245,521.35869603109,7259.2562328071,1,0.66825,13978.681736575,4918.9987919909
4.15e-05,18977.305270957,13157.576514584,541.34634687044,7381.2747126436,1,0.6765,13939.717197971,4919.4008728669
4.2e-05,19444.990381404,13318.203558316,560.92905944076,7502.5996157393,1,0.68475,13900.159228195,4928.0104429903
4.25e-05,19699.020975333,13481.42016713,579.90925376692,7623.0835516041,1,0.693,13914.95372704,4941.1523536092
4.3e-05,19704.439204567,13644.990234886,599.66440307405,7745.7631665266,1,0.70125,13961.634743166,4952.3285074988
4.35e-05,19498.011138655,13806.765336331,618.45758496974,7872.8018922385,1,0.7095,13986.313649153,4959.4952868389
4.4e-05,19116.736356081,13965.133518127,637.71719879202,8005.7788639231,1,0.71775,14069.314185165,4956.6133368756
4.45e-05,18576.088608614,14118.955170408,658.16142391792,8140.3453647766,1,0.726,14142.030472412,4945.4072564691
4.5e-05,17892.003194941,14267.21557945,678.22161154664,8271.9164890237,1,0.73425,14342.021565361,4934.2042172363
4.55e-05,17110.000638722,14409.020549898,698.66452081443,8397.4958052828,1,0.7425,14486.728955762,4921.7360646681
4.6e-05,16309.009289396,14543.949848537,719.10508810995,8517.6558015228,1,0.75075,14652.537375026,4906.4868485902
4.65e-05,15575.954785423,14672.332226558,738.82209729693,8633.737781265,1,0.759,14800.758364139,4889.9146548637
4.7e-05,14972.53952494,14795.225070703,757.82758378948,8749.1888221049,1,0.76725,15010.37754178,4869.7536479588
4.75e-05,14517.779232278,14914.102655951,776.72719500286,8864.1226312935,1,0.7755,15236.826663924,4846.2192397521
4.8e-05,14192.916377996,15030.430732959,796.14875775983,8979.0889112575,1,0.78656062000229,15434.390892391,4818.3042809984
4.85e-05,13959.021055092,15145.323023925,815.17604069114,9090.2641012751,1,0.80681892868767,15666.836257389,4794.9596457302
4.9e-05,13774.437041336,15259.292702732,834.75073827255,9196.4217778355,1,0.82666361998426,15911.92726452,4775.6518647637
4.95e-05,13605.078631838,15372.192896335,854.10886404547,9304.1905518914,1,0.84587631011904,16119.268445022,4752.1874463817
5e-05,13426.419995735,15483.472945262,872.59558751918,9411.6256124393,1,0.86436081318521,16398.849931768,4729.2484211055
5.05e-05,13220.251036107,15592.583725267,891.62835993748,9519.3258821542,1,0.88223622515431,16707.486369149,4704.0275705924
5.1e-05,12973.298495331,15699.249214862,912.21606429814,9623.8454810474,1,0.89984808404613,16902.114708458,4678.4792850255
5.15e-05,12684.101408338,15803.467723641,933.33643062424,9724.7722754047,1,0.91761964450172,17135.353273049,4653.4101374896
5.2e-05,12374.582054563,15905.33704917,953.46085651795,9822.68451515,1,0.93576069296217,17431.506538351,4630.2425603824
5.25e-05,12091.82467589,16004.996096731,972.79421487782,9919.2927709043,1,0.95404231521617,17763.340399962,4607.6056410315
5.3e-05,11889.616019179,16102.846568339,991.09457922954,10019.501679469,1,0.97194523136333,17990.382330127,4578.9948776922
5.35e-05,11799.564901671,16199.774642369,1009.8760949285,10121.251651457,1,0.98914864622483,18211.698548299,4549.9140840073
5.4e-05,11816.585114569,16296.940136208,1029.4789526122,10224.804062552,1,1.0058608227349,18550.436587501,4518.2420604758
5.45e-05,11912.873067628,16395.249336044,1048.6281676432,10326.914158558,1,1.0226152197246,18836.298727427,4489.5037389612
5.5e-05,12066.864744617,16495.126033044,1067.3994636631,10428.070078695,1,1.0397983894661,19248.257586411,4463.3170193337
5.55e-05,12278.915647714,16596.803150125,1085.2291206191,10529.923914152,1,1.0573903477459,19676.964363584,4438.9408783445
5.6e-05,12559.171356229,16700.688176067,1103.3348883237,10631.130626385,1,1.0750848637378,20253.655393879,4417.596710926
5.65e-05,12899.470234426,16807.324758199,1120.5447228572,10732.85297702,1,1.0925852522098,20760.883928898,4399.8746420641
5.7e-05,13254.278902111,16916.937877462,1137.3584830661,10833.96548004,1,1.1097772870267,21411.464373749,4388.2559468301
5.75e-05,13547.693503364,17028.991991122,1153.0100639284,10936.524551474,1,1.1267177618442,21982.353314075,4379.7136550701
5.8e-05,13705.455272758,17142.223337951,1168.3374768157,11041.590061541,1,1.1435618286184,22605.957510093,4370.9720422855
5.85e-05,13695.034001255,17255.144037434,1184.1043703356,11150.372201279,1,1.1604820529109,23177.307678369,4357.3344880433
5.9e-05,13548.93465104,17366.645627506,1199.7013030186,11257.096801243,1,1.1775691604782,23777.397497913,4345.5307103585
5.95e-05,13351.424451692,17476.385452148,1216.1762866047,11362.006377862,1,1.1947446047854,24257.68503135,4332.3949298448
6e-05,13190.232549039,17584.762172319,1233.181298384,11463.121298366,1,1.2117635141382,24964.419163263,4321.5868771942
6.05e-05,13102.464547746,17692.449148704,1249.8881332748,11563.772724341,1,1.2283610839848,25601.877031382,4311.5472035885
6.1e-05,13053.881763015,17799.767639943,1265.4110727819,11667.924303767,1,1.2444720534486,26141.919188508,4299.496960302
6.15e-05,12967.604908074,17906.331372182,1281.2084818931,11779.604924877,1,1.2615049437087,26722.431480156,4279.0059580446
6.2e-05,12778.409220654,18011.171281166,1295.1891354488,11894.914157382,1,1.2885744410071,27395.142120915,4256.5826793606
6.25e-05,12468.869756014,18113.189385731,1308.6131516282,12009.523567495,1,1.3153454780914,28034.411533302,4234.3917347371
6.3e-05,12063.180975684,18211.601655838,1323.0751723018,12120.387843599,1,1.3416778912685,28633.041370846,4211.9760410318
6.35e-05,11593.583300983,18306.08628603,1337.4799740561,12227.193056131,1,1.3676182316649,29343.987702794,4190.6155385016
6.4e-05,11074.498293293,18396.594847094,1352.3136616902,12334.188126423,1,1.3933189192154,30048.580520092,4162.8238049664
6.45e-05,10504.209974386,18483.035780552,1366.8780996607,12440.313754358,1,1.4189595529774,30671.830671422,4132.6628367049
6.5e-05,9883.4546106332,18565.102506833,1381.0382617252,12545.201667227,1,1.4446803776465,31097.426051862,4099.0917253532
6.55e-05,9226.6851508911,18642.338559197,1396.1081464456,12647.382323437,1,1.4705460749357,31611.426200383,4060.9496483037
6.6e-05,8554.9032507497,18714.298045213,1411.8138473798,12743.720088962,1,1.4965573506215,32186.193163024,4022.5324309985
6.65e-05,7880.0103715274,18780.636110775,1426.9613858437,12833.643048574,1,1.522685732036,32745.101346844,3985.351142554
6.7e-05,7196.7050821153,18841.080664284,1441.5044469285,12914.38960975,1,1.5489035889066,33404.345319574,3953.5058489392
6.75e-05,6486.7136376872,18895.334155133,1455.6269779417,12987.4354624,1,1.5751899164188,33904.870952699,3924.8135840007
6.8e-05,5727.9702246856,18942.992559967,1469.1490767534,13053.554619946,1,1.601514916681,34583.308252736,3899.1010002574
6.85e-05,4901.4961787795,18983.518012718,1482.8782180024,13115.156138328,1,1.6278289923945,35226.149032814,3871.1398417001
6.9e-05,3997.0040375081,19016.29685357,1497.2466873591,13166.27933637,1,1.654067354497,35937.775663139,3848.5757291588
6.95e-05,3021.2221749119,19040.821663833,1511.6842655818,13206.321072858,1,1.680168703614,36526.647560366,3829.2304106357
7e-05,2005.8370577028,19056.919847482,1524.2693642081,13233.018982522,1,1.706100956597,37253.955015904,3816.8137765254
7.05e-05,1004.4345717787,19064.882039018,1537.8614663844,13251.256219303,1,1.7318746608766,37987.554977213,3801.7927977322
7.1e-05,71.646199102706,19065.375264078,1551.9030746572,13261.158124402,1,1.7575303743166,38768.551911412,3788.0795051778
7.15e-05,-767.77945122459,19059.124811165,1566.4050985377,13268.136852332,1,1.7831145658515,39449.949833236,3771.1733984152
7.2e-05,-1539.8561564932,19046.537590467,1580.1722466264,13272.695019305,1,1.8086699205348,40173.742975317,3750.5855318661
7.25e-05,-2313.6243010381,19027.498085546,1593.9377459685,13271.717926425,1,1.8342424970681,40989.99876276,3730.4798607561
