time,Fx,external_work,fracture_energy,kinetic_energy,max_d,max_disp_x,nucleation_energy,strain_energy
2e-05,16937.776880964,5115.7091490872,0,1901.0363571779,0,0.32175,2546.801374958,3167.4475271995
2.05e-05,17208.807265576,5257.8002034568,0,1934.6260704854,0,0.33,2643.4854974672,3274.6621323272
2.1e-05,17563.676091605,5402.8205058292,0,1985.5681453802,0,0.33825,2735.5224932743,3367.3476743386
2.15e-05,18020.862106132,5551.6038831336,0,2051.05638925,0,0.3465,2827.3316567105,3449.1196206432
2.2e-05,18586.007135803,5705.0317679975,0,2119.6688681841,0,0.35475,2931.1405391017,3532.3387256527
2.25e-05,19241.979977785,5863.8427779997,0,2180.7550290999,0,0.363,3056.2238036402,3628.5626825082
2.3e-05,19947.852155531,6028.4362875572,0,2237.7012086446,0,0.37125,3202.6445951771,3734.9254343549
2.35e-05,20648.241401658,6198.750400855,0,2306.5542644639,0,0.3795,3338.6627815614,3835.2258348129
2.4e-05,21288.7061141,6374.2682054002,0,2396.2687369174,0,0.38775,3441.9386108952,3919.8703789689
2.45e-05,21832.480258155,6554.1724598879,0,2497.279283375,0,0.396,3526.3254261219,3997.7459329214
2.5e-05,22272.438386247,6737.6035355492,0,2597.2898003669,0,0.40425,3615.2383850376,4080.505458899
2.55e-05,22630.081724428,6923.9022444277,0,2697.7223518808,0,0.4125,3701.7799289552,4166.0082643037
2.6e-05,22938.452863231,7112.7021181466,0,2803.5224741163,0,0.42075,3784.0210004256,4248.7548665829
2.65e-05,23218.354897703,7303.8201187199,0,2911.0079931669,0,0.429,3869.2751487114,4332.2376085049
2.7e-05,23465.345730366,7497.0391723648,0,3017.1652178865,0,0.43725,3948.5116933452,4419.2867758252
2.75e-05,23658.502214962,7691.9648492676,0,3124.6093649487,0,0.4455,4023.9685849935,4506.7564191939
2.8e-05,23784.303736027,7888.0800767942,0,3231.9464216461,0,0.45375,4099.0457417028,4595.426690414
2.85e-05,23854.95680498,8084.9482530454,0,3334.7070103977,0,0.462,4186.6774350772,4689.3824380304
2.9e-05,23903.77630016,8282.3781460473,0,3432.2058836817,0,0.47025,4297.6132444364,4789.1148841994
2.95e-05,23960.600066293,8480.3926233213,0,3524.083381345,0,0.4785,4413.2360309561,4895.008815205
3e-05,24030.108419064,8679.0281583802,0,3609.625709953,0,0.48675,4536.0199684498,5007.9227697462
3.05e-05,24094.542333082,8878.1703685673,0,3691.5002697539,0,0.495,4661.7634371818,5125.129199321
3.1e-05,24138.607559733,9077.6026151306,0,3772.8291242268,0,0.50325,4782.0796030786,5243.2701158525
