time,Fy,d_max,disp_y_max,dt,stress_yy_max
0,0,0,0,0,0
1e-08,0.027915479506711,0,3.5995680345585e-06,1e-08,55.777939628874
3e-08,0.067417600479409,2.145674858584e-05,1.0796112932953e-05,2e-08,74.952334356023
7e-08,0.09340128043431,0.00012127522469908,2.5178843849102e-05,4e-08,84.439565965156
1.5e-07,0.10635342214151,0.00039313120798353,5.39029165351e-05,8e-08,93.630314984297
3.1e-07,0.1143648494881,0.001293725037302,0.00011118587566479,1.6e-07,100.60479981081
6.3e-07,0.10331820789183,0.0039773832296401,0.00022509400105751,3.2e-07,106.69418816962
1.27e-06,0.10648723051384,0.0098796659483808,0.00045030252795232,6.4e-07,101.3375434294
2.27e-06,0.081391261502477,0.019539497368797,0.00079533827673907,1e-06,85.079790523079
3.27e-06,0.061794833863752,0.059369920451403,0.0011321917476352,1e-06,66.950649867107
4.27e-06,0.022325467363092,0.064419391732679,0.0014677283551703,1e-06,43.375912778134
5.27e-06,0.023710778812072,0.077132919637176,0.0018579932079336,1e-06,48.208576813906
6.27e-06,0.047194384111247,0.079249700878413,0.0021255389115042,1e-06,59.120420231827
7.27e-06,0.084210354893082,0.079249700878413,0.0024015952209859,1e-06,67.259662758789
8.27e-06,0.071904622952471,0.079249700878413,0.0027003574485028,1e-06,66.010708596341
9.27e-06,0.077262781369028,0.079249700878413,0.002992034741843,1e-06,57.454761874949
1.027e-05,0.075482148675735,0.079249700878413,0.0032767951151919,1e-06,61.074221083815
1.127e-05,0.063547863890724,0.079249700878413,0.0035548025983977,1e-06,68.964863902464
1.227e-05,0.046976570251945,0.079249700878413,0.0038262173314573,1e-06,70.641473687483
1.327e-05,0.06430534038303,0.08890133496108,0.0040911956567612,1e-06,57.109120776416
1.427e-05,0.04857857847772,0.1643603227952,0.0043498902091509,1e-06,59.422520699009
1.527e-05,0.060480487521688,0.23540238957482,0.0046024500038412,1e-06,61.9392032327
1.627e-05,0.074067205845806,0.27271387239038,0.0048490205222568,1e-06,62.578287908304
1.727e-05,0.071365117642963,0.27805481918749,0.0050897437958335,1e-06,69.909697138047
1.827e-05,0.066923051964997,0.27805481918749,0.0053247584878326,1e-06,78.262626426406
1.927e-05,0.083693420985397,0.27805481918749,0.0055541999732145,1e-06,72.521102047892
2.027e-05,0.078675303236966,0.27805481918749,0.0057782004166184,1e-06,68.777030969742
2.127e-05,0.093655686828,0.27805481918749,0.0059968888484931,1e-06,69.921679424325
2.227e-05,0.10060300639369,0.28154165969574,0.0062103912394217,1e-06,71.65972857954
