time,Fy,d_max,disp_y_max,dt,stress_yy_max
0,0,0,0,0,0
1e-08,0.0045247040653119,0,2.8796544276468e-06,1e-08,3.1108246240488
3e-08,0.0013629305663173,1.727810514232e-06,8.6834227417959e-06,2e-08,2.672050716375
7e-08,0.0035796562677124,9.0905473714006e-06,2.0143075079282e-05,4e-08,2.5855851971442
1.5e-07,-7.3937462621903e-05,2.2318488707881e-05,4.3302876247589e-05,8e-08,1.2987427780661
3.1e-07,0.0032226146595569,4.8296524351914e-05,8.9275110347613e-05,1.6e-07,2.6621322062957
6.3e-07,0.0025461968788881,5.3340928331231e-05,0.00018008949834528,3.2e-07,3.0190624911519
1.27e-06,0.0088683145328015,0.00019581995380043,0.00036024202236186,6.4e-07,5.5759112683439
2.27e-06,0.013244982865487,0.00060851038786719,0.00063627062139126,1e-06,7.8713321000099
3.27e-06,0.019919598840669,0.0032598834632627,0.00090575339810816,1e-06,11.214522126848
4.27e-06,0.025493739861349,0.0054459042440788,0.0011688455820428,1e-06,14.222140398684
5.27e-06,0.030396054019309,0.0083249360295755,0.0014256987215671,1e-06,16.559369963825
6.27e-06,0.036646955365533,0.011314857574774,0.0016764607711912,1e-06,20.009577135629
7.27e-06,0.040709110791385,0.014987763693679,0.0019212761767887,1e-06,21.835898256743
8.27e-06,0.046389900284647,0.01842228825748,0.0021602859588022,1e-06,25.054750233782
9.27e-06,0.050909405565424,0.022730394147113,0.0023936277934744,1e-06,27.074986906693
1.027e-05,0.054902819465331,0.027242881781359,0.0026214360921535,1e-06,29.452610323145
1.127e-05,0.060603421663687,0.032863485309571,0.0028438420787182,1e-06,32.062826820785
1.227e-05,0.062736793152557,0.037823387125102,0.0030609738651659,1e-06,33.497085622807
1.327e-05,0.069226815588784,0.043834324776567,0.0032729565254089,1e-06,36.489472896635
1.427e-05,0.070405872512813,0.049618549582547,0.0034799121673207,1e-06,37.679485185904
1.527e-05,0.076469782768458,0.055877611608996,0.003681960003073,1e-06,40.183446135821
1.627e-05,0.078017283233939,0.060748566071875,0.0038792164178054,1e-06,41.494214076991
1.727e-05,0.082617741879972,0.0669998880741,0.0040717950366668,1e-06,43.298445927098
1.827e-05,0.08509809478906,0.07317250037353,0.0042598067902661,1e-06,45.093976378123
1.927e-05,0.088349048940139,0.081047268442224,0.0044433599785716,1e-06,46.331359812705
2.027e-05,0.091013745420343,0.087357627521452,0.0046225603332947,1e-06,48.152439730642
2.127e-05,0.094225988633718,0.094741170062555,0.0047975110787945,1e-06,49.206336090451
