time,max_d,max_disp_y,min_disp_y
0,0,0,0
1e-07,0,0.00048022730608801,-0.001995
2e-07,0,0.00077940425826657,-0.00398
3e-07,0.14584974165468,0.00023471344432108,-0.005955
4e-07,0.21593590183963,0.00034756000648453,-0.00792
5e-07,0.27603596672309,0.00055619180551228,-0.009875
6e-07,0.30151366380292,0.00060155503905573,-0.01182
7e-07,0.33128804281462,0.00042189711474392,-0.013755
8e-07,0.35157514359529,0.00042943336465464,-0.01568
9e-07,0.36540433190637,0.0003978126199469,-0.017595
1e-06,0.45953834137806,0.00052799228911702,-0.0195
1.1e-06,0.526930073752,0.00054849090309828,-0.021395
1.2e-06,0.58955484642914,0.00037899597808996,-0.02328
1.3e-06,0.65208534269488,0.00033352191855887,-0.025155
1.4e-06,0.71202446758986,0.0005032876360304,-0.02702
1.5e-06,0.76779883503844,0.00055518255657079,-0.028875
1.6e-06,0.81673199134905,0.00047295915088562,-0.03072
1.7e-06,0.8853397340091,0.00033159850705048,-0.032555
1.8e-06,0.88700949403707,0.00042034804875274,-0.03438
1.9e-06,0.9207888145603,0.00055760657659966,-0.036195
2e-06,0.94962944191478,0.00060816239564058,-0.038
2.1e-06,0.97426751846285,0.0005268803887686,-0.039795
2.2e-06,0.99470183492884,0.00043163058390663,-0.04158
2.3e-06,1,0.00051591733617871,-0.043355
2.4e-06,1,0.00064294270495125,-0.04512
2.5e-06,1,0.00066068102659994,-0.046875
2.6e-06,1,0.00053853350436329,-0.04862
2.7e-06,1,0.00054070390604239,-0.050355
2.8e-06,1,0.00060211594422181,-0.05208
2.9e-06,1,0.00071071962114639,-0.053795
3e-06,1,0.00069548356249002,-0.0555
3.1e-06,1,0.00057906974208502,-0.057195
3.2e-06,1,0.0006332828345161,-0.05888
3.3e-06,1,0.00068117062885568,-0.060555
3.4e-06,1,0.00075964195864432,-0.06222
3.5e-06,1,0.00071252899277112,-0.063875
3.6e-06,1,0.00053879719467279,-0.06552
3.7e-06,1,0.00058826897536353,-0.067155
3.8e-06,1,0.00074166046298027,-0.06878
3.9e-06,1,0.00079086401087227,-0.070395
4e-06,1,0.00084982733535255,-0.072
4.1e-06,1,0.00089553123196585,-0.073595
4.2e-06,1,0.00090171858238429,-0.07518
4.3e-06,1,0.00089646478903488,-0.076755
4.4e-06,1,0.0008616204877578,-0.07832
4.5e-06,1,0.00079879381048757,-0.079875
4.6e-06,1,0.00079684976932041,-0.08142
4.7e-06,1,0.00089465882403104,-0.082955
4.8e-06,1,0.00098935823032002,-0.08448
4.9e-06,1,0.0010634202844283,-0.085995
4.95e-06,1,0.0010898666687097,-0.08674875
5.05e-06,1,0.0011194684548601,-0.08824875
5.15e-06,1,0.001117897975187,-0.08973875
5.2e-06,1,0.0011057254920796,-0.09048
5.225e-06,1,0.001096940094087,-0.0908496875
5.275e-06,1,0.0010744159970366,-0.0915871875
5.375e-06,1,0.0010123089799851,-0.0930546875
5.475e-06,1,0.00095660873096193,-0.0945121875
5.575e-06,1,0.0010610712202058,-0.0959596875
5.675e-06,1,0.0011442726690949,-0.0973971875
5.725e-06,1,0.0011773039172585,-0.0981121875
5.825e-06,1,0.0012258063139892,-0.0995346875
5.925e-06,1,0.0012515743823285,-0.1009471875
5.975e-06,1,0.0012563264658753,-0.1016496875
6.075e-06,1,0.0012512768606113,-0.1030471875
6.175e-06,1,0.001228605452438,-0.1044346875
6.275e-06,1,0.0011905466013574,-0.1058121875
6.375e-06,1,0.0011391413570947,-0.1071796875
6.475e-06,1,0.0012045294817401,-0.1085371875
6.575e-06,1,0.0012832311851684,-0.1098846875
6.675e-06,1,0.0013403261229816,-0.1112221875
6.775e-06,1,0.001375739982545,-0.1125496875
6.875e-06,1,0.0013907908157421,-0.1138671875
6.975e-06,1,0.0013878717212048,-0.1151746875
7.075e-06,1,0.0013700169885032,-0.1164721875
