time,avg_disp_y_impactor,avg_vel_impactor,max_disp_bego,max_vel_bego
0,0,0,0,0
1e-06,-0.005,-9600,0,0
2e-06,-0.01,-1280,0,0
3e-06,-0.015,-7808,0,0
4e-06,-0.02,-2969.6,0,0
5e-06,-0.025,-6425.6,0,0
6e-06,-0.03,-4020.224,0,0
7e-06,-0.035,-5662.5152,0,0
8e-06,-0.04,-4557.70112,0,0
9e-06,-0.045,-5292.253184,0,0
1e-05,-0.05,-4808.523776,0,0
1.01e-05,-0.050402588266316,-4714.3441181826,-0.00041731410117781,-8012.430742614
1.02e-05,-0.050782191315457,-4693.7044104235,-0.0012572046129709,-9181.7911828284
1.03e-05,-0.051256721869761,-4693.7040423322,-0.0020241714805223,-6198.4386457272
1.04e-05,-0.051777902512058,-4693.703950084,-0.0024587720725424,-3054.2824575824
1.05e-05,-0.052251036369682,-4689.8898543376,-0.002479960370868,-5375.7529438165
1.06e-05,-0.052618097076115,-4630.0641157547,-0.0026460673312818,-4754.9759498212
1.07e-05,-0.052993215552296,-4608.6956251135,-0.0031219878017744,-5120.0637107009
1.08e-05,-0.053475863629339,-4598.7672482042,-0.0035153355787263,-5082.0957721785
1.09e-05,-0.053947907618954,-4564.9235709686,-0.0039945875887784,-6585.06597505
1.1e-05,-0.054355156916963,-4551.422003776,-0.0046079879303462,-5955.1966873514
1.11e-05,-0.054786179220668,-4545.800320346,-0.0050171964559984,-4361.7156320996
1.12e-05,-0.055237683683759,-4509.762272047,-0.005313716804582,-6261.9862146037
1.13e-05,-0.055671378675672,-4487.938086324,-0.0057493451594297,-5080.4059160639
1.14e-05,-0.056100105126336,-4473.347025093,-0.0061898198078359,-4727.4568993906
1.15e-05,-0.056516941113833,-4438.8984508577,-0.0066223310086142,-6642.4988781821
1.16e-05,-0.056939823904817,-4417.3684282767,-0.0070581903212046,-5258.298287081
1.17e-05,-0.057385773413108,-4398.802033983,-0.0074972900882129,-5338.1413373993
1.18e-05,-0.057814406869027,-4368.0018460921,-0.007933267300215,-6979.3753325413
1.19e-05,-0.058224014810498,-4345.3983898257,-0.0083768010065489,-6051.5034994967
1.2e-05,-0.058656502587347,-4328.3336408142,-0.0088042091692601,-4964.4464556841
1.21e-05,-0.059099744660989,-4301.2094226592,-0.0092437459239774,-4517.5074669036
1.22e-05,-0.059526487188342,-4277.5369658847,-0.0096780526157043,-4635.6017271824
1.23e-05,-0.059945600051184,-4255.4215978342,-0.010104308712532,-4643.6541947754
1.24e-05,-0.060369770468206,-4228.9580527925,-0.010527922699166,-4983.3145409015
1.25e-05,-0.060801785899525,-4205.0194877663,-0.010953630240366,-4517.2680528542
1.26e-05,-0.061232038023429,-4179.6744603061,-0.011379508433008,-4496.7721474187
1.27e-05,-0.061655488084614,-4155.5139150541,-0.011803069243105,-4623.4555848203
1.28e-05,-0.062078567742885,-4129.5996019914,-0.01222786793062,-4621.4006933203
1.29e-05,-0.0625072911511,-4104.3466126022,-0.012658606114223,-4589.5793460432
1.3e-05,-0.062938826823354,-4079.0821093009,-0.013093045991096,-4460.6016278157
1.31e-05,-0.063369117180718,-4054.0712167026,-0.013525011038879,-4491.7642766767
1.32e-05,-0.063800269725364,-4028.180222431,-0.013953168522769,-4564.7819364989
1.33e-05,-0.064233133907914,-4002.3330125896,-0.014378929162059,-4567.6957006612
1.34e-05,-0.06465745961386,-3977.3491599071,-0.014795583028777,-4496.4067666176
1.35e-05,-0.065058539444118,-3953.3571124968,-0.015189529607689,-4482.931312993
1.36e-05,-0.065435107852515,-3928.9821182669,-0.015558771487411,-4547.9800005376
1.37e-05,-0.065805570688275,-3903.2310893368,-0.015924398134131,-4510.130153214
1.38e-05,-0.066192837268388,-3876.4775269556,-0.016314119236891,-4595.478143701
1.39e-05,-0.066602687202282,-3850.3122704394,-0.016732755100098,-4609.2650086486
1.4e-05,-0.067017263898777,-3825.9844247047,-0.017157730000808,-4577.6797330039
1.41e-05,-0.067410450141963,-3803.2377631159,-0.017570360424464,-4559.8959697402
1.42e-05,-0.067772021411419,-3780.3172689888,-0.017940733211058,-4571.9769559435
1.43e-05,-0.068118481075127,-3755.4738283948,-0.018286645869881,-4653.8535724154
1.44e-05,-0.068478485111196,-3728.6802288533,-0.018681921184519,-4635.6739578862
1.45e-05,-0.06886504850276,-3701.7900919108,-0.019111069739655,-4543.0341828652
1.46e-05,-0.069262815437846,-3676.6319020896,-0.01952975662488,-4556.7916888676
1.47e-05,-0.06964475421674,-3653.0794599395,-0.019901719919571,-4568.1422297373
1.48e-05,-0.069999781515201,-3629.4015681891,-0.020232696536122,-4541.7254885528
1.49e-05,-0.070340294528185,-3604.4435796937,-0.020568669916249,-4461.5002928663
1.5e-05,-0.070683878556773,-3578.8323380194,-0.020922042262979,-4391.3766847273
1.51e-05,-0.07103445942131,-3553.8101828286,-0.021294784635639,-4444.7469908551
1.52e-05,-0.071384649345873,-3529.5240696424,-0.021645494472246,-4449.453171863
1.53e-05,-0.071730505757893,-3505.1044154799,-0.021962761146594,-4390.4120005621
1.54e-05,-0.072075915760002,-3480.1129726612,-0.022273076562908,-4276.0740947435
1.55e-05,-0.072423028240339,-3455.0958002454,-0.022610259156132,-4233.2406366026
1.56e-05,-0.072766172619012,-3430.5726567625,-0.022965570100949,-4309.82397467
1.57e-05,-0.073099215550475,-3406.1781810011,-0.023319775484148,-4338.5010403707
1.58e-05,-0.073424609415182,-3381.2629718568,-0.023649248961657,-4299.7600429256
1.59e-05,-0.073750133963063,-3355.9446787975,-0.023960990602052,-4199.4501549337
1.6e-05,-0.074078293482993,-3330.9845458581,-0.024288309294257,-4105.0745166951
1.61e-05,-0.074403776497545,-3306.7176532453,-0.024616018842194,-4195.7575218668
1.62e-05,-0.074721735183737,-3282.6301685956,-0.02495714474761,-4229.0131291029
1.63e-05,-0.075034330362961,-3258.1079922247,-0.025297703689305,-4191.4873249188
1.64e-05,-0.075347116014043,-3233.1772395157,-0.02562433044232,-4094.5184159901
1.65e-05,-0.075662039415612,-3208.2390536591,-0.025939103389775,-3981.4462158211
1.66e-05,-0.075977054586704,-3183.3728476819,-0.026249406242629,-4064.6820424053
1.67e-05,-0.076290921701639,-3158.3036433063,-0.026558993096646,-4086.1439577409
1.68e-05,-0.076604491564717,-3132.9853211663,-0.026864159199493,-4039.8594844646
1.69e-05,-0.076916769498567,-3107.8180420818,-0.027157877012518,-3941.0902542856
1.7e-05,-0.077223126611396,-3083.1291818557,-0.027438088557693,-3821.7771644569
1.71e-05,-0.077520134622037,-3058.6609817199,-0.027712014810537,-3885.6702472105
1.72e-05,-0.077811382195191,-3033.7943307002,-0.027991297943953,-3891.382266695
1.73e-05,-0.078106144534367,-3008.2337096597,-0.028282185890796,-3838.6905342184
1.74e-05,-0.078411190626126,-2982.3277407353,-0.028581034651433,-3744.4827944281
1.75e-05,-0.078724080770971,-2956.7082912857,-0.028882612860447,-3636.481068168
1.76e-05,-0.079034703483476,-2931.6850286006,-0.029207522479296,-3655.2883633033
1.77e-05,-0.079333650065387,-2906.9684569123,-0.029512644082812,-3667.4168127063
1.78e-05,-0.079620188188236,-2881.9033971286,-0.029796556446112,-3631.6343721398
1.79e-05,-0.079903267148091,-2856.0054482405,-0.030104794526373,-3543.8423527444
1.8e-05,-0.080194444472294,-2829.4054290442,-0.030430072762623,-3513.8465416442
1.81e-05,-0.080498059705566,-2802.8167528092,-0.030749664225489,-3530.8458895597
1.82e-05,-0.080806972573714,-2776.9596814067,-0.031054030113066,-3544.0054429183
1.83e-05,-0.081108190961063,-2751.9113955972,-0.031340409425179,-3495.3290287709
1.84e-05,-0.081393723303138,-2727.040137009,-0.031622591494243,-3449.6729512517
1.85e-05,-0.081666559146148,-2701.6349065638,-0.031896195635135,-3413.6077840482
1.86e-05,-0.081936447571376,-2675.5746885011,-0.032184394167423,-3429.3879313257
1.87e-05,-0.082210604099868,-2649.3338327018,-0.032480534629978,-3408.3709020329
1.88e-05,-0.082488915100842,-2623.4033685326,-0.032767566375022,-3407.3764502524
1.89e-05,-0.082766910952211,-2597.8503370788,-0.033036037040091,-3337.9301089633
1.9e-05,-0.083041030749386,-2572.4582606292,-0.033293121050995,-3299.5889484729
1.91e-05,-0.083309964779066,-2547.1213052164,-0.033555485872571,-3315.2967319686
1.92e-05,-0.083572522467246,-2521.9333595469,-0.033829195293862,-3291.2426113489
1.93e-05,-0.083826813626182,-2496.9393720498,-0.034104597611748,-3280.4227906885
1.94e-05,-0.084072351017305,-2471.9954795158,-0.034363430057783,-3184.9556623412
1.95e-05,-0.084311554872829,-2446.9707382089,-0.034598304900032,-3153.7037140249
1.96e-05,-0.084547649341024,-2421.9896980529,-0.034818229529732,-3169.1002768664
1.97e-05,-0.084781127954859,-2397.3387525777,-0.035038226188698,-3168.3732416073
1.98e-05,-0.085009343244058,-2373.1250736001,-0.035265393166047,-3125.3813406949
1.99e-05,-0.085229997605928,-2349.1224641941,-0.035495156137148,-3024.6913262921
2e-05,-0.085444418605958,-2325.003322424,-0.035718663938815,-2979.972854855
2.01e-05,-0.085656765848586,-2300.6743068569,-0.035931739914522,-3030.026840237
2.02e-05,-0.085870156833181,-2276.3279520384,-0.036137088208075,-3047.6909443349
2.03e-05,-0.086084048127661,-2252.1849891898,-0.03633983055282,-2999.4738541028
2.04e-05,-0.086295436955058,-2228.244715731,-0.036542163365999,-2895.0249441527
2.05e-05,-0.086502245957005,-2204.2946631586,-0.036742071550351,-2829.8813267899
2.06e-05,-0.086705478650125,-2180.1096060676,-0.036936535526612,-2896.1602521307
2.07e-05,-0.086908589691985,-2155.60642689,-0.03712591015491,-2903.4058321159
2.08e-05,-0.087115154113595,-2130.8489289697,-0.037315397759055,-2852.8518128076
2.09e-05,-0.087326671875637,-2105.9811070832,-0.037511868647451,-2813.7247355631
2.1e-05,-0.087541518003644,-2081.1757238163,-0.037721544421963,-2749.450036824
2.11e-05,-0.087755375389813,-2056.5768999526,-0.037931225645372,-2737.6201948288
2.12e-05,-0.087963301826404,-2032.2003660169,-0.038138737549223,-2789.0659462493
2.13e-05,-0.088162832119494,-2007.8666701708,-0.038337931435467,-2781.7440461516
2.14e-05,-0.088356135926696,-1983.2924783256,-0.038529610525197,-2741.8011899646
2.15e-05,-0.088549013384495,-1958.3248813862,-0.03872211326928,-2668.3221102391
2.16e-05,-0.088746713780305,-1933.1140689423,-0.038922540092678,-2660.1378825233
2.17e-05,-0.088949639909892,-1908.0303296356,-0.039130195360828,-2711.8615070877
2.18e-05,-0.08915267503475,-1883.3722336879,-0.039337381897971,-2718.4612146106
2.19e-05,-0.089348943608873,-1859.1288901054,-0.039536483214182,-2668.8703496883
2.2e-05,-0.089534931307937,-1835.0082050289,-0.039726086967463,-2587.379342909
2.21e-05,-0.089712829007514,-1810.6845960645,-0.039910471113203,-2601.6939965366
2.22e-05,-0.089888593187841,-1786.0328354724,-0.040094152550769,-2656.8296562697
2.23e-05,-0.09006775897088,-1761.1697013737,-0.040278050719076,-2653.5069334921
2.24e-05,-0.090252285548061,-1736.3215803263,-0.040461008532308,-2593.0479514054
2.25e-05,-0.090440163660604,-1711.6607664146,-0.040643715803669,-2517.0381749876
2.26e-05,-0.090627211063562,-1687.2249211511,-0.040829421458826,-2531.3435193199
2.27e-05,-0.090809415615169,-1662.9353765621,-0.04102002403798,-2575.1453099067
2.28e-05,-0.090984574250513,-1638.6695692268,-0.041212030215882,-2558.6016752254
2.29e-05,-0.091152805180656,-1614.3401700651,-0.041397596966982,-2516.7424502813
2.3e-05,-0.091315997540048,-1589.9509676646,-0.04157057917917,-2449.3660208261
2.31e-05,-0.091476469241267,-1565.6083985553,-0.041731983809857,-2432.7729395254
2.32e-05,-0.091635408350519,-1541.4746951198,-0.041889399054974,-2501.1544036812
2.33e-05,-0.091792026030288,-1517.67183289,-0.042050658909507,-2475.1931135501
2.34e-05,-0.091944198647036,-1494.1861677971,-0.042217423600389,-2440.5921050984
2.35e-05,-0.092090374951647,-1470.8510732769,-0.042384205968504,-2367.3100051958
2.36e-05,-0.092231277176154,-1447.4492899964,-0.042543114973445,-2389.4004645396
2.37e-05,-0.092369746027994,-1423.8754963005,-0.042689619265926,-2461.5821557078
2.38e-05,-0.092508587032852,-1400.2191009837,-0.042824569564244,-2426.0576536357
2.39e-05,-0.092648281798811,-1376.6744208167,-0.04295189429666,-2548.5363930942
2.4e-05,-0.092786809155689,-1353.3472463186,-0.043075141612793,-2699.1652241806
2.41e-05,-0.092921872109722,-1330.143379313,-0.043195965518728,-2760.1081655526
2.42e-05,-0.0930533857555,-1306.8546366885,-0.043314807491409,-2727.0233163592
2.43e-05,-0.093183734286235,-1283.3593482373,-0.043431965671986,-2572.3157622024
2.44e-05,-0.09331549584469,-1259.7396678119,-0.043547754618335,-2823.4413460219
2.45e-05,-0.093448801114325,-1236.2091986657,-0.043662105412354,-2965.3061245527
2.46e-05,-0.093580763599196,-1212.933967073,-0.043774540796537,-2936.726309127
2.47e-05,-0.093707423020373,-1189.9149913715,-0.04389014608649,-3047.3977022043
2.48e-05,-0.093826495737215,-1167.0167055826,-0.04399878317687,-2939.3495955894
2.49e-05,-0.093938802316517,-1144.0895581766,-0.044099936969512,-2901.9669859778
2.5e-05,-0.094047500139964,-1121.0813435596,-0.044206994714756,-3107.2794084398
2.51e-05,-0.094155838440712,-1098.0715414856,-0.044314493380964,-3079.3431316561
2.52e-05,-0.094264972240667,-1075.2233379764,-0.044421539908975,-3155.2575632556
2.53e-05,-0.094373196697209,-1052.6852386429,-0.044525811345025,-3046.1488669382
2.54e-05,-0.094477066153426,-1030.4962945259,-0.044624690005893,-2822.8123878239
2.55e-05,-0.094573684005938,-1008.5561309383,-0.044718258627548,-3055.1866773976
2.56e-05,-0.094662643759013,-986.68804188079,-0.044810094204185,-3034.660188585
2.57e-05,-0.0947463069535,-964.7544778007,-0.044893394844828,-2921.5400725823
2.58e-05,-0.094828296195998,-942.73839083304,-0.044983377601013,-2870.1035845172
2.59e-05,-0.094911349561283,-920.73287194538,-0.045076092354054,-2695.8718085023
2.6e-05,-0.094995992029173,-898.86002918534,-0.045168209608945,-2969.6495150599
2.61e-05,-0.095080689101813,-877.1895821427,-0.045256388777175,-3001.9495262499
2.62e-05,-0.09516308261468,-855.70750728908,-0.045339529979522,-2770.9980917234
2.63e-05,-0.095241425673751,-834.33316953521,-0.04541909154943,-2582.1772668031
