time,avg_disp_y_impactor,avg_vel_impactor,max_disp_bego,max_vel_bego
0,0,0,0,0
1e-06,-0.001,-1920,0,0
2e-06,-0.002,-256,0,0
3e-06,-0.003,-1561.6,0,0
4e-06,-0.004,-593.92,0,0
5e-06,-0.005,-1285.12,0,0
6e-06,-0.006,-804.0448,0,0
7e-06,-0.007,-1132.50304,0,0
8e-06,-0.008,-911.540224,0,0
9e-06,-0.009,-1058.4506368,0,0
1e-05,-0.01,-961.7047552,0,0
1.01e-05,-0.010080513833842,-942.8656371131,-8.3459144233839e-05,-1602.4155692897
1.02e-05,-0.010156428580824,-938.73594673831,-0.00025143799302995,-1836.4337368343
1.03e-05,-0.010251333214696,-938.73591477361,-0.00040487466539482,-1240.4586525551
1.04e-05,-0.01035557164768,-938.73591107554,-0.00049191677619139,-610.28647638898
1.05e-05,-0.010450202793213,-937.9761053164,-0.00049639761225082,-1074.4362161503
1.06e-05,-0.010523673481054,-926.05700300672,-0.00052927088338332,-943.61613827806
1.07e-05,-0.010598770825779,-921.80168517465,-0.00062365515929887,-1014.9312941321
1.08e-05,-0.010695063240015,-919.62204059094,-0.00070295114428598,-1017.5260281949
1.09e-05,-0.010789515665269,-913.09725856144,-0.00079884683298544,-1300.608586812
1.1e-05,-0.010871407900092,-910.47083960067,-0.00091894451648782,-1154.0653244736
1.11e-05,-0.010957739459244,-909.33668105401,-0.00099753181481056,-883.37592271841
1.12e-05,-0.011046989788585,-901.45723073261,-0.0010618694357207,-1391.6170669209
1.13e-05,-0.011133435988748,-897.5662582977,-0.0011626033714842,-1186.0800651093
1.14e-05,-0.011219890356858,-894.47990205206,-0.0012385073246032,-951.7927626399
1.15e-05,-0.011304388016927,-888.39526483447,-0.0013249159245258,-938.07855165208
1.16e-05,-0.011389142470379,-883.82627069169,-0.0014114588438356,-912.12979548534
1.17e-05,-0.011475852541016,-878.7354687512,-0.0014990606072711,-926.23267863965
1.18e-05,-0.01156209534165,-874.38333892896,-0.0015866837879034,-935.70314327194
1.19e-05,-0.01164693404011,-869.72301169199,-0.0016738037389116,-915.03326469129
1.2e-05,-0.01173208350888,-865.08685085183,-0.0017610298652278,-887.47544232204
1.21e-05,-0.011818522676782,-860.33716419066,-0.0018484718281006,-906.81029980486
1.22e-05,-0.011904915509387,-855.7276628525,-0.0019351752227252,-932.41550016202
1.23e-05,-0.011990056678076,-850.98060658029,-0.0020205679833118,-932.99006799684
1.24e-05,-0.012074707362518,-846.03783491983,-0.0021053518853169,-921.16420189839
1.25e-05,-0.012160035563787,-840.95758462567,-0.0021904093230182,-906.90196169971
1.26e-05,-0.012245779209433,-835.92257773435,-0.0022756793691168,-901.40109200581
1.27e-05,-0.012331058444237,-830.92043415241,-0.0023607975032275,-928.18521794214
1.28e-05,-0.012415980150782,-825.88862675226,-0.0024461249024927,-926.60959149935
1.29e-05,-0.012501333194228,-820.82766447236,-0.0025322157262894,-921.34331476672
1.3e-05,-0.012587330959002,-815.78855180816,-0.0026187261288822,-896.14204099475
1.31e-05,-0.012673655570675,-810.73595837564,-0.0027048731664854,-901.47238542045
1.32e-05,-0.012760227031035,-805.61008250859,-0.0027906212703714,-916.85783825265
1.33e-05,-0.012846700507783,-800.46923102634,-0.0028760565054976,-917.36107946329
1.34e-05,-0.012931293129988,-795.46364345298,-0.0029595495209889,-902.30348577928
1.35e-05,-0.013011526421549,-790.61800268256,-0.0030383118140615,-900.42576961847
1.36e-05,-0.013087040062377,-785.73728934739,-0.0031120198784931,-913.54177998389
1.37e-05,-0.013161128583918,-780.60338393368,-0.0031849404698535,-900.29875148819
1.38e-05,-0.013238384474136,-775.25268300649,-0.0032626717075947,-917.14132928898
1.39e-05,-0.013320286999476,-769.99587712474,-0.0033463103310453,-924.18659044778
1.4e-05,-0.013403333762296,-765.12486160906,-0.003431794040561,-922.23935037528
1.41e-05,-0.013482058149503,-760.59533445795,-0.0035141107721206,-916.00773965449
1.42e-05,-0.013554309654062,-756.02444567373,-0.0035879330262154,-908.92030380598
1.43e-05,-0.013623565180605,-751.0435053359,-0.0036570690307793,-930.04329716906
1.44e-05,-0.013695666903006,-745.66992043005,-0.0037365779339032,-932.92226005105
1.45e-05,-0.013773056926569,-740.29558902111,-0.0038220553616815,-920.20419460474
1.46e-05,-0.013852484861899,-735.27499589808,-0.0039053697960281,-910.84089204349
1.47e-05,-0.013928623373546,-730.56150292487,-0.003979496992453,-907.33210552451
1.48e-05,-0.013999489961237,-725.80968046432,-0.0040461188683509,-910.94034260826
1.49e-05,-0.014067676652167,-720.80464641863,-0.0041131550619032,-902.36427868178
1.5e-05,-0.014136616854284,-715.67971823634,-0.0041845161835559,-880.34471214564
1.51e-05,-0.014206946033369,-710.6794669636,-0.0042593110683973,-882.69368151476
1.52e-05,-0.014277089473315,-705.827596942,-0.0043294243946614,-877.83728110532
1.53e-05,-0.01434625071036,-700.94492358832,-0.0043927244188021,-871.70437901022
1.54e-05,-0.014415282732556,-695.93885291556,-0.0044548867247019,-856.56739018246
1.55e-05,-0.014484708924136,-690.92102947422,-0.0045221868031709,-842.92457649132
1.56e-05,-0.014553399275791,-686.00686565481,-0.0045934899693073,-851.92591388291
1.57e-05,-0.014620030249637,-681.12963052476,-0.0046642435470549,-854.3009821479
1.58e-05,-0.014685028892456,-676.15109462266,-0.0047297829882673,-847.00162231097
1.59e-05,-0.014750015564676,-671.08508752838,-0.0047917780888896,-828.12585199478
1.6e-05,-0.014815581820558,-666.08909409242,-0.004857527580236,-815.01098975655
1.61e-05,-0.014880638955406,-661.24123832055,-0.0049231026407323,-829.33000089395
1.62e-05,-0.014944129626341,-656.43488224713,-0.0049911099393454,-835.00967169606
1.63e-05,-0.015006513361733,-651.53128737487,-0.005059076047527,-829.2755822825
1.64e-05,-0.015069042416168,-646.53233699159,-0.0051242864090057,-813.61868986864
1.65e-05,-0.015132151130553,-641.53476680159,-0.0051874048163454,-792.85324470618
1.66e-05,-0.015195276650933,-636.56720448649,-0.0052498356562443,-806.79771727614
1.67e-05,-0.015258005612316,-631.56443817199,-0.005312015643754,-811.89443290854
1.68e-05,-0.015320550340259,-626.49905144926,-0.0053730183090896,-804.95769058747
1.69e-05,-0.015382897886149,-621.45139229333,-0.0054315654103964,-788.10300168623
1.7e-05,-0.015444204675395,-616.5041074501,-0.005487491709111,-766.29519026569
1.71e-05,-0.015503687433014,-611.61391783164,-0.0055423135897456,-775.41781354778
1.72e-05,-0.01556196106594,-606.64601938834,-0.0055982222990537,-777.36284983242
1.73e-05,-0.015620911614542,-601.52979014391,-0.0056563554300582,-768.05174010238
1.74e-05,-0.015681967067961,-596.33994533358,-0.0057160730993308,-750.2447069746
1.75e-05,-0.015744611607313,-591.21434329625,-0.0057764212006501,-728.97606841009
1.76e-05,-0.015806733046472,-586.21360515202,-0.0058413978263494,-731.46359563417
1.77e-05,-0.015866451061632,-581.26786586364,-0.0059023391376194,-734.64238401492
1.78e-05,-0.015923724508966,-576.24308329078,-0.0059590952748454,-727.11688344334
1.79e-05,-0.015980393560429,-571.05458141293,-0.0060201495301465,-712.58653261236
1.8e-05,-0.016038673088769,-565.73912532354,-0.0060851171083306,-695.92937004077
1.81e-05,-0.01609930546323,-560.43366160358,-0.0061494033697663,-704.39107439462
1.82e-05,-0.016160874145837,-555.26844752517,-0.0062106966450659,-705.44608147368
1.83e-05,-0.016220919899469,-550.25498576262,-0.0062680350864482,-707.73001766542
1.84e-05,-0.016277953654715,-545.27513883754,-0.0063238068240067,-700.05779612038
1.85e-05,-0.016332558348585,-540.19342354087,-0.0063788437975225,-677.8188584635
1.86e-05,-0.016386605482375,-534.98263041748,-0.0064362490922501,-681.18380881073
1.87e-05,-0.016441493810696,-529.73190238824,-0.0064955216445992,-686.82220707382
1.88e-05,-0.016497200648516,-524.53978687619,-0.0065529421580998,-692.64282869687
1.89e-05,-0.016552832122461,-519.42395840694,-0.0066066675357741,-676.56807606092
1.9e-05,-0.016607668576538,-514.34206203228,-0.0066582259641742,-657.84786905563
1.91e-05,-0.016661459628587,-509.2704947818,-0.0067107980986199,-660.32030041609
1.92e-05,-0.016713990985476,-504.22807989023,-0.0067655965280965,-668.12037380307
1.93e-05,-0.016764879698684,-499.22734168243,-0.0068203903707739,-664.92962502832
1.94e-05,-0.01681398892827,-494.24089176963,-0.0068717583974647,-641.03996675452
1.95e-05,-0.016861777638001,-489.23904732804,-0.0069184933883496,-629.31498757304
1.96e-05,-0.016908914525241,-484.24308389794,-0.0069625458579173,-630.16027875541
1.97e-05,-0.016955542093933,-479.31108707372,-0.0070068489748098,-637.94373330466
1.98e-05,-0.017001148106449,-474.46718354061,-0.00705261647962,-627.56877376717
1.99e-05,-0.017045265798329,-469.66573025524,-0.007098764519254,-609.22475143033
2e-05,-0.01708816213844,-464.83865627023,-0.0071435058172446,-591.85078477187
2.01e-05,-0.017130677754414,-459.96788854361,-0.0071861071455807,-601.83614484804
2.02e-05,-0.017173414573615,-455.0963368792,-0.0072271905771074,-610.27905810796
2.03e-05,-0.017216208015772,-450.27038354618,-0.0072677496919689,-604.79523899664
2.04e-05,-0.017258424175213,-445.48602787614,-0.0073081417389907,-586.14785916847
2.05e-05,-0.017299684944402,-440.69525007367,-0.0073479559928549,-567.16570761412
2.06e-05,-0.017340266948153,-435.85284711553,-0.0073866763053211,-580.35355493209
2.07e-05,-0.017380896215611,-430.94735273419,-0.0074244509059021,-585.55522371353
2.08e-05,-0.017422252494889,-425.99516891719,-0.0074623030715036,-576.71278836891
2.09e-05,-0.017464581071117,-421.02303226832,-0.0075015402376529,-565.13606028771
2.1e-05,-0.017507543142463,-416.06125439511,-0.0075435249592978,-555.11721060388
2.11e-05,-0.017550300974259,-411.13789879016,-0.0075854711515485,-551.69671341946
2.12e-05,-0.017591885329329,-406.25912744958,-0.0076267800830526,-563.1955227298
2.13e-05,-0.017631792022944,-401.3914645501,-0.007666699257041,-559.72402709712
2.14e-05,-0.017670433576269,-396.47754332306,-0.0077051247383627,-550.28670176941
2.15e-05,-0.017708963752211,-391.48494834587,-0.0077436607488228,-537.92614998489
2.16e-05,-0.01774843987062,-386.44329060346,-0.0077836864059497,-535.96491607528
2.17e-05,-0.017788950590887,-381.42709353765,-0.0078250613270538,-543.43416971078
2.18e-05,-0.017829483014807,-376.4955870696,-0.0078663035483536,-545.5975232871
2.19e-05,-0.017868683753239,-371.64547772232,-0.0079059997317687,-537.38073338303
2.2e-05,-0.017905872688287,-366.81873220092,-0.0079439690308259,-521.13993345709
2.21e-05,-0.01794148428806,-361.95259522133,-0.0079810768460803,-520.12650543484
2.22e-05,-0.017976669598028,-357.02391989712,-0.0080181158082731,-533.25373321657
2.23e-05,-0.018012487349055,-352.05509278562,-0.0080551032758586,-534.06250449545
2.24e-05,-0.018049316174508,-347.08823575053,-0.0080916968980935,-522.55100547711
2.25e-05,-0.018086790128534,-342.15551759327,-0.00812804872072,-507.97347281885
2.26e-05,-0.018124128405247,-337.26500921915,-0.0081649267437566,-508.02311768258
2.27e-05,-0.01816056005269,-332.40345218713,-0.0082028483241217,-517.57488640272
2.28e-05,-0.018195632044181,-327.5483983097,-0.0082411896521012,-514.4713637666
2.29e-05,-0.018229327128746,-322.68269936949,-0.0082783628164454,-507.69620327626
2.3e-05,-0.018261984819224,-317.80605063468,-0.0083130491308676,-496.36112554153
2.31e-05,-0.018294055086639,-312.93833769767,-0.0083453446854452,-487.9726768207
2.32e-05,-0.018325790251469,-308.11096043081,-0.0083767045875011,-501.34018357532
2.33e-05,-0.01835706489891,-303.34790247757,-0.008408715360454,-498.92422660627
2.34e-05,-0.018387486684764,-298.6468545811,-0.008441810809835,-495.32540506197
2.35e-05,-0.018416759746283,-293.97571860034,-0.0084750275393038,-481.30578049
2.36e-05,-0.018445014492404,-289.29255332989,-0.0085068742110446,-474.51482236779
2.37e-05,-0.018472781205063,-284.57726153836,-0.0085364245272812,-497.33040239183
2.38e-05,-0.018500578387057,-279.84762165181,-0.008563727520948,-490.83439993518
2.39e-05,-0.018528477746372,-275.14143109693,-0.0085894197961904,-500.96499987202
2.4e-05,-0.018556081465411,-270.47840014521,-0.008614124307468,-528.34267175797
2.41e-05,-0.018582964362631,-265.83857941355,-0.008638190679626,-540.90085700159
