time,max_d,max_disp_y,min_disp_y
0,0,0,0
1e-07,0,0.00011336072214487,-0.0005
2e-07,0,4.1627090815457e-05,-0.001
3e-07,0,7.9327943411075e-05,-0.0015
4e-07,0,9.479110729595e-05,-0.002
5e-07,0,6.884824033006e-05,-0.0025
6e-07,0,6.269286118321e-05,-0.003
7e-07,0,9.1690828997313e-05,-0.0035
8e-07,0,0.0001260474410123,-0.004
9e-07,0.0012100806696595,0.00013631994422776,-0.0045
1e-06,0.0055428420252556,0.00011170890151158,-0.005
1.1e-06,0.010540289138576,7.9924721167879e-05,-0.0055
1.2e-06,0.016520029500222,0.00014091656701927,-0.006
1.3e-06,0.021917004638294,0.00017559920567612,-0.0065
1.4e-06,0.029882476722429,0.00017801018038023,-0.007
1.5e-06,0.041698803974593,0.00014924862456672,-0.0075
1.6e-06,0.050825049460676,0.00015283806086339,-0.008
1.7e-06,0.059513599492114,0.00019869126523983,-0.0085
1.8e-06,0.072676905925855,0.00022998679615354,-0.009
1.9e-06,0.079223033983849,0.00024826498043035,-0.0095
2e-06,0.083754277451253,0.00025718292534887,-0.01
2.1e-06,0.085526301175667,0.0002568217126853,-0.0105
2.2e-06,0.088987554099424,0.00024372284927891,-0.011
2.3e-06,0.093927513758015,0.00023018471873921,-0.0115
2.4e-06,0.10130824107941,0.00024661337997489,-0.012
2.5e-06,0.10751966510651,0.00024717065087543,-0.0125
2.6e-06,0.11399886917247,0.0002870972270848,-0.013
2.7e-06,0.12093148481076,0.00031572556213012,-0.0135
2.8e-06,0.12928289331144,0.0003279047481964,-0.014
2.9e-06,0.13623791635212,0.00032119105583864,-0.0145
3e-06,0.14276065363368,0.00030893482776242,-0.015
3.1e-06,0.14952781969649,0.00030220428321915,-0.0155
3.2e-06,0.15510498375052,0.00028308427420679,-0.016
3.3e-06,0.16251615620852,0.00029158536766875,-0.0165
3.4e-06,0.16905040515545,0.00031093050722284,-0.017
3.5e-06,0.17450406419938,0.00032178452490877,-0.0175
3.6e-06,0.18032338503113,0.00034313277851575,-0.018
3.7e-06,0.18478890974343,0.00035160051399956,-0.0185
3.8e-06,0.19183499695125,0.00034821268880876,-0.019
3.9e-06,0.19878435165593,0.00034194085307051,-0.0195
4e-06,0.20351810246479,0.00033058346462626,-0.02
4.1e-06,0.20689614057984,0.00030656466731276,-0.0205
4.2e-06,0.21241608725085,0.00030472986479403,-0.021
4.3e-06,0.21807092732031,0.00034275759494008,-0.0215
4.4e-06,0.22514714254034,0.00036987072142531,-0.022
4.5e-06,0.23216851685482,0.00036183407556514,-0.0225
4.6e-06,0.23740767618683,0.00036450584281738,-0.023
4.7e-06,0.24149807129062,0.00036927872561104,-0.0235
4.8e-06,0.2457768898102,0.00037267900979692,-0.024
4.9e-06,0.25065511809122,0.00039296270843569,-0.0245
5e-06,0.25601732170004,0.00038010959853827,-0.025
5.1e-06,0.26152748810991,0.00038044050645444,-0.0255
5.2e-06,0.26654537704136,0.0003886118326324,-0.026
5.3e-06,0.27097323105087,0.00040261622389684,-0.0265
5.4e-06,0.27488386528721,0.00042299996675827,-0.027
5.5e-06,0.27887473499129,0.00044890961318115,-0.0275
5.6e-06,0.28321011160628,0.00047823184190671,-0.028
5.7e-06,0.28734571151656,0.00050812497788131,-0.0285
5.8e-06,0.29100356124454,0.00053570767879295,-0.029
5.9e-06,0.29454920235318,0.00055861488608231,-0.0295
6e-06,0.29857755912141,0.00057521982282334,-0.03
6.1e-06,0.30334200492719,0.00058449851401727,-0.0305
6.2e-06,0.3081825979126,0.00058568588296533,-0.031
6.3e-06,0.31249949541849,0.00057796211585554,-0.0315
6.4e-06,0.31623273733607,0.0005880646117787,-0.032
6.5e-06,0.3200623472038,0.00062810520631399,-0.0325
6.6e-06,0.32401987753032,0.00066742015326309,-0.033
6.7e-06,0.32826445388025,0.00070344987504539,-0.0335
6.8e-06,0.33270334554517,0.00073354499257887,-0.034
6.9e-06,0.33650824989868,0.00075547630980637,-0.0345
7e-06,0.34057861381949,0.00076792926053777,-0.035
7.1e-06,0.34466550748474,0.00077077095460725,-0.0355
7.2e-06,0.34833885658509,0.00076494129664202,-0.036
7.3e-06,0.35155112429394,0.00075196022515793,-0.0365
7.4e-06,0.35470823832928,0.00075969486179291,-0.037
7.5e-06,0.35830464338298,0.00080199691908058,-0.0375
7.6e-06,0.36239619073487,0.00084008444480747,-0.038
7.7e-06,0.36664528803387,0.0008733992330236,-0.0385
7.8e-06,0.37069512140964,0.00090128498806768,-0.039
7.9e-06,0.37446783558903,0.00092277642145044,-0.0395
8e-06,0.37827386109461,0.00093664553868839,-0.04
8.1e-06,0.38245720068943,0.00094172046604452,-0.0405
8.2e-06,0.3870897255534,0.00093734842188353,-0.041
8.3e-06,0.39171864747249,0.00092377923153447,-0.0415
8.4e-06,0.39582572506091,0.00092751466403339,-0.042
8.5e-06,0.39912126444685,0.00097002249395293,-0.0425
8.6e-06,0.40181833066402,0.0010048198301698,-0.043
8.7e-06,0.40531115404876,0.0010317868519905,-0.0435
8.8e-06,0.40906727119734,0.001051679852381,-0.044
8.9e-06,0.41205831036849,0.0010657265156226,-0.0445
9e-06,0.4148941489872,0.0010750656481453,-0.045
9.1e-06,0.41886271051285,0.0010802359436325,-0.0455
9.2e-06,0.42262367948153,0.0010809184812709,-0.046
9.3e-06,0.42600494753357,0.0010760570821267,-0.0465
9.4e-06,0.42948761598608,0.0010643214855576,-0.047
9.5e-06,0.43301639769574,0.0011065046596805,-0.0475
9.6e-06,0.43603142473123,0.001144497834376,-0.048
9.7e-06,0.439099183043,0.0011760456307617,-0.0485
9.8e-06,0.44246107711052,0.0012000272070439,-0.049
9.9e-06,0.44556198638692,0.001216051915083,-0.0495
1e-05,0.44844452250496,0.0012246686733303,-0.05
1.01e-05,0.45186871268539,0.0012272276904242,-0.0505
1.02e-05,0.45608608237145,0.0012254116696069,-0.051
1.03e-05,0.45953212085922,0.0012205966076315,-0.0515
1.04e-05,0.46207853269453,0.0012132888531301,-0.052
1.05e-05,0.46391602274103,0.0012337029485889,-0.0525
1.06e-05,0.46618497372312,0.0012628680110584,-0.053
1.07e-05,0.46910333322728,0.0012859100792745,-0.0535
1.08e-05,0.47174313891167,0.0013035524760816,-0.054
1.09e-05,0.47417190843974,0.0013169900211066,-0.0545
1.1e-05,0.47645592479654,0.0013275688623627,-0.055
1.11e-05,0.47941763473337,0.0013363701458438,-0.0555
1.12e-05,0.48306504531239,0.0013438383960945,-0.056
1.13e-05,0.4866521595181,0.0013495921103356,-0.0565
1.14e-05,0.48990927141542,0.0013524936301906,-0.057
1.15e-05,0.49263082934174,0.0013509594726086,-0.0575
1.16e-05,0.49467259922964,0.001369576051829,-0.058
1.17e-05,0.497037907023,0.0013864187113187,-0.0585
1.18e-05,0.49962185162792,0.0013978709394116,-0.059
1.19e-05,0.5022327018122,0.0014082284966933,-0.0595
1.2e-05,0.50486731223432,0.0014132158011508,-0.06
1.21e-05,0.50734898915713,0.001412907835776,-0.0605
1.22e-05,0.50971359871827,0.0014076539772191,-0.061
1.23e-05,0.51200470864972,0.0013979057832392,-0.0615
1.24e-05,0.51360002496008,0.0013840057409515,-0.062
1.25e-05,0.51604654456851,0.0013660443986912,-0.0625
1.26e-05,0.51803900878434,0.0013870298437778,-0.063
1.27e-05,0.5202529519756,0.001420952717547,-0.0635
1.28e-05,0.52247592924305,0.0014688077859906,-0.064
1.29e-05,0.52540798691746,0.0016068186052017,-0.0645
1.3e-05,0.52791930139064,0.0017506740449277,-0.065
1.31e-05,0.52970747742558,0.0018967663555252,-0.0655
1.32e-05,0.53254816979354,0.0020436460931178,-0.066
1.33e-05,0.53582066834376,0.0021899174106914,-0.0665
1.34e-05,0.53875111645385,0.0023344409838155,-0.067
1.35e-05,0.54098845001859,0.0024765319952655,-0.0675
1.36e-05,0.5423523124649,0.002616074100327,-0.068
1.37e-05,0.54387706475973,0.0027534911027781,-0.0685
1.38e-05,0.54574348963806,0.0028895656806856,-0.069
1.39e-05,0.54722303007754,0.0030251520070046,-0.0695
1.4e-05,0.54961249331268,0.0031765977911103,-0.07
1.41e-05,0.55193605561851,0.0033740773814935,-0.0705
1.42e-05,0.55391383336886,0.0035699115467599,-0.071
1.43e-05,0.55555774951565,0.0037626811700271,-0.0715
1.44e-05,0.55688968625402,0.0039522234842418,-0.072
1.45e-05,0.55926874012656,0.0041469562399986,-0.0725
1.46e-05,0.56135099638832,0.0043426024581002,-0.073
1.47e-05,0.56297208521458,0.0045383785384964,-0.0735
1.48e-05,0.56510566714728,0.0047323248310108,-0.074
1.49e-05,0.56675762741384,0.0049215845841625,-0.0745
1.5e-05,0.57436693425921,0.0051030007576654,-0.075
1.51e-05,0.56987670764318,0.0052738598229185,-0.0755
1.52e-05,0.58821423719645,0.0054325500104026,-0.076
1.53e-05,0.5943563244055,0.0055789208626273,-0.0765
1.54e-05,0.57476548902599,0.0057142263999516,-0.077
1.55e-05,0.58416451775651,0.0058406718186182,-0.0775
1.56e-05,0.59330113284166,0.0059607136808722,-0.078
1.57e-05,0.602837732134,0.0060763399426258,-0.0785
1.58e-05,0.61223631224272,0.0061885536678356,-0.079
1.59e-05,0.61183054498448,0.0062972070201818,-0.0795
1.6e-05,0.61871036115431,0.0064012106229313,-0.08
1.61e-05,0.62471861574805,0.0064990217602357,-0.0805
1.62e-05,0.63113990112842,0.0065892339608582,-0.081
1.63e-05,0.63900388034936,0.0066710734999928,-0.0815
1.64e-05,0.64869131435382,0.0067446545593131,-0.082
1.65e-05,0.66006253760644,0.006810932578352,-0.0825
1.66e-05,0.67213204691998,0.00687139235437,-0.083
1.67e-05,0.68442615028355,0.0069275830258265,-0.0835
1.68e-05,0.69638423665601,0.0069806468277089,-0.084
1.69e-05,0.70811214842321,0.0070309782231761,-0.0845
1.7e-05,0.71941678092272,0.0070781036609204,-0.085
1.71e-05,0.73026115240215,0.0071208063967065,-0.0855
1.72e-05,0.73714025311072,0.0071574538202221,-0.086
1.73e-05,0.74748611443876,0.0071864322032974,-0.0865
