time,max_disp_y,min_disp_y
0,0,0
1e-07,0.00017337232026071,-0.001
2e-07,6.8298898060555e-05,-0.002
3e-07,0.00035905767486822,-0.003
4e-07,0.00065678332282011,-0.004
5e-07,0.00095664014459009,-0.005
6e-07,0.0011627057552107,-0.006
7e-07,0.0012502556208932,-0.007
8e-07,0.0012150716818599,-0.008
9e-07,0.0010700216131332,-0.009
1e-06,0.00083705843850674,-0.01
1.1e-06,0.00053817862800363,-0.011
1.2e-06,0.00074616390204936,-0.012
1.3e-06,0.00094141424805384,-0.013
1.4e-06,0.00099178688382027,-0.014
1.5e-06,0.0010022744145161,-0.015
1.6e-06,0.0010016500030982,-0.016
1.7e-06,0.00092615119305533,-0.017
1.8e-06,0.0011091396606285,-0.018
1.9e-06,0.0011252822215605,-0.019
2e-06,0.00092736260165292,-0.02
2.1e-06,0.00086229219334905,-0.021
2.2e-06,0.0010968612534774,-0.022
2.3e-06,0.0012775341625055,-0.023
2.4e-06,0.0012867917128943,-0.024
2.5e-06,0.0010730172494703,-0.025
2.6e-06,0.00095214060438014,-0.026
2.7e-06,0.0012544412612372,-0.027
2.8e-06,0.0014341389942577,-0.028
2.9e-06,0.0014360756534482,-0.029
3e-06,0.0012033488390006,-0.03
3.1e-06,0.0010919262973026,-0.031
3.2e-06,0.0013972021814372,-0.032
3.3e-06,0.0015826709084111,-0.033
3.4e-06,0.0015673292403932,-0.034
3.5e-06,0.0013121006700164,-0.035
3.6e-06,0.0012222109354083,-0.036
3.7e-06,0.0015396691579612,-0.037
3.8e-06,0.0017133647328511,-0.038
3.9e-06,0.0016753630119628,-0.039
4e-06,0.0013957102522635,-0.04
4.1e-06,0.0013433041858192,-0.041
4.2e-06,0.0016671735692327,-0.042
4.3e-06,0.0018219442794422,-0.043
4.4e-06,0.0017578252510199,-0.044
4.5e-06,0.0014846546006162,-0.045
4.6e-06,0.0014640845580424,-0.046
4.7e-06,0.0017759976242367,-0.047
4.8e-06,0.0019070103287548,-0.048
4.9e-06,0.0018307500057762,-0.049
5e-06,0.0015685659139724,-0.05
5.1e-06,0.0015710677174011,-0.051
5.2e-06,0.0018652955118108,-0.052
5.3e-06,0.0019734230386148,-0.053
5.4e-06,0.0019120246220538,-0.054
5.5e-06,0.0016317040431491,-0.055
5.6e-06,0.0016635640390559,-0.056
5.7e-06,0.0019372329518684,-0.057
5.8e-06,0.002059358395786,-0.058
5.9e-06,0.0019737497264536,-0.059
6e-06,0.0016706016429393,-0.06
6.1e-06,0.0017430633053077,-0.061
6.2e-06,0.0018974758408611,-0.062
6.3e-06,0.0018123388249062,-0.063
6.4e-06,0.001779091927105,-0.064
6.5e-06,0.0018375637922936,-0.065
6.6e-06,0.0020164898974846,-0.066
6.7e-06,0.0020193938992167,-0.067
