time,max_disp_y,min_disp_y
1.35e-05,5.7601732024441e-05,-0.00135
1.36e-05,6.0720013254089e-05,-0.00136
1.37e-05,6.3834188528777e-05,-0.00137
1.38e-05,6.759455338807e-05,-0.00138
1.39e-05,7.2004371621372e-05,-0.00139
1.4e-05,7.6601952770374e-05,-0.0014
1.41e-05,8.1138119042146e-05,-0.00141
1.42e-05,8.5602897344944e-05,-0.00142
1.43e-05,8.9991661280669e-05,-0.00143
1.44e-05,9.4302995128505e-05,-0.00144
1.45e-05,9.8535765727799e-05,-0.00145
1.46e-05,0.00010268652143908,-0.00146
1.47e-05,0.00010674820343315,-0.00147
1.48e-05,0.00011071060790375,-0.00148
1.49e-05,0.00011456230971974,-0.00149
1.5e-05,0.00011829316220257,-0.0015
1.51e-05,0.00012189628211467,-0.00151
1.52e-05,0.00012536869958751,-0.00152
1.53e-05,0.00012871047281438,-0.00153
1.54e-05,0.00013192275276556,-0.00154
1.55e-05,0.00013500572139473,-0.00155
1.56e-05,0.00013795732129737,-0.00156
1.57e-05,0.00014077325816261,-0.00157
1.58e-05,0.00014344810768791,-0.00158
1.59e-05,0.00014597681779365,-0.00159
1.6e-05,0.0001483557363731,-0.0016
1.61e-05,0.00015058260049402,-0.00161
1.62e-05,0.00015265554632732,-0.00162
1.63e-05,0.0001545718209641,-0.00163
1.64e-05,0.00015632715998949,-0.00164
1.65e-05,0.00015791655226524,-0.00165
1.66e-05,0.00015933641777146,-0.00166
1.67e-05,0.00016058739087341,-0.00167
1.68e-05,0.00016167635199125,-0.00168
1.69e-05,0.00016261641285179,-0.00169
1.7e-05,0.00016342429466189,-0.0017
1.71e-05,0.00016411567998136,-0.00171
1.72e-05,0.00016470017228638,-0.00172
1.73e-05,0.00016517794981399,-0.00173
1.74e-05,0.00016553976462201,-0.00174
1.75e-05,0.00016577070824592,-0.00175
1.76e-05,0.00016585661040319,-0.00176
1.77e-05,0.00016579071737451,-0.00177
1.78e-05,0.0001655779793151,-0.00178
1.79e-05,0.0001652350710278,-0.00179
1.8e-05,0.00016478591156253,-0.0018
1.81e-05,0.0001642542778714,-0.00181
1.82e-05,0.0001636563495132,-0.00182
1.83e-05,0.00016299611564826,-0.00183
1.84e-05,0.00016226543915842,-0.00184
1.85e-05,0.0001614486568506,-0.00185
1.86e-05,0.0001605297066562,-0.00186
1.87e-05,0.00015949873126994,-0.00187
1.88e-05,0.00015835538011691,-0.00188
1.89e-05,0.00015710751553873,-0.00189
1.9e-05,0.00015576608262065,-0.0019
1.91e-05,0.00015433861690951,-0.00191
1.92e-05,0.00015282446738116,-0.00192
1.93e-05,0.00015121401732674,-0.00193
1.94e-05,0.00014949233515366,-0.00194
1.95e-05,0.00014764560986352,-0.00195
1.96e-05,0.00014566737314725,-0.00196
1.97e-05,0.00014356152255334,-0.00197
1.98e-05,0.00014134056704102,-0.00198
1.99e-05,0.00013901970438571,-0.00199
2e-05,0.0001366093179109,-0.002
2.01e-05,0.00013410932341478,-0.00201
2.02e-05,0.00013150807666219,-0.00202
2.03e-05,0.00012878654699079,-0.00203
2.04e-05,0.00012592605591568,-0.00204
2.05e-05,0.00012291616946651,-0.00205
2.06e-05,0.00011975913441362,-0.00206
2.07e-05,0.00011646870799393,-0.00207
2.08e-05,0.00011306373566314,-0.00208
2.09e-05,0.00010955926596701,-0.00209
2.1e-05,0.0001059592326515,-0.0021
2.11e-05,0.00010225416705776,-0.00211
2.12e-05,9.8425222571803e-05,-0.00212
2.13e-05,9.4452938686166e-05,-0.00213
2.14e-05,9.0326927901099e-05,-0.00214
2.15e-05,8.6052082887672e-05,-0.00215
2.16e-05,8.1648301077301e-05,-0.00216
2.17e-05,7.7143541317096e-05,-0.00217
2.18e-05,7.2563029903784e-05,-0.00218
2.19e-05,6.791926470872e-05,-0.00219
2.2e-05,6.3207259733665e-05,-0.0022
2.21e-05,5.840726076344e-05,-0.00221
2.22e-05,5.3493888736056e-05,-0.00222
2.23e-05,4.8447781692212e-05,-0.00223
2.24e-05,4.3264621960631e-05,-0.00224
2.25e-05,3.795752813042e-05,-0.00225
2.26e-05,3.2551718355486e-05,-0.00226
2.27e-05,2.7073826301444e-05,-0.00227
2.28e-05,2.1540707542258e-05,-0.00228
2.29e-05,1.59528722274e-05,-0.00229
2.3e-05,1.0295634824362e-05,-0.0023
2.31e-05,4.5475631257784e-06,-0.00231
2.32e-05,-1.3075935437028e-06,-0.00232
2.33e-05,-7.2710500336563e-06,-0.00233
2.34e-05,-1.3325978946882e-05,-0.00234
2.35e-05,-1.9443115490724e-05,-0.00235
2.36e-05,-2.559280304027e-05,-0.00236
2.37e-05,-3.1758220504437e-05,-0.00237
2.38e-05,-3.7943728982226e-05,-0.00238
2.39e-05,-4.4174203033387e-05,-0.00239
2.4e-05,-5.0485094646195e-05,-0.0024
2.41e-05,-5.6907132157716e-05,-0.00241
2.42e-05,-6.345212524727e-05,-0.00242
2.43e-05,-7.0106131001808e-05,-0.00243
2.44e-05,-7.6833247236252e-05,-0.00244
2.45e-05,-8.3588785804634e-05,-0.00245
2.46e-05,-9.0336495020945e-05,-0.00246
2.47e-05,-9.7062651228716e-05,-0.00247
2.48e-05,-0.0001037810745853,-0.00248
2.49e-05,-0.00011052694463064,-0.00249
2.5e-05,-0.00011734205224932,-0.0025
2.51e-05,-0.00012425775053201,-0.00251
2.52e-05,-0.00013128276792489,-0.00252
2.53e-05,-0.00013840082915641,-0.00253
2.54e-05,-0.00014557867894768,-0.00254
2.55e-05,-0.00015278055576376,-0.00255
2.56e-05,-0.00015998244311861,-0.00256
2.57e-05,-0.00016717974276635,-0.00257
2.58e-05,-0.00017438521162857,-0.00258
2.59e-05,-0.00018161862322695,-0.00259
2.6e-05,-0.00018889354065675,-0.0026
2.61e-05,-0.00019620800385069,-0.00261
2.62e-05,-0.00020354414586731,-0.00262
2.63e-05,-0.00021087752430481,-0.00263
2.64e-05,-0.00021819218278505,-0.00264
2.65e-05,-0.00022549433813217,-0.00265
2.66e-05,-0.00023281762529387,-0.00266
2.67e-05,-0.0002402161434514,-0.00267
2.68e-05,-0.00024774678111143,-0.00268
2.69e-05,-0.0002554472006484,-0.00269
2.7e-05,-0.00026331825662493,-0.0027
2.71e-05,-0.00027131836960752,-0.00271
2.72e-05,-0.00027937289821025,-0.00272
2.73e-05,-0.00028714637337589,-0.00273
2.74e-05,-0.0002947845975033,-0.00274
2.75e-05,-0.00030253326142508,-0.00275
2.76e-05,-0.00031038108990947,-0.00276
2.77e-05,-0.0003182919125149,-0.00277
2.78e-05,-0.00032584146873431,-0.00278
2.79e-05,-0.00033342043338365,-0.00279
2.8e-05,-0.00034108146530868,-0.0028
2.81e-05,-0.00034883893993805,-0.00281
2.82e-05,-0.00035668430797694,-0.00282
2.83e-05,-0.00036459870599818,-0.00283
2.84e-05,-0.00037256695942836,-0.00284
2.85e-05,-0.00038058649556061,-0.00285
2.86e-05,-0.00038866771622128,-0.00286
2.87e-05,-0.00039682673922641,-0.00287
2.88e-05,-0.00040507504263088,-0.00288
2.89e-05,-0.00041341179001872,-0.00289
2.9e-05,-0.00042182298576612,-0.0029
2.91e-05,-0.00043028796520999,-0.00291
2.92e-05,-0.00043878985573096,-0.00292
2.93e-05,-0.00044732442986703,-0.00293
2.94e-05,-0.00045590230369099,-0.00294
2.95e-05,-0.00046454251044123,-0.00295
2.96e-05,-0.00047325969049224,-0.00296
2.97e-05,-0.00048205050958642,-0.00297
2.98e-05,-0.00049076778340936,-0.00298
2.99e-05,-0.00049893297224734,-0.00299
3e-05,-0.00050699243631449,-0.003
3.01e-05,-0.00051503318232311,-0.00301
3.02e-05,-0.000523038500691,-0.00302
3.03e-05,-0.00053101202167318,-0.00303
3.04e-05,-0.00053898076312281,-0.00304
3.05e-05,-0.00054698876599685,-0.00305
3.06e-05,-0.00055508418150322,-0.00306
3.07e-05,-0.00056330540389525,-0.00307
3.08e-05,-0.00057167210672568,-0.00308
3.09e-05,-0.00058018478397066,-0.00309
3.1e-05,-0.00058863764648653,-0.0031
3.11e-05,-0.0005964062866892,-0.00311
3.12e-05,-0.00060426127192472,-0.00312
3.13e-05,-0.00061222758003263,-0.00313
3.14e-05,-0.00061977059443618,-0.00314
3.15e-05,-0.00062718463714823,-0.00315
3.16e-05,-0.00063473961528072,-0.00316
3.17e-05,-0.00064249767753995,-0.00317
3.18e-05,-0.00065049519039892,-0.00318
3.19e-05,-0.00065874866279476,-0.00319
3.2e-05,-0.00066726838584127,-0.0032
3.21e-05,-0.00067607340283733,-0.00321
3.22e-05,-0.00068520124150814,-0.00322
3.23e-05,-0.00069470834021784,-0.00323
3.24e-05,-0.00070466110946059,-0.00324
3.25e-05,-0.00071512136162022,-0.00325
3.26e-05,-0.00072613188391146,-0.00326
3.27e-05,-0.00073770751116497,-0.00327
3.28e-05,-0.00074983453097529,-0.00328
3.29e-05,-0.0007624778222086,-0.00329
3.3e-05,-0.00077559226904316,-0.0033
3.31e-05,-0.00078913382444845,-0.00331
3.32e-05,-0.00080306643060283,-0.00332
3.33e-05,-0.00081736327657667,-0.00333
3.34e-05,-0.00083200346233697,-0.00334
3.35e-05,-0.00084696689088076,-0.00335
3.36e-05,-0.00086223045126619,-0.00336
3.37e-05,-0.00087776734319782,-0.00337
3.38e-05,-0.00089354943754013,-0.00338
3.39e-05,-0.00090955085879829,-0.00339
3.4e-05,-0.0009257503219164,-0.0034
3.41e-05,-0.00094213042234588,-0.00341
3.42e-05,-0.00095867369865673,-0.00342
3.43e-05,-0.00097535706068314,-0.00343
3.44e-05,-0.00099214725253555,-0.00344
3.45e-05,-0.0010089998849936,-0.00345
3.46e-05,-0.0010258632684534,-0.00346
3.47e-05,-0.0010426863679531,-0.00347
3.48e-05,-0.0010594285040892,-0.00348
3.49e-05,-0.0010760676489999,-0.00349
3.5e-05,-0.00109260461942,-0.0035
3.51e-05,-0.0011090619359459,-0.00351
3.52e-05,-0.0011254779825354,-0.00352
3.53e-05,-0.001141898618962,-0.00353
3.54e-05,-0.0011583690107871,-0.00354
3.55e-05,-0.0011749279820745,-0.00355
3.56e-05,-0.0011916059325925,-0.00356
3.57e-05,-0.0012084258503464,-0.00357
3.58e-05,-0.0012254057939478,-0.00358
3.59e-05,-0.0012425608269801,-0.00359
3.6e-05,-0.0012599028377174,-0.0036
3.61e-05,-0.0012774377277915,-0.00361
3.62e-05,-0.0012951606621566,-0.00362
3.63e-05,-0.0013130509875151,-0.00363
3.64e-05,-0.001330599621508,-0.00364
3.65e-05,-0.0013474723778731,-0.00365
3.66e-05,-0.0013642986248802,-0.00366
3.67e-05,-0.0013810631662222,-0.00367
3.68e-05,-0.0013977595845345,-0.00368
3.69e-05,-0.0014143908962005,-0.00369
3.7e-05,-0.0014309682439833,-0.0037
3.71e-05,-0.0014475079065718,-0.00371
3.72e-05,-0.0014640272553304,-0.00372
3.73e-05,-0.0014805405443854,-0.00373
3.74e-05,-0.0014970555551507,-0.00374
3.75e-05,-0.0015135720735796,-0.00375
3.76e-05,-0.0015300828837046,-0.00376
3.77e-05,-0.0015465773796998,-0.00377
3.78e-05,-0.0015630471032803,-0.00378
3.79e-05,-0.00157933219893,-0.00379
3.8e-05,-0.0015948796827229,-0.0038
3.81e-05,-0.0016102561135958,-0.00381
3.82e-05,-0.001625336354477,-0.00382
3.83e-05,-0.0016404919809001,-0.00383
3.84e-05,-0.0016557544915304,-0.00384
3.85e-05,-0.0016711502442536,-0.00385
3.86e-05,-0.0016867019687857,-0.00386
3.87e-05,-0.0017024321184024,-0.00387
3.88e-05,-0.0017183668388369,-0.00388
3.89e-05,-0.0017345385355894,-0.00389
3.9e-05,-0.0017509850176208,-0.0039
3.91e-05,-0.0017677441670534,-0.00391
3.92e-05,-0.0017848447876376,-0.00392
3.93e-05,-0.0018022960958063,-0.00393
3.94e-05,-0.0018200794587965,-0.00394
3.95e-05,-0.0018381458475012,-0.00395
3.96e-05,-0.0018564209130115,-0.00396
3.97e-05,-0.0018748170556643,-0.00397
3.98e-05,-0.001893229128595,-0.00398
3.99e-05,-0.0019085197165409,-0.00399
4e-05,-0.0019221685220655,-0.004
4.01e-05,-0.0019358730291645,-0.00401
4.02e-05,-0.0019496243194933,-0.00402
4.03e-05,-0.0019634121920681,-0.00403
4.04e-05,-0.0019772272723591,-0.00404
4.05e-05,-0.0019910619335313,-0.00405
4.06e-05,-0.0020049107460316,-0.00406
4.07e-05,-0.002018771462436,-0.00407
4.08e-05,-0.0020326471493714,-0.00408
4.09e-05,-0.0020465492164983,-0.00409
4.1e-05,-0.0020605002133117,-0.0041
4.11e-05,-0.0020745348325871,-0.00411
4.12e-05,-0.0020886978396042,-0.00412
4.13e-05,-0.0021030385832082,-0.00413
4.14e-05,-0.0021176029849137,-0.00414
4.15e-05,-0.0021324249463946,-0.00415
4.16e-05,-0.0021475195306921,-0.00416
4.17e-05,-0.002162879871341,-0.00417
4.18e-05,-0.0021784786795027,-0.00418
4.19e-05,-0.0021942738465025,-0.00419
4.2e-05,-0.0022102164717642,-0.0042
4.21e-05,-0.0022262590832581,-0.00421
4.22e-05,-0.002242362017128,-0.00422
4.23e-05,-0.0022584967576478,-0.00423
4.24e-05,-0.002274646163871,-0.00424
4.25e-05,-0.0022908025096108,-0.00425
4.26e-05,-0.0023069648100599,-0.00426
4.27e-05,-0.0023231368687432,-0.00427
4.28e-05,-0.0023393269391732,-0.00428
4.29e-05,-0.0023555491019768,-0.00429
4.3e-05,-0.0023718257055398,-0.0043
4.31e-05,-0.002388189742853,-0.00431
4.32e-05,-0.0024046859503716,-0.00432
4.33e-05,-0.0024213696940124,-0.00433
4.34e-05,-0.0024383032368442,-0.00434
4.35e-05,-0.0024555496115711,-0.00435
4.36e-05,-0.0024731649105096,-0.00436
4.37e-05,-0.0024911902520176,-0.00437
4.38e-05,-0.0025096449108572,-0.00438
4.39e-05,-0.0025285220560189,-0.00439
4.4e-05,-0.0025477881896403,-0.0044
4.41e-05,-0.0025673867339417,-0.00441
4.42e-05,-0.0025872453519394,-0.00442
4.43e-05,-0.0026072856847296,-0.00443
4.44e-05,-0.0026274334864516,-0.00444
4.45e-05,-0.0026476268864946,-0.00445
4.46e-05,-0.0026678208679805,-0.00446
4.47e-05,-0.002687987008544,-0.00447
4.48e-05,-0.002708108859929,-0.00448
4.49e-05,-0.0027270788776767,-0.00449
4.5e-05,-0.0027453894935193,-0.0045
4.51e-05,-0.0027633458319408,-0.00451
4.52e-05,-0.0027815669000594,-0.00452
4.53e-05,-0.002800134465643,-0.00453
4.54e-05,-0.0028190765343578,-0.00454
4.55e-05,-0.0028383805027726,-0.00455
4.56e-05,-0.002857352242927,-0.00456
4.57e-05,-0.0028764911263031,-0.00457
4.58e-05,-0.0028958301691371,-0.00458
4.59e-05,-0.0029154061922638,-0.00459
4.6e-05,-0.0029352535447884,-0.0046
4.61e-05,-0.0029553975778171,-0.00461
4.62e-05,-0.0029752202042433,-0.00462
4.63e-05,-0.0029940047162134,-0.00463
4.64e-05,-0.0030124796489374,-0.00464
4.65e-05,-0.0030306688624285,-0.00465
4.66e-05,-0.0030488735542457,-0.00466
4.67e-05,-0.0030671466726503,-0.00467
4.68e-05,-0.0030855630006033,-0.00468
4.69e-05,-0.0031042146479472,-0.00469
4.7e-05,-0.0031232029932133,-0.0047
4.71e-05,-0.003142629276681,-0.00471
4.72e-05,-0.0031625860281125,-0.00472
4.73e-05,-0.0031831507932925,-0.00473
4.74e-05,-0.0032043825786175,-0.00474
4.75e-05,-0.0032263205151209,-0.00475
4.76e-05,-0.0032489837900498,-0.00476
4.77e-05,-0.0032723719991892,-0.00477
4.78e-05,-0.0032964655719532,-0.00478
4.79e-05,-0.003321226490151,-0.00479
4.8e-05,-0.0033465998407433,-0.0048
4.81e-05,-0.0033725166483219,-0.00481
4.82e-05,-0.003398897985614,-0.00482
4.83e-05,-0.0034256598073659,-0.00483
4.84e-05,-0.0034527175996441,-0.00484
4.85e-05,-0.0034799899905095,-0.00485
4.86e-05,-0.0035074009310919,-0.00486
4.87e-05,-0.003534880715827,-0.00487
4.88e-05,-0.0035623666371612,-0.00488
4.89e-05,-0.0035898041754649,-0.00489
4.9e-05,-0.0036170565581114,-0.0049
4.91e-05,-0.0036440302875294,-0.00491
4.92e-05,-0.0036710116809695,-0.00492
4.93e-05,-0.0036979763426145,-0.00493
4.94e-05,-0.0037248955829577,-0.00494
4.95e-05,-0.0037517390492319,-0.00495
4.96e-05,-0.0037784801237999,-0.00496
4.97e-05,-0.0038051022968573,-0.00497
4.98e-05,-0.003831604093992,-0.00498
4.99e-05,-0.0038580003939052,-0.00499
5e-05,-0.0038839628039202,-0.005
