time,max_d,max_disp_y,min_disp_y
0,0,0,0
1e-07,0,0.00017389127345652,-0.001
2e-07,0.00321456473944,0.00015426378675591,-0.002
3e-07,0.013610779792094,8.1489931941233e-05,-0.003
4e-07,0.026834890999869,9.2740475528714e-05,-0.004
5e-07,0.041897261285069,9.7703093814116e-05,-0.005
6e-07,0.057088777097739,0.00010905164422546,-0.006
7e-07,0.072902421372252,9.6184551421963e-05,-0.007
8e-07,0.087281379865098,0.00017893976639097,-0.008
9e-07,0.099609099675952,0.00021296468264717,-0.009
1e-06,0.11067454591282,0.00014121951846473,-0.01
1.1e-06,0.12106310601772,0.0001983522119591,-0.011
1.2e-06,0.13011048389053,0.00020527441945142,-0.012
1.3e-06,0.13827039830063,0.00025389907888792,-0.013
1.4e-06,0.14589757221074,0.00028884027180688,-0.014
1.5e-06,0.15294298813823,0.00027432276639147,-0.015
1.6e-06,0.15915723774396,0.0002883529391351,-0.016
1.7e-06,0.16479835809612,0.00031405663493984,-0.017
1.8e-06,0.17204451685979,0.00034983478392284,-0.018
1.9e-06,0.18141651884176,0.00038801606198673,-0.019
2e-06,0.19104809739057,0.00041149698695062,-0.02
2.1e-06,0.20051546559853,0.00041367967455259,-0.021
2.2e-06,0.209672157835,0.0004351363314499,-0.022
2.3e-06,0.21878140214782,0.00049268071766517,-0.023
2.4e-06,0.22749331646809,0.00051163955481107,-0.024
2.5e-06,0.2359213275649,0.00051543256007395,-0.025
2.6e-06,0.24458481627824,0.00056894884378897,-0.026
2.7e-06,0.25298944276465,0.00057845899843198,-0.027
2.8e-06,0.26133645833795,0.00063541345258966,-0.028
2.9e-06,0.26947207392367,0.00066802950736429,-0.029
3e-06,0.27748283443749,0.00070543078802182,-0.03
3.1e-06,0.28535059085816,0.00074485630627033,-0.031
3.2e-06,0.29294227079028,0.00074957202338054,-0.032
3.3e-06,0.30047576484311,0.00080267219045711,-0.033
3.4e-06,0.30818573858739,0.00080749742670024,-0.034
3.5e-06,0.3157125333198,0.00083575755296417,-0.035
3.6e-06,0.32295207575697,0.00087635661660139,-0.036
3.7e-06,0.32960965172463,0.00090715842893861,-0.037
3.8e-06,0.33589557783204,0.00096316538375371,-0.038
3.9e-06,0.3422422542466,0.00098711690221428,-0.039
4e-06,0.34925750353416,0.0010017647734941,-0.04
4.1e-06,0.3566731426065,0.0010414507511549,-0.041
4.2e-06,0.36355910564842,0.0010345378330874,-0.042
4.3e-06,0.36970387762414,0.0010699652934397,-0.043
4.4e-06,0.37551041716699,0.0010861338107889,-0.044
4.5e-06,0.38128969477498,0.0011109895044035,-0.045
4.6e-06,0.38688052209799,0.0011503920075625,-0.046
4.7e-06,0.39269045311209,0.0011734575937956,-0.047
4.8e-06,0.39828505967854,0.00123831229477,-0.048
4.9e-06,0.40422961726489,0.0012590893918081,-0.049
5e-06,0.41940356105322,0.0012680360192074,-0.05
5.1e-06,0.43651620054749,0.0013016723874897,-0.051
5.2e-06,0.45076709868424,0.0013159385012031,-0.052
5.3e-06,0.45222729231237,0.001335491146683,-0.053
5.4e-06,0.46139683524714,0.0013690716184657,-0.054
5.5e-06,0.46658643159799,0.001383366461447,-0.055
5.6e-06,0.48550709836287,0.0014206594583417,-0.056
5.7e-06,0.50067395582053,0.0014588460071953,-0.057
5.8e-06,0.5170029113888,0.0015019484654355,-0.058
5.9e-06,0.52869807430572,0.0015093640899761,-0.059
6e-06,0.54114688043632,0.0015371666566673,-0.06
6.1e-06,0.54432562536693,0.0015571191444479,-0.061
6.2e-06,0.55284544752679,0.0015650081664568,-0.062
6.3e-06,0.56582179023214,0.0015860822514333,-0.063
6.4e-06,0.57840852566006,0.0015990729654987,-0.064
6.5e-06,0.59249317424381,0.0016510466095914,-0.065
6.6e-06,0.60648712253254,0.0016783904595947,-0.066
6.7e-06,0.62211515718503,0.0017046962218067,-0.067
6.8e-06,0.63834768350558,0.0017331630433352,-0.068
6.9e-06,0.65338506687691,0.0017466446859408,-0.069
7e-06,0.67023869617074,0.001789587486045,-0.07
7.1e-06,0.68710490984144,0.0017976398603965,-0.071
7.2e-06,0.7019724739702,0.0018174383547717,-0.072
7.3e-06,0.71582774968363,0.0018301318670891,-0.073
7.4e-06,0.73084210211112,0.0018282875366669,-0.074
7.5e-06,0.74668706638339,0.0018694878508558,-0.075
7.6e-06,0.76269128779516,0.001910078137779,-0.076
7.7e-06,0.77911556708405,0.0019448874395411,-0.077
7.8e-06,0.79485550245876,0.0019493544592568,-0.078
7.9e-06,0.80885449439171,0.0019654477096488,-0.079
8e-06,0.82310449670096,0.0019934038029272,-0.08
8.1e-06,0.8365463406811,0.0020007147590587,-0.081
8.2e-06,0.85147972087383,0.0020101050343915,-0.082
8.3e-06,0.86610069606068,0.0020145736348201,-0.083
8.4e-06,0.87927165797007,0.0020535433002469,-0.084
8.5e-06,0.89295922694765,0.0020796232561054,-0.085
8.6e-06,0.90521978648535,0.0021106544961075,-0.086
8.7e-06,0.91713257159117,0.0021447972118279,-0.087
8.8e-06,0.92883450113561,0.0021508723213884,-0.088
8.9e-06,0.9390862490697,0.0021862218707771,-0.089
9e-06,0.94802874787442,0.0022018890613467,-0.09
9.1e-06,0.95717904041919,0.0022079771432587,-0.091
9.2e-06,0.96555510046271,0.0022139423910675,-0.092
9.3e-06,0.97298849456111,0.0022156747082949,-0.093
9.4e-06,0.979318419251,0.0022497082826815,-0.094
9.5e-06,0.9846313201562,0.002278091228499,-0.095
9.6e-06,0.98895001869987,0.0023080506425918,-0.096
9.7e-06,0.99245664856684,0.002344249619139,-0.097
