time,Jint,Jint_over_Gc,bot_react,top_react
0,0,0,0,0
0.001,-3.8509470369494e-06,-3.8509470369494e-05,-201.12917250821,201.12917250819
0.0015,0.012969049236608,0.12969049236608,-133.70609295435,133.70609295436
0.0025,0.013146769279315,0.13146769279315,-132.96184308388,132.96184308388
0.0035,0.013222452389831,0.13222452389831,-132.9348575939,132.9348575939
0.0045,0.013265967538588,0.13265967538588,-132.98717211959,132.98717211959
0.0055,0.013302998702949,0.13302998702949,-133.04837345223,133.04837345223
0.0065,0.013339032277279,0.13339032277279,-133.11067506847,133.11067506847
0.0075,0.01337502686614,0.1337502686614,-133.17319362372,133.17319362372
0.0085,0.013411137366455,0.13411137366455,-133.23582806146,133.23582806146
0.0095,0.013447387931249,0.13447387931249,-133.29856596977,133.29856596977
0.0105,0.013483782566499,0.13483782566499,-133.36140574605,133.36140574605
0.0115,0.013520321476539,0.13520321476539,-133.42434447534,133.42434447534
0.0125,0.013557005132356,0.13557005132356,-133.4873819081,133.4873819081
0.0135,0.013593834682697,0.13593834682697,-133.5505202339,133.5505202339
0.0145,0.013630810577226,0.13630810577226,-133.61375936221,133.61375936221
0.0155,0.013667932625809,0.13667932625809,-133.67709698914,133.67709698914
0.0165,0.013705202021845,0.13705202021845,-133.740535781,133.740535781
0.0175,0.013742619703571,0.13742619703571,-133.80407719983,133.80407719983
0.0185,0.013780186524485,0.13780186524485,-133.86772256169,133.86772256169
0.0195,0.013817901873687,0.13817901873687,-133.9314679575,133.9314679575
0.0205,0.013855767130945,0.13855767130945,-133.99531665242,133.99531665242
0.0215,0.01389378313667,0.1389378313667,-134.05926990287,134.05926990287
0.0225,0.013931949421757,0.13931949421757,-134.12332456766,134.12332456766
0.0235,0.013970267005326,0.13970267005326,-134.18748241969,134.18748241969
0.0245,0.014008736620365,0.14008736620365,-134.25174424827,134.25174424827
0.0255,0.014047357828263,0.14047357828263,-134.31610680903,134.31610680903
0.0265,0.014086132374464,0.14086132374464,-134.38057460382,134.38057460382
0.0275,0.014125060933254,0.14125060933254,-134.44514826912,134.44514826912
0.0285,0.014164143851179,0.14164143851179,-134.50982735155,134.50982735155
0.0295,0.014203382097054,0.14203382097054,-134.57461346692,134.57461346692
0.0305,0.014242776265239,0.14242776265239,-134.63950696626,134.63950696626
0.0315,0.014282326531534,0.14282326531534,-134.70450677518,134.70450677518
0.0325,0.014322033239399,0.14322033239399,-134.769612413,134.769612413
0.0335,0.014361896811789,0.14361896811789,-134.83482378218,134.83482378218
0.0345,0.014401918469014,0.14401918469014,-134.9001433728,134.9001433728
0.0355,0.014442098747124,0.14442098747124,-134.96557134016,134.96557134016
0.0365,0.014482437724961,0.14482437724961,-135.03110630956,135.03110630956
0.0375,0.014522936299589,0.14522936299589,-135.09674967738,135.09674967738
0.0385,0.014563595363576,0.14563595363576,-135.16250271214,135.16250271214
0.0395,0.014604415186381,0.14604415186381,-135.22836463231,135.2283646323
0.0405,0.014645395756125,0.14645395756125,-135.29433396992,135.29433396992
0.0415,0.014686538020589,0.14686538020589,-135.36041222103,135.36041222103
0.0425,0.014727842306885,0.14727842306885,-135.42659868934,135.42659868934
0.0435,0.01476930966397,0.1476930966397,-135.49289528044,135.49289528044
0.0445,0.014810940056562,0.14810940056562,-135.5593003407,135.5593003407
0.0455,0.014852733990594,0.14852733990594,-135.62581422871,135.62581422871
0.0465,0.014894692786262,0.14894692786262,-135.69243949985,135.69243949985
0.0475,0.014936817296049,0.14936817296049,-135.75917713073,135.75917713073
0.0485,0.014979108120182,0.14979108120182,-135.82602745763,135.82602745763
0.0495,0.015021565849584,0.15021565849584,-135.89299079274,135.89299079274
0.0505,0.015064191075528,0.15064191075528,-135.96006744792,135.96006744792
0.0515,0.015106983635635,0.15106983635635,-136.02725526928,136.02725526928
0.0525,0.015149944239092,0.15149944239092,-136.09455499085,136.09455499085
0.0535,0.015190434183147,0.15190434183147,-136.16210580999,136.16210580999
0.0545,0.01523332797808,0.1523332797808,-136.22965917088,136.22965917088
0.0555,0.015276728562074,0.15276728562074,-136.29729975199,136.29729975199
0.0565,0.015320356221763,0.15320356221763,-136.36505118168,136.36505118168
0.0575,0.015364162151102,0.15364162151102,-136.43291508529,136.43291508529
0.0585,0.015408141003721,0.15408141003721,-136.50089366057,136.50089366058
0.0595,0.015452292858782,0.15452292858782,-136.56898824297,136.56898824297
0.0605,0.015496618208057,0.15496618208057,-136.63719918533,136.63719918533
0.0615,0.015541117259156,0.15541117259156,-136.70552575332,136.70552575332
0.0625,0.015585790685199,0.15585790685199,-136.7739684576,136.7739684576
0.0635,0.015630637268262,0.15630637268262,-136.84252198621,136.84252198621
0.0645,0.015675657893053,0.15675657893053,-136.91118749652,136.91118749652
0.0655,0.015720853868426,0.15720853868426,-136.97996760371,136.97996760371
0.0665,0.015766225070194,0.15766225070194,-137.04886072048,137.04886072048
0.0675,0.01581177316394,0.1581177316394,-137.11787019032,137.11787019032
0.0685,0.01585749927317,0.1585749927317,-137.1869979683,137.1869979683
0.0695,0.015903403808083,0.15903403808083,-137.25624385373,137.25624385373
0.0705,0.015949487739708,0.15949487739708,-137.32560916546,137.32560916546
0.0715,0.015995751690892,0.15995751690892,-137.39509426823,137.39509426823
0.0725,0.01604219411801,0.1604219411801,-137.46469317632,137.46469317632
0.0735,0.016088816348291,0.16088816348291,-137.53440841774,137.53440841774
0.0745,0.016135620180025,0.16135620180025,-137.60424380866,137.60424380866
0.0755,0.016182606205789,0.16182606205789,-137.67419973399,137.67419973399
0.0765,0.016229774766573,0.16229774766573,-137.7442758489,137.7442758489
0.0775,0.016277126195846,0.16277126195846,-137.81447139927,137.81447139927
0.0785,0.016324661252858,0.16324661252858,-137.88478729284,137.88478729285
0.0795,0.016372381090783,0.16372381090783,-137.95522540395,137.95522540395
0.0805,0.016420286360081,0.16420286360081,-138.02578615004,138.02578615005
0.0815,0.016468377483314,0.16468377483314,-138.09646931278,138.0964693128
0.0825,0.016516652136221,0.16516652136221,-138.16726648319,138.16726648321
0.0835,0.016565110805707,0.16565110805707,-138.23817788308,138.23817788311
0.0845,0.01661375632726,0.1661375632726,-138.30921038323,138.30921038327
0.0855,0.016662589187391,0.16662589187391,-138.38036394133,138.38036394139
0.0865,0.016711610614925,0.16711610614925,-138.45164085387,138.45164085397
0.0875,0.016760821444601,0.16760821444601,-138.52304191347,138.52304191362
0.0885,0.01681022086415,0.1681022086415,-138.59456317315,138.59456317336
0.0895,0.016859809829407,0.16859809829407,-138.66620620883,138.66620620916
0.0905,0.016909589984899,0.16909589984899,-138.73797428482,138.7379742853
0.0915,0.016959561372299,0.16959561372299,-138.80986586671,138.80986586744
0.0925,0.017009723285679,0.17009723285679,-138.88187723339,138.88187723449
0.0935,0.01706007788535,0.1706007788535,-138.95401290252,138.95401290418
0.0945,0.017110626239984,0.17110626239984,-139.02627344787,139.02627345037
