time,Jint,Jint_over_Gc,bot_react,top_react
0,0,0,0,0
0.001,-1.728416171444e-06,-1.728416171444e-05,-201.12917096021,201.12917096019
0.002,0.011981056028455,0.11981056028455,-148.05364232091,148.05364232091
0.003,0.013284115669082,0.13284115669082,-145.35461854472,145.35461854472
0.004,0.013593404494112,0.13593404494112,-145.09619408106,145.09619408106
0.005,0.01370070978985,0.1370070978985,-145.11150897701,145.11150897701
0.006,0.013760524709244,0.13760524709244,-145.1711196753,145.1711196753
0.007,0.013810387882641,0.13810387882641,-145.23859981217,145.23859981217
0.008,0.013858466015918,0.13858466015918,-145.30752569187,145.30752569187
0.009,0.013906383297797,0.13906383297797,-145.37676965697,145.37676965697
0.01,0.013954447723947,0.13954447723947,-145.44612282856,145.44612282856
0.011,0.014002720290816,0.14002720290816,-145.5155543154,145.5155543154
0.012,0.014051214275375,0.14051214275375,-145.58506218487,145.58506218487
0.013,0.014099933137562,0.14099933137562,-145.65464669391,145.65464669391
0.014,0.014148877854778,0.14148877854778,-145.72430756021,145.72430756021
0.015,0.014198048876842,0.14198048876842,-145.79404411039,145.79404411039
0.016,0.014247447240884,0.14247447240884,-145.86385694204,145.86385694204
0.017,0.014297073650282,0.14297073650282,-145.93374617332,145.93374617332
0.018,0.014346929354489,0.14346929354489,-146.00371281265,146.00371281265
0.019,0.014397014365892,0.14397014365892,-146.07375573078,146.07375573078
0.02,0.014447329148377,0.14447329148377,-146.14387402398,146.14387402398
0.021,0.014497872755443,0.14497872755443,-146.21406344465,146.21406344465
0.022,0.014548648135594,0.14548648135594,-146.28432992695,146.28432992695
0.023,0.014599655762081,0.14599655762081,-146.35467322257,146.35467322257
0.024,0.014650896635735,0.14650896635735,-146.42509396778,146.42509396778
0.025,0.014702369439543,0.14702369439543,-146.49558629356,146.49558629356
0.026,0.014754073555624,0.14754073555624,-146.56614748078,146.56614748078
0.027,0.014806007574182,0.14806007574182,-146.63677235673,146.63677235673
0.028,0.014858176158303,0.14858176158303,-146.70747133781,146.70747133781
0.029,0.014910579413791,0.14910579413791,-146.77824315754,146.77824315754
0.03,0.01496321730694,0.1496321730694,-146.84908551175,146.84908551175
0.031,0.01501609221543,0.1501609221543,-146.92000383746,146.92000383746
0.032,0.015069198987494,0.15069198987494,-146.99098188395,146.99098188395
0.033,0.015122542005052,0.15122542005052,-147.06203062957,147.06203062957
0.034,0.01517612233571,0.1517612233571,-147.1331513297,147.1331513297
0.035,0.015229942390016,0.15229942390016,-147.20434905314,147.20434905314
0.036,0.015284002847246,0.15284002847246,-147.27562413488,147.27562413488
0.037,0.015338302791942,0.15338302791942,-147.34697398673,147.34697398673
0.038,0.015392842119289,0.15392842119289,-147.41839410549,147.41839410549
0.039,0.015447624524968,0.15447624524968,-147.48989267086,147.48989267086
0.04,0.015502646953861,0.15502646953861,-147.56145965009,147.56145965009
0.041,0.015557911683281,0.15557911683281,-147.63310033165,147.63310033165
0.042,0.015613416453065,0.15613416453065,-147.70480698295,147.70480698295
0.043,0.015669166944248,0.15669166944248,-147.77659344286,147.77659344286
0.044,0.015725164075996,0.15725164075996,-147.84846038849,147.84846038849
0.045,0.015781406916479,0.15781406916479,-147.92040433906,147.92040433906
0.046,0.015837898174284,0.15837898174284,-147.99243046597,147.99243046597
0.047,0.015894638791622,0.15894638791622,-148.06453959617,148.06453959617
0.048,0.015951629457639,0.15951629457639,-148.13673207589,148.13673207589
0.049,0.016008870827796,0.16008870827796,-148.2090081927,148.2090081927
0.05,0.016066363115442,0.16066363115442,-148.28136716623,148.28136716623
0.051,0.016124100101015,0.16124100101015,-148.35379176555,148.35379176555
0.052,0.016182084020147,0.16182084020147,-148.42628682454,148.42628682454
0.053,0.016240314610042,0.16240314610042,-148.49885027724,148.49885027724
0.054,0.016298797706529,0.16298797706529,-148.57149604697,148.57149604697
0.055,0.016357534900675,0.16357534900675,-148.64422651652,148.64422651652
0.056,0.016416526366009,0.16416526366009,-148.71704076709,148.71704076709
0.057,0.016475768867801,0.16475768867801,-148.78992921793,148.78992921793
0.058,0.016535266566346,0.16535266566346,-148.86290175937,148.86290175937
0.059,0.016595020773223,0.16595020773223,-148.93596024152,148.93596024152
0.06,0.016655032202204,0.16655032202204,-149.0091052289,149.0091052289
0.061,0.016715301462803,0.16715301462803,-149.08233708267,149.08233708267
0.062,0.016775829144006,0.16775829144006,-149.15565613543,149.15565613543
0.063,0.016836613859228,0.16836613859228,-149.22905824622,149.22905824622
0.064,0.016897656393897,0.16897656393897,-149.30254436175,149.30254436175
0.065,0.016958954234838,0.16958954234838,-149.37610655962,149.37610655962
0.066,0.017020510980895,0.17020510980895,-149.44975322153,149.44975322153
0.067,0.017082328562013,0.17082328562013,-149.52348794717,149.52348794717
0.068,0.017144407800433,0.17144407800433,-149.59731165975,149.59731165975
0.069,0.017206749290449,0.17206749290449,-149.67122480922,149.67122480922
0.07,0.017269353582892,0.17269353582892,-149.74522776955,149.74522776955
0.071,0.017332221217149,0.17332221217149,-149.8193209058,149.8193209058
0.072,0.017395352726315,0.17395352726315,-149.89350458499,149.89350458499
0.073,0.017458748637984,0.17458748637984,-149.96777917799,149.96777917799
0.074,0.017522409474353,0.17522409474353,-150.04214505971,150.04214505971
0.075,0.01758633394379,0.1758633394379,-150.11659832448,150.11659832448
0.076,0.017650518926692,0.17650518926692,-150.19113069804,150.19113069805
0.077,0.017714964324111,0.17714964324111,-150.26574120767,150.26574120768
0.078,0.017760486015716,0.17760486015716,-150.34145545955,150.34145545955
0.079,0.017823316625441,0.17823316625441,-150.41644761509,150.4164476151
0.08,0.017888218705365,0.17888218705365,-150.49134340038,150.49134340039
0.081,0.017953645100242,0.17953645100242,-150.5662840953,150.56628409532
0.082,0.018019371688104,0.18019371688104,-150.6412843625,150.64128436252
0.083,0.018085370153865,0.18085370153865,-150.71636627242,150.71636627246
0.084,0.018151639194421,0.18151639194421,-150.79154074706,150.79154074711
0.085,0.018218174869163,0.18218174869163,-150.86680010722,150.86680010728
0.086,0.018284978281214,0.18284978281214,-150.94214725313,150.94214725323
0.087,0.01835205138784,0.1835205138784,-151.01758636745,151.01758636759
0.088,0.018419391057237,0.18419391057237,-151.09310927425,151.09310927445
0.089,0.018486997246413,0.18486997246413,-151.16871589945,151.16871589974
0.09,0.01855487414103,0.1855487414103,-151.24441554816,151.24441554859
0.091,0.018623020267173,0.18623020267173,-151.32020372336,151.32020372399
0.092,0.018691435635995,0.18691435635995,-151.39608003,151.39608003093
0.093,0.018760123860018,0.18760123860018,-151.47205246736,151.47205246873
0.094,0.018829086224965,0.18829086224965,-151.54812297447,151.54812297649
0.095,0.018898323593627,0.18898323593627,-151.62429223158,151.62429223458
0.096,0.018967837105842,0.18967837105842,-151.70056062344,151.7005606279
0.097,0.01903762877954,0.1903762877954,-151.77692834066,151.77692834731
0.098,0.019107702686305,0.19107702686305,-151.85339521252,151.85339522246
0.099,0.019178066688294,0.19178066688294,-151.92995806498,151.92995807988
0.1,0.019248731048906,0.19248731048906,-152.00659206901,152.00659209142
0.101,0.019319744025723,0.19319744025723,-152.08329865756,152.08329869134
0.102,0.019391207093314,0.19391207093314,-152.16005582916,152.16005588021
0.103,0.019463369287089,0.19463369287089,-152.23683934092,152.23683941829
0.104,0.019536797497477,0.19536797497477,-152.31355539467,152.31355551222
0.105,0.01961281804835,0.1961281804835,-152.38996998222,152.38997016121
0.106,0.019703040898813,0.19703040898813,-152.46511715518,152.46511742291
0.107,0.019796653037641,0.19796653037641,-152.53861036712,152.53861077207
0.108,0.019917013964944,0.19917013964944,-152.60733761778,152.60733823207
0.109,0.02009774905835,0.2009774905835,-152.66541857249,152.66541949479
0.11,0.020349847743797,0.20349847743797,-152.70095569175,152.70095704155
0.111,0.020890829480518,0.20890829480518,-152.68830236347,152.68830423901
0.112,0.02179794822988,0.2179794822988,-152.60636215889,152.60636450853
0.113,0.022813189997099,0.22813189997099,-152.4589960237,152.45899865021
0.114,0.02353012769187,0.2353012769187,-152.2932430963,152.29324582286
0.115,0.023880113774553,0.23880113774553,-152.14935100073,152.14935374307
0.116,0.024019112998037,0.24019112998037,-152.03497359139,152.0349763085
0.117,0.02407123549967,0.2407123549967,-151.94534794836,151.94535061582
0.118,0.024092905642755,0.24092905642755,-151.87472670939,151.87472931209
0.119,0.02410569117455,0.2410569117455,-151.81897538063,151.81897790802
0.12,0.024118055736687,0.24118055736687,-151.77623097664,151.77623342371
0.121,0.024133050914616,0.24133050914616,-151.74498763601,151.74499000152
0.122,0.024151215458888,0.24151215458888,-151.72326637978,151.7232686637
0.123,0.024174183781571,0.24174183781571,-151.71173855155,151.71174075836
0.124,0.024200871846251,0.24200871846251,-151.70809462223,151.70809675521
0.125,0.024231748267819,0.24231748267819,-151.71225381336,151.71225587761
0.126,0.024266693509896,0.24266693509896,-151.72362499403,151.72362699503
0.127,0.024304839913688,0.24304839913688,-151.74069650895,151.74069845117
0.128,0.024347137743479,0.24347137743479,-151.7644257357,151.76442762557
0.129,0.024392319636378,0.24392319636378,-151.79298141012,151.79298325211
0.13,0.02444023089605,0.2444023089605,-151.82593431297,151.82593611109
0.131,0.02449146139832,0.2449146139832,-151.86391826629,151.86392002555
0.132,0.024544984080741,0.24544984080741,-151.90550159794,151.90550332189
0.133,0.024600758181945,0.24600758181945,-151.95051090193,151.95051259386
0.134,0.024658585219726,0.24658585219726,-151.99860920286,151.99861086584
0.135,0.024717730128187,0.24717730128187,-152.04876433566,152.04876597177
0.136,0.02477880315411,0.2477880315411,-152.10169356617,152.10169517806
0.137,0.024841421325674,0.24841421325674,-152.1568712889,152.15687287869
0.138,0.024905311740228,0.24905311740228,-152.21390432188,152.21390589122
0.139,0.024970156669896,0.24970156669896,-152.27234167186,152.27234322202
0.14,0.025036241373091,0.25036241373091,-152.33251837194,152.33251990443
0.141,0.025103066732579,0.25103066732579,-152.39377841268,152.3937799285
0.142,0.025170945953793,0.25170945953793,-152.4564937918,152.45649529199
0.143,0.025239392139854,0.25239392139854,-152.52002828371,152.52002976894
0.144,0.025308192331211,0.25308192331211,-152.58406887455,152.58407034522
0.145,0.025378204619596,0.25378204619596,-152.64971305445,152.64971451189
0.146,0.025448268484744,0.25448268484744,-152.71548284585,152.71548429003
